Programme music	Music
Qajar dynasty	History of Iran, History of Azerbaijan, Azerbaijani dynasties, Royal dynasties, 1781 establishments, 1925 disestablishments, 18th century establishments in Iran, 1920s disestablishments in Asia, 1780s establishments in Asia
Zenwalk Linux	Linux distributions
Thermodynamic equilibrium	Thermodynamics
Thermodynamic potential	Thermodynamics
Thermal efficiency	Thermodynamics, Engineering
Thermodynamic state	Thermodynamics
Thermal physics	Thermodynamics
Statistical mechanics	Mechanics, Thermodynamics
Kinetic theory	Thermodynamics
Frik	Armenian poets, 13th century births, 14th century deaths
Yeghishe Charents	1987 births, 1937 deaths, Armenian poets
Kars	Cities in Turkey
Kars Province	Provinces of Turkey
Manny Gamburyan	Armenian sportspeople, Living people, 1981 births, Martial artists
The Mickey Mouse Club	Television series by Disney, Children's television series, English-language television programs
Fanta	Soft drinks
Parameter	Mathematics
Agavaceae	Agavaceae, Plant families
Succulent plant	Types of plants
Lu Xun (Three Kingdoms)	183 births, 254 deaths, Three Kingdoms generals
List of Jupiter's moons	Jupiter's moons, Astronomy lists
Moons of Saturn	Saturn's moons, Astronomy lists
Vande Mataram	Indian culture, National symbols of India
List of Uranus' moons	Astronomy lists, Uranus' moons
List of Neptune's moons	Astronomy lists, Neptune's moons
King (chess)	Chess pieces
Work (thermodynamics)	Thermodynamics
Internal energy	Thermodynamics, Mechanics, Energy
Physical law	Science
Pipe (material)	Engineering
Cameron Diaz	Actors from San Diego, California, Models from San Diego, California, American movie actors, American television actors, American voice actors, 1972 births, Living people
Bacon number	Entertainment, Games
Pondicherry	Capital cities in India, Settlements in Puducherry
Zanzibar	Geography of Tanzania
Enya	1961 births, Living people, Grammy Award winners, Irish singers, Mezzo-sopranos, New Age music, People from County Donegal
Downing Street	Buildings and structures in London, 1680s establishments in Europe, 17th century establishments in England
Armenian illuminated manuscript	Illuminated manuscripts, Armenian culture
Alcatraz Island	Islands of the United States, Landmarks in San Francisco, Prisons, Museums in California, 1963 establishments in California
Illuminated manuscript	Illuminated manuscripts
Manuscript	Manuscripts
Matenadaran	Armenian culture, Yerevan, Manuscripts
Blue Mosque, Yerevan	Yerevan, Buildings and structures in Armenia, Mosques, 1766 establishments
235 BC	235 BC
302 BC	302 BC
San Marino City	National capitals in Europe, Municipalities of San Marino
Fort Worth, Texas	Fort Worth, Texas, 1873 establishments in the United States, 1870s establishments in Texas, County seats in Texas
Akdamar Island	Armenian Apostolic Churches
Gandzasar monastery	Churches in Armenia, Armenian Apostolic Churches
Deportation	Forced migration, Law
912	912
Vahe	Monarchs of Armenia
Rhadamistus	Monarchs of Armenia
Construction	Construction
Infrastructure	Civil engineering, Infrastructure, Architecture, Planning
Ceremony	Ceremonies
Kirk Kerkorian	1917 births, 2015 deaths, Businesspeople from Los Angeles, California
Chemical property	Chemistry
Bass drum	Drums
Drum kit	Drums
Drum stick	Drums
Khachkar	Armenian culture, Monuments and memorials
Back Dorm Boys	Chinese people, Comedy, Musical groups
Nattō	Japanese food
Kichijōji	Tokyo Prefecture
Udon	Noodles, Japanese food
Hachiōji, Tokyo	Cities in Japan, Settlements in Tokyo Prefecture
Nerima, Tokyo	Wards of Tokyo, Settlements in Tokyo Prefecture, 1947 establishments in Japan
Suginami, Tokyo	Wards of Tokyo, Settlements in Tokyo Prefecture
Higashi-Nagasaki Station	Railway stations in Tokyo
Sagamihara, Kanagawa	Cities in Kanagawa Prefecture
Aomori, Aomori	Cities in Japan, Settlements in Aomori Prefecture
HM Land Registry	Departments of the United Kingdom Government, Government agencies of the United Kingdom, 1862 establishments in the United Kingdom
Yamuna	Rivers of India
Ahmedabad	Cities in India, Settlements in Gujarat
Dachau, Bavaria	Dachau (district)
Odonata	Odonata
Chordophone	String instruments
Will Ferrell	1967 births, Living people, American voice actors, American movie actors, American television actors, People from Irvine, California, Actors from Orange County, California, Comedians from California, Mark Twain Prize recipients
Tritium	Hydrogen, Isotopes
Wood fibre	Fibers, Wood
Christian theology	Christian theology
Professional wrestling	Professional wrestling
Monaco-Ville	Monaco
Hıdırlık Tower	Fortification, Towers in Asia, Buildings and structures in Turkey
Mesa, Arizona	Mesa, Arizona, 1878 establishments in the United States, 19th-century establishments in Arizona Territory
Tucson, Arizona	Tucson, Arizona, County seats in Arizona
Arlington, Texas	Arlington, Texas
Tarrant County, Texas	Texas counties, Tarrant County, Texas
Spectrophotometer	Spectroscopy
Russian Orthodox Church	Russian Orthodox Church, 988 establishments, Establishments in Russia
Form	Geometry
Martiros Saryan	1880 births, 1972 deaths, Russian painters, Armenian artists, Recipients of the Order of Lenin
Library of Congress	Buildings and structures in Washington, D.C., Libraries in the United States, National libraries, 1800 establishments in the United States, 19th-century establishments in Washington, D.C.
Forest, Ontario	Towns in Ontario
Soul music	Music genres
Garni	Settlements in Armenia
Irredentism	International relations, Territorial disputes, Nationalism
Greater Armenia (political concept)	Middle East, Nationalism
Fume hood	Laboratory equipment
Ghevont Alishan	1820 births, 1901 deaths, Armenian poets, Armenian historians, Christian clergy, Eastern Catholics
Armenian Catholic Church	Eastern Catholicism
Armin T. Wegner	1886 births, 1978 deaths, Armenian Genocide, German journalists, German people of World War II, German political activists, German writers, Holocaust survivors, Humanitarians
Activism	Activism
Assyrian people	Assyrian people
Uncertainty principle	Quantum mechanics
Assyria	Assyria, Former countries in the Middle East
Yuri Andropov	1914 births, 1984 deaths, Deaths from renal failure, Directors of intelligence agencies, Former dictators, Russian communists, Russian politicians, Soviet politicians, Time People of the Year, Recipients of the Order of Lenin
Van, Turkey	Cities in Turkey
Van Province	Provinces of Turkey, Kurdistan
Urartian language	Urartu
Yamaha Corporation	1887 establishments, Companies of Japan, Musical instrument makers, 1880s establishments in Japan
Grease (movie)	1978 comedy movies, 1970s musical movies, 1970s romance movies, 1970s teen movies, American high school movies, American musical comedy movies, American romantic comedy movies, American teen comedy movies, American teen romance movies, English-language movies, Movies set in Los Angeles, California, Movies set in the 1950s, United States National Film Registry movies, Movies directed by Randal Kleiser
Eastern Time Zone	Time zones
Armenian Legion	Military of Armenia, Nazi Germany, History of Armenia, 1944
Garegin Njdeh	Armenian politicians, 1886 births, 1955 deaths
Wehrmacht	Military of Germany, Nazi Germany
Drastamat Kanayan	Armenian politicians, 1884 births, 1956 deaths, Armenian Genocide, Armenian military people, Assassins, Disease-related deaths in Massachusetts, German people of World War II, Terrorists
Jack White	1975 births, Living people, American guitarists, American songwriters, American composers, American movie actors, Actors from Detroit, Michigan, Singers from Detroit, Michigan
Meg White	1974 births, Living people, Singers from Michigan, American drummers, Musicians from Michigan, American rock musicians, American blues musicians
Adriatic Sea	Seas of the Atlantic Ocean
Time in Australia	Time zones, Time by country
Human sacrifice	Superstitions
Tomomi Kahala	1974 births, Living people, Singers from Tokyo
Observer effect	Quantum mechanics
Canton Township, Michigan	Townships in Michigan, 1834 establishments in Michigan Territory
Probability theory	Probability theory
The Raven	19th-century American poems, Poems by Edgar Allan Poe
Mayan civilization	Maya civilization
Mesoamerican chronology	History of Mesoamerica
Beck	1970 births, Living people, American rock guitarists, American songwriters, American composers, Musicians from Los Angeles, California, Singers from Los Angeles, California, Electronic musicians, Multi-instrumentalists
Prime Meridian	Lines of longitude
Retirement	Society, Leisure
Trdat the Architect	Byzantine Empire
Byzantium	Ancient Greece
Coat of arms of Armenia	Armenian culture, National coats of arms
Arsacid Dynasty of Armenia	History of Armenia, Royal dynasties, 1st-century establishments, 5th-century disestablishments
Hakob Kojoyan	1883 births, 1959 deaths, Armenian artists
Alexander Tamanian	Armenian people, 1878 births, 1936 deaths
Ani	History of Armenia, Ruins, Buildings and structures in Armenia, 5th century establishments in Asia, Establishments in Armenia
Armenian Soviet Socialist Republic	20th century in Armenia, Republics of the Soviet Union, 1920 establishments in the Soviet Union, 1920 disestablishments, Disestablishments in the Soviet Union
Extinct language	Extinct languages
Armenian Americans	Ethnic groups in the United States
Thomas Cavendish	1560 births, 1592 deaths, English explorers
William Saroyan	People from Fresno, California, 1908 births, 1981 deaths, American writers
Raphael Lemkin	1900 births, 1959 deaths, Belarusian Jews, Genocide, Polish lawyers, Polish Jews, Refugees from Nazism, Jewish lawyers
Vakıflı	Cities in Turkey
Spanish colonization of the Americas	History of Native Americans, History of Spain
Conquistador	History of Spain
Shushanik Kurghinian	Armenian poets, Autobiographers, 1876 births, 1927 deaths
Gyumri	Cities in Armenia
Arminianism	Protestant theology, Christian movements and denominational families, Protestant Reformation
Ruben Sevak	Armenian poets, 1885 births, 1915 deaths
Armenian Evangelical Church	Protestantism
Armenian alphabet	Armenian language
Orontid Dynasty	Monarchs of Armenia, Royal dynasties
Armenian Highland	Geography of Armenia, Mountains of Asia, Mountains of Europe
Armenian Quarter	Armenian diaspora, Neighbourhoods of Jerusalem
Paulo César Fonseca do Nascimento	1978 births, Living people, Brazilian footballers, People from Porto Alegre
Lina Hahne	1984 births, Living people, Beauty pageant winners, Swedish models
Miss Universe	Beauty pageants, 1952 establishments
Frank Thomas	1968 births, Living people, American baseball players, Sportspeople from Georgia (U.S. state), Chicago White Sox players, Oakland Athletics players, Toronto Blue Jays players, National Baseball Hall of Fame members, People from Columbus, Georgia
Northwest	Compass directions
Southeast	Compass directions
Silvia Night	Fictional characters
Donald Trump	1946 births, Living people, Donald Trump, 2016 United States presidential candidates, 2020 United States presidential candidates, 21st-century American politicians, Actors from Florida, Actors from New York City, American billionaires, American conservatives, American game show hosts, American Presbyterians, Businesspeople from Florida, Businesspeople from New York City, People from Queens, Politicians from Florida, Politicians from New York City, Real estate developers, Television personalities from New York City, Time People of the Year, Trump family, US Republican Party politicians, WWE Hall of Fame
Northeast	Compass directions
Mona Sahlin	1957 births, Living people, Government ministers of Sweden
Swedish Social Democratic Party	1889 establishments in Europe, Socialist International, Social democratic parties, Political parties in Sweden, 1880s establishments in Sweden
Olof Palme	1927 births, 1986 deaths, Anti-Communists, Feminists, Government ministers of Sweden, Murders by firearm, Politicians from Stockholm, Prime Ministers of Sweden, Socialists, Unsolved murders
Elena Paparizou	1982 births, Greek singers, Living people, Swedish singers, Eurovision Song Contest winners
Miss World	Beauty pageants
Gregory the Illuminator	Armenian Apostolic Churches
Bow Wow	1987 births, Living people, Singers from Ohio, American rap musicians from Ohio, American movie actors, Actors from Columbus, Ohio, Musicians from Columbus, Ohio, Singers from Columbus, Ohio
John Cage	1912 births, 1992 deaths, 20th century composers, American composers, Cardiovascular disease deaths in New York City, Deaths from stroke, LGBT artists, LGBT composers, LGBT musicians, LGBT people from Los Angeles, California, LGBT writers, Musical entertainers from Los Angeles, California, Writers from Los Angeles, California
4′33″	Compositions
McDonnell Douglas F/A-18 Hornet	United States Navy aircraft, United States Marine Corps aircraft, Australian military aircraft, Spain
McDonnell Douglas F-15 Eagle	United States Air Force aircraft, Military of Japan, Israel Defense Forces, Saudi Arabia
Dicotyledon	Flowering plants
James Clark Ross	1800 births, 1862 deaths, English explorers, British military people, British naturalists, English botanists, Fellows of the Royal Society, Knights Bachelor, Legion of Honour, People from London, Royal Navy officers, Royal Society, Scientists from London
Hrant Dink	Armenian writers, Turkish journalists, Murder victims, 1954 births, 2007 deaths
Agos	Newspapers published in Turkey, Istanbul
St Kilda Football Club	Australian Football League
Ingvar Carlsson	1934 births, Living people, Swedish economists, Prime Ministers of Sweden
Shilpa Shetty	1975 births, Living people, Big Brother winners, Celebrity Big Brother contestants, Indian models, Indian movie actors
Third party (politics)	Political parties
Paula DeAnda	Singers from Texas, People from Corpus Christi, Texas, 1989 births, Living people
Canton of Fribourg	Canton of Fribourg
Compass rose	Navigation, Cartography
Cardinal direction	Compass directions
Knight (chess)	Chess pieces
Queen (chess)	Chess pieces
Dennis the Menace	Comic strips
5 BC	5 BC
Taner Akçam	Turkish writers, 1953 births, Living people, Turkish historians, Turkish scientists
International Date Line	Lines of longitude
Boredom	Emotions
Circle of latitude	Lines of latitude
J-pop	J-pop
List of J-pop artists	J-pop, Music-related lists, Lists of entertainers
Ara Darzi	1960 births, Living people, Armenian diaspora, Iraqi people, British politicians
Puffy AmiYumi	J-pop bands, Pop punk bands
Mika Nakashima	1983 births, Living people, Japanese movie actors, Japanese singers, Japanese models, People from Kagoshima Prefecture
Yui (singer)	Singers from Fukuoka Prefecture, 1987 births, Living people
Zard	J-pop bands, Japanese rock bands
Wyolica	J-pop bands, Folk music groups
Crystal Kay	1986 births, Living people, Singers from Kanagawa Prefecture
Speed (band)	Japanese musical groups, People from Okinawa Prefecture
Glay	Japanese rock bands
Aiko (singer)	Japanese singers, 1975 births, Living people, People from Osaka Prefecture
Ringo Shiina	1978 births, Living people, Singers from Fukuoka Prefecture, Songwriters, Japanese guitarists
GO!GO!7188	Japanese rock bands
Porno Graffitti	J-pop bands, Japanese rock bands, People from Hiroshima Prefecture, 1990s music groups
Yuki Isoya	Japanese singers, 1972 births, Living people, People from Hokkaido
Mr. Children	Japanese musical groups
3B LAB.*	J-pop bands
Ellegarden	Japanese rock bands, Punk bands, Emo bands, Japanese musical groups, Musical groups established in 1998, Musical quartets, Pop punk bands
Def Tech	Japanese musical groups
Ai Otsuka	Japanese singers, J-pop, 1982 births, Living people, People from Osaka
Remioromen	Japanese rock bands, J-pop bands
Ayaka	Japanese singers, 1987 births, Living people, People from Osaka Prefecture
Kyu Sakamoto	1941 births, 1985 deaths, Singers from Kanagawa Prefecture, Japanese movie actors
Orange Range	Japanese rock bands
Bump of Chicken	Japanese rock bands
Kumi Koda	1982 births, Living people, Japanese singers, People from Kyoto Prefecture
Zeebra	1971 births, Living people, Musicians from Tokyo, Rap musicians
Dreams Come True	Japanese musical groups, J-pop bands, Jazz bands
Every Little Thing (band)	1990s music groups, 2000s music groups, 2010s music groups, Japanese rock bands, Musical duos, Musical groups established in 1996, Pop rock bands
KAT-TUN	Japanese rock bands, J-pop bands, Japanese boy bands
BoA	1986 births, Living people, South Korean singers, K-pop singers, J-pop singers, C-pop singers
Namie Amuro	1977 births, Living people, Japanese singers, People from Okinawa Prefecture
Saturn (mythology)	Roman gods and goddesses
Comanche	Native American
Cuvette	Laboratory equipment
John Abbot	1587 births, 1650 deaths, English poets, English priests, English Roman Catholics, Roman Catholic priests
Lemuel Abbott	1730 births, 1776 deaths, English poets
Thomas Eastoe Abbott	1780s births, 1854 deaths, English poets, Writers from Norfolk
Division of labour	Sociology, Anthropology
Euphrates	Rivers of Iraq, Rivers of Turkey, Rivers of Syria, Mesopotamia
JC Chasez	1976 births, Living people, American songwriters, Mouseketeers, NSYNC, Singers from Washington, D.C.
Herl	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Ricky Martin	Ricky Martin, 1973 births, Living people, People from San Juan, Puerto Rico, Puerto Rican actors, Puerto Rican singers, Latin singers, American singers, American dancers, American pop musicians, American movie actors, American television actors, LGBT actors, LGBT musicians, Grammy Award winners
Fiefdom	Middle Ages
Nicky Hilton Rothschild	American fashion designers, Models from New York City, American socialites, 1983 births, Living people, American bloggers
Disappearance of Madeleine McCann	2007 crimes, 2007 in Europe, 2000s crimes in Europe, 2000s in Portugal, May events, Missing people
Linda Thelenius	1974 births, Living people, Autobiographers, Big Brother contestants, Political activists, Swedish models
Linda Bengtzing	1974 births, Living people, Swedish singers
Melodifestivalen	Music competitions, Swedish music, 1958 establishments in Europe, 1950s establishments in Sweden
Katie Price	1978 births, Living people, Big Brother winners, Cancer survivors, Celebrity Big Brother contestants, English models, English television personalities, Entertainers from Brighton, I'm a Celebrity...Get Me Out of Here! contestants, Singers from Sussex
Nikki Grahame	1982 births, 2021 deaths, Big Brother contestants, English models, Television personalities from Hertfordshire, People from Watford, Deaths from anorexia
Venus Williams	1980 births, Living people, African-American tennis players, American female tennis players, American Olympic gold medalists, American Protestants, Australian Open champions, Competitors at the 2016 Summer Olympics, French Open champions, Jehovah's Witnesses people, Medalists at the 2000 Summer Olympics, Medalists at the 2008 Summer Olympics, Medalists at the 2012 Summer Olympics, Medalists at the 2016 Summer Olympics, Olympic silver medalists, Sportspeople from Los Angeles, California, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
Serena Williams	1981 births, African-American tennis players, American autobiographers, American female tennis players, American Olympic gold medalists, American Protestants, Australian Open champions, Competitors at the 2016 Summer Olympics, French Open champions, Jehovah's Witnesses people, People from Saginaw, Michigan, Living people, Medalists at the 2000 Summer Olympics, Medalists at the 2008 Summer Olympics, Medalists at the 2012 Summer Olympics, Sportspeople from Michigan, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
Miki Ando	1987 births, Living people, 2006 Winter Olympics, 2010 Winter Olympics, Japanese figure skaters, People from Aichi Prefecture
Kelly Ripa	1970 births, Living people, American movie actors, American television actors, American television presenters, Television talk show hosts, Actors from New Jersey, People from Camden, New Jersey, Emmy Award winners
Faith Ford	1964 births, Living people, American movie actors, Actors from Louisiana, American television actors
Hope & Faith	American sitcoms, 2003 American television series debuts, 2006 American television series endings, English-language television programs
Live! with Kelly	American television talk shows, First run syndicated television programs, English-language television programs
Sven-Göran Eriksson	1948 births, Living people, Swedish footballers, Swedish football managers, England national football team managers
Jade Goody	1981 births, 2009 deaths, Cancer deaths in England, Celebrity Big Brother contestants, Deaths from cervical cancer, English television personalities, Nurses, People from Southwark (London borough), Reality television participants, Television personalities from London
Sara Rue	American television actors, Actors from New York City, 1979 births, Living people
Less Than Perfect	2000s American sitcoms, 2002 American television series debuts, 2006 American television series endings, ABC network shows, English-language television programs
Hilary Hahn	American violinists, Grammy Award winners, 1979 births, Living people
Larry King	1933 births, 2021 deaths, Actors from Brooklyn, American atheists, American movie actors, American television news anchors, American television talk show hosts, CNN people, Deaths from sepsis, Jewish American actors, Jewish American writers, Jewish atheists, Journalists from New York City, Peabody Award winners, Television personalities from New York City, Writers from Brooklyn
Norfolk, Virginia	Norfolk, Virginia
Cream Lemon	Anime, 2001 anime OVAs, 2006 anime OVAs
Vahan Tekeyan	1878 births, 1948 deaths, Armenian poets
Pontic Greeks	Greece
Nynorsk	Germanic languages, Languages of Norway
Austrian Armenian Cultural Society	20th century establishments in Armenia, 1970s establishments in Austria, 1974 establishments in Europe
Laredo, Texas	Cities in Texas, County seats in Texas, 1755 establishments, 18th-century establishments in Mexico
German-Armenian Society	Armenia, Germany, Europe, 1914 establishments in Europe, 1910s establishments in Germany
Asbarez	Newspapers in California, Companies based in Los Angeles, 1908 establishments in California, Fresno, California
Nuevo Laredo	Cities in Mexico, Tamaulipas, 1847 establishments in North America, 19th-century establishments in Mexico
United States military chocolate	American food, Military of the United States, 1937 establishments in the United States
Marion Bartoli	1984 births, Female tennis players, French tennis players, Living people, People from Geneva, Wimbledon champions
Bandana	Accessories, Headgear
Roger Federer	1981 births, Living people, Australian Open champions, French Open champions, Male tennis players, Medalists at the 2008 Summer Olympics, Medalists at the 2012 Summer Olympics, Olympic gold medalists, Olympic silver medalists, Sportspeople from Basel, Swiss Olympic medalists, Swiss tennis players, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
Martina Hingis	Australian Open champions, Coaches, Doping cases in sport, Female tennis players, French Open champions, Slovakian sportspeople, Strictly Come Dancing participants, Swiss tennis players, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players, 1980 births, Living people, Medalists at the 2016 Summer Olympics, Olympic silver medalists
Noisettes	English rock bands, English punk bands, Indie rock bands, Funk bands, Soul bands, Musical groups from London
Rafael Nadal	1986 births, Living people, Agnostics, Australian Open champions, Balearic Islands, French Open champions, Male tennis players, Medalists at the 2008 Summer Olympics, Medalists at the 2016 Summer Olympics, Olympic gold medalists, Spanish Olympic medalists, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
Justine Henin	1982 births, Belgian sportspeople, Female tennis players, French Open champions, Living people, Medalists at the 2004 Summer Olympics, People from Liège, US Open (tennis) champions, World No. 1 tennis players
Carla Garapedian	Year of birth missing (living people), Living people, American movie directors
Massacres of Erzurum	Massacres in Turkey, Armenian Genocide
Lake Kari	Lakes of Asia, Geography of Armenia
Mount Aragats	Mountains of Asia, Geography of Armenia
Crystle Stewart	Beauty pageant winners, People from Houston, Texas, 1981 births, Living people
Victoria Cross for Australia	Orders, decorations, and medals of Australia, 1856 establishments in Australia
White Pines Forest State Park	Illinois, State parks in the United States
George Stainforth	British military people, British aviators, 1899 births, 1942 deaths
Ion Heliade Rădulescu	1802 births, 1872 deaths, Romanian writers, Romanian journalists, Poets, Romanian social scientists, 19th century philosophers, Romanian politicians
Chosroid Dynasty	Georgian people, Royal dynasties
Guaramid Dynasty	Georgian people, Royal dynasties
George II of Imereti	1585 deaths, Georgian people, Year of birth unknown, Kings and queens
Bagrat III of Imereti	Kings and queens, 1495 births, 1565 deaths
1982 Glasgow Hillhead by-election	1982 in the United Kingdom, 1982 elections, Elections in the United Kingdom, Politics of Scotland, 1980s in Scotland, March events
Solaris	Operating systems, Unix, Sun Microsystems, Oracle Corporation
Puja Gupta	Beauty pageant winners, 1984 births, Living people, Indian models
Charles A. Johns	1857 births, 1932 deaths, American lawyers, Politicians from Oregon
Saved!	2004 movies, 2000s LGBT movies, 2000s teen comedy movies, American LGBT movies, American teen comedy movies, Movies set in Maryland
Gibraltar Chronicle	English-language newspapers, Gibraltar, 1801 establishments
Alan Johnston	British journalists, 1962 births, Living people
BBC Television Centre	BBC
Liberty Bell	Philadelphia, Pennsylvania, Bells, Symbols of the United States
Frank Lloyd Wright	1867 births, 1959 deaths, Deaths from bowel obstruction, Architects from Chicago, Frank Lloyd Wright, Unitarians, American philosophers, American philanthropists, Businesspeople from Chicago, Businesspeople from Wisconsin, Deaths from surgical complications, People from Richland Center, Wisconsin
Law enforcement in Cuba	Cuba, Law enforcement by country
Battle of Damascus	Battles of World War II, Damascus, 1941, 20th century in Syria
Laurence Mancuso	1934 births, 2007 deaths, American Eastern Orthodox Christians, Christian religious leaders, Monks, People from New York
Joseph Jukes	1811 births, 1869 deaths, English geologists, People from Birmingham
Second Severn Crossing	1996 establishments in the United Kingdom, Bridges in the United Kingdom, Concrete bridges, Gloucestershire, Monmouthshire, Steel bridges
Spitz (band)	Japanese rock bands
Yakima, Washington	Cities in Washington (U.S. state), County seats in Washington, Yakima County, Washington
Sprite	Soft drinks
University of Washington	Association of American Universities, Colleges and universities in Washington, Pac-12 Conference, Seattle, Washington, 1861 establishments in the United States
The Hershey Company	American food companies, Pennsylvania, 1894 establishments in the United States
Totally Spies!	Animated television series, 2001 television series debuts, 2013 television series endings, Spy television series, English-language television programs
Screamers (2006 movie)	American documentary movies, 2006 movies, Multilingual movies
Ross Bagdasarian	1919 births, 1972 deaths, American pianists, American songwriters, American voice actors, People from Fresno, California
Shawn Michaels	1965 births, American Christians, American professional wrestlers, American television actors, Former WWE wrestlers, Living people, Actors from San Antonio, Texas, Sportspeople from Arizona, Sportspeople from San Antonio, Texas, WWE Hall of Fame
Denali	Mountains of the United States, Geography of Alaska
Dune	Landforms
Detective	Law enforcement occupations, Criminal investigation
Kieran Richardson	1984 births, Living people, English footballers, Sportspeople from London, Premier League players
Juan Pablo Montoya	1975 births, Living people, People from Bogotá, Colombian sportspeople, NASCAR drivers, Formula One drivers
Riyo Mori	Miss Universe winners, 1986 births, Living people, People from Shizuoka Prefecture
Eolian processes	Winds, Erosion, Landforms
American Girl	Series of books, Children's books, Dolls
Hot spring	Geology
Sergei Parajanov	1924 births, 1990 deaths, Movie directors from Georgia (country), Armenian movie directors
Artavazd Peleshyan	1938 births, Living people, Armenian movie directors, Armenian writers
Dress	Dresses
Giza	Giza
Thorns, spines and prickles	Plant anatomy
Pope Pius IX	1792 births, 1878 deaths, Deaths from epilepsy, Italian popes, Beatified people
Sickle	Farming tools, Cutting tools
Kilometres per hour	Units of measurement
Amanda Bynes	1986 births, Living people, Actors from Ventura County, California, American child actors, American movie actors, American television actors, American voice actors, People from Ventura County, California, People with bipolar disorder, People with schizophrenia
Exclamation mark	Punctuation
Yupik	People from Alaska, Ethnic groups in the United States
Anna Kournikova	1981 births, Female tennis players, Living people, Participants in American reality television series, Russian models, Russian tennis players, Sportspeople from Moscow
Sk8er Boi	2002 songs, Avril Lavigne songs
Talk show	Television programs, Radio
Graduated cylinder	Laboratory equipment
Edmond Keosayan	Armenian movie directors, 1936 births, 1994 deaths
Amerigo Vespucci	1454 births, 1512 deaths, Deaths from infectious disease, Italian explorers, People from Florence
Titanic (1997 movie)	1997 drama movies, 1997 romance movies, 1990s disaster movies, 1990s romantic drama movies, 2012 3D movies, 20th Century Fox movies, American disaster movies, American epic movies, American romantic drama movies, Best Picture Oscar, Movies with underwater settings, Movies based on real life events, Movies composed by James Horner, Movies directed by James Cameron, Movies set in the 1910s, Movies that won the Best Original Song Academy Award, Movies that won the Best Visual Effects Academy Award, Murder-suicide in movies, RMS Titanic, Survival movies, 3D re-releases
Rip Slyme	Musical groups from Kanagawa Prefecture, Hip hop bands
Names for large numbers	Numbers
Acetylene	Hydrocarbons
Ralf Schumacher	1975 births, Living people, Formula One drivers, German racecar drivers, Sportspeople from North Rhine-Westphalia
Auto racing	Auto racing
Lascelles Abercrombie	English poets, 1881 births, 1938 deaths
Eliza Acton	1799 births, 1859 deaths, British chefs, English poets, Writers from Suffolk, Writers from Sussex
Ralph Fiennes	1962 births, Living people, Actors from Suffolk, Actors who played M, BAFTA Award winners, Drama Desk Award winners, English movie actors, English movie directors, English movie producers, English stage actors, English television actors, English voice actors, People from Ipswich, Tony Award winning actors
Wellington Koo	Chinese politicians, 1887 births, 1985 deaths
Wade-Giles	Romanization
Natalia Oreiro	1977 births, Living people, Uruguayan entertainers, Latin singers, People from Montevideo
Democratic Progressive Party	Political parties in Taiwan, Liberal parties, Social democratic parties, Nationalist organizations in Taiwan, 1986 establishments in Asia, 1980s establishments in Taiwan
President of the Republic of China	Politics of China, Presidents of the Republic of China
Anastas Mikoyan	1895 births, 1978 deaths, Armenian people, Communists, Recipients of the Order of Lenin
Mitanni	Assyria, Mesopotamia
Russians in the United Kingdom	Ethnic groups in the United Kingdom, Russian people
Larry Griffin	American criminals, People from Missouri, 1954 births, 1991 deaths
Nassau County, New York	New York (state) counties, 1899 establishments in the United States, 1890s establishments in New York (state)
First Nagorno-Karabakh War	1988, 1989, 1990, 1991, 1992, 1993, 1994, Anti-Armenianism, Anti-Azerbaijani sentiment, 20th century in Armenia, 20th century in Azerbaijan, Nagorno-Karabakh, Nagorno-Karabakh Republic
Trentino-Alto Adige/Südtirol	Trentino-Alto Adige/Südtirol
SMAP	Japanese boy bands
Kick the Can Crew	Japanese musical groups, Hip hop bands, Musical groups established in 1996, 2004 disestablishments, 1996 establishments in Japan, 21st century disestablishments in Japan, 2000s disestablishments in Asia
Judy and Mary	Japanese rock bands
Angela Aki	Japanese singers, Japanese songwriters, 1977 births, Living people, People from Tokushima Prefecture
Spanish Empire	Empires, History of Spain, 1492 establishments, 1975 disestablishments
Viceroyalty of New Spain	History of Spain, Viceroys, 1520s establishments in North America, 1820s disestablishments in North America, 1821 disestablishments
Matt LeBlanc	1967 births, Living people, Actors from Massachusetts, American movie actors, American television actors, People's Choice Award winners
Tango	Dance music, Ballroom dances, Latin dances
Ethane	Alkanes
Cracking (chemistry)	Chemical processes, Organic reactions
Christchurch	1848 establishments, 1840s establishments in New Zealand, Cities in New Zealand
Phosphine	Phosphorus compounds
Planetary ring	Planets
Kingdom of Castile	History of Spain
Luigi Galvani	Italian physicians, Italian scientists, 1737 births, 1798 deaths
Lorem ipsum	Typography, Latin phrases
Planetary core	Geology, Planets
Redox	Chemistry
Van Resistance	Armenian Genocide
100 (number)	Integers, Square numbers
1021	1021
1332	1332
Wasabi	Spices, Brassicaceae, Condiments
Prion disease	Infectious diseases, Neurology, Dementia
Help!	The Beatles albums, 1965 albums, Rock and roll albums, Folk albums
Please Please Me	The Beatles albums, Debut albums, 1963 albums, Rock and roll albums, Pop albums
