Institution of Structural Engineers	Organisations based in London
Dave Bolland	1986 births, Canadian ice hockey centres, Chicago Blackhawks players, Florida Panthers players, Ice hockey people from Ontario, Living people, Sportspeople from Toronto, Stanley Cup champions, Toronto Maple Leafs players, American Hockey League players, Ontario Hockey League players, Memorial Cup winners
Middlesex	Middlesex
Ernst Heinrich Meier	1813 births, 1866 deaths, German people
Chico Slimani	Dancing on Ice participants, Moroccan entertainers, The X Factor contestants, Welsh pop musicians, Welsh singers, 1971 births, Living people
Recaredo Santos Tornero	People from Valparaíso, Chilean journalists, 1842 births, 1902 deaths
Madonna discography	Madonna (entertainer), Discographies
Addictive personality	Personal life, Addiction
Nexus (professional wrestling)	WWE teams and stables, 2010 establishments, 2011 disestablishments
British Film Institute	British movies
Yasuhito Endo	1980 births, Living people, Footballers from Kagoshima Prefecture, Japan international footballers, J1 League players, J2 League players, Yokohama Flügels players, Kyoto Sanga FC players, Gamba Osaka players, Júbilo Iwata players, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, 2013 FIFA Confederations Cup players
Leader of the Opposition (New Zealand)	Leaders of the Opposition (New Zealand), Politics of New Zealand
Premier of Victoria	Premiers of Victoria
El Mercurio de Valparaíso	Newspapers in South America, Valparaíso, 1827 establishments, 19th-century establishments in Chile, 1820s establishments in South America
Valparaíso	Valparaíso
Azoximer bromide	Immunology, Biochemistry
Ray Traylor	American professional wrestlers, Sportspeople from Georgia (U.S. state), Deaths from myocardial infarction, Former WWE wrestlers, 1963 births, 2004 deaths
Chilliwack	Cities in British Columbia, 1873 establishments in Canada
Whitesnake	1978 establishments in the United Kingdom, 1970s British music groups, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, English hard rock bands, Musical groups established in 1978, Musical groups from Yorkshire
Printer (publishing)	Printers
Kris Aquino	1971 births, Living people, Filipino actors, Corazon Aquino
List of infectious diseases	Infectious diseases, Disease-related lists
University of Melbourne	1853 establishments in Oceania, 1850s establishments in Australia, Buildings and structures in Melbourne, Colleges and universities in Australia
Fabiano Caruana	1992 births, Living people, Sportspeople from Miami, Florida, American chess players, Italian people, Chess grandmasters
Twig	Trees
2010 Tour de France	2010 in Europe, 2010 in sports, 2010s in Belgium, 2010s in France, 2010s in the Netherlands, Sport in Belgium, Sport in France, Sport in the Netherlands, Tour de France
Growth ring	Climate, Trees
Albert Esch	1883 births, 1954 deaths, Austrian painters, Czech people, Painters
José Manuel Balmaceda	1838 births, 1891 deaths, Presidents of Chile
Ozymandias	19th-century British poems
ESCP Europe	Education in France
Norwich International Airport	Airports in England, Norwich
International Air Transport Association airport code	Airports, Geocodes
International Civil Aviation Organization airport code	Airports, Geocodes
Boston	1630 establishments in Massachusetts, Boston, Massachusetts, County seats in Massachusetts, State capitals in the United States
Parti Québécois	Nationalist organizations in North America, Social democratic parties, Political parties in Canada, Quebec
Wheel gymnastics	Gymnastics
Trampolining	Gymnastics
Priapulida	Minor phyla
Kinorhyncha	Minor phyla
Loricifera	Minor phyla, Extremophiles
Saturation (chemistry)	Chemistry
Sulphide	Chemistry
Sulphate	Chemistry
L'Atalante basin	Oceanography, Earth sciences
Tactical voting	Voting
Queensberry (band)	2000s German music groups, 2010s German music groups, German pop music groups, Girl groups, Musical groups disestablished in 2013, Musical groups established in 2008
Strait of Gibraltar	Straits, Geography of Morocco, Geography of Spain
Hurricane Fran	Hurricanes in Virginia, Hurricanes in North Carolina, Hurricanes in South Carolina
Type 1 diabetes	Diabetes mellitus, Autoimmune diseases
Eagle Mountain (Minnesota)	Geography of Minnesota, Mountains of the United States
Al Franken	Comedians from New York City, American movie actors, American screenwriters, American television actors, US Democratic Party politicians, Emmy Award winners, Grammy Award winners, Harvard University alumni, Actors from Minnesota, United States senators from Minnesota, Politicians from New York City, Politicians from Minneapolis, Minnesota, Actors from New York City, Writers from New York City, Writers from Minneapolis, Minnesota, 1951 births, Living people, Comedians from Minnesota
Minneapolis–Saint Paul	Cities in Minnesota, Saint Paul, Minnesota, Minneapolis, Minnesota, Metropolitan areas of the United States
Arrowhead Region	Geography of Minnesota
Misquah Hills	Geography of Minnesota, Wilderness Areas of the United States, Landforms of the United States
Sawtooth Mountains (Minnesota)	Geography of Minnesota, Mountains of the United States
Leaf Hills Moraines	Geography of Minnesota, Hills
Minnesota Democratic–Farmer–Labor Party	Minnesota, Political parties in the United States, United States Democratic Party, 1944 establishments in the United States, 1940s establishments in Minnesota
List of United States senators from Minnesota	United States senators from Minnesota, Lists of politicians from the United States
Governor of Minnesota	Governors of Minnesota
Okutama, Tokyo	Towns in Japan, Settlements in Tokyo Prefecture
Flag of Minnesota	United States state flags, Minnesota
Seal of Minnesota	Minnesota, United States state seals
Sweet corn	Vegetables
Alternative country	Country music
Upper Midwest	Midwestern United States
Animikie Group	Geology, Mountain ranges, Mountains of the United States, Mountains of Canada
Hail! Minnesota	Minnesota, 1900s establishments in Minnesota, United States state songs
Morchella	Edible fungi
Cypripedium reginae	Orchids
Lake Superior agate	Gemstones
Wild rice	Rice
Red pine	Conifers, Plants of North America
L'Étoile du Nord	Minnesota, Mottos
Grace (photograph)	Photography
Walleye	Edible fish, Perciformes, Freshwater fish
Minnesota Territory	1849 establishments in the United States, 1850s disestablishments in the United States, 1840s in the United States, History of Minnesota, 1858 disestablishments, Former territories of the United States
Constitution of Australia	Government of Australia, Constitutions
Wildlife management	Ecology
Drift velocity	Velocity
Alex Auld	1981 births, American Hockey League players, Boston Bruins players, Canadian ice hockey goaltenders, Dallas Stars players, ECHL players, Florida Panthers players, Ice hockey people from Alberta, Living people, Ontario Hockey League players, Ottawa Senators players, People from Thunder Bay, Phoenix Coyotes players, Vancouver Canucks players
Grove (nature)	Trees
Igor Sikorsky	1889 births, 1972 deaths, Russian people, Aviators, Eastern Orthodox Christians, Russian inventors, American inventors
Food poisoning	Illnesses, Food and drink
Rungrado May Day Stadium	Stadiums in Asia, Pyongyang, Buildings and structures in Korea, 1989 establishments in Asia, Establishments in North Korea
Badwater Basin	Geography of California, Drainage basins
Brian Campbell	1979 births, Living people, Buffalo Sabres players, Canadian ice hockey defencemen, Chicago Blackhawks players, Florida Panthers players, San Jose Sharks players, Stanley Cup champions, Ice hockey people from Ontario, American Hockey League players, Ontario Hockey League players, Memorial Cup winners, Lady Byng Memorial Trophy winners
Bush Doctrine	Politics of the United States
Truman Doctrine	Cold War, 1947 in the United States
God Defend New Zealand	National anthems, New Zealand
Troy Hudson	1976 births, Living people, People from Carbondale, Illinois, African-American basketball players, Sportspeople from Illinois, Golden State Warriors players, Los Angeles Clippers players, Minnesota Timberwolves players, Orlando Magic players, Utah Jazz players, American basketball players
Target Center	Target Corporation, National Basketball Association, Sports buildings in Minneapolis, Minnesota, 1990 establishments in the United States, 1990s establishments in Minnesota
John Joseph Woods	1849 births, 1934 deaths, People from Tasmania, New Zealand people, Composers, Australian composers
FC Twente	Dutch football clubs, Enschede
James and the Giant Peach (movie)	1996 movies, Disney animated movies, Movies based on books, English-language movies
Eddie Griffin (basketball)	1982 births, 2007 deaths, African-American basketball players, Houston Rockets players, Minnesota Timberwolves players, Sportspeople from Philadelphia, Pennsylvania, American basketball players
Target Field	Target Corporation, Major League Baseball venues, Sports buildings in Minneapolis, Minnesota, Minnesota Twins, 2010 establishments in the United States, 21st-century establishments in Minnesota
Xcel Energy Center	2000 establishments in the United States, Saint Paul, Minnesota, Sports buildings in the United States, Buildings and structures in Minnesota, 21st-century establishments in Minnesota
Honeycrisp	Apples
Tom Pyatt	1987 births, American Hockey League players, Canadian ice hockey centres, ECHL players, Ice hockey people from Ontario, Living people, Montreal Canadiens players, Ontario Hockey League players, Ottawa Senators players, People from Thunder Bay, Swedish Hockey League players, Tampa Bay Lightning players
Paper mill	Manufacturing buildings, Industries, Paper
Louise Glück	1943 births, Living people, American Nobel Prize winners, American poets, Columbia University alumni, Jewish American academics, Jewish American writers, Jewish Nobel Prize winners, Pulitzer Prize winners, Writers from New York City
Sailing	Sailing, Summer Olympic sports
Ben Gibbard	1976 births, Living people, Singers from Washington
Danny Lennon	1970 births, Living people, Irish footballers
Chip Ganassi Racing	NASCAR, IndyCar Series
Ishmaelites	Arab world, Old Testament people, History of the Middle East, Semitic peoples
SOAP	Internet protocols
Jamaica, Land We Love	Jamaica, National anthems, 1962 establishments in North America, 1960s establishments in Jamaica
Bethel, Maine	Cities in Maine, 1796 establishments in the United States, 1790s establishments in Maine
List of Madonna tours	Madonna (entertainer), Concert tours, Music-related lists
Usain Bolt	1986 births, Living people, 2012 Summer Olympics, Jamaican sportspeople, Male athletes, Olympic gold medalists, Sprinters
Ghebaleh	cities in Lebanon
Cinchona pubescens	Rubiaceae, Ecuador
International Friendship Day	Holidays
Joseph Merrick	1862 births, 1890 deaths, Accidental deaths in the United Kingdom, English entertainers, People from Leicester
John Logie Baird	1888 births, 1946 deaths, Cardiovascular disease deaths in England, Deaths from stroke, Scottish inventors, Scottish scientists
The Co-operative Food	Supermarkets of the United Kingdom
Co-operative Group	Business
Somerfield	Supermarkets of the United Kingdom, Defunct companies of the United Kingdom, 1875 establishments in the United Kingdom, 2009 disestablishments in the United Kingdom
Alvin and the Chipmunks (movie)	American comedy movies, 2007 movies, 20th Century Fox movies, Alvin and the Chipmunks movies
AIDS orphan	HIV/AIDS
Hejaz	Geography of Saudi Arabia
Endianness	Microprocessor design
Mercedes AMG High Performance Powertrains	Formula One engine manufacturers
Age of majority	Legal terms
Parvicursor	Coelurosaurs, Fossils, Cretaceous dinosaurs
Caenagnathasia	Oviraptorosauria, Fossils
Anchiornis	Coelurosaurs, Jurassic dinosaurs
Šumadija	Šumadija
New York Hall of Science	Museums in New York City, 1964 establishments in New York (state), Queens (New York City)
Guadarrama	Municipalities in the Community of Madrid
Cia-Cia language	Austronesian languages
Elmer Gedeon	1917 births, 1944 deaths, American baseball players, American military personnel of World War II, Burials at Arlington National Cemetery, Major League Baseball players, Military people killed in World War II, Purple Heart recipients, Sportspeople from Cleveland, Ohio
Scott Hall	1958 births, American murderers, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Florida, Total Nonstop Action Wrestling alumni, WWE Hall of Fame
August Rush	2007 drama movies, American drama movies, Movies set in California
Wikimania	Wikimedia, 2005 establishments
Bob the Builder	Channel 5 (UK) television programmes, 1999 television series debuts, 1990s television series, 2000s television series, 2010s television series, 2011 television series endings, Children's television series, PBS Kids shows, Television characters, CBeebies
Free license	Licenses, Free content
Padlock	Locks
Market economy	Economics
Mayra Verónica	1980 births, Living people, American models, American singers, Cuban musicians, Latin singers, People from Havana
Epidexipteryx	Coelurosaurs, Fossils, Jurassic dinosaurs
Driver	Vehicles
Taylor Lautner	1992 births, Living people, Actors from Michigan, American movie actors, American voice actors, Actors from Grand Rapids, Michigan
Hanyu Shuiping Kaoshi	Chinese language
Foxtrot	Ballroom dances
United Service Organizations	United States Army, 1941 establishments in the United States
Symphony No.8 "Symphony of a Thousand" (Mahler)	Symphonies, Compositions by Gustav Mahler, Faust
Simon Boccanegra	Compositions by Giuseppe Verdi, Operas
Fire hydrant	Fire
Betty Grable	1916 births, 1973 deaths, Actors from St. Louis, Missouri, American dancers, American movie actors, American television actors, Cancer deaths in California, Deaths from lung cancer, Singers from Missouri
Geyser	Geysers
Charles Mackerras	1925 births, 2010 deaths, People from Schenectady, New York, Conductors, Grammy Award winners, Oboists, Order of Australia, Gilbert and Sullivan
Renault Mégane	Renault automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
Ryan Atwood	Television characters
Renault Laguna	Renault automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
Tata Indica	1990s automobiles, 2000s automobiles, 2010s automobiles
Market capitalization	Business, Legal terms
Vernon and Irene Castle	People from Norwich, English dancers, English entertainers, People from New Rochelle, New York, Models from New York, American dancers, American entertainers, Vaudeville performers, 1887 births, 1918 deaths, 1893 births, 1969 deaths
Fiat Stilo	Fiat automobiles, 2000s automobiles, 2010s automobiles
Fiat Doblò	Fiat automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
Payment	Money, Finance, Commerce
Pedro Martinez	1971 births, Living people, Dominican Republic sportspeople
Remy Zero	American rock bands, Post-grunge bands, Musical groups from Alabama, Entertainers from Birmingham, Alabama
Matthew Broderick	1962 births, Living people, Actors from Manhattan, American movie actors, American stage actors, American television actors, American voice actors, Jewish American actors, Tony Award winning actors
Everyone Says I Love You	1990s musical movies, 1996 comedy movies, American musical comedy movies, Movies directed by Woody Allen, English-language movies
Hurricane Allen	Hurricanes in Mexico, Deadly storms, Hurricanes in the United States, 1980, 1980s in Mexico, 1980s in Texas
Housecleaning	Home
Tom Welling	1977 births, Living people, American movie actors, American television actors, Actors from New York
Make Way for Ducklings	1941 books, English-language picture books
Sequence dance	Dance types
Škoda Felicia	Škoda automobiles, 1990s automobiles, 2000s automobiles
Minos	People in Greek mythology
Paso doble	Latin dances, Music genres, Spanish culture
Daedalus	People in Greek mythology
Emergency medical dispatcher	Medical emergencies
Santa Cruz, Chile	Cities in Chile, Settlements in the Region of O'Higgins
Bircham International University	1992 establishments
Drew Hankinson	1983 births, Former WWE wrestlers, Living people, Sportspeople from Maryland, Total Nonstop Action Wrestling alumni
Emirates (airline)	Airlines of the Middle East, United Arab Emirates
San Jose State Spartans	Sports clubs, Western Athletic Conference, Sports in California
Mossad	Mossad
Fiat Idea	Fiat automobiles, Front wheel drive vehicles, 2000s automobiles, 2010s automobiles
Fiat Fiorino	Fiat automobiles, 1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
DC Shoes	American clothing companies, 1993 establishments in the United States
Tigger	Characters in written fiction, Fictional animals, Disney characters, Kingdom Hearts characters
Brewer, Maine	Towns in Maine
Curt Hawkins and Zack Ryder	WWE teams and stables
Pump action shotgun	Shotguns
Jacob Black	Characters in written fiction, Fictional American people, Fictional characters introduced in 2005, Movie characters, Science fiction, Washington (U.S. state)
Living room	Home, Rooms
Winter swimming	Fitness, Survival skills, Water sports, Swimming
Zombieland	2009 comedy movies, 2009 horror movies, 2000s adventure movies, 2000s road movies, American adventure movies, American comedy movies, American horror movies, American road movies, Comedy horror movies, English-language movies, Screenplays by Paul Wernick, Screenplays by Rhett Reese, Zombie movies, Post-apocalyptic movies
Dragunov sniper rifle	Rifles
Alyson Stoner	1993 births, Living people, American movie actors, American television actors, Disney actors, American dancers, Actors from Ohio, People from Toledo, Ohio
Woody Harrelson	1961 births, Living people, Actors from Texas, American movie actors, American television actors, People acquitted of crimes, Vegetarians, People from Midland, Texas
Death at a Funeral (2010 movie)	2010 movies, 2010s comedy movies, English-language movies, Movies directed by Neil LaBute
Persian cat	Cat breeds
Botanical garden	Botanical gardens
Pentateuch	Old Testament books
Butt plug	Human sexuality
Padang	Cities in Indonesia, 1669 establishments, Establishments in Indonesia, 17th century establishments in Asia
Australian Grand Prix	Formula One Grands Prix, 1985 establishments in Australia
Eschatology	Eschatology
SEAT Altea	SEAT automobiles, 2000s automobiles, 2010s automobiles
SEAT Córdoba	SEAT automobiles, 1990s automobiles, 2000s automobiles
SEAT León	SEAT automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
List of governors of California	Lists of governors, Governors of California, California-related lists
Malaysian Grand Prix	Formula One Grands Prix
Alfa Romeo 155	Alfa Romeo automobiles, 1990s automobiles
Fragments (movie)	2008 movies, 2000s crime drama movies, English-language movies, American independent movies
Chinese Grand Prix	Formula One Grands Prix
Audi A2	Audi automobiles, 1990s automobiles, 2000s automobiles
Volkswagen Golf Mk4	Volkswagen Golf, 1990s automobiles, 2000s automobiles
Volkswagen Golf Mk3	Volkswagen Golf, 1990s automobiles, 2000s automobiles
Frederick Russell Burnham	1861 births, 1947 deaths, American activists, American explorers, British military people, Majors, People from Minnesota, People of the Boer Wars, Scouting
Volkswagen Golf Mk5	Volkswagen Golf, 2000s automobiles
OS/2	Operating systems
Puffin	Seabirds, Charadriiformes
Dance Flick	2009 comedy movies, 2009 movies, American musical comedy movies, 2000s parody  movies, 2000s teen comedy  movies, American movies, American musical comedy  movies, American parody  movies, American teen comedy  movies, English-language  movies, Movies set in Manhattan, Movies set in New York City
Quickstep	Ballroom dances
Steve Passmore	1973 births, American Hockey League players, Canadian ice hockey goaltenders, Chicago Blackhawks players, Edmonton Oilers players, Ice hockey people from Ontario, Kamloops Blazers players, Living people, Los Angeles Kings players, People from Thunder Bay, Tri-City Americans players, Victoria Cougars (1971–94) players, ECHL players, International Hockey League (1945–2001) players, Memorial Cup winners
Waltz (International)	Ballroom dances
The Arrogant Worms	Canadian musical groups, Musical groups established in 1991, 1991 establishments in Canada
Turkish Grand Prix	Formula One Grands Prix
Arn Anderson	1958 births, Former WWE wrestlers, Living people, Sportspeople from Charlotte, North Carolina, WWE Hall of Fame
Absolut Vodka	Alcoholic spirits
Naveed (album)	1994 albums, Our Lady Peace albums, Debut albums, Rock albums
Clumsy (album)	1997 albums, Our Lady Peace albums
Happiness... Is Not a Fish That You Can Catch	1999 albums, Our Lady Peace albums
Tracking (education)	Education
Declaration of Montreal	LGBT, Human rights
Basshunter	1984 births, Living people, People acquitted of sex crimes, Celebrity Big Brother contestants, Swedish singers, Swedish record producers, DJs, Electronic musicians, Pop musicians, Basshunter
James Yun	American professional wrestlers, 1981 births, Sportspeople from Los Angeles, California, Former WWE wrestlers, Living people
Lindsey Vonn	1984 births, Living people, 2002 Winter Olympics, 2006 Winter Olympics, 2010 Winter Olympics, American Olympic gold medalists, American Olympic silver medalists, American skiers, Sportspeople from Minnesota
Gregory Helms	1974 births, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from North Carolina, American bloggers
Natalya (wrestler)	1982 births, Living people, Female professional wrestlers, Canadian professional wrestlers, People from Calgary
Godsmack	American heavy metal bands, American hard rock bands
Monsieur Pierre	French dancers, 1963 deaths, 1890s births
Nazirite	Bible
Imperial Society of Teachers of Dancing	Dance
Arthur Murray	1895 births, 1991 deaths, Naturalized citizens of the United States, American dancers, Businesspeople from New York City
Occupational Safety and Health	Social sciences, Health
Suraj Narredu	Living people, 1985 births, Indian sportspeople, Equestrians
The Three Caballeros	1944 movies, Disney animated movies, American family movies, American musical movies, Movies composed by Oliver Wallace
Protocarnivorous plant	Plants
Nomar Garciaparra	1973 births, American League All-Stars, Baseball players from California, Boston Red Sox players, Chicago Cubs players, Living people, Los Angeles Dodgers players, Major League Baseball broadcasters, National League All-Stars, Oakland Athletics players, People from Whittier, California
Perez Hilton	Bloggers, Celebrity Big Brother contestants, Democrats (United States), Gay men, LGBT people from Florida, LGBT writers, Writers from Miami, Florida, 1978 births, Living people, American Internet celebrities, American bloggers
Hook-handed man	A Series of Unfortunate Events
Los Santos Province	Provinces of Panama
Andy Dick	1965 births, Living people, Actors from South Carolina, American LGBT people, American movie actors, American radio personalities, American television actors, American television personalities, Comedians from South Carolina, LGBT actors, LGBT comedians, People from Charleston, South Carolina
Anthony Norris	1963 births, Living people, African-American wrestlers, American professional wrestlers, Sportspeople from Indiana, Former WWE wrestlers
Rikishi (wrestler)	1965 births, American professional wrestlers, Living people, Sportspeople from San Francisco, WWE Hall of Fame
Cryme Tyme	WWE teams and stables
Road Dogg	1969 births, Living people, American professional wrestlers, Former WWE wrestlers, Sportspeople from Georgia (U.S. state), Total Nonstop Action Wrestling alumni, People from Marietta, Georgia
Epic Movie	2007 comedy movies, 2000s parody movies, American parody movies, English-language movies, 20th Century Fox movies
Keloid	Integumentary system
Coconut cake	Cakes
Evan Bourne	1983 births, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from St. Louis, Missouri, Total Nonstop Action Wrestling alumni
Honda Racing F1	Formula One constructors, Formula One engine manufacturers
Emma Stone	1988 births, Living people, Actors from Arizona, American movie actors, American television actors, People from Scottsdale, Arizona, American Lutherans, People's Choice Award winners
Rick Pitino	College basketball coaches, National Basketball Association coaches, 1952 births, Living people, Sportspeople from New York City
Ben Coates	1969 births, Living people, Baltimore Ravens players, New England Patriots players
The Royal Ballet	Ballet companies
Money in the Bank (2010)	2010 in American television, 2010 in professional wrestling, Sports in Kansas City, Missouri, WWE Money in the Bank, 2010 in Missouri, History of Kansas City, Missouri, July events
Layla El	1978 births, English dancers, English professional wrestlers, Female professional wrestlers, Living people, Sportspeople from London
Eve Torres	1984 births, Living people, American professional wrestlers, Female professional wrestlers, Former WWE wrestlers, Sportspeople from Denver, Colorado
WWF Over the Edge	World Wrestling Entertainment pay-per-view events, 1998 establishments, 1999 disestablishments
False protagonist	Fiction
Solifugae	Arachnids
Eresus	Araneomorphae
Shoichi Funaki	1968 births, Living people, Former WWE wrestlers, Japanese professional wrestlers, Sportspeople from Tokyo
David Otunga	1980 births, American lawyers, American professional wrestlers, American television actors, Living people, People from Elgin, Illinois, Sportspeople from Illinois, WWE wrestlers
Abc notation	Music technology
Bread roll	Breads
MP-40	Submachine guns
Racial Harmony Day	Singapore, Holidays, Race
Jive (dance)	African-American history, Latin dances
Imperial Vengeance	British musical groups, English heavy metal bands
Albuquerque, New Mexico	1700s establishments in North America, 1706 establishments, 18th-century establishments in New Spain, Albuquerque, New Mexico, County seats in New Mexico
The Bella Twins	1983 births, Living people, Sportspeople from San Diego, California, Female professional wrestlers, Twin people from the United States, WWE wrestlers
Wade Barrett	1980 births, Living people, English professional wrestlers, People from Preston, Lancashire, Sportspeople from Lancashire, WWE wrestlers
Royal Oak, Michigan	Cities in Michigan
Dirge	Musical forms
Benediction	Christian genres
Diane Kruger	Satellite Award winners, Living people, 1976 births, Actors from Lower Saxony, German models, German movie actors, German television actors
Diagnostic and Statistical Manual of Mental Disorders	Medical manuals
B cell	Immunology, Blood cells
Performing arts	Performing arts, Non-verbal communication
Steve Brookstein	British jazz musicians, British soul musicians, English singers, Musicians from London, The X Factor winners, 1968 births, Living people
Albert Roussel	1869 births, 1937 deaths, French composers, People from Hauts-de-France
Troy (movie)	2004 movies, 2000s action movies, 2000s war movies, American action movies, American epic movies, American war movies, British action movies, British war movies, Maltese movies, Movies directed by Wolfgang Petersen, Movies based on Greek and Roman mythology
Wolfgang Petersen	1941 births, Living people, German movie directors, German movie producers, German screenwriters, People from Emden, Television directors, Television producers, Television writers
Emden	Port cities and towns of the North Sea
Gabor Acs	1926 births, Living people, Architects, Hungarian people
Table football	Football
Keith Magnuson	1947 births, 2003 deaths, Canadian ice hockey coaches, Canadian ice hockey defencemen, Chicago Blackhawks players, Ice hockey people from Saskatchewan, National Hockey League broadcasters, Saskatoon Blades players
Heidi Montag	Actors from Colorado, American models, American television actors, American television personalities, Celebrity Big Brother contestants, I'm a Celebrity...Get Me Out of Here! contestants, Singers from Colorado, 1986 births, Living people
Lauren Conrad	1986 births, Living people, Models from California, American bloggers
Spencer Pratt	1983 births, Living people, Celebrity Big Brother contestants, Participants in American reality television series, People from Los Angeles, California, Television personalities from California
Training Day	2001 crime movies, 2001 drama movies, 2001 thriller movies, 2000s crime drama movies, 2000s crime thriller movies, 2000s drama thriller movies, Academy Award winning movies, American crime drama movies, American crime thriller movies, American drama thriller movies, American gangster movies, Antisocial personality disorder in fiction, English-language movies, Film noir, Movies set in Los Angeles, California
Tosh.0	Comedy television series, 2000s American television series, English-language television programs
Daniel Tosh	Comedians from Florida, Living people, 1975 births, American television presenters
Veil	Culture, Human communication, Headgear
Anne Wills	1944 births, Living people, Australian television presenters, People from Victoria (Australia), Australian radio personalities
1240s	1240s
Asian tiger mosquito	Flies
French Island (Victoria)	Islands of Australia, Geography of Victoria, Australia
Leni Riefenstahl	1902 births, 2003 deaths, Actors from Berlin, German movie actors, German movie directors, German movie producers, German screenwriters
Olympia (1938 movie)	Sports movies, 1938 movies
Carbon paper	Paper
Billy Butler	Kansas City Royals players, 1986 births, Living people, American baseball players, Sportspeople from Florida
Karen Horney	1885 births, 1952 deaths, German psychiatrists
Aryan race	Race, Nazism, Indo-European
Eurovision Song Contest 2011	2011 in music, 2011 in Germany, Düsseldorf, Eurovision Song Contest, May 2011 events
Keynesian economics	Economic theories
Kaiser Chiefs	2000 establishments in England, 2000s British music groups, 2010s British music groups, Alternative rock bands, English rock bands, Leeds, Musical groups established in 2000, Musical groups from Yorkshire
Rob Zombie	1965 births, American rock singers, Heavy metal musicians, Living people, Movie directors from Massachusetts, Movie producers from Massachusetts, Singers from Massachusetts, Screenwriters from Massachusetts, People from Haverhill, Massachusetts
Elam	Mesopotamia, History of Iran
Dental braces	Orthodontics
Braces	Accessories
Doves (band)	1998 establishments in England, 1990s British music groups, 2000s British music groups, 2010s British music groups, Cheshire, English rock bands, Musical groups established in 1998
Shin-Soo Choo	1982 births, Living people, South Korean baseball players, Cincinnati Reds players, Cleveland Indians players, Seattle Mariners players, People from Busan, Texas Rangers players
Bryan Bickell	1986 births, Canadian ice hockey left wingers, Carolina Hurricanes players, Chicago Blackhawks players, Ice hockey people from Ontario, Living people, People with multiple sclerosis, Stanley Cup champions, American Hockey League players, Ontario Hockey League players
Khloé Kardashian	1984 births, Living people, American television personalities, Television personalities from Los Angeles, California, Participants in American reality television series, Kardashian family
Amar Ramasar	1981 births, Living people, Ballet dancers
2008 Kosovo declaration of independence	Declarations of independence
Equal justice under law	Law
Six-hour clock	Clocks
Grupo Santander	Banks, 1857 establishments in Europe, Cantabria, Companies of Spain
Canteen (bottle)	Containers
Canteen (place)	Restaurants
Surfboard	Sports equipment, Surfing
Škoda Yeti	Škoda automobiles, 2000s automobiles, 2010s automobiles, Sport utility vehicles
Hungarian Grand Prix	Formula One Grands Prix
Volkswagen Golf Mk6	Volkswagen Golf, 2000s automobiles, 2010s automobiles
NBC Symphony Orchestra	American orchestras, NBC, 1937 establishments, 1954 disestablishments
Gabriel Pierné	1863 births, 1937 deaths, French composers
The Flash	DC Comics superheroes, Comic books
Terry Wogan	1938 births, 2016 deaths, Deaths from cancer of unknown primary origin, BBC radio presenters, BBC television presenters, British entertainers, British radio personalities, British television personalities, Cancer deaths in England, Disease-related deaths in Buckinghamshire, Eurovision Song Contest presenters, Irish television presenters, Naturalised citizens of the United Kingdom, People from Limerick
Wake Up to Wogan	Radio programs
Attica Correctional Facility	Prisons, Buildings and structures in New York
Happy slapping	Types of crime
Eni	Companies of Italy, 1953 establishments in Europe, 1950s establishments in Italy
Mercedes GP	Formula One constructors, Formula One current, Formula One engine manufacturers
Germania (painting)	19th century paintings, National personifications
Philipp Veit	1793 births, 1877 deaths, German painters
Pöcking	Municipalities in Bavaria, Starnberg (district)
BMW Compact	BMW, 1990s automobiles, 2000s automobiles, Rear wheel drive vehicles
Volkswagen Jetta Mk2	Volkswagen automobiles, 1980s automobiles, 1990s automobiles
Alfa Romeo 159	Alfa Romeo automobiles, 2000s automobiles, 2010s automobiles
Damselfly	Odonata
Klinefelter syndrome	Syndromes, Trisomies
Rumba	Dance music, Latin dances
The Gadget Show	2004 British television series debuts, 2000s British television series, 2010s British television series, Channel 5 (UK) television programmes, English-language television programs
Bullfighting	Sport in Spain, Animal rights, Sports involving animals, Spanish culture
Casual sex	Human sexuality
Ice algae	Snow, Algae
Scuderia Toro Rosso	Formula One constructors, Formula One current
John Deere	1804 births, 1886 deaths, American inventors, Businesspeople from Illinois, American chief executives, American engineers, American mayors, Politicians from Vermont, Businesspeople from Vermont, Politicians from Illinois
Quena	Flutes, South American culture, World music
Fedor Emelianenko	1976 births, Living people, Russian sportspeople, Martial artists
Gyeonggi Province	Provinces of South Korea
Gondwana	Gondwana
Marc Staal	1987 births, Canadian ice hockey defencemen, Ice hockey people from Ontario, Living people, New York Rangers players, People from Thunder Bay, American Hockey League players, Ontario Hockey League players
Macrophage	Cells, Immunology
Granulocyte	Immunology, Blood cells
To Surveil with Love	The Simpsons episodes, 2010 television episodes
