Appomattox Court House	American Civil War
Nobuhisa Kobayashi	1983 births, Living people, Footballers from Tochigi Prefecture
Junya Tanaka (footballer, born 1983)	1983 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Gábor Csupó	1952 births, Living people, Hungarian people, Animators
Katherine Paterson	1932 births, Living people
Bridge to Terabithia (novel)	Children's books, 1977 books, Fantasy books, Newbery Medal winning books
Akira Takeuchi	1983 births, Living people, Footballers from Kanagawa Prefecture
Kosuke Yamamoto	1989 births, Living people, Footballers from Shizuoka Prefecture
Satoshi Hashida	1981 births, Living people, Footballers from Kyoto
Shohei Abe	1983 births, Living people, Footballers from Kanagawa Prefecture
Takuya Muguruma	1984 births, Living people, Footballers from Kyoto
Takumi Wada	1981 births, Living people, Footballers from Shizuoka Prefecture
Shinji Kagawa	1989 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, J1 League players, J2 League players, Cerezo Osaka players, Manchester United F.C. players, 2014 FIFA World Cup players, 2018 FIFA World Cup players, 2013 FIFA Confederations Cup players, Footballers at the 2008 Summer Olympics
Tomohiro Tsuda	1986 births, Living people, Footballers from Gifu Prefecture
Hurricane Elena	1985 in the United States, Category 3 Atlantic hurricanes, Hurricanes in the United States, 20th century in Cuba, 1980s in Florida, 20th century in Alabama, 20th century in Mississippi, 1980s in Louisiana
Wu-Tang Clan	Hip hop bands, 1990s American music groups, 1992 establishments in New York (state)
MICR	Data input
Computer law	Law, Computers
Dale Earnhardt Jr.	1974 births, Living people, Daytona 500 winners, People from Kannapolis, North Carolina, American racecar drivers, Sportspeople from North Carolina
Aigle Azur	Airlines of France
TAAG Air Angola	Airlines of Africa
Sarcoidosis	Diseases
Neurosarcoidosis	Diseases
Prednisone	Drugs
Europe Airpost	Airlines of France
Corsairfly	Airlines of France, 1981 establishments in Europe, 1980s establishments in France
Italian irredentism in Istria	History of Italy
Perestroika	1980s in the Soviet Union, Mikhail Gorbachev, 1986 establishments, 1980s establishments in the Soviet Union
Henri Verneuil	1920 births, 2002 deaths, French movie directors, Armenian movie directors
Armen Dzhigarkhanyan	1935 births, 2020 deaths, Deaths from renal failure, Deaths from cardiac arrest, Russian movie actors, Russian stage actors, Russian television actors, Armenian actors
Gettysburg, Pennsylvania	County seats in Pennsylvania, Gettysburg, Pennsylvania, Boroughs in Pennsylvania
Gettysburg National Cemetery	Cemeteries in the United States, National cemeteries, Military monuments and memorials in the United States, Gettysburg, Pennsylvania, 1863 establishments in the United States, 1860s establishments in Pennsylvania
Atsushi Ito	1983 births, Living people, Footballers from Yamaguchi Prefecture
Hibiki Kato	1987 births, Living people, Footballers from Gifu Prefecture
Tomoya Kumagai	1988 births, Living people, Footballers from Akita Prefecture
M&Ms	Candy
Kyohei Horikawa	1986 births, Living people, Footballers from Ehime Prefecture
Mitsuki Ichihara	1986 births, Living people, Footballers from Chiba Prefecture
Yusuke Kawabuchi	1986 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Kosuke Nakahara	1987 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Taisuke Matsugae	1982 births, Living people, Footballers from Kagawa Prefecture
Ken Matsumoto	1987 births, Living people, Footballers from Kanagawa Prefecture
Reiichi Ikegami	1983 births, Living people, Footballers from Chiba Prefecture
Taishi Endo	1980 births, Living people, Footballers from Chiba Prefecture
Rychely	1987 births, Living people, Brazilian footballers
Yuki Uekusa	1982 births, Living people, Footballers from Chiba Prefecture
Tatsuya Suzuki (born in 1988)	1988 births, Living people, Footballers from Kanagawa Prefecture
Koji Nishimura	1984 births, Living people, Footballers from Mie Prefecture
Takuya Honda	1985 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Shimizu S-Pulse players, Kashima Antlers players, Montedio Yamagata players, FC Gifu players, Footballers at the 2008 Summer Olympics
Wataru Inoue	1986 births, Living people, Footballers from Shizuoka Prefecture
Art game	Types of video games, Video game genres
Yasuhiro Hiraoka	1986 births, Living people, Footballers from Shizuoka Prefecture
Yohei Takeda	1987 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Josimar Rodrigues Souza Roberto	1987 births, Living people, Brazilian footballers
Yuji Kimura	1987 births, Living people, Footballers from Tokyo Prefecture
Yuji Yabu	1984 births, Living people, Footballers from Kanagawa Prefecture
Drift mining	Mining
Yuki Fuji	1981 births, Living people, Footballers from Saitama Prefecture
2009–10 New Jersey Devils season	2009 in ice hockey, 2010 in ice hockey, National Hockey League team seasons, 2009 in the United States, 2010 in the United States, 21st century in New Jersey
2009–10 Calgary Flames season	2009 in ice hockey, 2010 in ice hockey, National Hockey League team seasons, 2009 in Canada, 2010 in Canada
Cosmic ray	Astrophysics, Nuclear physics
Cyclophosphamide	Drugs, Cancer treatment
Eilat	Spa towns, Ports and harbours of Israel, Eilat
Edwin H. Land	1909 births, 1991 deaths, American physicists, Scientists from Connecticut
San Francisco de Mostazal, Chile	Cities in Chile, Settlements in the Region of O'Higgins
Retarder	Trains
Janeite	Jane Austen
Sleep (operating system)	Computing
2008–09 Calgary Flames season	2008 in ice hockey, 2009 in ice hockey, National Hockey League team seasons, 2008 in Canada, 2009 in Canada
2007–08 Calgary Flames season	2007 in ice hockey, 2008 in ice hockey, National Hockey League team seasons, 2007 in Canada, 2008 in Canada
Histone	Molecular biology, Cell biology
Satoshi Hida	1984 births, Living people, Footballers from Mie Prefecture
Masato Okubo	1986 births, Living people, Footballers from Tokyo Prefecture
Mitsumasa Yoda	1977 births, Living people, Footballers from Tokyo Prefecture
Óscar López Hernández	1980 births, Living people, Spanish footballers
Heurelho Gomes	1981 births, Living people, Brazilian footballers
Alex Rodrigo Dias da Costa	1982 births, Living people, Brazilian footballers
Helton da Silva Arruda	1978 births, Living people, Brazilian association football goalkeepers
Carlo Mazzone	1937 births, Living people, Italian footballers, Sportspeople from Rome
Yuji Goto	1985 births, Living people, Footballers from Gifu Prefecture
Yūsuke Tanaka (born in April 1986)	1986 births, Living people, Footballers from Tokyo Prefecture
Jonathan de Guzmán	1987 births, Living people, Dutch footballers, Naturalised citizens of the Netherlands, Sportspeople from Toronto
Jiro Kamata	1985 births, Living people, Footballers from Tokyo Prefecture
Kengo Ishii	1986 births, Living people, Footballers from Hokkaidō Prefecture
Taku Akahoshi	1984 births, Living people, Footballers from Fukuoka Prefecture
Substrate (biochemistry)	Biochemistry
Maciej Rataj	Presidents of Poland, 1884 births, 1940 deaths, Activists, Legislative speakers, Murder victims
Fatty acid	Chemical compounds, Biochemistry
Repetitive strain injury	Disability
Debt consolidation	Economics
Prognosis	Medicine
Nephrectomy	Surgery
Prostatectomy	Surgery, Cancer treatment
Interleukin-2	Cancer treatment
Lymphoma	Cancer, Immunology, Lymphatic system
Primary central nervous system lymphoma	Brain tumors, Nervous system
Kya Dark Lineage	PlayStation 2 games, PlayStation 2-only games, 2003 video games
2008–09 Nashville Predators season	2008 in ice hockey, 2009 in ice hockey, Nashville Predators, National Hockey League team seasons, 2008 in the United States, 2009 in the United States, 2000s in Nashville, Tennessee
2007–08 Nashville Predators season	2007 in ice hockey, 2008 in ice hockey, Nashville Predators, National Hockey League team seasons, 2007 in the United States, 2008 in the United States, 2000s in Nashville, Tennessee
Darci Sprotte Neto	1987 births, Living people, Brazilian footballers
Daisuke Aono	1979 births, Living people, Footballers from Ehime Prefecture
Kosei Nakamura	1981 births, Living people, Footballers from Kumamoto Prefecture
Akihiro Kurihara	1985 births, Living people, Footballers from Gunma Prefecture
Yudai Suwa	1986 births, Living people, Footballers from Chiba Prefecture
Yuki Sakai (footballer, born 1985)	1985 births, Living people, Footballers from Shiga Prefecture
Shunichiro Zaitsu	1987 births, Living people, Footballers from Fukuoka Prefecture
Olivier Dacourt	1974 births, Living people, French footballers
Andranik Eskandarian	1951 births, Living people, Iranian footballers, Sportspeople from Tehran
Hironobu Haga	1982 births, Living people, Footballers from Miyagi Prefecture
Shinji Tsujio	1985 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Yuya Hikichi	1983 births, Living people, Footballers from Kagoshima Prefecture
Yusuke Inuzuka	1983 births, Living people, Footballers from Shizuoka Prefecture
Kazunori Yoshimoto	1988 births, Living people, Footballers from Tokyo Prefecture
Farnborough, Hampshire	Towns in Hampshire
List of chemistry topics	Chemistry lists
Late Heavy Bombardment	Moon, Earth, Impact craters, Hadean, Impact events
2008–09 Boston Bruins season	National Hockey League team seasons, 2008 in ice hockey, 2009 in ice hockey, 2008 in Massachusetts, 2009 in the United States, 2000s in Boston, Massachusetts
2007–08 Boston Bruins season	2007 in ice hockey, 2008 in ice hockey, National Hockey League team seasons, 2007 in Massachusetts, 2008 in Massachusetts, 2000s in Boston, Massachusetts
Rover 75	Rover automobiles, 1990s automobiles, 2000s automobiles
Brain tumor	Brain tumors, Cancer
The Black Cat	19th-century American short stories, Short stories by Edgar Allan Poe
Benzodiazepine	Drugs, Drugs used in psychiatry
Bacterial meningitis	Diseases caused by bacteria
Viral meningitis	Diseases caused by viruses, Diseases and disorders of the brain
Multiple myeloma	Cancer, Blood
Edward Everett	1794 births, 1865 deaths, Whig party (US) politicians, Governors of Massachusetts, United States senators from Massachusetts, United States representatives from Massachusetts, Harvard University faculty
NBA draft	National Basketball Association
Radiometric dating	Radiometric dating
Gerard López	1979 births, Living people, Spanish footballers
Tatsuya Okamoto	1986 births, Living people, Footballers from Shizuoka Prefecture
Takashi Fujii	1986 births, Living people, Footballers from Aichi Prefecture, Blaublitz Akita players
Go Nakamura	1986 births, Living people, Footballers from Gifu Prefecture
Toru Morino	1987 births, Living people, Footballers from Chiba Prefecture
Noboru Kohara	1983 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Sho Kamogawa	1983 births, Living people, Footballers from Oita Prefecture
Yusuke Sudo	1986 births, Living people, Footballers from Tokyo Prefecture
Shingo Wada	1987 births, Living people, Footballers from Shizuoka Prefecture
Tomoyasu Naito	1986 births, Living people, Footballers from Kanagawa Prefecture
Ryota Takahashi	1986 births, Living people, Footballers from Tokushima Prefecture
K–Ar dating	Archaeology, Radiometric dating
Ivan Leko	1978 births, Living people, Croatian footballers, Croatian football managers, People from Split
Jerko Leko	1980 births, Living people, Croatian footballers, Sportspeople from Zagreb
Uranium-lead dating	Radiometric dating
Daigo Watanabe	1984 births, Living people, Footballers from Nagasaki Prefecture
Genki Nagasato	1985 births, Living people, Footballers from Kanagawa Prefecture, Avispa Fukuoka players
Pedro Cea	1900 births, 1970 deaths, Uruguayan footballers, Uruguayan football managers, Sportspeople from Montevideo
Masato Yamazaki	1981 births, Living people, Footballers from Kyoto
Mälaren	Lakes of Sweden
Cadbury Creme Egg	Candy
Bevacizumab	Cancer treatment
Metastatic breast cancer	Cancer, Torso
Bone metastasis	Cancer, Diseases and disorders of bones
Hypercalcemia	Medical signs
Eoghan Quigg	British pop musicians, 1992 births, Living people
Imhotep	Ancient Egypt
Ablai Khan	1711 births, 1781 deaths, Asian military people, European military people, Kazakhstani people, Kings and queens
Turkmen Alabai	Dog breeds
Liver disease	Liver disease
Hepatocellular carcinoma	Cancer, Liver disease
NHL All-Star Game SuperSkills Competition	National Hockey League, 1990 establishments in North America
Henrik Sedin	1980 births, Art Ross Trophy winners, Hart Memorial Trophy winners, Living people, Swedish ice hockey players, Vancouver Canucks players, Twin people, Swedish Hockey League players, Ice hockey centres
Hepatoblastoma	Cancer, Liver disease
Smythe Division	National Hockey League divisions
Kansas City Scouts	Defunct National Hockey League teams, Sports in Kansas City, Missouri, 1974 establishments in the United States, 20th-century establishments in Missouri, 1976 disestablishments in the United States, 20th-century disestablishments in Missouri
Monikangana Dutta	1982 births, Living people, Indian actors, Indian models
Hideaki Ikematsu	1986 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Masataka Tamura	1988 births, Living people, Footballers from Okayama Prefecture
Diego Bastos Riberiro	1988 births, Living people, Brazilian footballers
Gary Caldwell	1982 births, Living people, Scottish footballers
Eduardo da Silva	1983 births, Living people, Croatian footballers
Hidetaka Ubagai	1951 births, Living people, Footballers from Hyōgo Prefecture
Christian Riganò	1974 births, Living people, Italian footballers
Ryuta Hara	1981 births, Living people, Footballers from Tokyo Prefecture
Yoshiki Maeda	1975 births, Living people, Footballers from Saga Prefecture
David Di Michele	1976 births, Living people, Italian footballers
Leandro Simioni	1974 births, Living people, Brazilian footballers
Goran Jurić	1963 births, Living people, Croatian footballers
Diamondback rattlesnake	Vipers, Reptiles of North America
David Trezeguet	1977 births, Living people, French footballers, People from Rouen
Hiroshi Jofuku	1961 births, Living people, Footballers from Tokushima Prefecture
Jun Ando	1984 births, Living people, Footballers from Shiga Prefecture
Junya Hosokawa	1984 births, Living people, Footballers from Saitama Prefecture
Koki Otani	1989 births, Living people, Footballers from Kumamoto Prefecture
Carambola	Tropical fruit
Kota Ogi	1983 births, Living people, Footballers from Gifu Prefecture
Skardu District	Districts of Gilgit-Baltistan
Astore District	Districts of Gilgit-Baltistan
Katra Tehsil	Tehsils of Jammu and Kashmir
Nowshera Tehsil	Tehsils of Jammu and Kashmir
Super Mario	Mario video games
Hawthorne, California	Hawthorne, California
Choa Rajgan	Villages in Pakistan
Langston University	Colleges and universities in Oklahoma, Historically black colleges and universities, 1897 establishments in the United States, 1890s establishments in Oklahoma Territory
Marques Haynes	1926 births, 2015 deaths, Sportspeople from Oklahoma, African-American basketball players, American basketball players
Southwestern Athletic Conference	NCAA Division I athletics conferences, 1920 establishments in the United States
Major League Baseball Most Valuable Player Award	Major League Baseball awards, Baseball lists, Lists of sportspeople, Most valuable player awards
Silver medal	Awards, Olympic Games
Cáhuil	Settlements in the Region of O'Higgins
Liceo Agustín Ross Edwards	Pichilemu, Schools in Chile
Derivative (mathematics)	Mathematical analysis
Ruminant	Mammals
Renault Tracer	Buses, Renault automobiles
Mercedes-Benz Sprinter	Rear wheel drive vehicles, Buses, Vans, Mercedes-Benz automobiles
Naoya Otaki	1984 births, Living people, Footballers from Yamagata Prefecture
Kenichi Yagara	1981 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Ryosuke Amo	1983 births, Living people, Footballers from Tokushima Prefecture
Yosuke Nozaki	1985 births, Living people, Footballers from Mie Prefecture
Josue Souza Santos	1987 births, Living people, Brazilian footballers
Joan Capdevila	1978 births, Living people, Spanish footballers
Shogo Sakurai	1984 births, Living people, Footballers from Kyoto
Mitsutada Ikeda	1984 births, Living people, Footballers from Saitama Prefecture
Kinoto Saito	1976 births, Living people, Footballers from Iwate Prefecture
Takafumi Kanazawa	1981 births, Living people, Footballers from Ibaraki Prefecture
Stelios Giannakopoulos	1974 births, Living people, Greek footballers
Daisuke Horiuchi	1985 births, Living people, Footballers from Yamagata Prefecture
Yuji Oe	1986 births, Living people, Footballers from Kyoto
Hayato Sasaki	1982 births, Living people, Footballers from Miyagi Prefecture
Kenjiro Ezoe	1982 births, Living people, Footballers from Okayama Prefecture
Bible version debate	Bible versions
1955 World Series	Major League Baseball World Series, 1955 in sports, Los Angeles Dodgers, New York Yankees, 1955 in the United States, 1950s in New York (state)
Second baseman	Baseball positions
Naoki Matsuda	1977 births, 2011 deaths, Footballers from Gunma Prefecture, Japan international footballers, J1 League players, Yokohama F. Marinos players, Matsumoto Yamaga FC players, 2002 FIFA World Cup players, 2001 FIFA Confederations Cup players, Footballers at the 1996 Summer Olympics, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players, Disease-related deaths in Japan, Deaths from heart failure
Splenomegaly	Diseases and disorders of the cardiovascular system
Nick Griffin	1959 births, Living people, Alumni of the University of Cambridge, Former MEPs, MEPs for the United Kingdom, Politicians from Hertfordshire, Politicians from Suffolk
Geoffrey Burbidge	1925 births, 2010 deaths, English astronomers, Astrophysicists, English physicists, English science writers, Alumni of University College London
Michael Scholz	1949 births, Living people, German composers, German musicians, Modern Talking
2008–09 Montreal Canadiens season	2008 in ice hockey, 2009 in ice hockey, National Hockey League team seasons, 2008 in Canada, 2009 in Canada
2007–08 Montreal Canadiens season	2007 in ice hockey, 2008 in ice hockey, National Hockey League team seasons, 2007 in Canada, 2008 in Canada
Radiation therapy	Cancer treatment
Dacarbazine	Cancer treatment
Ross Hotel	Pichilemu, Hotels
Liceo Santa Cruz	Schools in Chile
Chronic myeloid leukemia	Cancer, Blood disorders
Zoom (1972 TV series)	English-language television programs, Public Broadcasting Service, 1972 television series debuts, 1978 television series endings
Haboob	Winds, Severe weather
Food waste	Waste, Food and drink
Antonio Barragán	1987 births, Living people, Spanish footballers
Borja Oubiña	1982 births, Living people, Spanish footballers
Bojan Krkić	1990 births, Living people, Spanish footballers
Raúl Tamudo	1977 births, Living people, Spanish footballers
David Suazo	1979 births, Living people, Honduran footballers
Mauro Esposito	1979 births, Living people, Italian footballers
Genki Ota	1988 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Kazuyuki Otsuka	1982 births, Living people, Footballers from Kumamoto Prefecture
Christian Poulsen	1980 births, Living people, Danish footballers
Adalto Batista da Silva	1978 births, Living people, Brazilian footballers
Maxsandro Barbosa de Oliveira	1972 births, Living people, Footballers from Rio de Janeiro
Srđan Baljak	1978 births, Living people, Serbian footballers, People from Belgrade
Tatsuro Noda	1986 births, Living people, Footballers from Hokkaidō Prefecture
Fran Mérida	1990 births, Living people, Spanish footballers, Sportspeople from Barcelona
Hugo Ibarra	1974 births, Living people, Argentine footballers
Takashi Soejima	1988 births, Living people, Footballers from Kumamoto Prefecture
Ismaël Bangoura	1985 births, Living people, Guinean people, African footballers
Masato Koga	1970 births, Living people, Footballers from Shizuoka Prefecture
Hidetoshi Wakui	1983 births, Living people, Footballers from Tochigi Prefecture
Ewerthon	1981 births, Living people, Brazilian footballers
Juan Arango	1980 births, Living people, Venezuelan sportspeople, South American footballers
Marcelo Vieira	1988 births, Living people, Association football defenders, Association football full-backs, Footballers from Rio de Janeiro
Artem Milevskiy	1985 births, Living people, Ukrainian footballers
Tugay Kerimoğlu	1970 births, Living people, Turkish footballers
Hiroaki Namba	1982 births, Living people, Footballers from Okayama Prefecture
Kohei Usui	1979 births, Living people, Footballers from Kanagawa Prefecture
Masaki Iida	1985 births, Living people, Footballers from Ibaraki Prefecture
Lakhdar Belloumi	1958 births, Living people, Algerian footballers, Algerian football managers
Shenandoah Valley Academy	Schools in Virginia, 1908 establishments in the United States, 20th-century establishments in Virginia
Computer Misuse Act 1990	Computers, Acts of the Parliament of the United Kingdom
Acrobatics	Fitness, Gymnastics
David Aardsma	1981 births, Living people, American baseball players, Sportspeople from Colorado, San Francisco Giants players, Chicago Cubs players, Chicago White Sox players, Boston Red Sox players, Seattle Mariners players, Sportspeople from Denver, Colorado
Parliament Hill	Buildings and structures in Ottawa
Pine Gap	Northern Territory
Colleges and universities in Kansas	Colleges and universities in Kansas, Lists of colleges and universities
House of Romanov	House of Romanov
João Moutinho	1986 births, Living people, Portuguese footballers
Takuya Shiihara	1980 births, Living people, Footballers from Kagoshima Prefecture
Tomoya Hirayama	1985 births, Living people, Footballers from Fukuoka Prefecture
Daniele Bonera	1981 births, Living people, Italian footballers, Sportspeople from Lombardy, People from Brescia
Ricardo Quaresma	1983 births, Living people, Portuguese footballers, Sportspeople from Lisbon
Daisuke Akashi	1982 births, Living people, Footballers from Saga Prefecture
Koichi Sekimoto	1978 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Ryuki Kozawa	1988 births, Living people, Footballers from Aichi Prefecture
Paulino Alcántara	1896 births, 1964 deaths, Spanish footballers, Spanish football managers, Association football forwards
Masanori Tokita	1925 births, 2004 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Tanabe Mitsubishi Pharma SC players, Footballers at the 1956 Summer Olympics
Nuri Şahin	1988 births, Living people, Turkish footballers, Borussia Dortmund squad
Halil Altıntop	1982 births, Living people, People from Gelsenkirchen, Sportspeople from North Rhine-Westphalia, Turkish footballers
Hamit Altıntop	1982 births, Living people, People from Gelsenkirchen, Sportspeople from North Rhine-Westphalia, Turkish footballers
David Silva	1986 births, Living people, Spanish footballers, Manchester City F.C. players
Ángel Javier Arizmendi	1984 births, Living people, Spanish footballers, Sportspeople from Madrid
Khodadad Azizi	1971 births, Living people, Iranian footballers, Iranian football managers, 1998 FIFA World Cup players
Atsuga Shimizu	1972 births, Living people, Footballers from Yamanashi Prefecture
Yukio Tsuda	1917 births, 1979 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Urawa Red Diamonds players
Ko Arima	1917 births, Year of death missing, Japanese footballers, Japan international footballers
Nobuyuki Kato	1920 births, Year of death missing, Japanese footballers, Japan international footballers, Tanabe Mitsubishi Pharma SC players
Ken Noritake	1922 births, 1994 deaths, Japanese footballers, Japan international footballers
Hiroto Muraoka	1931 births, 2017 deaths, Footballers from Tokyo Prefecture, Japan international footballers
Osamu Yamaji	1929 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, Kashima Antlers players
Nobuo Fujishima	1950 births, Living people, Footballers from Akita Prefecture, Japan international footballers, Japan Soccer League players, NKK SC players
Masaru Akiba	1984 births, Living people, Footballers from Yamagata Prefecture
Takashi Hirajima	1982 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Tetsuya Ōkubo	1980 births, Living people, Footballers from Kanagawa Prefecture
Tomoya Kanamori	1982 births, Living people, Footballers from Mie Prefecture
Tomoyoshi Ono	1979 births, Living people, Footballers from Kanagawa Prefecture
Toshihiko Uchiyama	1978 births, Living people, Footballers from Kagoshima Prefecture
Yasuaki Oshima	1981 births, Living people, Footballers from Hyōgo Prefecture
Yoshizumi Ogawa	1984 births, Living people, Footballers from Tokyo Prefecture
Yuichi Shibakoya	1983 births, Living people, Footballers from Miyagi Prefecture
Yuji Rokutan	1987 births, Living people, Footballers from Kagoshima Prefecture, Avispa Fukuoka players
Coelenterata	Invertebrates
Ben & Jerry's	1978 establishments in the United States, American food companies, Burlington, Vermont, 20th-century establishments in Vermont
Choanoflagellate	Protista, Invertebrates, Minor phyla
Yoshitada Yamaguchi	1944 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Kozo Arai	1950 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players
Mitsuo Kamata	1937 births, Living people, Footballers from Ibaraki Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Nobuo Kawakami	1947 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Hiroshi Katayama	1940 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Masafumi Yokoyama	1956 births, Living people, Footballers from Nagasaki Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Michihiro Ozawa	1932 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players, Footballers at the 1956 Summer Olympics
Mitsuo Watanabe	1953 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players
Tetsuo Sugamata	1957 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Yasuo Takamori	1934 births, Year of death missing, Footballers from Okayama Prefecture, Japan international footballers, Japan Soccer League players, NKK SC players, Footballers at the 1956 Summer Olympics
Placozoa	Minor phyla
Sipuncula	Minor phyla, Annelids
Ebbe Sand	1972 births, Living people, Danish footballers
Mattias Jonson	1974 births, Living people, Swedish footballers
So Far Gone	2009 albums, Drake albums
Danny Mills	1977 births, 2002 FIFA World Cup players, English footballers, Living people, Manchester City F.C. players, Sportspeople from Norfolk, Premier League players
2008–09 Chicago Blackhawks season	2008 in ice hockey, 2009 in ice hockey, National Hockey League team seasons, 2000s in Chicago, 2008 in Illinois, 2009 in Illinois
2007–08 Chicago Blackhawks season	2007 in ice hockey, 2008 in ice hockey, National Hockey League team seasons, 2000s in Chicago, 2007 in Illinois, 2008 in Illinois
Table (information)	Typography, Statistics, Graphics, Genres
Siphon (mollusc)	Molluscs
2008–09 New Jersey Devils season	2008 in ice hockey, 2009 in ice hockey, National Hockey League team seasons, 2000s in New Jersey, 2008 in the United States, 2009 in the United States
2007–08 New Jersey Devils season	2007 in ice hockey, 2008 in ice hockey, National Hockey League team seasons, 2007 in New Jersey, 2008 in the United States
2008–09 Washington Capitals season	2008 in ice hockey, 2009 in ice hockey, National Hockey League team seasons, 2000s in Washington, D.C.
2007–08 Washington Capitals season	2007 in ice hockey, 2008 in ice hockey, National Hockey League team seasons, 2000s in Washington, D.C.
2008–09 Tampa Bay Lightning season	2008 in ice hockey, 2009 in ice hockey, National Hockey League team seasons, 2008 in Florida, 2009 in Florida, 2000s in Tampa, Florida, Tampa Bay Lightning
2007–08 Tampa Bay Lightning season	2007 in ice hockey, 2008 in ice hockey, National Hockey League team seasons, 2007 in Florida, 2008 in Florida, 2000s in Tampa, Florida, Tampa Bay Lightning
Streaking	Nudity
Vanishing point	Art
Catherine Spence	1825 births, 1910 deaths, Australian novelists, British activists, British journalists, British novelists, Scottish writers, Australian activists, Australian journalists
2002 Commonwealth Games	Commonwealth Games, 2002 in Europe, 2000s in Manchester
Desso GrassMaster	Sports
Table (furniture)	Basic English 850 words, Furniture
Saitama Prefecture	Saitama Prefecture, Prefectures of Japan
Manatee Palms Youth Services	Hospitals in the United States, Buildings and structures in Florida, 2007 disestablishments in the United States, 2000s disestablishments in Florida, 2007 establishments in the United States, 2000s establishments in Florida, 2010 disestablishments in the United States, 2010s disestablishments in Florida
Tatsuhiko Seta	1952 births, Living people, Footballers from Iwate Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Tadahiko Ueda	1947 births, 2015 deaths, Footballers from Kyoto Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Toshio Matsuura	1955 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, Japan Soccer League players, NKK SC players
Yasuyuki Kuwahara	1942 births, 2017 deaths, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Lisandro López	1983 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Carlos Jorge Neto Martins	1982 births, Living people, Portuguese footballers
Gonzalo Higuaín	1987 births, Living people, Argentine footballers, People from Brest, France
Raul Meireles	1983 births, Living people, Portuguese footballers, People from Porto
Fabio Cudicini	1935 births, Living people, Italian association football goalkeepers, People from Trieste
Cristian Hidalgo	1983 births, Living people, Spanish footballers, Sportspeople from Barcelona
Joan Verdú	1983 births, Living people, Spanish footballers, Sportspeople from Barcelona
Guillermo Franco	1976 births, Living people, Mexican footballers
Thomas Vermaelen	1985 births, Living people, Belgian footballers
Mauro Rosales	1981 births, Living people, Argentine footballers
Steven Pienaar	1982 births, Living people, South African footballers, People from Johannesburg
Japanese food	Japanese food
Pointe du Hoc	World War II, Normandy
Welsh Premier League	Football leagues in the United Kingdom, Football in Wales, English Football League, 1992 establishments in the United Kingdom, 1990s establishments in Wales
The New Saints F.C.	Welsh football clubs, 1959 establishments in the United Kingdom, 20th century establishments in Wales
French toast	Breakfast foods, Breads, Egg dishes
