Book of Enoch	Books of the Bible
Luxembourg (Belgium)	Luxembourg (Belgium)
Bus	buses, Buses
Alyaksandr Hleb	1981 births, Living people, Belarusian footballers, People from Minsk
Chang Woe-Ryong	1959 births, Living people, South Korean footballers, South Korean football managers
John Hartson	Welsh footballers, People from Swansea, 1975 births, Living people
Ricardo Carvalho	1978 births, Living people, Portuguese footballers
Robbie Savage	1974 births, Living people, British radio personalities, Strictly Come Dancing participants, Welsh footballers
Danny Gabbidon	1979 births, Living people, Welsh footballers
Takeshi Oki	1961 births, Living people, Footballers from Shizuoka Prefecture
França	1976 births, Living people, Brazilian footballers
Dimitar Berbatov	1981 births, Living people, Bulgarian footballers
Santiago Bernabéu Yeste	1895 births, 1978 deaths, Spanish footballers
Simone Inzaghi	1976 births, Living people, Italian footballers
Akira Matsunaga (footballer, born 1948)	1948 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Shingo Kumabayashi	1981 births, Living people, Footballers from Akita Prefecture, Blaublitz Akita players
Paulo Futre	1966 births, Living people, Portuguese footballers
Makoto Atsuta	1976 births, Living people, Footballers from Tokyo Prefecture
Paolo Di Canio	1968 births, Living people, Italian footballers, Sportspeople from Rome
Cymbidium	Orchids
Pierre van Hooijdonk	1969 births, Living people, Dutch footballers, Sportspeople from North Brabant
Gerald Vanenburg	1964 births, Living people, Dutch footballers, Dutch football managers, Sportspeople from Utrecht (city)
Takehito Suzuki	1971 births, Living people, Footballers from Tokyo Prefecture
Tomokazu Hirama	1977 births, Living people, Footballers from Miyagi Prefecture
Kazushi Isoyama	1975 births, Living people, Footballers from Ibaraki Prefecture
Frank Ordenewitz	1965 births, Living people, German footballers, Sportspeople from Lower Saxony
Rafael van der Vaart	1983 births, Living people, Dutch footballers, Sportspeople from North Holland
Al-Ahly Tripoli	Football clubs in Tripoli, 1950s establishments in Libya
Al-Ittihad Tripoli	Football clubs in Tripoli, 20th-century establishments in Libya, 1944 establishments
Al-Tahaddy Benghazi	Football clubs in Benghazi, 1950s establishments in Libya
Al-Ahly Benghazi	Football clubs in Benghazi, 1947 establishments in Libya
Al-Madina Tripoli	Football clubs in Tripoli, 1950s establishments in Libya, 1953 establishments
Al-Dhahra Tripoli	Football clubs in Tripoli, 1947 establishments in Libya
Al-Nasr Benghazi	Football clubs in Benghazi, 1950s establishments in Libya
Al-Shat Tripoli	Football clubs in Tripoli, 20th-century establishments in Libya, 1982 establishments in Africa
Al-Mahalah Tripoli	Football clubs in Tripoli, 20th-century establishments in Libya, 1977 establishments in Africa
Al-Olympic Az-Zwiyah	Libyan football clubs, 1947 establishments in Libya
Washington (footballer)	1975 births, Living people, Brazilian footballers, People from Brasília
Marc Overmars	1973 births, Living people, Dutch footballers, Sportspeople from Gelderland
Satoru Suzuki	1975 births, Living people, Footballers from Shizuoka Prefecture
Salou	Cities in Catalonia, Municipalities in Catalonia
PortAventura World	Catalonia, 2002 establishments in Europe
Sakis Rouvas	Pop musicians, Greek singers, Greek actors, Choreographers, 1972 births, Living people
Life vest	Protective clothing, Sailing
Pocket watch	Clocks
Adam Brody	1979 births, Living people, American movie actors, American television actors, Actors from San Diego, California
The O.C.	2003 American television series debuts, 2007 American television series endings, 2000s American drama television series, 2000s soap operas, 2000s teen television series, American soap operas, American teen television series, Television series set in California, English-language television programs
Ouanaminthe	Cities in Haiti
Developing country	Country classifications
Malden Island	Pacific islands, Kiribati, Uninhabited islands
Scandinavian Airlines	1946 establishments in Europe, Airlines of Europe, Star Alliance, 20th century establishments in Denmark, 20th century establishments in Norway, 1940s establishments in Sweden, IATA members
York Minster	Buildings and structures in England, Anglican Cathedrals, York
High School Musical 2	2007 comedy-drama movies, 2000s musical movies, 2000s teen comedy movies, 2000s teen drama movies, 2007 television movies, American musical movies, American comedy-drama movies, American sequel movies, American teen comedy movies, American teen drama movies, American television movies, High School Musical, Movies directed by Kenny Ortega, Movies set in New Mexico
Delikanlım	1994 albums
Yıldız Tilbe	1966 births, Living people, People from İzmir, Turkish singers
Bijou Phillips	1980 births, Living people, American movie actors, American voice actors, Actors from Greenwich, Connecticut, Models from Connecticut
The Mamas & the Papas	1965 establishments in New York (state), 1960s American music groups, 1970s American music groups, Folk music groups, Musical groups disestablished in the 1970s, Musical groups established in 1965, Musical groups from New York City, 1971 disestablishments in the United States, 1960s disestablishments in New York (state)
Chocobo	Final Fantasy, Fictional birds
Sephiroth (Final Fantasy)	Fictional characters introduced in 1997, Final Fantasy, Kingdom Hearts characters, Video game antagonists, Video game bosses
Helicopter carrier	Ship types
Panzerfaust	Nazi Germany, Rifles
Ambush	Military, Military terminology
Grapeshot	Ammunition
Banzai charge	World War II, Military of Japan, 1940s in Japan
Paratrooper	Military
Daisuke Nakaharai	1977 births, Living people, Footballers from Shizuoka Prefecture
Andy van der Meyde	1979 births, Living people, Dutch footballers, People from Arnhem, Sportspeople from Gelderland
Shunsuke Maeda	1986 births, Living people, Footballers from Nara Prefecture
Víctor Valdés	1982 births, Living people, Spanish association football goalkeepers, Manchester United F.C. players
Marcus Vinicius de Morais	1974 births, Living people, Brazilian footballers
Toulouse FC	French football clubs, Toulouse, 1970 establishments in France
Stade Rennais F.C.	French football clubs, 1901 establishments in Europe, 1900s establishments in France
F.C. Lorient	French football clubs, 1926 establishments in Europe, 1920s establishments in France
Valenciennes F.C.	French football clubs, 1913 establishments in Europe, 1910s establishments in France
Grenoble Foot 38	French football clubs, Grenoble, 1892 establishments in Europe, 1890s establishments in France
A.S. Nancy-Lorraine	1960s establishments in France, 1967 establishments in Europe, French football clubs, Nancy
Le Mans FC	1980s establishments in France, 1985 establishments in Europe, French football clubs, Le Mans
S.M. Caen	1910s establishments in France, 1913 establishments in Europe, French football clubs, Caen
Le Havre AC	19th century establishments in France, 1870s establishments in Europe, 1872 establishments, French football clubs, Le Havre
FC Metz	1930s establishments in France, 1932 establishments in Europe, French football clubs
Tours F.C.	French football clubs, 1919 establishments in France
Angers SCO	1919 establishments in France, French football clubs
C.S. Sedan Ardennes	1919 establishments in France, French football clubs
SC Bastia	French football clubs, 1905 establishments in France
En Avant de Guingamp	French football clubs, 1912 establishments in France
Stade Brestois 29	1900s establishments in France, 1903 establishments in Europe, French football clubs, Brest, France
LB Châteauroux	1880s establishments in France, 1883 establishments in Europe, French football clubs
AC Ajaccio	French football clubs, 1910 establishments in Europe, 1910s establishments in France
Nîmes Olympique	French football clubs, 1937 establishments in Europe, 1930s establishments in France
R.C. France	French football clubs, 1882 establishments in France, 1932 disestablishments, 1930s disestablishments in France, 1967 establishments in Europe, 1960s establishments in France, 1983 disestablishments in Europe, 1980s disestablishments in France, 2006 establishments in France, 2007 disestablishments in Europe, 2000s disestablishments in France
S.C.O. Roubaix	French football clubs, Roubaix
Olympique Alès	French football clubs, 1923 establishments in Europe, 1920s establishments in France
F.C. Mulhouse	1890s establishments in France, 1893 establishments in Europe, French football clubs, Mulhouse
A.S. Cannes Football	French football clubs, Cannes, 1902 establishments in France
Red Star F.C. 93	French football clubs, 1897 establishments in Europe, 1890s establishments in France
F.C. Antibes Juan-les-Pins	French football clubs, 1912 establishments in France
F.C. Rouen 1899	French football clubs, Rouen, 1899 establishments in France
F.C. Nancy	French football clubs, Nancy
Stade Français	French football clubs, 1888 establishments in Europe, 1880s establishments in France
S.R. Colmar	French football clubs, 1920 establishments in France
E.S. Troyes A.C.	French football clubs, 1900 establishments in France
A.S. Béziers	French football clubs
Sporting Toulon Var	1940s establishments in France, 1944 establishments in Europe, French football clubs, Toulon
Angoulême C.F.C.	1920 establishments in France, French football clubs
Paris F.C.	French football clubs, Paris, 1969 establishments in Europe, 1960s establishments in France
Chamois Niortais F.C.	1920s establishments in France, 1925 establishments in Europe, French football clubs
Pikachu	Fictional characters introduced in 1996, Pokémon monsters
Gina McKee	1964 births, Living people, Actors from County Durham, English movie actors, English television actors
Florida State Road 540	Roads in Florida
Mr. Bean	1990 British television series debuts, 1995 British television series endings, 1990s British sitcoms, ITV comedy, Television series set in London, English-language television programs
Rowan Atkinson	1955 births, Living people, Actors from County Durham, Actors who played in James Bond movies, Alumni of the University of Oxford, British stand-up comedians, Commanders of the Order of the British Empire, English christians, English people of Armenian descent, English comedians, English movie actors, English radio actors, English stage actors, English television actors, English television writers, English voice actors
Cypress Gardens	Theme parks in Florida, Botanical gardens in the United States
WEKG	Radio stations in the United States, Kentucky
Valea Voenilor River	Rivers of Romania
South Portland, Maine	Cities in Maine
WJBQ	Radio stations in the United States, Portland, Maine
Daisy Duke	Fictional American people, Movie characters, Television characters
Sonata for Two Pianos and Percussion	Compositions by Béla Bartók, Sonatas
Concerto for Orchestra (Bartók)	Compositions by Béla Bartók, Orchestral works
Bluebird K7	Boats
TM 65 77	Explosives
Well, Hampshire	Villages in Hampshire
Where Sleeplessness Is Rest from Nightmares	2001 albums, Rock albums
Arma Angelus	1998 establishments in the United States, 2002 disestablishments in the United States, 1990s American music groups, 1990s establishments in Illinois, 2000s American music groups, Post-hardcore bands, Metalcore bands, Musical groups disestablished in 2002, Musical groups established in 1998, Musical groups from Chicago
51 Pegasi	Stars
Gumbasia	1954 movies, Short movies, Clay animation movies, English-language movies
University of Southern Maine	Colleges and universities in Maine, Portland, Maine, 1878 establishments in the United States, 19th-century establishments in Maine
Belmont, New Hampshire	Cities in New Hampshire, 1869 establishments in the United States, 19th-century establishments in New Hampshire
Joker (comics)	DC Comics supervillains, DC Comics adapted into movies, Batman characters, Fictional characters introduced in 1940, Fictional mass murderers, Mortal Kombat guest characters, The Joker
Iceman (Marvel Comics)	Characters created by Stan Lee, Fictional characters introduced in 1963, Fictional characters with ice or cold abilities, Fictional gay males, Marvel Comics characters, Marvel Comics mutants, Marvel Comics superheroes, Marvel vs. Capcom fighters
70 Virginis	Stars
Terry Gerin	American professional wrestlers, Former WWE wrestlers, Total Nonstop Action Wrestling alumni, Sportspeople from Michigan, 1975 births, Living people
70 Virginis b	Exoplanets
Peaks Island	Islands of the United States, Geography of Maine, Portland, Maine
Float On	2004 songs
Blue Hill, Maine	Cities in Maine
15385 Dallolmo	Asteroids
Operation Downfall	Invasions of World War II
F.C. Martigues	1920s establishments in France, 1921 establishments in Europe, French football clubs
F.C. Gueugnon	French football clubs, 1940 establishments in France
Blade (movie)	1998 horror movies, 1990s superhero movies, African-American superhero movies, American action movies, American horror movies, Blade movies, English-language movies, Film noir, Movies about revenge, Movies based on comics, New Line Cinema movies, Superhero horror movies, Vampires in movies, American superhero movies
The Bravery	2003 establishments in the United States, 2000s American music groups, 2000s establishments in New York (state), 2010s American music groups, 2011 disestablishments in the United States, American punk bands, Musical groups disestablished in 2011, Musical groups established in 2003, Musical groups from New York City
Cascada	2000s German music groups, 2010s German music groups, German pop music groups, Musical groups established in 2004, North Rhine-Westphalia
Scholasticism	Philosophical movements and positions, Theology
916 America	Asteroids
Donald	Given names
Johnstone	Towns in Scotland
Diamond Dallas Page	1956 births, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from New Jersey, Total Nonstop Action Wrestling alumni
Sunapee, New Hampshire	Cities in New Hampshire
Scarborough, Maine	Towns in Maine
Luna (given name)	Given names
Susan Boyle	1961 births, Living people, British Roman Catholics, Scottish Christians, Scottish singers
Beat It	Michael Jackson songs, 1983 songs
Seiko	Technology companies of Japan
Gambit (Marvel Comics)	Marvel Comics superheroes
Coblentz (lunar crater)	Surface features of the Moon, Impact craters
Max Rockatansky	Movie characters
Tony Montana	Fictional murderers, Fictional people with antisocial personality disorder, Movie characters, Narcissism in fiction, Fictional mass murderers
Diomede Islands	Pacific islands, Islands of Alaska, Islands of Russia, Siberia
Clay animation	Animation
Carlos Alberto Carvalho dos Anjos Junior	1977 births, Living people, Brazilian footballers, People from Salvador, Bahia
Space Race	Spaceflight, 1950s in the United States, 1960s in the United States, 1950s in the Soviet Union
Oligotroph	Biology, Extremophiles
Supersaturation	Chemistry, Thermodynamics
Dyspnea	Health problems
Epiglottitis	Inflammation, Diseases and disorders of the digestive system
Lyme disease	Diseases caused by bacteria, Diseases spread by insects
Travis Childers	1958 births, Living people, United States representatives from Mississippi, US Democratic Party politicians
Carbonated water	Drinks
Eastern European Summer Time	Time zones
African Sanctus	Choral compositions, World music
David Fanshawe	1942 births, 2010 deaths, English composers, World music
Haley Barbour	1947 births, Living people, Businesspeople from Mississippi, US Republican Party politicians, People from Yazoo City, Mississippi, Governors of Mississippi, 21st-century American politicians
Moose Jaw, Saskatchewan	Cities in Saskatchewan
Playpen	Children, Furniture
The Planets	Compositions by Gustav Holst, Orchestral works
It's A Big Big World	American children's television series, PBS Kids shows, 2006 television series debuts, 2010 television series endings
Kota Kinabalu	Cities in Malaysia, Capital cities in Asia
Milang, South Australia	Towns in South Australia
Gilbert's potoroo	Marsupials of Australia, Critically endangered species
Bentinho	1971 births, Living people, Brazilian footballers
Yoshinobu Minowa	1976 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, Júbilo Iwata players, Kawasaki Frontale players, Hokkaido Consadole Sapporo players
Shusaku Nishikawa	1986 births, Living people, Footballers from Oita Prefecture, Japan international footballers, J1 League players, Oita Trinita players, Sanfrecce Hiroshima players, Urawa Red Diamonds players, 2014 FIFA World Cup players, 2013 FIFA Confederations Cup players, Footballers at the 2008 Summer Olympics
G-type main-sequence star	Types of stars
Championnat National	Football leagues, 1993 establishments in France
Kōji Nakata	1979 births, Living people, Footballers from Shiga Prefecture, Japan international footballers, J1 League players, Kashima Antlers players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2001 FIFA Confederations Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics
Hayato Okanaka	1968 births, Living people, Footballers from Hyōgo Prefecture
Antonio Chimenti	1970 births, Living people, Italian association football goalkeepers, People from Bari
Vítor Baía	1969 births, Living people, Portuguese footballers
Alain Giresse	1952 births, Living people, French footballers, French football managers, People from Nouvelle-Aquitaine
Jean Tigana	1955 births, Living people, French footballers, French football managers, People from Bamako
Johan Neeskens	1951 births, Living people, Dutch footballers, Dutch football managers, Sportspeople from North Holland
Dirk Kuyt	1980 births, Living people, Dutch Calvinists, Dutch footballers, People from Katwijk, Sportspeople from South Holland
Ronald Koeman	1963 births, Living people, Dutch football managers, Dutch footballers, Eredivisie managers, People from Zaanstad, Sportspeople from North Holland
Michael Reiziger	1973 births, Living people, Dutch football managers, Dutch footballers, Eredivisie managers, Sportspeople from North Holland
Gheorghe Popescu	1967 births, Living people, Romanian footballers
Louis van Gaal	1951 births, Living people, Dutch football managers, Dutch footballers, Sportspeople from Amsterdam, Eredivisie managers
Dick Advocaat	1947 births, Living people, Dutch football managers, Dutch footballers, Sportspeople from The Hague, Eredivisie managers
Choi Soon-ho	1962 births, Living people, South Korean footballers, South Korean football managers
Masayuki Yanagisawa	1979 births, Living people, Footballers from Kanagawa Prefecture
Takahito Soma	1981 births, Living people, Footballers from Kanagawa Prefecture
Yoshinari Takagi	1979 births, Living people, Footballers from Tokyo Prefecture
Atsushi Yoneyama	1976 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, J1 League players, J2 League players, Tokyo Verdy players, Kawasaki Frontale players, Nagoya Grampus players, Tochigi SC players
Lee Gang-Jin	1986 births, Living people, South Korean footballers
Kenta Togawa	1981 births, Living people, Footballers from Tokyo Prefecture
Motif	Art
Hung (TV series)	2009 American television series debuts, 2011 American television series endings, 2000s American television series, 2010s American television series, American comedy-drama television series, Detroit, Michigan, Works about prostitution, English-language television programs
Daigo Kobayashi	1983 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, Tokyo Verdy players, Omiya Ardija players, Shimizu S-Pulse players
Yoshiyuki Kobayashi	1978 births, Living people, Footballers from Saitama Prefecture, Albirex Niigata players
Martin Petrov	1979 births, Living people, Bulgarian footballers
Mateja Kežman	1979 births, Living people, Serbian footballers
Florent Sinama Pongolle	1984 births, Living people, French footballers, People from Réunion
Two Peoples Bay Nature Reserve	Western Australia
Microsoft OneNote	Microsoft Office
Tim McGraw	1967 births, Living people, American country musicians, Singers from Louisiana, American movie actors, Actors from Louisiana, People's Choice Award winners, Grammy Award winners
Confederation	Politics
Little Boots	1984 births, Living people, English pop singers, English singer-songwriters, People from Blackpool, Singers from Lancashire
Les noces	Compositions by Igor Stravinsky, Ballets Russes productions
Freenet	Free software, Networks
Fort-Liberté	Cities in Haiti, 1578 establishments, 1570s establishments in North America, Establishments in the French colonial empire
Montrichard	Communes in Loir-et-Cher, Former communes in France
Dan Tyminski	Banjo players, Singers from Vermont, Musicians from Vermont, American country musicians, Bluegrass musicians, 1967 births, Living people
Deepdale	1875 establishments in England, City of Preston, Lancashire, Football stadiums in England, Sport in Lancashire
Convolvulaceae	Convolvulaceae
John Gilbert (naturalist)	1845 deaths, English biologists, English naturalists, English explorers, 1810s births, Exploration of Australia
LimeWire	Software, File sharing
Yusuke Gondo	1982 births, Living people, Footballers from Tokyo Prefecture
Paulo Sousa	1970 births, Living people, Portuguese footballers, Portuguese football managers
Yuki Ishida	1980 births, Living people, Footballers from Hokkaidō Prefecture
Tsutomu Kitade	1978 births, Living people, Footballers from Hokkaidō Prefecture
Predrag Mijatović	1969 births, Living people, Montenegrin footballers
Javier Portillo	1982 births, Living people, Spanish footballers
Vicente Rodríguez	1981 births, Living people, Spanish footballers, People from Valencia
Ismael Urzaiz	1971 births, Living people, Spanish footballers
Will Robson Emilio Andrade	1973 births, Living people, Brazilian footballers
Vannes O.C.	French football clubs, 1998 establishments in Europe, 1990s establishments in France
Clermont Foot Auvergne	1910s establishments in France, 1911 establishments in Europe, French football clubs, Clermont-Ferrand
F.C. Istres Ouest Provence	French football clubs, 1920 establishments in France
Heitor Villa-Lobos	1887 births, 1959 deaths, 20th century composers
A.S. Beauvais Oise	French football clubs, 1945 establishments in France
C.S. Louhans-Cuiseaux	French football clubs, 1970 establishments in France
S.A.S. Épinal	French football clubs, 1940s establishments in France, 1941 establishments in Europe
Besançon R.C.	1905 establishments in France, French football clubs, Besançon
Stade Briochin	1904 establishments in France, French football clubs
E.S. Wasquehal	French football clubs, 1924 establishments in Europe, 1920s establishments in France
George Antheil	1900 births, 1959 deaths, 20th century composers, American composers, American pianists, American inventors, Writers from New Jersey
Wynton Rufer	1962 births, Living people, Football managers, Oceanic footballers, People from Wellington, Sportspeople from North Island
Turbojet	Aviation, Propulsion, Motors
Insomniac Games	Video game companies, Companies based in California, 1994 establishments in California, Burbank, California
Mitro Bahini	History of Bangladesh, 1970s in India, Bangladesh Liberation War
2001 Indian-Bangladesh border conflict	2001 in Asia, 2000s in India, 21st century in Bangladesh
Minicoy Island	Geography of the Maldives, Territorial disputes, Occupied territories
I2P	Messaging
Caryophyllaceae	Caryophyllaceae
LG KM900 (Arena)	LG mobile phones
2005 Pakistan earthquake	2000s in Pakistan, Disasters in Pakistan, Earthquakes in Asia, Earthquakes in the 2000s, October 2005 events
Keiichi Zaizen	1968 births, Living people, Footballers from Hokkaidō Prefecture
Yoshikazu Nonomura	1972 births, Living people, Footballers from Shizuoka Prefecture
Jean-Pierre Papin	1963 births, Living people, French footballers, French football managers
Patrik Andersson	1971 births, Living people, Swedish footballers
Kennet Andersson	1967 births, Living people, Swedish footballers
Masataka Sakamoto	1978 births, Living people, Footballers from Saitama Prefecture
Hasan Salihamidžić	1977 births, Living people, Bosnia and Herzegovina footballers
Sean Parnell	1962 births, Living people, Governors of Alaska, US Republican Party politicians, Politicians from California, People from Fairbanks, Alaska, Lieutenant Governors of Alaska
Walnut	Fagales, Edible nuts and seeds
Vasopressin	Hormones
Daniel Merriweather	1982 births, Australian singers, Living people, Musicians from Melbourne, R&B musicians
Jason Schwartzman	American movie actors, actors from Los Angeles, California, Musicians from Los Angeles, California, 1980 births, Living people
Epicenter	Earth
Eric Burdon	British rock musicians, English singers, English songwriters, People from Newcastle upon Tyne, 1941 births, Living people
Hanif Mohammad	Pakistani cricketers, 1934 births, 2016 deaths
Caucasus Emirate	Asian countries, European countries, Caucasus, Chechnya, Islamic terrorism, Occupied territories, Unrecognized countries
Moosehead Lake	Lakes of the United States
Rochdale A.F.C.	1907 establishments in England, English football clubs, Rochdale, Sport in Greater Manchester
Razakars (Pakistan)	1971 in Bangladesh, 1971 in Pakistan, Nationalist organizations in Asia, Bangladesh Liberation War
Qasim Razvi	Pakistani people, 1902 births, 1970 deaths
Razakars (Hyderabad)	History of India, History of Pakistan, Rebel militia groups in Asia, Hyderabad, India
Al-Shams (East Pakistan)	1971 in Bangladesh, 1971 in Pakistan, Bangladesh Liberation War
Al-Badr (East Pakistan)	1971 in Bangladesh, 1971 in Pakistan, Bangladesh Liberation War
All Jammu and Kashmir Muslim Conference	Political parties in Kashmir
Pinworm	Parasites
Cornish nationalism	Nationalism, Political movements, Politics of Cornwall
Orthogonal frequency-division multiplexing	Radio technology
Calculator	Mathematical tools
Yorkshire Television	ITV
Racibórz	Cities in Poland
2 World Trade Center	Skyscrapers in New York City, September 11 attacks, Buildings and structures in Manhattan
Beekeeper	Agricultural occupations, Beekeeping
Microsoft Bob	Microsoft
Torquay United F.C.	1899 establishments in England, English football clubs, Torquay
Punk blues	Rock music
Hangzhou	Hangzhou
West Lake	Lakes of China, Hangzhou
Huron River (Michigan)	Rivers of the United States, Geography of Michigan
Academic Ranking of World Universities	Colleges and universities
College and university rankings	Colleges and universities
Cow tipping	Cattle
Sojourner Truth	1797 births, 1883 deaths, African-American people, American abolitionists, American feminists, People from New York, Slaves
Quinkana	Extinct species, Crocodilia
Amaranth	Amaranthaceae, Grains
Instant Runoff Voting	Voting systems
Harrier Jump Jet	Royal Air Force aircraft
Valentina Matviyenko	Russian politicians, Women politicians, 1949 births, Living people
Dejan Savićević	1966 births, Living people, Montenegrin footballers
Dejan Stanković	1978 births, Living people, Serbian footballers, People from Belgrade
Koki Mizuno	1985 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, JEF United Chiba players, Kashiwa Reysol players, Ventforet Kofu players, Vegalta Sendai players, Sagan Tosu players, Roasso Kumamoto players, SC Sagamihara players
Hiroki Mizumoto	1985 births, Living people, Footballers from Mie Prefecture, Japan international footballers, J1 League players, J2 League players, JEF United Chiba players, Gamba Osaka players, Kyoto Sanga FC players, Sanfrecce Hiroshima players, Matsumoto Yamaga FC players, FC Machida Zelvia players, Footballers at the 2008 Summer Olympics
Handley Page Victor	Royal Air Force aircraft
Vickers Valiant	Royal Air Force aircraft
Nuclear deterrent	Nuclear weapons
Avro Vulcan	Royal Air Force aircraft
Tony Gwynn	1960 births, 2014 deaths, African-American baseball players, African-American basketball players, Baseball players from California, Basketball players from California, Cancer deaths in the United States, Deaths from salivary gland cancer, Major League Baseball broadcasters, National League All-Stars, National Baseball Hall of Fame members, San Diego Padres players, Sportspeople from Los Angeles, California, American basketball players
Barthold Fles	1902 births, 1989 deaths, Businesspeople from New York City, Jewish American writers, Translators, Writers from Amsterdam, Writers from Manhattan
Jon Lester	American baseball players, Sportspeople from Washington, Boston Red Sox players, Chicago Cubs players, Oakland Athletics players, Cancer survivors, Living people, 1984 births, People from Tacoma, Washington
Purple Haze (marijuana)	Illegal drugs, Cannabis
Lon Chaney Jr.	1906 births, 1973 deaths, Deaths from heart failure, American television actors, American movie actors, Actors from Oklahoma
Raja Bell	1976 births, Living people, Basketball players, Charlotte Bobcats players, Dallas Mavericks players, Golden State Warriors players, Philadelphia 76ers players, Phoenix Suns players, Utah Jazz players
Steve Nash	1974 births, Canadian basketball players, Dallas Mavericks players, Living people, Los Angeles Lakers players, Phoenix Suns players, South African sportspeople, Sportspeople from British Columbia, People from Johannesburg, People from Victoria, British Columbia, National Basketball Association players with retired numbers
Folder (computing)	Software
Computer icon	Computers
Portulacaceae	Caryophyllales
Peter Grimes	Compositions by Benjamin Britten, 20th century operas, 1945 works
Tomonori Tateishi	1974 births, Living people, Footballers from Chiba Prefecture
Ilian Stoyanov	1977 births, Living people, Bulgarian footballers
Mario Haas	1974 births, Living people, Austrian footballers, Players of the Austrian national football team
Yohei Kajiyama	1985 births, Living people, Footballers from Tokyo Prefecture, J1 League players, J2 League players, J3 League players, FC Tokyo players, FC Tokyo U-23 players, Oita Trinita players, Albirex Niigata players, Footballers at the 2008 Summer Olympics
Aron Winter	1967 births, Living people, Dutch footballers, People from Paramaribo
Ryo Kushino	1979 births, Living people, Footballers from Kumamoto Prefecture
Gabriel Popescu	1973 births, Living people, Romanian footballers
Steve McManaman	1972 births, Living people, English footballers, Sportspeople from Liverpool, Premier League players
Péricles Chamusca	1965 births, Living people, Brazilian football managers, People from Salvador, Bahia
Atsuhiko Ejiri	1967 births, Living people, Footballers from Shizuoka Prefecture
Tanggula Railway Station	Tibet
Kazimierz Fajans	American chemists, 1887 births, 1975 deaths
Kitee Zoo	Zoos, Finland
Scots pine	Conifers
Mesenteric ischemia	Diseases
Trix (cereal)	Breakfast cereals
Francisco Martínez de la Rosa	1787 births, 1862 deaths, Spanish politicians, People from Granada
Marcelino Menéndez Pelayo	Spanish writers, 1856 births, 1912 deaths
Harry Patch	1898 births, 2009 deaths, British military personnel of World War I, British supercentenarians, Firefighters, People from Somerset, Plumbers
Tommy Atkins	British Army, Slang, 19th century in the United Kingdom
Mo Vaughn	1976 births, African-American baseball players, American League All-Stars, Boston Red Sox players, Living people, Los Angeles Angels of Anaheim players, New York Mets players, Sportspeople from Connecticut, People from Norwalk, Connecticut
Eiffel 65	1990s music groups, 2000s music groups, 2010s music groups, Italian musical groups, Musical groups established in 1998, Pop music groups, Turin, 1998 establishments in Europe, 1990s establishments in Italy, Musical groups disestablished in 2005, 2005 disestablishments in Italy, 2010 establishments in Europe, Musical groups established in 2010, 2010s establishments in Italy
Henry Allingham	1896 births, 2009 deaths, British military personnel of World War I, British supercentenarians, Deaths from natural causes, People from London, World record holders
Milgram experiment	Psychology, Experiments
Page-boy	Feudalism
Gambit	Chess openings
Carlos Clos Gómez	Spanish sportspeople, Association football, Referees, People from Zaragoza
Free fall	Physics
Essjay controversy	Hoaxes, Controversies, Wikimedia
Cernunnos	Celtic peoples, Paganism, Gods and goddesses
Gameplay of Pokémon	Pokémon
Rodolfo Oroz	Chilean people, 1895 births, 1997 deaths, People from Santiago
Fernando de Herrera	Spanish writers, 1530s births, 1597 deaths
Juan Ruiz de Alarcón	Spanish writers, 1580s births, 1639 deaths, Guerrero (state)
Candan Erçetin	1964 births, Living people
Shogo Nishikawa	1983 births, Living people, Footballers from Hiroshima Prefecture
Tomoyuki Hirase	1977 births, Living people, Footballers from Kagoshima Prefecture, Japan international footballers, J1 League players, J2 League players, Kashima Antlers players, Yokohama F. Marinos players, Vissel Kobe players, Vegalta Sendai players, Footballers at the 2000 Summer Olympics
Liberian Premier League	Football leagues
Mark van Bommel	1977 births, Living people, Dutch footballers, Sportspeople from Limburg (Netherlands)
Kohei Kudo	1984 births, Living people, Footballers from Chiba Prefecture
C.A. San Lorenzo de Almagro	Argentine football clubs, 1908 establishments in South America, 1900s establishments in Argentina
Club Estudiantes de La Plata	Argentine football clubs, 1905 establishments in Argentina
Racing Club	Argentine football clubs, 1903 establishments in South America, 1900s establishments in Argentina
Club Atlético Independiente	Argentine football clubs, 1904 establishments in Argentina
C.A. Chacarita Juniors	Argentine football clubs, 1906 establishments, 1900s establishments in Argentina
C.A. Huracán	Argentine football clubs, 1908 establishments in South America, 1900s establishments in Argentina
C.A. Vélez Sársfield	Argentine football clubs, 1910 establishments in South America, 1910s establishments in Argentina
Club Ferro Carril Oeste	Argentine football clubs, 1904 establishments in Argentina, Football clubs in Buenos Aires
Argentinos Juniors	Argentine football clubs, 1904 establishments in Argentina
