Taman Negara	Geography of Malaysia, National parks in Asia
Hurricane Iota	November 2020 events, Hurricanes
Nduga Regency	Geography of Indonesia
Kenyam	Towns in Indonesia
Papua (province)	Provinces of Indonesia
Jayapura	Cities in Indonesia
Makassar	Cities in Indonesia
Medan	Cities in Indonesia
Peace of Riga	History of Poland, History of Russia, 20th century treaties
Ljutomer	Towns in Slovenia
Municipality of Ljutomer	Municipalities of Slovenia
Novo Mesto	Cities in Slovenia
City Municipality of Novo Mesto	Municipalities of Slovenia
Typhoon Vamco	November 2020 events, 2020 disasters in Asia, 21st century in the Philippines, Tropical cyclones in Asia
Buffalo Bisons (AHL)	1940s establishments in New York (state), 1940 establishments in the United States, 1970s disestablishments in New York (state), 1970 disestablishments in the United States, Defunct American Hockey League teams, Ice hockey teams in the United States, Sports in Buffalo, New York
Fort Caroline National Memorial	Parks in the United States, Forts in the United States, Museums in the United States, Buildings and structures in Florida, National Memorials of the United States, National Register of Historic Places, Jacksonville, Florida
Pedro Menéndez de Avilés	1519 births, 1574 deaths, Spanish explorers, Admirals, History of Spain, History of Florida
Francisco Sagasti	1944 births, Living people, Presidents of Peru, Peruvian engineers, Peruvian educators, People from Lima
Campbell Forsyth	1934 births, 2020 deaths, Scottish footballers
Anya Phillips	No wave, 1981 deaths, Punk people, Year of birth uncertain
Mudd Club	Nightclubs, Punk rock, Tribeca, 1978 establishments in New York City, 1983 disestablishments in New York (state)
Sadri Skander	Living people, 1982 births, People from Tunis, Tunisian television personalities, Tunisian television presenters, Tunisian producers
Single wicket cricket	Cricket
Last man stands cricket	Cricket
Mouna Noureddine	1939 births, Tunisian actors, Tunisian movie actors, People from Tunis, Living people, Tunisian television personalities
Death by coconut	Death
Laura Olascuaga	Models, Beauty pageant winners, Colombian people, 1995 births, Living people
Moderna	21st-century establishments in Massachusetts, 2010 establishments in the United States, Companies based in Massachusetts, Cambridge, Massachusetts
Steve Ricchetti	Living people, Businesspeople from Ohio, Politicians from Ohio, Year of birth missing (living people), US Democratic Party politicians
Cedric Richmond	1973 births, Living people, American lawyers, United States representatives from Louisiana, Businesspeople from New Orleans, Louisiana, Politicians from New Orleans, Louisiana, US Democratic Party politicians
Football Federation of Macedonia	Football organizations, Sport in North Macedonia
Akira Kubodera	1977 births, 2020 deaths, Japanese movie actors, Japanese television actors, Japanese stage actors, Japanese voice actors, People who committed suicide, Actors from Tokyo
Lindy McDaniel	1935 births, 2020 deaths, St. Louis Cardinals players, Chicago Cubs players, San Francisco Giants players, New York Yankees players, Kansas City Royals players, Deaths from the COVID-19 pandemic in the United States, Sportspeople from Oklahoma
Raul del Mar	1941 births, 2020 deaths, Filipino politicians, Filipino businesspeople, Filipino lawyers
Dairon Blanco	1992 births, 2020 deaths, Cuban sportspeople, Road accident deaths, Footballers
Croatian War of Independence	1991 in Europe, 1995, Croatia, Wars of independence, 20th century conflicts
Tomislav Merčep	1952 births, 2020 deaths, Croatian politicians, War criminals, European military people
Papiamento	Languages with ISO 639-2 code, Languages without ISO 639-3 code, Languages of the Caribbean, Aruba, Bonaire, Curaçao
Litoria wapogaensis	Animals of Asia, Frogs
Pantanal cat	Felines, Mammals of South America
Pokémon Sword and Shield	2019 video games, Nintendo Switch games, Pokémon RPGs
Femi Taylor	Actors, Star Wars, 1961 births, Living people
Tropical Storm Arthur (2020)	Hurricanes in North Carolina, Hurricanes in South Carolina, Hurricanes in Florida
Quebec Act	Quebec, Acts of the Parliament of the United Kingdom, History of Canada
Runner bean	Fabaceae
Japanese American	Ethnic groups in the United States
Grubhub	Companies based in Chicago, Illinois, 2000s establishments in Illinois, 2004 establishments in the United States
Dennis J. Murray	Living people, 1950 births
Lehman College	Lehman College alumni, 1931 establishments in New York (state), Colleges and universities in New York City, The Bronx
Premier League Goal of the Season	Premier League, Sports trophies and awards
All the Young Men	1960 movies, 1960s war movies, American war movies, Movies directed by Hall Bartlett
United States Court of Appeals for the District of Columbia Circuit	United States courts of appeals, Washington, D.C.
Yeh Jawaani Hai Deewani	2013 movies, India
Set-top box	Everyday life
Isaac Alvarez	1930 births, 2020 deaths, French movie actors, French television actors, French stage actors, French theatre directors, French choreographers, French educators, Mimes, Egyptian movie actors, Egyptian television actors, People from Alexandria
Sakari Paasonen	1935 births, 2020 deaths, Finnish Olympians, Sport shooters
Joseph Altairac	1957 births, 2020 deaths, French writers, Critics, Essayists
A. E. van Vogt	1912 births, 2000 deaths, Deaths from Alzheimer's disease, American science fiction writers, Naturalized citizens of the United States, Canadian writers, American novelists, People from Manitoba
Chicano Movement	1940s in the United States, 1950s in the United States
Black Power movement	American civil rights
Juan Gómez-Quiñones	1940 births, 2020 deaths, Mexican poets, Naturalized citizens of the United States, Mexican historians, American educators, American poets, American historians, American political activists, Mexican activists, Writers from Los Angeles, California
Michael Mongeau	1946 births, 2020 deaths, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors
Marie-Claude Vayssade	1936 births, 2020 deaths, Former MEPs, MEPs for France
Piem	1923 births, 2020 deaths, French artists, Cartoonists
Notre-Dame-d'Oé	Communes in Indre-et-Loire
Guy-Olivier Segond	1945 births, 2020 deaths, Swiss politicians, Mayors, People from Geneva
Jay Kerttula	1928 births, 2020 deaths, State legislators of the United States, Politicians from Milwaukee, Wisconsin, Businesspeople from Milwaukee, Wisconsin, Politicians from Alaska, Businesspeople from Alaska, US Democratic Party politicians
Jay E. Adams	1929 births, 2020 deaths, Translators, Writers from Baltimore, Maryland
David Stoddart, Baron Stoddart of Swindon	1926 births, 2020 deaths, UK MPs 1970–1974, UK MPs 1974, UK MPs 1974–1979, UK MPs 1979–1983, Former Labour MPs (UK)
Henrique Córdova	1938 births, 2020 deaths, Brazilian politicians
Egidio Cosentino	1927 births, 2020 deaths, Italian Olympians
Drew S. Days III	1941 births, 2020 deaths, United States Solicitors General, American lawyers, American educators, Politicians from Atlanta, Georgia, US Democratic Party politicians
Rosebell Kagumire	Feminist writers, Ugandan people, Pan-Africanists
Marvin Zonis	1936 births, 2020 deaths, American political scientists, American economists, American educators, American historians, American political writers, Scientists from Chicago, Writers from Chicago
Bruce Swedien	American engineers, Grammy Award winners, Record producers, Businesspeople from Minneapolis, Minnesota, 2020 deaths, 1934 births
Eddie Borysewicz	1939 births, 2020 deaths, Deaths from the COVID-19 pandemic in Poland, Naturalized citizens of the United States, Polish sportspeople, American cyclists, Sportspeople from California
Jagmohan Singh (athlete)	1932 births, 2020 deaths, Deaths from myocardial infarction, Indian sportspeople, Olympians
Sheldon Solow	1928 births, 2020 deaths, American billionaires, American Jews, Businesspeople from New York City, Cancer deaths in New York City, Deaths from lymphoma, Jewish billionaires, Jewish businesspeople, Real estate developers
Solow Building	Skyscrapers in New York City
Plaza Hotel	Hotels, Buildings and structures in New York City
Nondeterminism	Computing, Algorithms
Gordon Bunshaft	1909 births, 1990 deaths, Deaths from cardiac arrest, American architects, Businesspeople from New York City, People from Buffalo, New York
Roman Viktyuk	1936 births, 2020 deaths, Deaths from the COVID-19 pandemic in Russia, Deaths from thrombosis, Russian theatre directors, Russian stage actors, Russian writers, Ukrainian actors, Ukrainian writers, Playwrights
Khamakha Hyderabadi	Urdu poets, Indian writers, 1929 births, 2017 deaths, Indian poets
Draga Olteanu Matei	1933 births, 2020 deaths, Deaths from gastrointestinal hemorrhage, Romanian movie actors, Romanian television actors, Romanian stage actors, People from Bucharest
Subarachnoid hemorrhage	Medical emergencies
Mridula Sinha	1942 births, 2020 deaths, Governors of Goa, Indian writers
Angelo Caroli	1937 births, 2020 deaths, Italian footballers, Italian journalists
Stanisław Dulias	1939 births, 2020 deaths, Polish politicians, Deaths from the COVID-19 pandemic in Poland, Polish scientists, Polish economists
Zbarazh	Cities in Ukraine
Mysłowice	Cities in Poland
Pim Doesburg	1943 births, 2020 deaths, Dutch footballers, Sportspeople from Rotterdam
Walt Davis	1931 births, 2020 deaths, American track and field athletes, Golden State Warriors players, Atlanta Hawks players, American Olympic gold medalists, Sportspeople from Texas, People from Beaumont, Texas
The Woodlands, Texas	Census-designated places in Texas
Greater Houston	Houston, Texas, Metropolitan areas of the United States
Christopher C. Miller	1965 births, Living people, American military people, Politicians from Wisconsin, US Republican Party politicians
Emerentia von Düben	1669 births, 1743 deaths, Swedish people
Platteville, Wisconsin	Cities in Wisconsin, Grant County, Wisconsin
Dixie D'Amelio	People from Norwalk, Connecticut, Living people, 2001 births, American TikTokers, American YouTubers, American dancers, Actors from Connecticut, Singers from Connecticut
Zach King	1990 births, Living people, American TikTokers, American YouTubers, Actors from Portland, Oregon, Writers from Portland, Oregon
Tigray War	November 2020 events, December 2020 events, 2020 in Africa, Ethiopia, War
Puerto Ricans in the United States	Ethnic groups in the United States
Swiss Americans	Ethnic groups in the United States
Welsh Americans	Ethnic groups in the United States
Portuguese Americans	Ethnic groups in the United States
Spanish Americans	Ethnic groups in the United States
Donnacona	First Nations people
List of tallest buildings in St. Louis	United States-related lists, St. Louis, Missouri
Wissel Lakes tree frog	Animals of Asia, Frogs
Maria Reynolds	1768 births, 18th century in the United States
Kingdom of Spain (Napoleonic)	History of Spain
Rusyn Americans	Ethnic groups in the United States
Hungarian Americans	Ethnic groups in the United States
Danish Americans	Ethnic groups in the United States
ZOE Broadcasting Network	Television networks in the Philippines, Television channels and stations established in 1998, Christian radio stations in the Philippines, Companies based in Pasig
Peruvian Americans	Ethnic groups in the United States
DWAO-TV	1999 establishments in the United States
European Americans	Ethnic groups in the United States
Belarusian Americans	Ethnic groups in the United States
List of Intercontinental Broadcasting Corporation channels and stations	Lists, Philippine television networks, Radio stations in the Philippines
River Cottage Spring	2008 British television series debuts
List of serving senior officers of the Royal Marines	Royal Navy
List of serving senior officers of the Royal Air Force	Royal Air Force
List of programs broadcast by Light TV	Lists of television series by network
List of senior female officers of the British Armed Forces	British military people, Lists of military people, Lists of women
List of serving senior officers of the Royal Navy	Royal Navy
List of serving senior officers of the British Army	British Army
Mohamed Hussein Roble	Living people, 1963 births, Prime Ministers of Somalia
Skunk Anansie	British rock bands, Musical groups from London, 1994 establishments in the United Kingdom, 2000s disestablishments in the United Kingdom, 2001 disestablishments, 2000s establishments in the United Kingdom
DWCP-DTV	Southern Broadcasting Network, ETC (Philippine TV channel) stations, Television stations in Metro Manila, Television channels and stations established in 1992, Digital television stations in the Philippines
Bodel	Mossad
Katsa (Mossad)	Mossad
Luke Rhinehart	1932 births, 2020 deaths, American novelists, Screenwriters from New York City, People from Albany, New York
On the Avenue	1937 movies, 1930s musical movies, 1930s comedy movies, American musical movies, American comedy movies, 20th Century Fox movies, Movies directed by Roy Del Ruth, Movies directed by William A. Seiter
Fred Morrison (American football player)	1926 births, 2020 deaths, American football fullbacks, Chicago Bears players, Cleveland Browns players, Sportspeople from Columbus, Ohio, Deaths from fractured hip
Manvel Grigoryan	1956 births, 2020 deaths, Armenian politicians, Armenian military people
The Michael J. Fox Foundation	Biomedical research foundations, Medical and health foundations in the United States, Non-profit organizations based in New York City, Organizations established in 2000, Parkinson's disease, Michael J. Fox
Omega (Hungarian band)	Establishments in Hungary, 1962 establishments in Europe, Hungarian entertainers, Rock bands, Budapest, Musical groups established in 1962
Adam Musiał	1948 births, 2020 deaths, Polish footballers, Polish football managers
Mokhtar Hashim	1942 births, 2020 deaths, Malaysian politicians
Firsat Sofi	1978 births, 2020 deaths, Deaths from the COVID-19 pandemic in Turkey, Kurdish politicians
Anastasios of Albania	1929 births, Living people, Greek people, Archbishops
Ieronymos II of Athens	1938 births, Living people, Greek people, Theologians, Archbishops
Violeta Bermúdez	1961 births, Living people, Prime Ministers of Peru, Peruvian writers, People from Lima
Reşit Karabacak	1954 births, 2020 deaths, Turkish sportspeople, Olympians
Anne Rasa	1940 births, Living people, Welsh writers, British educators, British scientists, Ethologists
Paul Sobol	1926 births, 2020 deaths, Deaths from aneurysm, Holocaust survivors, French Jews, French educators, Belgian educators, Belgian Jews, Autobiographers, Writers from Paris, Writers from Brussels
Deco	1977 births, Living people, Brazilian footballers, Portuguese footballers, Association football midfielders, Chelsea F.C. players, Premier League players, UEFA Euro 2004 players, 2006 FIFA World Cup players, UEFA Euro 2008 players, 2010 FIFA World Cup players
Audio and video interfaces and connectors	Display technology, Television technology
Highland tree frog	Animals of Asia, Frogs
President of the Bundesrat	Government of Germany
On the Edge of Magellanic Clouds	1998 books, Fiction books, Fantasy books
British Americans	Ethnic groups in the United States
Terminal Tower	Cleveland, Ohio
Welsh Canadians	Ethnic groups in Canada
English Canadian	Ethnic groups in Canada
Fantastic Four (1997 video game)	1997 video games, Fantastic Four video games, PlayStation games, PlayStation-only games
The League of Extraordinary Gentlemen (movie)	2003 movies, 2000s superhero movies, American superhero movies, British movies, German movies, Czech movies, Dr. Jekyll and Mr. Hyde movies, Superhero crossover movies, 20th Century Fox movies, Movies about giants
365Canvas	Companies of the United States
VSEPR theory	Physics, Chemistry
Why Don't You Get a Job?	1998 songs, The Offspring songs
Unbiennium	Chemical elements
Progressive Era	Politics of the United States, History of the United States
TSMC	1980s establishments in Taiwan, 1987 establishments in Asia, Electronics companies, Companies of Taiwan
La Nación	Newspapers in South America
Vice President of Mexico	Politics of Mexico, Vice presidents
İsmail Metin Temel	Turkish people
Danger - Love at Work	1937 movies, 1930s romance movies, 1930s comedy movies, American romantic comedy movies, 20th Century Fox movies, Movies directed by Otto Preminger
The Enchanted Cottage (1945 movie)	1945 movies, 1940s romance movies, 1940s fantasy movies, American romantic fantasy movies, Movies based on plays, Movies directed by John Cromwell
Young America (1932 movie)	1932 movies, 1930s drama movies, American drama movies, 20th Century Fox movies, Movies directed by Frank Borzage
Me and My Gal	1932 movies, 1930s romance movies, 1930s comedy movies, 1930s drama movies, American romantic comedy movies, American romantic drama movies, Movies directed by Raoul Walsh
20,000 Years in Sing Sing	1932 movies, 1930s crime movies, 1930s drama movies, Movies based on books, Warner Bros. movies, Movies directed by Michael Curtiz
I Am a Fugitive from a Chain Gang	1932 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies based on books, Warner Bros. movies, Movies directed by Mervyn LeRoy
Libeled Lady	1936 movies, 1930s comedy movies, American comedy movies, Movies directed by Jack Conway
San Francisco (movie)	1936 movies, 1930s musical movies, 1930s drama movies, American musical movies, American drama movies, Movies directed by W. S. Van Dyke
Big City (1937 movie)	1937 movies, 1930s drama movies, American drama movies, Movies directed by Frank Borzage
State of the Union (movie)	1948 movies, 1940s drama movies, American drama movies, Movies based on plays, Movies directed by Frank Capra
List of heads of the Serbian Orthodox Church	Patriarchs of the Serbian Orthodox Church
Lael Brainard	1962 births, Living people, American economists, Politicians from Washington, D.C., Scientists from Washington, D.C., US Democratic Party politicians, Politicians from Hamburg
Jean Collet	1932 births, 2020 deaths, French journalists, French educators, French critics
Paul Schrieber	1966 births, 2020 deaths, Deaths from cerebral hemorrhage, Sportspeople from Oregon, People from Eugene, Oregon
Robert Byron Bird	1924 births, 2020 deaths, Engineers from Massachusetts, American chemists, American educators, Scientists from Texas
The Painted Woman	1932 movies, 1930s thriller movies, American thriller movies, 20th Century Fox movies, Movies directed by John G. Blystone
Society Girl	1932 movies, 1930s drama movies, American drama movies, 20th Century Fox movies, Movies directed by Sidney Lanfield
Jacques Fornier	1926 births, 2020 deaths, French theatre directors, French stage actors, Actors from Paris
John Poole (footballer, born 1932)	1932 births, 2020 deaths, English footballers, Sportspeople from Staffordshire
Disorderly Conduct	1932 movies, 1930s comedy movies, American comedy movies, 20th Century Fox movies
Arthur Imperatore Sr.	1925 births, 2020 deaths, Businesspeople from New Jersey, Businesspeople from New York City
Up the River	1930 movies, 1930s comedy movies, American comedy movies, 20th Century Fox movies, Movies directed by John Ford
Charles Levin (judge)	1926 births, 2020 deaths, American lawyers, American judges, Politicians from Detroit, Michigan, US Democratic Party politicians
First defenestration of Prague	15th century in Europe, 1419, History of the Czech Republic, July events
Jonas Mello	1937 births, 2020 deaths, Brazilian movie actors, Brazilian television actors, Voice actors, People from São Paulo
Khadim Hussain Rizvi	1966 births, 2020 deaths, Pakistani writers, Political activists, Religious leaders
Second defenestration of Prague	17th century in Europe, 1618, History of the Czech Republic, May events
Stan Trafford	1945 births, 2020 deaths, Sportspeople from Staffordshire, English footballers, English cricketers
Sky Devils	1932 movies, 1930s action movies, 1930s comedy movies, American action movies, American comedy movies
She Wanted a Millionaire	1932 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, 20th Century Fox movies, Movies directed by John G. Blystone
Adam's Rib	1949 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies directed by George Cukor
Jake Scott	1945 births, 2020 deaths, American football safeties, Miami Dolphins players, Washington Redskins players, Accidental deaths from falls in the United States, Sportspeople from South Carolina
Rudy del Rosario	1969 births, 2020 deaths, Filipino sportspeople, Footballers, Football managers, People from Manila
Tony Hooper	1943 births, 2020 deaths, English rock guitarists, English singer-songwriters, Musicians from Kent, Writers from Kent
Osmo Ala-Honkola	1939 births, 2020 deaths, Finnish Olympians, Sport shooters
Gwyn Jones (footballer, born 1935)	1935 births, 2020 deaths, Welsh footballers
Berdel	Family
Sam Palladio	1986 births, English movie actors, English television actors, English guitarists, Musicians from Kent, English singers, Actors from Kent
Phasmophobia (video game)	Horror video games, Indie video games
Denny Heck	1952 births, Living people, United States representatives from Washington, Lieutenant Governors of Washington (state), US Democratic Party politicians
Stephanie Bice	1973 births, Living people, State legislators of the United States, United States representatives from Oklahoma, US Republican Party politicians, Politicians from Oklahoma City
Jim Sensenbrenner	1943 births, Living people, United States representatives from Wisconsin, US Republican Party politicians, Politicians from Chicago, Politicians from Milwaukee, Wisconsin
Giant bee	Bees
Rita Sargsyan	1962 births, 2020 deaths, First Ladies, Armenian people, Socialites, Educators, Deaths from the COVID-19 pandemic in Armenia
Sebouh Chouldjian	1959 births, 2020 deaths, Deaths from the COVID-19 pandemic in Armenia, Turkish people, Armenian people, Religious leaders
Gurgen Egiazaryan	Armenian politicians, Armenian writers, 1948 births, 2020 deaths, Deaths from the COVID-19 pandemic in Armenia
Taihō Code	Government, History of Japan
5050innertainment	American record labels
San Chiang tree frog	Animals of Asia, Frogs
Przemyśl	Cities in Poland
MBB	Management
Masaaki Hatsumi	Japanese people, Martial artists
Pauly Shore	1968 births, American movie actors, American voice actors, Jewish American actors, Jewish American comedians, Actors from Los Angeles, California, Comedians from Los Angeles, California, Movie directors from Los Angeles, California, Living people
Quick Millions	1931 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, 20th Century Fox movies
Sefkhet-Abwy	Egyptian gods and goddesses
Daniela Nicolás	1992 births, Living people, Beauty pageant winners, Chilean people, Chilean models, Chilean actors, Chilean television actors, Chilean television presenters
John Konesky	1980 births, Living people, American rock guitarists, Musicians from Columbus, Ohio
Monsters at Work	Monsters, Inc., American comedy television series, American fantasy television series, American children's television series, American animated television series, Television series by Disney, English-language television programs
Six Cylinder Love	1931 movies, 1930s comedy movies, American comedy movies, Movies based on plays, 20th Century Fox movies, Movies directed by Thornton Freeland
Plymouth Adventure	1952 drama movies, American drama movies, Movies based on books, Movies directed by Clarence Brown
Daughter of the Dragon	1931 movies, 1930s crime movies, 1930s mystery movies, American mystery movies, Movies directed by Lloyd Corrigan
Arecibo Observatory	Observatories in the United States, Puerto Rico
Victor Garber (politician)	1919 births, 2021 deaths, State legislators of the United States, Politicians from Wyoming, Businesspeople from Wyoming, American centenarians
Big Horn, Wyoming	Unincorporated communities in Wyoming
Fury (1936 movie)	1936 movies, 1930s crime movies, American crime drama movies, Movies directed by Fritz Lang
Willie Smith (sprinter)	1956 births, 2020 deaths, American track and field athletes, American Olympic gold medalists, Sportspeople from Pennsylvania
Rochester, Pennsylvania	Boroughs in Pennsylvania
Beaver, Pennsylvania	Boroughs in Pennsylvania, County seats in Pennsylvania
French Army	France
Niall Ferguson	1964 births, Living people, Naturalized citizens of the United States, American historians, American educators, American editors, American critics, American political writers, Scottish writers, People from Glasgow
Marc Monchal	1935 births, 2020 deaths, French generals
Iwannis Louis Awad	1934 births, 2020 deaths, Syrian people, Bishops
Alcino Pinto	1950s births, 2020 deaths, São Tomé and Príncipe people, African politicians
The Outsider (Colin Wilson)	Non-fiction books
National Assembly (São Tomé and Príncipe)	São Tomé and Príncipe
Ricky Yacobi	1963 births, 2020 deaths, Deaths from myocardial infarction, Deaths in sport, Indonesian people, Footballers
Ernesto Canto	1959 births, 2020 deaths, Sportspeople from Mexico City, Olympic gold medalists, Deaths from pancreatic cancer, Deaths from liver cancer, Cancer deaths in Mexico
Marian Cycoń	1940 births, 2020 deaths, Polish politicians, Mayors
Judith Jarvis Thomson	1929 births, 2020 deaths, American philosophers, American critics, American educators, American physicians, Writers from New York City, Scientists from New York City
Barnard College	1880s establishments in New York (state), 1889 establishments in the United States, Colleges and universities in New York City
Hannu Lahtinen	1960 births, 2020 deaths, Deaths from motor neurone disease, Finnish Olympians, Wrestlers
Jan Morris	1926 births, 2020 deaths, Welsh writers, British historians, British LGBT people, LGBT writers, Transgender and transsexual people, Writers from Somerset
Lithia Springs, Georgia	Census-designated places in Georgia (U.S. state)
Austell, Georgia	Cities in Georgia (U.S. state)
Villa Rica, Georgia	Cities in Georgia (U.S. state)
Antony Blinken	1962 births, Living people, American guitarists, Musicians from New York City, Singers from New York City, Politicians from New York City, US Democratic Party politicians, United States Secretaries of State
Randi Weingarten	1957 births, Living people, American lawyers, American educators, Lesbians, Businesspeople from New York City, LGBT people from New York City, LGBT businesspeople
Dufourspitze	Alps, Mountains of Switzerland, Mountains of Italy, Geography of Valais
2020 Turkish Grand Prix	Formula One Grands Prix
Meaghan Smith	Singers from Ontario, People from London, Ontario, Canadian singer-songwriters, Year of birth missing (living people), Living people
Addis Abeba	Ethiopia, History of Italy
Rebekah Bruesehoff	American activists, Transgender and transsexual people
Eternal Word Television Network	American television stations
Civil defence shelter in Przemyśl	Museums in Europe, History of Poland
The Beloved Bachelor	1931 movies, 1930s drama movies, American drama movies, Movies directed by Lloyd Corrigan
The Mask of Fu Manchu	1932 movies, 1930s adventure movies, 1930s horror movies, American adventure movies, American horror movies, Movies based on books, Movies directed by Charles Vidor, Movies directed by Charles Brabin
Edward, My Son	1949 movies, 1940s drama movies, British drama movies, American drama movies, Movies based on plays, Movies directed by George Cukor
DoorDash	2010s establishments in California, 2013 establishments in the United States, Companies of the United States, Palo Alto, California
Goldie	1931 movies, 1930s romance movies, 1930s comedy movies, American romantic comedy movies, 20th Century Fox movies, Movies directed by Benjamin Stoloff
A Girl in Every Port (1928 movie)	1928 movies, 1920s romance movies, 1920s comedy movies, American romantic comedy movies, Movies directed by Howard Hawks
Picard language	Languages of Europe, Romance languages, Hauts-de-France, Hainaut (province)
List of Animaniacs episodes	Children's television series, Lists of animated television series episodes
Acerola	Fruits
Captains Courageous (movie)	1937 movies, 1930s adventure movies, American adventure movies, Movies based on books, Movies directed by Victor Fleming
John Tyndall	Physicists, Irish scientists, 1820 births, 1893 deaths, Fellows of the Royal Society
Cameo Kirby (1923 movie)	1923 movies, 1920s drama movies, American silent movies, American drama movies, Movies based on plays, Movies directed by John Ford
Szczecin-Dąbie Airstrip	Airports in Europe, Buildings and structures in Poland, Transport in Poland, 1921 establishments in Europe, 1920s establishments in Poland
Bert Newton	1938 births, Living people, Australian radio personalities, Australian television presenters, People from Melbourne
Antinatalism	Biology, Ethics, Philosophical movements and positions
Heptene	Alkenes
Pilatus (mountain)	Alps, Mountains of Switzerland, Lucerne
WiFi Map	Software
Artemije Radosavljević	1935 births, 2020 deaths, Deaths from the COVID-19 pandemic in Serbia, Serbian people, Bishops
Hispanic and Latino Americans	Ethnic groups in the United States
Igor Goldenberg	Living people, 1976 births, Jewish businesspeople
Gylfi Einarsson	1978 births, Living people, Icelandic footballers, Association football midfielders, People from Reykjavík
Rance Allen	1948 births, 2020 deaths, Deaths from surgical complications, American gospel singers, Singers from Michigan
Roku	2008 establishments in the United States, American technology companies
Chromecast	Google
Amazon Fire TV	Amazon (company), Television
Men Without Women (movie)	1930 movies, 1930s action movies, 1930s drama movies, American action movies, American drama movies, 20th Century Fox movies, Movies directed by John Ford
Red Dust	1932 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Movies based on plays, Movies directed by Victor Fleming
Edison, the Man	1940 movies, 1940s drama movies, American biographical movies, American drama movies, Movies directed by Clarence Brown
Herbert Franklin Solow	1930 births, 2020 deaths, American screenwriters, American television producers
Boys Town (1938 movie)	1938 movies, 1930s drama movies, American biographical movies, American drama movies, Movies directed by Norman Taurog
Fig Leaves	1926 movies, 1920s comedy movies, American comedy movies, American silent movies, Movies directed by Howard Hawks
List of titles and honours of the french crown	Monarchy of France, France-related lists, History of France
Riffraff (1936 movie)	1936 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies directed by J. Walter Ruben
Brereton Report	November 2020 events, 21st century in Australia, War crimes
Treaty on Open Skies	2002, November 2020 events
Llandaff	Villages in Wales
Stuart Little (TV series)	American television series, American animated television series, English-language television programs
Sharp Corporation	1910s establishments in Japan, 1912 establishments in Asia, Technology companies of Japan
Grundig	1945 establishments in Germany, Companies of Germany, Technology companies of Europe
GameStop	1980s establishments in Texas, 1984 establishments in the United States, American technology companies, Video game companies, Companies based in Texas
Acrophobia	Phobias
Alejandro Mayorkas	1959 births, Living people, Cuban politicians, American lawyers, Naturalized citizens of the United States, Politicians from Los Angeles, California, US Democratic Party politicians, People from Havana, United States Secretaries of Homeland Security
Avril Haines	1969 births, American lawyers, Living people, Politicians from New York City, US Democratic Party politicians, United States Directors of National Intelligence
Linda Thomas-Greenfield	1952 births, Living people, African American politicians, Politicians from Louisiana, United States Ambassadors to the United Nations, US Democratic Party politicians, Women diplomats
U.S. Special Presidential Envoy for Climate	United States Executive Cabinet
Maria Bamford	1970 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from California, Comedians from California
Natasha Leggero	1974 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American television writers, American television presenters, Writers from Illinois, Actors from Illinois, Comedians from Illinois, People from Rockford, Illinois
Vandana Shiva	1952 births, Living people, Indian educators, Indian writers, Feminist writers, Environmentalists
Jeremy Rifkin	1945 births, Living people, American economists, American philosophers, American political writers, Writers from Denver, Colorado
Carolyn Merchant	1936 births, American environmentalists, American philosophers, American historians, Writers from New York, People from Rochester, New York
Kjartan Jóhannsson	1939 births, 2020 deaths, Icelandic politicians, People from Reykjavík
David Hemblen	1941 births, 2020 deaths, English movie actors, English television actors, English stage actors, English voice actors, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Actors from Toronto, Actors from London
CBC News	Canadian television networks
Kay Morley	1920 births, American centenarians, American movie actors, Centenarians, 2020 deaths
Helen Morgan (field hockey)	1966 births, 2020 deaths, Welsh sportspeople, Olympic bronze medalists
Hayford Peirce	1942 births, 2020 deaths, American novelists, Writers from Maine, People from Bangor, Maine, Suicides by firearm in the United States
André Quilis	1941 births, 2020 deaths, French rugby union players
Jake Sullivan	1976 births, Living people, Politicians from Minneapolis, Minnesota, Politicians from Vermont, People from Burlington, Vermont, US Democratic Party politicians, United States National Security Advisors
Roper family	Baronets, English Barons, Royalty and nobility
Antonio Ambrosetti	1944 births, 2020 deaths, Italian mathematicians
Jacques Déprez	1938 births, 2020 deaths, French Olympians
Malocclusion	Teeth, Orthodontics
František Reichel	1938 births, 2020 deaths, Czech politicians
Marián Čalfa	1946 births, Living people, Prime Ministers of Czechoslovakia
John Rowland (footballer, born 1941)	1941 births, 2020 deaths, English footballers
Ken Schinkel	1932 births, 2020 deaths, Canadian ice hockey coaches, Canadian ice hockey right wingers, Ice hockey people from Saskatchewan, New York Rangers players, Pittsburgh Penguins players
Chen Ailian	1939 births, 2020 deaths, Deaths from stomach cancer, Dancers, People from Beijing
