Hammered dulcimer	Early musical instruments
Bemidji State University	20th-century establishments in Minnesota, 1919 establishments in the United States, Colleges and universities in Minnesota
Rosciano	Settlements in Abruzzo
Jens Adolf Jerichau	Danish painters
Toutencourt	Communes in Somme
Treux	Communes in Somme
Tully, Somme	Communes in Somme
Ugny-l'Équipée	Communes in Somme
William Helm	1837 births, 1919 deaths, People from Fresno, California
Ghosts (2021 TV series)	2021 television series debuts, 2020s American sitcoms, American television series based on British television series, CBS network shows
7 July Memorial	2009 establishments in England, Monuments and memorials in England, July 2005 London bombings, Buildings and structures in the City of Westminster
Impact of the COVID-19 pandemic on children	COVID-19 pandemic, Children
Cristina Vee	Living people, 1987 births, American voice actors
Islam in England	Islam by country, England
Gendered impact of the COVID-19 pandemic	Women, Domestic violence, COVID-19 pandemic
The Wind that Shakes the Barley	2006 drama movies, 2000s war movies, Irish movies, British war movies, British drama movies, German drama movies, Italian drama movies, French drama movies, Belgian movies, Dutch drama movies, Swiss movies, Movies directed by Ken Loach
I, Daniel Blake	2016 drama movies, British drama movies, French drama movies, Belgian movies, Movies directed by Ken Loach
Sher Bahadur Deuba	1946 births, Living people, Prime Ministers of Nepal, Current national leaders
Lytton, British Columbia	Villages in North America, Settlements in British Columbia
Lokendra Bahadur Chand	1940 births, Living people, Prime Ministers of Nepal
Igor Grosu	1972 births, Living people, Moldovan politicians
Paul Orndorff	1949 births, 2021 deaths, Deaths from dementia, American professional wrestlers, Sportspeople from Virginia, Sportspeople from Georgia (U.S. state), Deaths from chronic traumatic encephalopathy, Cancer survivors
Schongau, Bavaria	Weilheim-Schongau
Charlie Robinson (actor)	1945 births, 2021 deaths, Deaths from cardiac arrest, Deaths from multiple organ failure, American movie actors, American television actors, American stage actors, American voice actors, Actors from Houston, Texas, Deaths from salivary gland cancer, Cancer deaths in Los Angeles
Gogolin	Towns in Poland
Adenocarcinoma	Cancer
Altenstadt, Upper Bavaria	Weilheim-Schongau
Yashpal Sharma (cricketer)	1954 births, 2021 deaths, Indian cricketers, Deaths from cardiac arrest
Penzberg	Weilheim-Schongau
Tony Barber	1940 births, Living people, Naturalised citizens of Australia, English television personalities, English television presenters, English radio personalities, Australian television presenters, Australian radio personalities, Singers from Lancashire, Entertainers from Western Australia
Going in Style (2017 movie)	2017 comedy movies, 2010s criminal comedy movies, American heist movies, American criminal comedy movies, Warner Bros. movies
Siobhan Fallon Hogan	1961 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American television writers, Comedians from New York City, Writers from New York City, Actors from New York City, People from Syracuse, New York
Ray Park	1974 births, Living people, Scottish movie actors, Scottish television actors, Scottish stage actors, Scottish voice actors, Scottish writers, Martial artists, Actors from Glasgow
Pirates of the Caribbean	Pirates of the Caribbean
Pirates of the Caribbean (movie series)	Disney movies, Pirates of the Caribbean movies
1920 Haiyuan earthquake	1920, Earthquakes in China
Phyllis Logan	1956 births, Living people, Scottish movie actors, Scottish television actors, Scottish stage actors, Scottish voice actors
Peißenberg	Weilheim-Schongau
Davy Jones (character)	Pirates of the Caribbean characters
John Ortiz	1968 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Brooklyn
COVID-19 pandemic in Missouri	COVID-19 pandemic in the United States, 21st century in Missouri
COVID-19 pandemic in Illinois	21st century in Illinois, COVID-19 pandemic in the United States
John Breaux	1944 births, Living people, United States senators from Louisiana, United States representatives from Louisiana, US Democratic Party politicians, American lawyers, Businesspeople from Louisiana, American conservatives
Abbiategrasso	Settlements in Lombardy
Marie-Louise Meilleur	1880 births, 1998 deaths, Supercentenarians, Canadian people
Luna Papa	1999 comedy movies, Tajik movies, Russian movies, German comedy movies, Japanese movies, Austrian movies, Swiss movies, French comedy movies, Uzbekistani movies, Movies directed by Bakhtyar Khudojnazarov
Mongol (movie)	2007 movies, 2000s adventure movies, 2000s biographical movies, Kazakhstani movies, Russian movies, German movies, Chinese movies, Mongolian movies, Movies directed by Sergei Bodrov
COVID-19 pandemic in Wisconsin	COVID-19 pandemic in the United States, 21st century in Wisconsin
Christmas & Chill	2015 albums, Ariana Grande albums, Christmas albums, Trap albums, R&B albums
Louis van Beethoven (2020 movie)	Historical movies, Ludwig van Beethoven, German movies, Austrian movies, Czech movies, Drama movies
Komalee Prasad	Indian actors, Living people, 1996 births
Sex & Philosophy	2005 romance movies, 2005 drama movies, 2000s romantic drama movies, French romance movies, French drama movies, Iranian movies, Tajik movies, Movies directed by Mohsen Makhmalbaf
Cawdor	Towns in Scotland
Calcinate	Settlements in Lombardy
Albawings	2015 establishments in Europe, Low-cost airlines, Airlines of Europe, Albania
Compo	1991 establishments in Europe, Companies of Europe
N (Poland)	Television
COVID-19 pandemic in Nebraska	COVID-19 pandemic in the United States, 21st century in Nebraska
COVID-19 pandemic in San Marino	COVID-19 pandemic by country, San Marino
Upper Orinoco tree frog	Frogs, Animals of South America
FAS Sanos	North Macedonia, Companies of Europe, 1946 establishments in Europe
Vadencourt, Somme	Communes in Somme
Louhans	Communes in Saône-et-Loire, Subprefectures in France
Vaire-sous-Corbie	Communes in Somme
Aix-en-Diois	Former communes in France, Communes in Drôme
Aix-la-Fayette	Communes in Puy-de-Dôme
Valines	Communes in Somme
Varennes, Somme	Communes in Somme
Vauchelles-lès-Authie	Communes in Somme
Vauchelles-lès-Domart	Communes in Somme
Robo Vampire	1980s science fiction movies, Hong Kong movies, 1988 movies, Robot movies, 1988 horror movies
I Made a Game with Zombies in It!	2009 video games, Xbox 360 Live Arcade games, Xbox 360-only games, Shooter video games
Bottled water	Water
High Ridge, Missouri	Census-designated places in Missouri
Fearless Leader	Fictional characters introduced in the 1950s, Television characters
Teff	Grains, Ethiopia
Whole wheat flour	Flour, Wheat
Sprouted bread	Breads
Mike Lookinland	1960 births, Living people, American television actors
List of Italian painters	Italian painters, Lists of people
Barry Williams (actor)	1954 births, Living people, American child actors, American movie actors, American television actors, American voice actors, Actors from Santa Monica, California
Sammy Strain	1939 births, Living people, African-American singers, American soul singers, Tenors, Musicians from Brooklyn
Christopher Knight (actor)	Living people, 1957 births, American television actors, American businesspeople
National Center for Missing & Exploited Children	Non-profit organizations of the United States, Law, Children, 1984 establishments in the United States
John Walker Lindh	Terrorism, People from Washington, D.C., People from California, American criminals, 1981 births, Living people
Chimichurri	Sauces, Condiments, Argentine food, Uruguayan culture
Murder of Jacob Wetterling	People from Minnesota, Kidnapped American people, American murder victims, 1978 births, 1989 deaths
Seasteading	Artificial islands
Leslie Rutledge	US Republican Party politicians, United States Attorneys General, American lawyers, Politicians from Arkansas, 1976 births, Living people
Zeek Afridi	Pakistani singers, Living people, 1979 births, People from Peshawar
Phoner	Microsoft Windows software
2021 South African unrest	2021 crimes in Africa, 2020s murders in Africa, 2020s riots, 21st century in South Africa, Arson, July 2021 events, Looting, Mass murder in 2021, Mass murder in Africa, Protests in 2021
Rossy de Palma	1964 births, Living people, Spanish television actors, Spanish movie actors, Spanish stage actors, Spanish voice actors, Spanish models
Bogeyman	Legendary creatures, Monsters
Uday Chopra	Indian actors, Living people, 1973 births, Movie directors, People from Bombay
Eve Plumb	1958 births, Living people, Actors from Burbank, California
Fryderyk Buchholtz	1792 births, 1837 deaths, Musical instrument makers, Organ builders
Susan Olsen	1961 births, Living people, Actors from Santa Monica, California, American voice actors
Johann Fritz	1834 deaths, Musical instrument makers, People from Vienna
Johann Baptist Streicher	1796 births, 1871 deaths, Musical instrument makers, People from Vienna
Robbie Rist	1964 births, Living people, American voice actors
Canelos tree frog	Frogs, Animals of South America
OnePath Network	Non-profit organizations, 2014 establishments, 2010s establishments in Australia
Noren	Textile arts, Japanese culture
Jamia Millia Islamia	Buildings and structures in India, 1920 establishments in Asia
Alienware M11x	Laptops
Shiney Ahuja	Indian actors, Living people, 1975 births, People from New Delhi
St Mark's Basilica	Cathedrals in Italy, Roman Catholic Cathedrals, Venice
Mount Sinai Hospital, New York	1850s establishments in New York (state), 1852 establishments in the United States, Hospitals in the United States, Buildings and structures in Manhattan
University of Leipzig Medical Center	Leipzig, Buildings and structures in Germany, Hospitals
Gadsden Purchase	19th century in Mexico, 1850s in the United States, 19th century treaties, History of Arizona, History of New Mexico
Bronson (movie)	2008 crime movies, 2000s biographical movies, British crime movies, American crime movies, Danish movies, Caymanian movies, Movies directed by Nicolas Winding Refn
Autoscopy	Neurology, Mental illnesses
Silvan Shalom	1958 births, Living people, Jewish Israeli politicians, Likud politicians, Tel Aviv University alumni, Former Members of Knesset, Deputy government ministers of Israel
Markook (bread)	Lebanon, Palestinian culture, Syria, Jewish breads, Jordan, Iraq, Israeli culture, Saudi Arabia, Flatbreads
Dom DiMaggio	American baseball players, Boston Red Sox players
Tama, Tokyo	Cities in Japan, Tokyo
Bear, Arkansas	Unincorporated communities in Arkansas
Time of the Gypsies	1988 comedy-drama movies, 1988 crime movies, 1980s fantasy movies, 1980s crime drama movies, Serbian movies, Macedonian movies, Italian drama movies, British comedy-drama movies, British crime movies, British fantasy movies, Movies directed by Emir Kusturica
Wonder Wheel (movie)	2017 drama movies, American drama movies, Movies directed by Woody Allen
Rifkin's Festival	2020 comedy movies, American comedy movies, Spanish movies, Italian comedy movies, Movies directed by Woody Allen
Matilda effect	Feminism
Prisoner of the Mountains	1996 drama movies, 1990s war movies, Russian movies, Kazakhstani movies, Movies based on books, Movies directed by Sergei Bodrov
Christian Boltanski	1944 births, 2021 deaths, French sculptors, French painters, French photographers, French movie directors, French movie producers, Writers from Paris, Artists from Paris, Cancer deaths in France
Galactic halo	Astronomy
Cary Joji Fukunaga	1977 births, Living people, Emmy Award winning directors, Movie directors from California, Movie producers from California, Screenwriters from California, American cinematographers, American television directors, American television producers, Movie directors from New York City, Movie producers from New York City, Screenwriters from New York City
Carolco Pictures	Movie studios, 1976 establishments in the United States
The Seventh Continent (1989 movie)	1989 drama movies, Austrian movies, Movies directed by Michael Haneke
Ariel Henry	1949 births, Living people, Prime Ministers of Haiti, Presidents of Haiti, Current national leaders, Surgeons
Joseph Lambert (Haitian politician)	1961 births, Haitian people, North American politicians, Living people
Industrial development in Pakistan	Pakistan
Windows Photo Gallery	Microsoft Windows software
A Zed & Two Noughts	1985 comedy-drama movies, British comedy-drama movies, Dutch comedy movies, Dutch drama movies, Movies directed by Peter Greenaway
The President (2014 movie)	2014 drama movies, Georgian movies, French drama movies, British drama movies, German drama movies, Movies directed by Mohsen Makhmalbaf
Holocaust trivialization	World War II
Colleretto Castelnuovo	Settlements in Piedmont
Condove	Settlements in Piedmont
Corio, Piedmont	Settlements in Piedmont
Cumiana	Settlements in Piedmont
Druento	Settlements in Piedmont
The Music of Silence	2017 drama movies, 2010s biographical movies, 2010s musical movies, Italian drama movies, Movies directed by Michael Radford
Muhajir (Pakistan)	Ethnic groups in Pakistan
Gulshan Grover	Indian actors, Living people, 1955 births, People from New Delhi
COVID-19 pandemic in Seychelles	COVID-19 pandemic by country, Seychelles
Flero	Settlements in Lombardy
Besana in Brianza	Settlements in Lombardy
Azzio, Italy	Settlements in Lombardy
Angel on the Right	2002 comedy-drama movies, Tajik movies, Swiss movies, French comedy movies, French drama movies, Italian comedy movies, Italian drama movies
Vauchelles-les-Quesnoy	Communes in Somme
Perianth	Plant anatomy
Jack Collins (actor)	Actors from Brooklyn, 1918 births, 2005 deaths
Palmar tree frog	Frogs, Animals of South America
Sindu desh	Pakistan
Bi-curious	Sexuality
Long COVID	COVID-19 pandemic, Diseases
McLendon-Chisholm, Texas	Cities in Texas
Mobile City, Texas	Cities in Texas
Royse City, Texas	Cities in Texas
List of Mexican painters	Mexican painters, Lists of people
The Column	1968 drama movies, Romanian movies, German drama movies, Movies directed by Mircea Drăgan
House of Bourbon–Anjou	Spanish House of Bourbon, Spanish royalty
Rodolfo Aguirre Tinoco	Mexican painters, 1927 births, Living people
Neptune's Daughter (1949 movie)	1949 movies, 1940s comedy movies, 1940s musical movies, 1940s romance movies, American romantic comedy movies, American musical movies, MGM movies, Movies directed by Edward Buzzell
Palaeoloxodon namadicus	Mammals, Fossils
Ageusia	Medical signs, Health problems
Robert Abbot	1870 births, 1940 deaths, Deaths from nephritis, African American writers
Geology of Pakistan	Pakistan, Geology
Llanocetus denticrinatus	Geology, Bangladesh
Abdullah Abdurahman	1872 births, 1940 deaths, South African politicians
Potamophylax (insect)	Insects
Rayssa Leal	Living people, Skateboarders, Brazilian sportspeople, 2008 births
Brett Sutton	1959 births, Living people
Hot (Mel B album)	2000 albums, Debut albums, Pop albums, Hip hop albums, R&B albums
Over the Moon (1939 movie)	1939 movies, 1930s comedy movies, British comedy movies, Movies directed by Thornton Freeland
Vaudricourt, Somme	Communes in Somme
Vauvillers, Somme	Communes in Somme
Vaux-en-Amiénois	Communes in Somme
Vaux-Marquenneville	Communes in Somme
Vecquemont	Communes in Somme
Aixe-sur-Vienne	Communes in Haute-Vienne
Velennes, Somme	Communes in Somme
Vercourt	Communes in Somme
Vermandovillers	Communes in Somme
Deca-	Words
Verpillières	Communes in Somme
Vers-sur-Selle	Communes in Somme
Vignacourt	Communes in Somme
Westfield London	2008 establishments in the United Kingdom, Malls, London Borough of Hammersmith and Fulham, Buildings and structures in London
Saint-Aubin-de-Nabirat	Communes in Dordogne
Notre-Dame-de-Sanilhac	Former communes in Dordogne
Breuilh	Former communes in Dordogne
Alen Margaryan	Armenian military people
Bauchi	Cities in Nigeria
Curtain Call at Cactus Creek	1950 comedy movies, 1950s western movies, American comedy movies, American western movies, Movies directed by Charles Lamont
Trikini	Swimwear
Cuban art	Art, Cuban culture
Françoise Dorléac	1942 births, 1967 deaths, French movie actors, French television actors, French stage actors, French models, Actors from Paris, Road accident deaths
Philippe de Broca	1933 births, 2004 deaths, Movie directors from Paris, Cancer deaths in France
David Bailey	1938 births, Living people, English photographers, Writers from Essex
Pyotr Mamonov	1951 births, 2021 deaths, Russian musicians, Writers from Moscow, Deaths from the COVID-19 pandemic in Russia
Sylvia Acevedo	Living people, Year of birth missing (living people), 1950s births, Businesspeople from South Dakota, Businesspeople from New Mexico, People from Las Cruces, New Mexico
Hugo F. Sonnenschein	1940 births, 2021 deaths, American economists, American academics, Scientists from Chicago
Peter R. de Vries	1956 births, 2021 deaths, Assassinated people, Murders by firearm, Dutch columnists, Dutch journalists, Dutch television presenters
Killing of Peter R. de Vries	2021 crimes in Europe, History of Amsterdam, July 2021 events
Surekha Sikri	1945 births, 2021 deaths, Deaths from cardiac arrest, Deaths from stroke, Indian movie actors, Indian television actors, Indian stage actors, Indian voice actors, People from New Delhi
2021 European floods	2021 disasters, 2021 in Europe, 2021 in the United Kingdom, 2020s disasters in Europe, 2020s in France, 2020s in the Netherlands, 21st century in Austria, 21st century in Belgium, 21st century in Romania, 2020s in Germany, 2020s in Italy, 21st century in Switzerland, August 2021 events, Disasters in Germany, Floods, History of Croatia, History of the Czech Republic, History of Luxembourg, History of North Rhine-Westphalia, July 2021 events
Calendar Man	Fictional characters introduced in the 1950s, Batman characters, DC Comics supervillains
Ashoka Chakra	National symbols of India
Sean Gunn	1974 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from St. Louis, Missouri
Polka-Dot Man	Fictional characters introduced in 1962, Batman characters, DC Comics supervillains
Ratcatcher (comics)	Fictional characters introduced in 1988, Batman characters, DC Comics supervillains
2020–21 Frauen Bundesliga	2020 in association football, 2021 in association football, Football in Germany
Kite Man	Fictional characters introduced in the 1960s, Batman characters, DC Comics supervillains
Bloodsport (character)	DC Comics supervillains
Eintracht Frankfurt (women)	Frankfurt, German football clubs, Sport in Hesse, Women's football, 1998 establishments in Europe, 1990s establishments in Germany
Rick Flag	DC Comics characters
Vladimir Sofronitsky	Russian pianists, Classical musicians, 1901 births, 1961 deaths
Shadow Home Secretary	Government of the United Kingdom
TSG 1899 Hoffenheim (women)	German football clubs, Sport in Baden-Württemberg, Women's football, 2007 establishments in Europe, 2000s establishments in Germany
Bharatmata	National personifications, National symbols of India
Johann Andreas Stein	1728 births, 1792 deaths, Musical instrument makers
Selly Oak	Birmingham, Neighborhoods
The Belko Experiment	2016 horror movies, 2010s horror thriller movies, American horror thriller movies
Nannette Streicher	1769 births, 1833 deaths, Musical instrument makers, People from Vienna
Anton Walter	1752 births, 1826 deaths, Musical instrument makers, People from Vienna
Robert Eggers	1983 births, American movie directors
Nicole Billa	1996 births, Living people, Austrian footballers
Conrad Graf	1782 births, 1851 deaths, Musical instrument makers, People from Vienna
Asuka Saitō	1998 births, Living people, Singers from Tokyo, Actors from Tokyo
Ignaz Pleyel	1752 births, 1826 deaths, Musical instrument makers
Albert Bustamante	1935 births, Living people, United States representatives from Texas, US Democratic Party politicians
Joel Hefley	1935 births, Living people, United States representatives from Colorado, Politicians from Oklahoma, US Republican Party politicians, State legislators of the United States, Businesspeople from Oklahoma, Businesspeople from Colorado
W. S. Stuckey Jr.	1935 births, Living people, United States representatives from Georgia, Businesspeople from Georgia (U.S. state), US Democratic Party politicians
Pete Peterson	1935 births, Living people, United States representatives from Florida, Ambassadors of the United States, American military personnel of the Vietnam War, American aviators, American philanthropists, US Democratic Party politicians, Politicians from Omaha, Nebraska
Tirey Lafayette Ford	1857 births, 1928 deaths, 20th-century American politicians, Politicians from San Francisco, 19th-century American politicians
Creed (movie)	2015 drama movies, 2010s sequel movies, Rocky movies, American sequel movies, Movie spin-offs, Movies directed by Ryan Coogler, Warner Bros. movies
Pleural effusion	Pulmonology, Medical emergencies
Woke	Black Lives Matter
Lower Andes tree frog	Frogs, Animals of South America
Villecourt	Communes in Somme
Ville-le-Marclet	Communes in Somme
Paul Whiteman	1890 births, 1967 deaths, American jazz musicians, American pop musicians, American composers, American violinists, American bandleaders, Musicians from Denver, Colorado, Writers from Denver, Colorado, Deaths from myocardial infarction
Ville-sur-Ancre	Communes in Somme
Person of color	Race, Social groups
L.A. State of Mind	2005 albums, Melanie Brown albums, Acoustic pop albums, Electro albums, R&B albums
Hermann Rorschach	1884 births, 1922 deaths, Swiss psychologists, Psychiatrists, Psychoanalysts, People from Zürich
Bayou Cane, Louisiana	Census-designated places in Louisiana
Gray asexuality	Human sexuality
Jerzy Brzęczek	1971 births, Living people, Polish footballers, Polish football managers, Association football midfielders
Pangender	Gender
Ogie Banks	Living people, 1973 births, American voice actors, Actors from Los Angeles, California
Villeroy, Somme	Communes in Somme
Villers-aux-Érables	Communes in Somme
Villers-Bocage, Somme	Communes in Somme
COVID-19 pandemic in Brunei	COVID-19 pandemic by country, Brunei
Villers-Campsart	Communes in Somme
Villers-Carbonnel	Communes in Somme
Neil Kaplan	Living people, 1967 births, American voice actors, American comedians
Chris Edgerly	Living people, 1969 births, American voice actors, American comedians
A Brighter Summer Day	1991 crime movies, 1991 drama movies, 1990s crime drama movies, Taiwanese movies, Movies directed by Edward Yang
Kay Barnes	US Democratic Party politicians, Mayors of Kansas City, Missouri, 1938 births, Living people
Bayonne ham	Ham, French food, Occitanie
Cereal	Breakfast foods, Grains
Beddit	Sleep, 2006 establishments
Dehumanization	Hatred, Social issues
Shakti Pratap Singh Rathore	Living people, 1979 births, Rajasthani politicians, People from Ajmer district, Indian National Congress politicians from Rajasthan
Government College of Ajmer	Colleges in Ajmer, Educational institutions established in 1836, 1836 establishments in India
Rajasthan Youth Congress	Indian Youth Congress, Politics of Rajasthan
Shock G	1963 births, Living people, African-American rappers, African-American singers, Musicians from Brooklyn
Ryan Chaffin	Living people, American businesspeople
Villers-Faucon	Communes in Somme
Villers-lès-Roye	Communes in Somme
Villers-sous-Ailly	Communes in Somme
A Wopbopaloobop A Lopbamboom	1989 drama movies, Luxembourgian movies, German drama movies, Movies directed by Andy Bausch
Villers-sur-Authie	Communes in Somme
Villers-Tournelle	Communes in Somme
Vironchaux	Communes in Somme
Raghu Sharma	Living people, 1958 births, Rajasthani politicians, People from Ajmer district, Indian National Congress politicians from Rajasthan
Polish chicken	animals, birds
Lioliai	Towns in Lithuania
Interpedia	Encyclopedias
The Bachelor's Daughters	1946 movies, 1940s comedy movies, American comedy movies, Movies directed by Andrew L. Stone
Incredible String Band	British musical groups
Sultan chicken	Domesticated animals
COVID-19 pandemic in New York City	COVID-19 pandemic in the United States, 21st century in New York City
Vismes	Communes in Somme
Vitz-sur-Authie	Communes in Somme
Voyennes	Communes in Somme
Valašské Meziříčí	Towns in the Czech Republic
Liberty Hyde Bailey	American botanists
Doksy	Towns in the Czech Republic
César and Rosalie	1972 movies, 1970s romance movies, French romance movies, Movies directed by Claude Sautet
Hněvkovice	Villages in the Czech Republic
Polygynandry	Mating systems
Peppermint (2018 movie)	2018 movies, 2010s action thriller movies, American action thriller movies, Hong Kong movies, Movies directed by Pierre Morel
Tammari language	Languages of Benin, Togo
Tepui tree frog	Frogs, Animals of South America
Vraignes-en-Vermandois	Communes in Somme
Vraignes-lès-Hornoy	Communes in Somme
Vrély	Communes in Somme
Wargnies	Communes in Somme
Warloy-Baillon	Communes in Somme
Warsy	Communes in Somme
Warvillers	Communes in Somme
Qiu Cixuan	1979 births, Living people, Chinese actors
South London	London, Geography of the United Kingdom
Nueve de Julio Airport	Airports in Argentina
Quilmes Airport	Airports in Argentina
Zapala Airport	Airports in Argentina
Temi Dee	1993 births, Living people, Nigerian musicians
Quincy political family	American families
Syndrome of subjective doubles	Psychosis
Abigail Adams Smith	John Adams, People with cancer, People from Massachusetts
Occupational burnout	Health problems, Everyday life
Beltrán	Disambiguation pages, Spanish-language surnames
Wiencourt-l'Équipée	Communes in Somme
Wiry-au-Mont	Communes in Somme
Woignarue	Communes in Somme
Woincourt	Communes in Somme
Woirel	Communes in Somme
Yaucourt-Bussus	Communes in Somme
Yonval	Communes in Somme
Yvrench	Communes in Somme
Yvrencheux	Communes in Somme
Yzengremer	Communes in Somme
Ceres Airport	Airports in Argentina
Cumbia	Music by nationality
Kudapa	Villages in Andhra Pradesh
Addada	Villages in Andhra Pradesh
Alto Río Senguer Airport	Airports in Argentina
Ascochinga Airport	Airports in Argentina
Charles Adams (1770–1800)	John Adams, 1770 births, 1800 deaths
Thomas Boylston Adams	John Adams
Kooikerhondje	Spaniels
Mwazulu Diyabanza	Articles with hCards, Living people, Activists
Voltati Eugenio	1980 comedy movies, Italian comedy movies, French comedy movies, Movies directed by Luigi Comencini
Modern English	English language
A Copy of My Mind	2015 drama movies, Indonesian movies, South Korean movies, Movies directed by Joko Anwar
Primo TV	American television stations, 2017 establishments in the United States
Vsemirnuyu Slavu	Russian music
Ramna Park	Bangladesh
Biennial (disambiguation)	Units of time
Swadhinata Stambha	National symbols of Bangladesh
Shaheed Minar, Dhaka	National symbols of Bangladesh
National Martyrs’ Memorial	National symbols of Bangladesh
Warner Bros. Movie World	Gold Coast, Queensland
Martyred Intellectuals Memorial	National symbols of Bangladesh
Sullivan Bluth Studios	1979 establishments, American animation studios
Dreamworld	Gold Coast, Queensland
Government seal of Bangladesh	National symbols of Bangladesh
Seaworld	Theme parks, Aquariums
Wet and Wild	Gold Coast, Queensland
Notuner Gaan	Songs, National symbols of Bangladesh
Joy Bangla	Parts of speech, Battles
Killing of Hunter Brittain	Deaths by firearm in Arkansas, Deaths by person in the United States, Child deaths
Tongan language	Languages of Oceania, Tonga
Samoan language	Languages of Oceania, American Samoa, Samoa
The Young Animals	1968 drama movies, American drama movies, Movies directed by Maury Dexter
Palau Language Commission	Palau, Language
Something Nice from London	2013 drama movies, Zimbabwean movies, British drama movies
Party of Action and Solidarity	Political parties in Europe, Moldova
The Sleepwalkers (2019 movie)	2019 drama movies, Argentine movies, Uruguayan movies, Movies directed by Paula Hernández
There Is Such a People	2020 establishments in Europe, Political parties in Bulgaria
Michael Gargiulo	1976 births, Living people, American people convicted of manslaughter, American serial killers, Criminals from Illinois, Criminals from California, American rapists
Pilar Bardem	1939 births, 2021 deaths, Goya Award winners, Spanish movie actors, Spanish television actors, Spanish stage actors, Spanish voice actors, Political activists, People from Seville, Deaths from lung disease
Graham Vick	1953 births, 2021 deaths, People from Birmingham, Deaths from the COVID-19 pandemic in the United Kingdom
Williams Martínez	1982 births, 2021 deaths, People who committed suicide, Uruguayan footballers, Sportspeople from Montevideo
Danish Siddiqui	1983 births, 2021 deaths, Murders by firearm, Indian journalists, Photojournalists, People from New Delhi, Pulitzer Prize winners
Dawn Foster	1987 births, 2021 deaths, Disease-related deaths in London, British journalists, People from Belfast
Hartville, Missouri	Cities in Missouri, County seats in Missouri
Mountain Grove, Missouri	Cities in Missouri
Licking, Missouri	Cities in Missouri
Mansfield, Missouri	Cities in Missouri
Les Arcs, Var	Communes in Var
The Crow (movie)	1994 horror movies
Artignosc-sur-Verdon	Communes in Var
Artigues, Var	Communes in Var
Aups	Communes in Var
Anna M. Valencia	1985 births, Living people, Politicians from Chicago, US Democratic Party politicians
Artigues, Ariège	Communes in Ariège
Bagnols-en-Forêt	Communes in Var
Gifford, Illinois	Villages in Illinois
Rossana Rodriguez-Sanchez	1978 births, Living people, Politicians from Chicago, Independent politicians in the United States, Democratic socialists, American political activists
The Joshua Tree	U2 albums, 1987 albums
COVID-19 pandemic in the Maldives	Maldives, COVID-19 pandemic by country
La Cumbre Airport	Airports in Argentina
The Pale of Settlement	Jewish history, History of Russia, Genetic disorders, Settlements in Russia
Undeciphered writing system	Writing systems
Back to Bedlam	2004 albums, Debut albums
Aalborg Airport	Airports in Denmark
Biennial (international art shows)	Disambiguation pages
Benidorm International Song Festival	Music festivals
Arrested Development (TV series)	American sitcoms
Esbjerg Airport	Airports in Denmark
Chris Whitty	1966 births, Living people, Medical researchers, People from Gloucestershire
Lapinlahti	Municipalities of Northern Savonia
Édouard-Henri Avril	1849 births, 1928 deaths, French painters
Boana steinbachi	Frogs, Animals of South America
Numidian language	Berber languages
Judgment Night	1993 action movies, 1993 thriller movies, 1990s action thriller movies, American action thriller movies, Movies directed by Stephen Hopkins, Universal Pictures movies
Bandol	Communes in Var
Mischianza	1770s in Pennsylvania, 18th century in Philadelphia, Parties
Thurmont, Maryland	Towns in Maryland
Kishori Pednekar	1962 births, Living people, Mayors, Indian politicians, People from Mumbai
President of the Maldives	Presidents of the Maldives
Mohamed Amin Didi	1910 births, 1954 deaths, Presidents of the Maldives
Muhammad Fareed Didi	1901 births, 1969 deaths, Maldivian people, Sultans
Ibrahim Nasir	1926 births, 2008 deaths, Presidents of the Maldives
Maumoon Abdul Gayoom	1937 births, Presidents of the Maldives, Living people
Mohamed Nasheed	1967 births, Living people, Presidents of the Maldives
Mohammed Waheed Hassan	1953 births, Living people, Presidents of the Maldives, Vice presidents of the Maldives
Abdulla Yameen	1959 births, Living people, Presidents of the Maldives
Ibrahim Mohamed Solih	Living people, Presidents of the Maldives, 1962 births, Current national leaders
People's Majlis	Maldives
Ibrahim Muhammad Didi	Presidents of the Maldives, Vice presidents of the Maldives, 1902 births, 1981 deaths
Faisal Naseem	1973 births, Vice presidents of the Maldives, Living people
Vice President of the Maldives	Vice presidents of the Maldives
Pig (2021 movie)	2021 movies, 2020s drama movies, 2020s thriller movies, American drama thriller movies
Adam Arkin	1956 births, Living people, American movie actors, American stage actors, American voice actors, American television actors, American television directors, American television writers, Writers from New York City, Actors from New York City
Slingerlands, New York	Hamlets in New York
Bethlehem, New York	Towns in New York
Shah Jalal Dargah	History of Bangladesh, National symbols of Bangladesh
Petrapole-Benapole border ceremony	Transport in India
Animal welfare	Animal husbandry, Animal rights
Bangamata	National personifications, National symbols of Bangladesh
Ostrołęka	Cities in Poland
Gray Chittagong Cockerel	Chicken as food, National symbols of Bangladesh
Kadaknath	Poultry, National symbols of India
Turkey, North Carolina	Towns in North Carolina
Albemarle, North Carolina	Cities in North Carolina, County seats in North Carolina
Eden, North Carolina	Cities in North Carolina
Garner, North Carolina	Towns in North Carolina, Wake County, North Carolina
Lewisville, North Carolina	Towns in North Carolina
Havelock, North Carolina	Cities in North Carolina
