List of regions of Canada	Canada-related lists, Regions of Canada
Software as a service	Software
Donald Sinden	1923 births, 2014 deaths, Actors from Devon, Actors from Kent, Actors from Sussex, British radio actors, Cancer deaths in England, Commanders of the Order of the British Empire, Deaths from prostate cancer, Disease-related deaths in Kent, English autobiographers, English movie actors, English stage actors, English television actors, People from Plymouth, Writers from Kent, Writers from Sussex
Atef Ebeid	1932 births, 2014 deaths, Educators, Egyptian Muslims, Prime Ministers of Egypt
Annie Khalid	1987 births, Living people, English people, Pakistani people
Indian Military Historical Society	Research organizations in the United Kingdom
Royal Asiatic Society	Research, Organisations based in the United Kingdom, Royal Societies of the United Kingdom, 1824 establishments, 1820s establishments in the United Kingdom
Niscemi	Settlements in Sicily
John Bardon	1939 births, 2014 deaths, Actors from Middlesex, English movie actors, English stage actors, English television actors
Stefan Gierasch	1926 births, 2014 deaths, American movie actors, American television actors, Actors from New York City
Delayed sleep phase disorder	Neurology, Sleep disorders
Napoleonic Code	Law
Denny Miller	1934 births, 2014 deaths, Actors from Indiana, American movie actors, American television actors, Deaths from motor neurone disease, Disease-related deaths in the United States, People from Bloomington, Indiana
Gerrit Kouwenaar	1923 births, 2014 deaths, Disease-related deaths in the Netherlands, Dutch journalists, Dutch people of World War II, Dutch poets, Prisoners, Translators, Writers from Amsterdam
Sun Tower	Skyscrapers in Canada, Vancouver
Kendall Francois	1971 births, 2014 deaths, African-American people, American prisoners sentenced to life imprisonment, American serial killers, Criminals from New York, Deaths from natural causes, People who died in prison custody, People with HIV/AIDS, People from Poughkeepsie, New York
William Dalrymple	1965 births, Living people, British people, Scottish writers
Richard Francis Burton	1821 births, 1890 deaths, English people, English writers, English explorers
Margaret Palm	Slaves, People from Pennsylvania, Year of death missing, 1836 births
Joe Sample	1939 births, 2014 deaths, American jazz musicians, American pianists, American conductors, Musicians from Houston, Texas
Kamal Ganzouri	1933 births, 2021 deaths, Economists, Prime Ministers of Egypt
Wild at Heart	1990 crime movies, 1990 thriller movies, 1990s crime thriller movies, 1990s road movies, American crime thriller movies, American road movies, English-language movies, Movies about couples, Movies directed by David Lynch
Wild Camp	French movies, 2005 movies, 2000s drama movies
Sarah Grimké	1792 births, 1873 deaths, American abolitionists, American feminists
Joseph Shivers	1920 births, 2014 deaths, American chemists, Scientists from New Jersey, Scientists from Pennsylvania
Adam Berti	1986 births, Canadian ice hockey left wingers, Chicago Blackhawks players, Ice hockey people from Ontario, Living people, Sportspeople from Ontario, American Hockey League players, ECHL players, Ontario Hockey League players
Arch A. Moore Jr.	1923 births, 2015 deaths, American Methodists, American military personnel of World War II, Governors of West Virginia, Purple Heart recipients, United States representatives from West Virginia, US Republican Party politicians
John Franzese	1917 births, 2020 deaths, American centenarians, American prisoners, American robbers, Criminals from New York City, Movie producers from New York City, Naturalized citizens of the United States, People from Naples
Gisèle Casadesus	1914 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in Paris, Actors from Paris, French centenarians, French movie actors
Diane Birch	Musicians from Michigan, 1983 births, Living people
Adrianne Palicki	Actors from Toledo, Ohio, American movie actors, American television actors, 1983 births, Living people
Betty Azar	American educators, Living people
American Bobtail	Cat breeds, Chromosomes
Meghan Trainor	Meghan Trainor, 1993 births, Living people, American feminists, American singer-songwriters, Musicians from Massachusetts, American R&B singers, American pop singers
Sarah Waters	Lesbians, LGBT novelists, Welsh LGBT people, Welsh writers, 1966 births, Living people
Stefan Löfven	1957 births, Living people, Current national leaders, Prime Ministers of Sweden, Trade unionists
Alter Echo	2003 video games, PlayStation 2 games, Science fiction, THQ games, Xbox games
Anwar Kamal Pasha	1927 births, 1987 deaths, Pakistani people, Pakistani entertainers, Cinema of Pakistan
Anthem of the Azerbaijan Soviet Socialist Republic	National anthems, National symbols of Azerbaijan, 20th century in Azerbaijan, 1944 establishments in the Soviet Union, 1992 disestablishments
Yoshiko Ōtaka	1920 births, 2014 deaths, Deaths from heart failure, Japanese movie actors, Japanese television actors, Japanese stage actors, Japanese politicians, Japanese singers, Chinese movie actors, Chinese television actors, Chinese stage actors, Chinese singers, Chinese politicians
Marvin Cheung	1947 births, 2014 deaths, Deaths from leukemia, Chinese businesspeople, Civil servants, People from Hong Kong
Milan Galić	1938 births, 2014 deaths, Serbian footballers, Yugoslavian sportspeople
Frank Torre	1931 births, 2014 deaths, Deaths from cardiac arrest, American baseball players, Milwaukee Braves players, Philadelphia Phillies players, Sportspeople from New York City
100,000-year problem	Climate change
Scottish independence referendum	2014 in the United Kingdom, Politics of the United Kingdom, Politics of Scotland
Nickelodeon Arabia	Viacom, Nickelodeon, Television channels
Azerbaijani Chess Championship	Chess competitions, Chess in Azerbaijan
Bell Biv DeVoe	American boy bands, American R&B bands, 1989 establishments in the United States
Azerbaijan Chess Federation	1920 establishments in Azerbaijan, 1992 establishments in Azerbaijan, Chess organizations, Chess in Azerbaijan
Jaimie Alexander	American television actors, American movie actors, Actors from South Carolina, 1984 births, Living people
Benjamin Adekunle	1936 births, 2014 deaths, Generals, Nigerian military people
Tony Auth	Pulitzer Prize winners, 1942 births, 2014 deaths, Deaths from brain cancer, American cartoonists, Writers from Philadelphia, Pennsylvania, Writers from Akron, Ohio
Jobing.com Arena	Buildings and structures in Arizona, 2007 establishments in the United States, 2000s establishments in Arizona, 2014 disestablishments in the United States, Disestablishments in Arizona
Cruis'n USA	1994 video games, Arcade games, Nintendo 64 games, Nintendo video games, Racing video games
Post Bahadur Bogati	1953 births, 2014 deaths, Communist politicians, Deaths from cardiac arrest, Deaths from cardiovascular disease, Deaths from cerebral hemorrhage, Government ministers, Nepalese politicians
Berks County, Pennsylvania	18th-century establishments in Pennsylvania, 1750s establishments in the Thirteen Colonies, 1752 establishments, Pennsylvania counties
Vladimír Sobotka	1987 births, American Hockey League players, Boston Bruins players, Czech ice hockey players, Living people, St. Louis Blues players, Ice hockey centres
Marthasville, Missouri	1817 establishments in the United States, Cities in Missouri, Wine regions, 1810s establishments in Missouri Territory
Pointer (computer programming)	Computer programming
Nicholas Romanov, Prince of Russia	1922 births, 2014 deaths, Civil servants, People from Provence-Alpes-Cote d'Azur, House of Romanov
Angus Lennie	1930 births, 2014 deaths, Actors from Glasgow, Scottish movie actors, Scottish television actors
Charles Kingsford Smith	1897 births, 1935 deaths, Aviators, People from Queensland
Caroline Chisholm	Christian saints, 1808 births, 1877 deaths, English people
Moira Kelly	1968 births, Living people, American singers, American voice actors, American comedians, American movie actors, American television actors, American video game actors, Actors from Queens
Edward Hargraves	1816 births, 1891 deaths, Australian people
David Fleay	1907 births, Australian scientists, 1993 deaths
Archie Roach	Indigenous Australian musicians, Order of Australia
John Flynn	1880 births, 1951 deaths, Australian Christians, Christian ministers, Officers of the Order of the British Empire, People from Victoria (Australia), Presbyterians
Marcus Oliphant	1901 births, 2000 deaths, Australian scientists, Physicists
Edward Dunlop	1907 births, 1993 deaths, Australian boxers, Australian medical doctors, Australian military people, Australian rugby league players, Colonels, Military personnel of World War II, Prisoners of war, Sportspeople from Victoria (Australia), Surgeons, Pharmacists
John H. Sununu	1939 births, Living people, Governors of New Hampshire, White House Chiefs of Staff, US Republican Party politicians, People from Havana
Brian Schweitzer	1955 births, Living people, Governors of Montana, People from Havre, Montana, US Democratic Party politicians
Roy Romer	1928 births, Living people, Governors of Colorado, Politicians from Kansas, Politicians from California, US Democratic Party politicians
Richard Lamm	1935 births, 2021 deaths, Governors of Colorado, American lawyers, American educators, Writers from Colorado, Writers from Wisconsin, People from Madison, Wisconsin, US Democratic Party politicians, Deaths from pulmonary embolism
Walter Dale Miller	1925 births, 2015 deaths, Governors of South Dakota, Ranchers, US Republican Party politicians, Lieutenant Governors of South Dakota
Frank Farrar	1929 births, Living people, American judges, American lawyers, Governors of South Dakota, US Republican Party politicians
Philip H. Hoff	1924 births, 2018 deaths, Governors of Vermont, Politicians from Massachusetts, US Democratic Party politicians
F. Ray Keyser Jr.	1927 births, 2015 deaths, Governors of Vermont, US Republican Party politicians
Emerson, Lake and Powell (album)	1986 albums
ITV (TV channel)	1955 establishments in Europe, 1950s establishments in the United Kingdom, ITV
2 of Amerikaz Most Wanted	1995 songs, Tupac Shakur songs
Kristin Cavallari	Actors from Denver, Colorado, Actors from Illinois, American movie actors, American television actors, 1987 births, Living people
Lyndsy Fonseca	American television actors, American movie actors, Actors from Oakland, California, 1987 births, Living people
Pasig	Cities in the Philippines, Metro Manila
Kit Carson	American frontiersmen and women, American generals, People from Kentucky, People from Missouri, People from New Mexico, Deaths from aortic aneurysm, 1809 births, 1868 deaths
San Juan, Metro Manila	Cities in the Philippines, Metro Manila
Mandaluyong	Cities in the Philippines, Metro Manila
Pasay	Cities in the Philippines, Metro Manila
Metro Manila	Metro Manila, Regions of the Philippines
Monoceros	Constellations
Petrus Plancius	1552 births, 1622 deaths, Belgian astronomers, Cartographers, Christian ministers, Christian theologians, Dutch astronomers, Dutch Calvinists, People from West Flanders
Edward R. Hauser	1916 births, 2014 deaths, Deaths from natural causes, Scientists from Wisconsin
Boris Khimichev	1933 births, 2014 deaths, Deaths from brain cancer, Russian movie actors, Ukrainian actors
Yitzhak Hofi	1927 births, 2014 deaths, Directors of intelligence agencies, Israeli generals, Israeli Jews, Jewish military people, People from Tel Aviv, People of the Mossad
Gemini (constellation)	Constellations, Constellations listed by Ptolemy
Eugene I. Gordon	1930 births, 2014 deaths, American physicists, Scientists from New York City
Lepus (constellation)	Constellations, Constellations listed by Ptolemy
Puppis	Constellations
AFC Cup	Football competitions, Sport in Asia
Jessy Schram	People from Skokie, Illinois, American television actors, American movie actors, Actors from Illinois, 1986 births, Living people
Dranouter	Settlements in Belgium, West Flanders
South China AA	Football clubs, Football in Hong Kong, 1904 establishments, 1900s establishments in Asia, 20th century establishments in China
Super Junior-M	South Korean boy bands, Hip hop bands, R&B bands, 2008 establishments in South Korea
Dree Hemingway	American television actors, American movie actors, American models, Actors from Idaho, 1987 births, Living people
Han Geng	Chinese movie actors, Chinese television actors, Chinese singers, 1984 births, Living people
Tim Hudson	San Francisco Giants players, Living people, 1975 births, People from Columbus, Georgia
Hamdeen Sabahi	1954 births, Living people, Egyptian Muslims, Egyptian politicians, Egyptian poets
Wanderlei Silva	1976 births, Brazilian sportspeople, Doping cases in sport, Living people, Mixed martial artists, People from Curitiba
Lofa County	Liberia, Counties, 1964 establishments in Africa
John Mercer Langston	1829 births, 1897 deaths, American academics, African-American people
Michelin Guide	Non-fiction books
Drive Angry	2010s action movies, 2011 movies
Shaukat Tarin	1953 births, Living people, Pakistani people
Alf Ivar Samuelsen	1942 births, 2014 deaths, Norwegian politicians, Mayors
Andriy Husin	1972 births, 2014 deaths, Road accident deaths, Ukrainian footballers, Ukrainian football managers, Sportspeople from Kiev
China Zorrilla	1922 births, 2014 deaths, Deaths from pneumonia, People from Montevideo, Stage actors, Television actors, Alumni of the Royal Academy of Dramatic Art, Argentine movie actors
Linwood Holton	1923 births, Living people, Governors of Virginia, US Republican Party politicians
Constitution of Chile	Politics of Chile, Constitutions, 1981 establishments in Chile
Walter Washington	1915 births, 2003 deaths, Deaths from renal failure, Deaths from cardiac arrest, Mayors of Washington, D.C., US Democratic Party politicians
Frank Nighbor	1893 births, 1966 deaths, Canadian ice hockey centres, Cancer deaths in Ontario, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, Ice hockey people from Ontario, Lady Byng Memorial Trophy winners, Ottawa Senators (NHA) players, Sportspeople from Ontario, Stanley Cup champions, Toronto Blueshirts players
Claire Foy	1984 births, Living people, Actors from Buckinghamshire, Actors from Greater Manchester, Actors from Leeds, English movie actors, English television actors, People from Stockport, Greater Manchester
Mark Messier	1961 births, Canadian ice hockey centres, Conn Smythe Trophy winners, Edmonton Oilers players, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, Ice hockey people from Alberta, Living people, National Hockey League broadcasters, New York Rangers players, Sportspeople from Edmonton, Stanley Cup champions, Vancouver Canucks players, World Hockey Association players, Central Professional Hockey League players
Julio Jaramillo	1935 births, 1978 deaths, Deaths from liver disease, Deaths from sclerosis, Ecuadorian entertainers, Singers, People from Guayaquil
George Hamilton IV	1937 births, 2014 deaths, Deaths from myocardial infarction, American country musicians, Musicians from North Carolina, Singers from North Carolina, People from Winston-Salem, North Carolina
Keith Anderson	Living people, 1968 births, Country musicians
Reeva Steenkamp	1983 births, 2013 deaths, Murders by firearm, People from Cape Town, Reality television participants, South African entertainers, South African models, Television presenters, White South African people
Cassandra Lynn	1979 births, 2014 deaths, American models, Drug-related accidental deaths in the United States, Actors from Salt Lake City, Utah
Warren County, Missouri	1833 establishments in Missouri, Missouri counties
Debra Paget	American television actors, American movie actors, Actors from Denver, Colorado, 1933 births, Living people
Double Indemnity	1940s thriller movies, 1944 movies, Film noir, Movies directed by Billy Wilder
Kenny Wheeler	1930 births, 2014 deaths, Canadian composers, Jazz musicians, Musicians from Toronto, Trumpeters
David Foster Wallace	1962 births, 2008 deaths, Suicides by hanging in the United States, American educators, Writers from New York City
Sacrifice (2014)	2014 in American television, 2014 in professional wrestling, Sports in Orlando, Florida, Total Nonstop Action Wrestling pay-per-view events, 2010s in Orlando, Florida, 2014 in Florida
Elaine Lee (actress)	1939 births, 2014 deaths, Australian movie actors, Australian stage actors, Australian television actors, South African actors
U. Srinivas	1969 births, 2014 deaths, Deaths from liver failure, Disease-related deaths in India, Indian educators, Indian musicians, Mandolinists
Jürg Schubiger	1936 births, 2014 deaths, Children's writers, Disease-related deaths in Switzerland, Swiss psychologists, Swiss writers
American imperialism	United States, History of the United States
Herman Hollerith	American inventors, 1860 births, 1929 deaths, Businesspeople from Buffalo, New York, Computing
Mary of Eu	1223 births, 1260s deaths
Quartering Acts	18th century in the United States, History of the United Kingdom
The Tonight Show Starring Johnny Carson	1962 establishments in the United States, 1992 television series endings, 1960s American television series, 1970s American television series, 1980s American television series, 1990s American television series, American comedy television series, American television talk shows, NBC network shows, Emmy Award winning programs, 1992 disestablishments in the United States, English-language television programs
Popigai crater	Impact craters, Siberia, Geography of Russia
Hempstead, New York	Towns in New York
Darrell Zwerling	1920s births, 2014 deaths, American movie actors, American television actors, Actors from Pittsburgh, Pennsylvania
Buster Jones	1923 births, 2014 deaths, American movie actors, American television actors, American voice actors, Actors from Tennessee
Avraham Heffner	1935 births, 2014 deaths, Israeli academics, Israeli businesspeople, Israeli movie directors, Israeli screenwriters, Israeli movie producers, Jewish academics, Jewish businesspeople, Jewish Israeli writers, Jewish screenwriters, People from Haifa, Television producers
Rudi van Dantzig	1933 births, 2012 deaths, Deaths from male breast cancer, Deaths from lymphoma, Dutch LGBT people, Gay men, LGBT choreographers, LGBT dancers, LGBT writers, Writers from Amsterdam
Gerard Kuiper	1905 births, 1973 deaths, Naturalized citizens of the United States, Dutch scientists, American astronomers
Mary Wilson	African-American singers, American R&B musicians, Singers from Mississippi, 1944 births, 2021 deaths, American R&B singers, Actors from Mississippi, Writers from Mississippi, Deaths from hypertension, Cardiovascular disease deaths in the United States
Hartford Colony	National Register of Historic Places
Michelle Phillips	American songwriters, American pop singers, Singers from California, Actors from Long Beach, California, 1944 births, Living people
Meredith MacRae	American television actors, American movie actors, Actors from Houston, Texas, 1944 births, 2000 deaths
Old Borges Ranch	Contra Costa County, California, Historic districts in California, National Register of Historic Places
Sparky Anderson	1934 births, 2010 deaths, Cincinnati Reds managers, Detroit Tigers managers, National Baseball Hall of Fame members
Niki Nordenskjöld	1975 births, 2014 deaths, Cancer deaths in Sweden, People from Gothenburg, Swedish artists, Swedish movie actors, Swedish stage actors, Swedish television actors
National Convention	French Revolution, 1790s in Europe, 1792, 1793, 1794 in France, 1795
Orphan Black	2010s Canadian television series, 2013 television series debuts, Science fiction television series, 2010s establishments in Canada, English-language television programs
Sacrifice (2012)	2012 in American television, 2012 in professional wrestling, Sports in Orlando, Florida, Total Nonstop Action Wrestling pay-per-view events, 2012 in Florida, 2010s in Orlando, Florida
Clare Cathcart	1965 births, 2014 deaths, Actors from Northern Ireland, British movie actors, British stage actors, British television actors, Deaths from asthma, Disease-related deaths in England
Joseph B. Raynor, Jr.	1923 births, 2014 deaths, Businesspeople from North Carolina, Disease-related deaths in the United States, Politicians from North Carolina, US Democratic Party politicians
Anderson Bruford Wakeman Howe (album)	1989 albums
Timema	Phasmids
Sacrifice (2011)	2011 in American television, 2011 in professional wrestling, Sports in Orlando, Florida, Total Nonstop Action Wrestling pay-per-view events, 2010s in Orlando, Florida, 2011 in Florida, May 2011 events
Near field communication	Everyday life, Computer networking
Gaslight (movie)	1940s crime movies, 1944 drama movies, 1940s mystery movies, 1940s thriller movies, American crime drama movies, American mystery movies, American thriller movies, English-language movies, Film noir, Movies based on plays, Movies directed by George Cukor
Cooperative binding	Biochemistry
Laura (movie)	1940s thriller movies, 1944 movies, Film noir, American thriller movies, Movies directed by Otto Preminger
Mary Rowlandson	American frontiersmen and women, 1630s births, 1711 deaths
Got7	K-pop music groups, 2010s establishments in South Korea, 2014 establishments in Asia, South Korean boy bands
Assassin bug	Hemiptera
Crab cake	American food, Seafood dishes
Anatoly Berezovoy	1942 births, 2014 deaths, Colonels, Cosmonauts, Recipients of the Order of Lenin, Russian crime victims, Soviet military people
Fremont, Ohio	Cities in Ohio, County seats in Ohio
Altaf Gauhar	1923 births, 2000 deaths, Pakistani writers, Pakistani Muslims
Riffat Hassan	1943 births, Living people, Abortion-rights activists, American academics, American feminists, American Muslims, Naturalized citizens of the United States, Pakistani Muslims, People from Lahore
Atomic Betty	Canadian animated television series, French television series, 2004 television series debuts, 2008 television series endings, English-language television programs, 2004 British television series debuts
Planning Institute of Paris	Urban planning organizations, 1919 establishments in France, Paris, Research organizations in Europe
French Urbanism Institute	Urban planning organizations, 1919 establishments in France, Paris, Research organizations in Europe
For the Boys	1990s romantic comedy movies, 1990s romantic drama movies, 1991 comedy-drama movies, American romantic comedy movies, American romantic drama movies, American comedy-drama movies, Movies directed by Mark Rydell
Damon Wayans	Actors from New York City, African American actors, African American comedians, African American movie directors, African American movie producers, African-American screenwriters, American movie actors, American stand-up comedians, American television actors, American television directors, American television producers, American television writers, Movie directors from New York City, Movie producers from New York City, Screenwriters from New York City, Wayans family, 1960 births, Living people
The Last Boy Scout	1991 action movies, 1991 crime movies, 1991 thriller movies, 1990s action thriller movies, 1990s buddy movies, 1990s crime thriller movies, American action thriller movies, American buddy movies, American crime thriller movies, English-language movies, Movies about abduction, Movies about drugs, Movies about murderers, Warner Bros. movies
Karl Jaspers	1883 births, 1969 deaths, 20th century philosophers, German academics, German philosophers, German psychiatrists, People from Lower Saxony
Mortar (masonry)	Building materials
Polly Bergen	1930 births, 2014 deaths, Actors from Tennessee, Businesspeople from Tennessee, American movie actors, American stage actors, American television actors, American television presenters, Deaths from heart failure, Deaths from emphysema, Disease-related deaths in the United States, Emmy Award winning actors, Jewish American actors, Jewish American musicians, People from Knoxville, Tennessee, Singers from Tennessee, Tony Award winning actors
Dina Merrill	1923 births, 2017 deaths, Deaths from dementia, Disease-related deaths in New York, American movie actors, American television actors, American stage actors, American philanthropists, Actors from New York City, Businesspeople from New York City
William Hall-Jones	1851 births, 1936 deaths, People from Folkestone, Politicians from Kent, Prime Ministers of New Zealand
Lynbrook, New York	Towns in New York
Jeanne Shaheen	United States senators from New Hampshire, Governors of New Hampshire, Politicians from Missouri, 1947 births, Living people
Antony Kidman	1938 births, 2014 deaths, Australian educators, Australian medical doctors, Australian scientists, Biochemists, Deaths from myocardial infarction, Order of Australia, Psychologists, Writers from Sydney
Francisco Feliciano	1941 births, 2014 deaths, Filipino people, Composers, Conductors
Ghostbusters (song)	1984 songs, Ghostbusters, Rock music
Iain MacCormick	1939 births, 2014 deaths, British teachers, Disease-related deaths in the United Kingdom, Former members of the British House of Commons for Scottish constituencies, Scottish Parliament Members, Scottish politicians
Rootkit	Malware
Groundhog Day (movie)	1993 comedy-drama movies, 1990s fantasy movies, American comedy-drama movies, American fantasy movies, English-language movies, Movies set in Pennsylvania, Pittsburgh in fiction, Movies directed by Harold Ramis
Bladderwort	Lamiales, Rapid plant movement, Carnivorous plants
Harold & Kumar	2000s comedy movies, 2010s comedy movies, American comedy movies, Buddy movies, English-language movies, Movies set in Alabama, Movies set in Miami, Florida, Movies set in New Jersey, Movies set in Texas, Series of movies
Harold & Kumar Go to White Castle	2004 comedy movies, 2000s adventure movies, 2000s road movies, Buddy movies, English-language movies, Movies set in New Jersey, American road movies, American comedy movies, New Line Cinema movies
Harold & Kumar Escape from Guantanamo Bay	2008 comedy movies, English-language movies, Movies set in Alabama, Movies set in Miami, Florida, Movies set in Texas, 2000s LGBT movies, American buddy comedy movies, American sequel movies, American movies, American LGBT movies, Movies set in the Netherlands, Movies set in 2004, New Line Cinema movies
Secret ballot	elections, secrecy
Rob Bironas	1978 births, 2014 deaths, American football placekickers, Sportspeople from Louisville, Kentucky, Road accident deaths in the United States, Tennessee Titans players
Grammar school	Types of educational institutions, Schools in the United Kingdom
Valeria Golino	Actors from Campania, Italian movie actors, Italian television actors, People from Athens, People from Naples, 1965 births, Living people
Paradise (movie)	American drama movies, 1991 movies, 1990s drama movies
George Radwanski	1947 births, 2014 deaths, Deaths from myocardial infarction, Canadian writers, Canadian journalists, Civil servants
Sacrifice (2010)	2010 in American television, 2010 in professional wrestling, Sports in Orlando, Florida, Total Nonstop Action Wrestling pay-per-view events, 2010s in Orlando, Florida, May events
Vince Callahan	1931 births, 2014 deaths, Deaths from West Nile virus, US Republican Party politicians, Politicians from Virginia, Politicians from Washington, D.C.
James C. Marsters	1924 births, 2009 deaths, Deaths from cardiovascular disease, Deaths from West Nile virus, American inventors, Scientists from New York
Linda Griffiths	1953 births, 2014 deaths, Actors from Montreal, Canadian movie actors, Canadian stage actors, Cancer deaths in Ontario, Deaths from breast cancer, Canadian playwrights, Writers from Montreal
I Wanna Be Down	1994 songs, Brandy songs
Best Friend (song)	1995 songs, Brandy songs
The S.O.S. Band	1977 establishments in the United States, American R&B bands, Musical groups established in 1977
George Sluizer	1932 births, 2014 deaths, Cardiovascular disease deaths in the Netherlands, Dutch artists, Dutch movie directors, Dutch movie producers, Dutch screenwriters, Movie directors from Paris, Movie producers from Paris, Writers from Paris
Eric Lynch	1975 births, 2014 deaths, Actors from Contra Costa County, California, American movie actors, American radio personalities, American television actors, Deaths from heart failure, Deaths from liver failure, Deaths from renal failure, Deaths from multiple organ failure, Disease-related deaths in the United States, Actors from Sacramento, California
Death and state funeral of Leonid Brezhnev	State funerals, November events, 1982, 1980s in the Soviet Union
Death and state funeral of Pierre Trudeau	State funerals, September events, 2000 in North America, 2000s in Canada
Lying in state	Death customs
Gale Page	American television actors, American movie actors, Actors from Washington, 1913 births, 1983 deaths
Lying in repose	Death customs
Maria Kaczyńska	1942 births, 2010 deaths, Aviation deaths, Polish people, Civil servants
Closed system	Physics
Jeremy Ball	1968 births, 2014 deaths, Accidental deaths in Australia, Australian activists, Australian movie actors, Australian television actors, Deputy mayors, People from Launceston, Tasmania, Politicians from Tasmania, Road accident deaths
Earl Ross	1941 births, 2014 deaths, Daytona 500 winners, NASCAR drivers, People from Prince Edward Island, Sportspeople from Ontario
Elsa-Marianne von Rosen	1924 births, 2014 deaths, Ballerinas, Choreographers, Deaths from natural causes, Actors from Stockholm, Swedish movie actors, Swedish stage actors, Swedish television actors, Ballet dancers, Swedish artists, Swedish nobility
Helepolis	Ancient Greece, Weapons
Copper wire and cable	Electrical wiring
Triphyophyllum	Caryophyllales, Carnivorous plants
Earl Hindman	1942 births, 2003 deaths, Actors from Arizona, Actors from Stamford, Connecticut, American movie actors, American stage actors, American television actors, Cancer deaths in the United States, Deaths from lung cancer
Autophila rosea	Erebidae, Moths
Autophila maura	Erebidae
Autophila dilucida	Erebidae
Caradrina agrotina	Noctuidae
Caradrina draudti	Noctuidae
Cymothoa exigua	Crustaceans, Parasites
Milton Cardona	1945 births, 2014 deaths, American drummers, American jazz musicians, Deaths from heart failure, Puerto Rican singers
Jean-Pierre Dumont	1978 births, American Hockey League players, Buffalo Sabres players, Canadian ice hockey right wingers, Chicago Blackhawks players, Ice hockey people from Quebec, International Hockey League (1945–2001) players, Living people, Nashville Predators players, Sportspeople from Montreal, Val-d'Or Foreurs players
Joanne Whalley	English television actors, English movie actors, 1961 births, Living people
Montek Singh Ahluwalia	Living people, 1940s births, Indian economists, Indian scientists, Indian politicians
Supercross	Motor sports
Georges Danton	1759 births, 1794 deaths, French politicians, People of the French Revolution
Belle Starr	1884 births, 1889 deaths, American thieves, Murdered criminals, Murders by firearm in the United States, People from Missouri, Unsolved murders in the United States
Royal Alcazar of Madrid	Castles in Spain, Buildings and structures in Madrid
Taxali Gate	Mughal architecture, History of Pakistan, Lahore
Gregor Blanco	1983 births, Living people, San Francisco Giants players, Atlanta Braves players, Kansas City Royals players
Heera Mandi	Red light districts, History of Pakistan, Lahore
Reema	1972 births, Living people, Punjabi people, Pakistani movie actors
Lucasfilm Animation	American animation studios
Altaf Hussain	1949 births, Living people, Pakistani people, Cinema of Pakistan
Asma Jahangir	1952 births, 2018 deaths, Deaths from cardiac arrest, Deaths from cerebral hemorrhage, Human rights activists, Pakistani lawyers, People from Lahore, Women lawyers
Peter von Bagh	1943 births, 2014 deaths, Disease-related deaths in Finland, Finnish educators, Historians, Finnish movie directors, People from Helsinki, Writers, Finnish scientists
Carolyn S. Shoemaker	1929 births, 2021 deaths, American astronomers, Scientists from New Mexico, People from Gallup, New Mexico, Accidental deaths from falls in the United States
Audrey Long	1922 births, 2014 deaths, Actors from California, Actors from Orlando, Florida, Actors from Virginia, American movie actors, American stage actors, American television actors, Disease-related deaths in England
The January Man	American thriller movies, American comedy movies, 1989 movies
Flor Van Noppen	1956 births, 2014 deaths, Deaths from multiple system atrophy, Alderman of Belgium, Belgian politicians, People from Antwerp (province)
Rackstraw Downes	1939 births, Living people, Naturalized citizens of the United States, British painters, American painters, Writers from Kent, Writers from Texas, Writers from Maine, Writers from Connecticut
Johnny Handsome	American crime movies, American drama movies, 1989 movies
Eugene Merle Shoemaker	1928 births, 1997 deaths, Road accident deaths, American geologists, Scientists from Los Angeles, California
David H. Levy	1948 births, Living people, Canadian scientists, Astronomers, Writers from Montreal
Gallup, New Mexico	Cities in New Mexico, County seats in New Mexico
Arthur T. Hannett	1884 births, 1966 deaths, Governors of New Mexico, US Democratic Party politicians, People from Gallup, New Mexico, Politicians from New York
Lyons, New York	Towns in New York
Smitley River	Rivers of Canada
Panipat	Settlements in Haryana, Towns in India
Third Battle of Panipat	1761, 18th century in India
Zabardast Khan	1788 deaths, History of India
Marc Okrand	1948 births, Living people, Linguists
Eulogy	Death customs
North Bend, Ohio	Villages in Ohio
Fallen angel	Theology, Angels, Demons
Radawczyk Drugi	Villages in Poland
Mutsun	Languages of the United States
Mary Haas	1910 births, 1996 deaths, People from Richmond, Indiana, University of California, Berkeley faculty, Women linguists, Writers from Indiana, Yale University alumni
Sahana Pradhan	1927 births, 2014 deaths, Communist politicians, Deaths from cardiovascular disease, Deaths from cerebral hemorrhage, Government ministers, Nepalese politicians, People from Kathmandu
Star Trek Into Darkness	Star Trek movies, 2013 action movies, 2013 science fiction movies, Paramount movies, English-language movies, Movies directed by J. J. Abrams
Geochronology	Dating methods
Atlantean language	Constructed languages
Dulla Bhatti	1599 deaths, History of Pakistan, History of India, Punjabi people, Folklore
Najam Hussain Syed	1936 births, Living people, Pakistani people, Punjabi people, Pakistani writers
Timeline of Islamic State of Iraq and the Levant events in 2014	2014, 21st century in Iraq, 21st century in Syria, Islamic State
Ancestry.com	1983 establishments in the United States, Computer networking, Genealogy, Provo, Utah, Software, American technology companies, Websites
Alexander Grothendieck	1928 births, 2014 deaths, Fields Medalists, French mathematicians, People from Berlin
Ohlone people	Native American people, Ethnic groups in North America
