Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
James Parkinson	1755 births, 1824 deaths, Cardiovascular disease deaths in England, Deaths from stroke, English activists, English geologists, English palaeontologists, English physicians, Scientists from London, Pharmacists
Jean-Martin Charcot	1825 births, 1893 deaths, Neurologists, Scientists from Paris
Hanna Gronkiewicz-Waltz	1956 births, Living people, Bankers, Mayors of Warsaw, Polish businesspeople
Pierre Marie	1853 births, 1940 deaths, Neurologists, Scientists from Paris
Charcot–Marie–Tooth disease	Diseases
Howard Henry Tooth	1856 births, 1925 deaths, Cardiovascular disease deaths in England, Deaths from cerebral hemorrhage, English scientists, Neurologists
Frederic Lewy	1885 births, 1950 deaths, Scientists from California, Naturalized citizens of the United States, Neurologists, Scientists from Berlin
Alfons Maria Jakob	1884 births, 1931 deaths, German scientists, Neurologists
Hans Gerhard Creutzfeldt	1885 births, 1964 deaths, German scientists, Neurologists
Dementia with Lewy bodies	Diseases, Dementia
Beji Caid Essebsi	1926 births, 2019 deaths, Presidents of Tunisia, Prime Ministers of Tunisia, Speakers of the Assembly of the Representatives of the People
Hédi Baccouche	1930 births, 2020 deaths, Prime Ministers of Tunisia
Hamed Karoui	1927 births, 2020 deaths, Prime Ministers of Tunisia
Mohammed Mzali	1925 births, 2010 deaths, Prime Ministers of Tunisia
Alvin Sargent	Academy Award winners, 1927 births, 2019 deaths, American screenwriters, Writers from Philadelphia, Pennsylvania
Joseph Sargent	Emmy Award winning directors, 1925 births, 2014 deaths, Deaths from cardiovascular disease, American television directors, Movie directors from New Jersey, Movie producers from New Jersey, People from Jersey City, New Jersey
Burrill Bernard Crohn	1884 births, 1983 deaths, American physicians, Scientists from New York
George Huntington	1850 births, 1916 deaths, American physicians, Scientists from New York City
Autoimmunity	Immunology
Muhammed Zafar Iqbal	1952 births, Living people, Bangladeshi writers, People from Dhaka, Bangla Academy Literary Award winners
Division of Barker	Electoral divisions of Australia, South Australia, 1903 establishments in Australia
Division of Boothby	Electoral divisions of Australia, South Australia, 1903 establishments in Australia
Willie Rennie	1967 births, Living people, People from Fife
K. Balachander	1930 births, 2014 deaths, Indian movie directors, Deaths from urinary tract infection, Infectious disease deaths in India, Indian movie producers, Indian screenwriters, Tamil directors
Gideon Ben-Yisrael	1923 births, 2014 deaths, Former Members of Knesset, Jewish Israeli politicians, Mapai politicians, People from Haifa
Ronald and Nancy Reagan Research Institute	1995 establishments in Illinois, Buildings and structures in Chicago, Illinois, Nancy Reagan, Things named after Ronald Reagan
Alsou	1983 births, Living people, Russian singers, Tatarstan
MTV Unplugged	Music television series, MTV, Peabody Award winners
Aquilops	Ceratopsids
Down (Jay Sean song)	2009 songs
Saydabad District	Districts of Afghanistan
Down (Stone Temple Pilots song)	1999 songs
Angham	1972 births, Living people, Egyptian singers, People from Alexandria, Record producers
Amr Diab	1961 births, Living people, Egyptian singers
MTV Unplugged (Julieta Venegas album)	Julieta Venegas albums, MTV Unplugged albums, 2008 albums
Wheldrake	Civil parishes in North Yorkshire, Villages in North Yorkshire
Aquí	1997 albums, Julieta Venegas albums
Patrick Harvie	1973 births, Living people, Scottish Parliament Members, Greens politicians
Uppingham	Towns in England, Settlements in Rutland
Etxebarri	Cities in the Basque Country, Municipalities in the Basque Country
Vetagrande	Zacatecas, Settlements in Mexico, Municipalities of Mexico
Zacatecas City	Capital cities in Mexico, Zacatecas, 1540s establishments in Mexico, 1548 establishments
Europop	Pop music, European culture
Hwaseong	Cities in South Korea
Conga (song)	1985 songs, Pop songs
Miami Sound Machine	American pop music groups
Cuts Both Ways	1989 albums, Pop albums
Arlesey	Towns in Bedfordshire, Civil parishes in Bedfordshire
Dunstable	Civil parishes in Bedfordshire, Dunstable
Flitwick	Towns in Bedfordshire, Civil parishes in Bedfordshire
Houghton Regis	Towns in Bedfordshire, Civil parishes in Bedfordshire
Kempston	Towns in Bedfordshire, Civil parishes in Bedfordshire
Leighton Buzzard	Towns in Bedfordshire
Linslade	Towns in Bedfordshire
Potton	Towns in Bedfordshire, Civil parishes in Bedfordshire
Sandy, Bedfordshire	Civil parishes in Bedfordshire, Towns in Bedfordshire
Shefford, Bedfordshire	Towns in Bedfordshire, Civil parishes in Bedfordshire
Stotfold	Towns in Bedfordshire, Civil parishes in Bedfordshire
Like a G6	2010 songs
Wixams	Towns in Bedfordshire
Woburn, Bedfordshire	Villages in Bedfordshire, Civil parishes in Bedfordshire
Puy de Sancy	Mountains of France, Auvergne-Rhône-Alpes
Eurodance	European culture, Dance music
Strange Magic	2010s comedy movies, 2010s fantasy movies, 2015 movies, Musical movies
Jeremy Lloyd	1930 births, 2014 deaths, Actors from Essex, Deaths from pneumonia, English screenwriters, English poets, English television actors, Infectious disease deaths in London, Writers from Essex
Bernard Stone	1927 births, 2014 deaths, Accidental deaths from falls in the United States, Chicago City Council members
Krzysztof Krauze	1953 births, 2014 deaths, Cancer deaths in Poland, Cinematographers, Deaths from prostate cancer, Photographers, Polish movie directors, Polish screenwriters, Writers from Warsaw
Edward Greenspan	1944 births, 2014 deaths, Canadian Jews, Canadian lawyers, Cardiovascular disease deaths in Arizona, Deaths from heart failure, Jewish lawyers, Jewish writers, Writers from Ontario
Richard B. Stone	1928 births, 2019 deaths, United States senators from Florida, Ambassadors of the United States, US Democratic Party politicians, Politicians from New York City
Lise Nørgaard	1917 births, Living people, Danish journalists, Danish screenwriters
John Kundla	1916 births, 2017 deaths, American centenarians, National Basketball Association coaches, Sportspeople from Pennsylvania
Charles Hard Townes	1915 births, 2015 deaths, American physicists, American educators, People from Greenville, South Carolina
René Angélil	1942 births, 2016 deaths, Deaths from myocardial infarction, Canadian singers, Cancer deaths in the United States, Deaths from throat cancer, Disease-related deaths in Nevada, Musicians from Montreal
Division of Grey	Electoral divisions of Australia, South Australia, 1903 establishments in Australia
The Nut Job	2014 comedy movies, 2014 animated movies, American animated movies, American comedy movies, Canadian animated movies, Canadian comedy movies, South Korean movies
Alberta Adams	1917 births, 2014 deaths, Singers from Detroit, Michigan, Singers from Indianapolis, Indiana
Gleb Yakunin	1934 births, 2014 deaths, Disease-related deaths in Russia, People from Moscow, Christian ministers, Russian politicians
High Stakes & Dangerous Men (abum)	1992 albums
Pascal Jardin	Living people, Year of birth missing (living people), French movie directors
Walter Duncan	1848 births, 1932 deaths, English painters, People from London
Dylan Baker	1959 births, Living people, Actors from New York, Actors from Virginia, American movie actors, American stage actors, American television actors, People from Lynchburg, Virginia, People from Syracuse, New York, Yale University alumni
Alan Gross	1949 births, Living people, People from New York
Divine Discontent	2002 albums
The Wild Heart	Rock albums, 1983 albums
Little Red Corvette	1983 songs, Prince songs, Songs about sexuality
1999 (song)	Pop songs, funk songs, R&B songs, 1982 songs
1999 (Prince album)	1982 albums, Funk albums, Pop albums, Prince (musician), R&B albums
Archaefructus	Flowering plants, Cretaceous, Fossil plants, Extinct plants
Tegnér barn	Church of Sweden churches
Aumont family	Dukes and duchesses of France
Cinque Ports	Geography of England, Port cities and towns of England, Kent, Sussex
Common wheat	Wheat, Poales
Ford Transit Connect	2000s automobiles, 2010s automobiles
Buddy DeFranco	1923 births, 2014 deaths, American clarinetists, American jazz musicians, Musicians from New Jersey, Musicians from Chicago, People from Camden, New Jersey
N. L. Balakrishnan	1943 births, 2014 deaths, Deaths from cancer, Indian movie actors, Photographers
Stanisław Barańczak	1946 births, 2014 deaths, Critics, Disease-related deaths in Massachusetts, Polish educators, People from Poznań, Polish poets
Going Back (album)	2010 albums, Phil Collins, Rock albums
Kirti Nidhi Bista	1927 births, 2017 deaths, Deaths from prostate cancer, Prime Ministers of Nepal, People from Kathmandu
Surya Bahadur Thapa	1928 births, 2015 deaths, Deaths from respiratory failure, Deaths from surgical complications, Prime Ministers of Nepal
Tulsi Giri	1926 births, 2018 deaths, Deaths from liver cancer, Jehovah's Witnesses people, Prime Ministers of Nepal
World Gone Crazy	2010 albums
Fly from Here	2011 albums
Mudavadekh	Villages in Gujarat
Regent's University London	Universities in London, 1984 establishments in the United Kingdom, 1980s establishments in England
Brenden Dillon	1990 births, Canadian ice hockey defencemen, Dallas Stars players, Ice hockey people from British Columbia, Living people, San Jose Sharks players, Seattle Thunderbirds players, Washington Capitals players, American Hockey League players
Index Librorum Prohibitorum	Catholicism, Censorship
The Addiction	1995 horror movies, American horror movies, English-language movies, Movies set in New York City, Movies directed by Abel Ferrara
Akina Nakamori	1965 births, Living people, Singers from Tokyo, Pop singers
Oh Kyo-moon	1972 births, Living people, Archers, Olympic bronze medalists, Olympic gold medalists, Olympic silver medalists, South Korean sportspeople
Hyun Hee	1976 births, Living people, South Korean sportspeople, Fencers
Eddie	Children's literature
Norrahammar Church	Church of Sweden churches
Järsnäs Church	Church of Sweden churches
Öxnehaga Church	Church of Sweden churches, Huskvarna
Ekhagen Church	Church of Sweden churches, Buildings and structures in Jönköping
Råslätt Church	Church of Sweden churches, Buildings and structures in Jönköping
Trånghalla Church	Church of Sweden churches
Trånghalla	Settlements in Jonkoping County, Villages in Europe
Busungarna	1985 disestablishments in Europe, Musical groups established in 1982, Swedish musical groups, 1982 establishments in Sweden, Musical groups disestablished in 1985, 1980s disestablishments in Sweden
Österängen Church	Church of Sweden churches, Buildings and structures in Jönköping
Brahe Church	Church of Sweden churches
Any Given Sunday	1999 drama movies, 1990s sports movies, American sports drama movies, English-language movies, Movies directed by Oliver Stone, Movies set in Miami, Florida, Warner Bros. movies
Landsjö Church	Church of Sweden churches
Kaxholmen	Settlements in Jonkoping County
Bethel, Connecticut	Towns in Connecticut, 1855 establishments in the United States, 1850s establishments in Connecticut
Robert Guillaume	Emmy Award winning actors, 1927 births, 2017 deaths, Deaths from prostate cancer, Cancer deaths in Los Angeles, Actors from St. Louis, Missouri, African American actors, American movie actors, American stage actors, American television actors, American voice actors
João Nílson Zunino	1946 births, 2014 deaths, Brazilian businesspeople, Brazilian physicians
Saint John's Church, Habo	Church of Sweden churches, Habo
Fiskebäck Chapel	Church of Sweden churches
Jacques Chancel	1928 births, 2014 deaths, Cancer deaths in France, French journalists, French radio personalities, People from Occitanie
Roberto Delmastro	1945 births, 2014 deaths, Chilean politicians, Deaths from lung cancer, Disease-related deaths in Chile, Chilean engineers, People from Santiago
Skärstad Church	Church of Sweden churches
Skärstad	Settlements in Jonkoping County
David Ryall	1935 births, 2014 deaths, Actors from Sussex, English movie actors, English radio actors, English stage actors, English television actors, English voice actors
Tomaž Šalamun	1941 births, 2014 deaths, Slovenian poets, People from Zagreb
Vahan Hovhannisyan	1956 births, 2014 deaths, Armenian politicians, Civil servants
Leopoldo Federico	1927 births, 2014 deaths, Argentine musicians, Composers, People from Buenos Aires
Karel Poma	1920 births, 2014 deaths, Belgian mayors, Belgian politicians, People from Antwerp
Nykyrka Church	Church of Sweden churches
Utvängstorp Church	Church of Sweden churches
Bjurbäck Church	Church of Sweden churches
The Three Investigators	Fiction books
Electrolysis of water	Chemistry
Bringing Down the House	2003 romance movies, 2003 comedy movies, 2000s romantic comedy movies, American romantic comedy movies
Bottnaryd	Settlements in Jonkoping County
Lekeryd	Settlements in Jonkoping County
Odensjö	Settlements in Jonkoping County
Öggestorp	Settlements in Jonkoping County
Ölmstad	Settlements in Jonkoping County
Örserum	Settlements in Jonkoping County
Taberg	Settlements in Jonkoping County
Case 39	2009 horror movies, 2009 thriller movies, 2000s horror thriller movies, 2000s supernatural movies, American horror thriller movies, American supernatural movies, Canadian horror movies, Canadian thriller movies, English-language movies, Movies about dysfunctional families, Paramount movies
Tunnerstad	Settlements in Jonkoping County
Memphis Belle	1990 movies, 1990s war movies, British war movies, American war movies
Bob Rivers	American radio actors, 1956 births, Living people, People from Connecticut
MS Norman Atlantic	Maritime disasters, 2014, Ships
Latrell Sprewell	Living people, Year of birth missing (living people), Golden State Warriors players, New York Knicks players, Minnesota Timberwolves players
Holm Park	Football stadiums in Northern Ireland
Floby	Settlements in Vastra Gotaland County
Övre Soppero	Settlements in Norrbotten County
Jonsered	Settlements in Vastra Gotaland County
Tärnaby	Settlements in Vasterbotten County
Ullånger	Settlements in Vasternorrland County
Bible for children	Bible versions, Children's literature
Lillhärdal	Settlements in Jamtland County
Hede	Settlements in Jamtland County
Tärendö	Settlements in Norrbotten County
Järna, Vansbro Municipality	Settlements in Dalarna County
Klintehamn	Settlements in Gotland County
Fårösund	Settlements in Gotland County
Brunflo	Settlements in Jamtland County
Ope	Settlements in Jamtland County
Lit	Settlements in Jamtland County
Åsarna	Settlements in Jamtland County
Länghem	Settlements in Vastra Gotaland County
Alfta	Settlements in Gavleborg County
Fårö	Islands of Sweden
Gotska Sandön	Islands of Sweden
Que te perdone Dios	Telenovelas by Televisa, 2015 Mexican television series debuts
Convenience store	Retail markets
Penguins of Madagascar	2014 action movies, 2014 comedy movies, 2010s action comedy movies, 2014 animated movies, 2010s spy movies, American action comedy movies, American animated movies, American spy movies, Madagascar (franchise), Movie spin-offs
Slugterra	Canadian_animated_television_series
Frankie Randall (singer)	1938 births, 2014 deaths, Actors from New Jersey, American dancers, American singer-songwriters, American television actors, Cancer deaths in California, Comedians from New Jersey, Deaths from lung cancer, People from Passaic, New Jersey, Singers from New Jersey, Writers from New Jersey
Deaths in 2015	2015 deaths, Index lists
Deaths in January 2015	2015 deaths, January events
Odd Iversen	1945 births, 2014 deaths, Disease-related deaths in Norway, Norwegian footballers, People from Trondheim
Hardo Aasmäe	1951 births, 2014 deaths, Estonian politicians, Mayors
Antonio Brack Egg	1940 births, 2014 deaths, Peruvian politicians, Civil servants
P. J. Byrne	1974 births, Living people, DePaul University alumni, American movie actors, American television actors, American video game actors, American voice actors, Actors from New Jersey
Cyd Charisse	1922 births, 2008 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American stage actors, American dancers, Actors from Texas, People from Amarillo, Texas
Windows 10	Microsoft operating systems
Multinational corporation	Business, Law, Taxation
William Tyndale	Year of birth unknown, 1480s births, 1536 deaths, Alumni of the University of Oxford, Bible translators, Christian theologians, Deaths by strangulation, English Protestants, English priests, English Roman Catholics, English theologians, Executed English people, Former Roman Catholics, People from Gloucestershire, Protestant Reformers, Roman Catholic priests
Allier (river)	Auvergne-Rhône-Alpes, Bourgogne-Franche-Comté, Centre-Val de Loire, Occitanie, Rivers of France
Blockade runner	Ship types
The Iceman (movie)	2013 crime movies, 2013 drama movies, 2013 thriller movies, 2010s crime drama movies, 2010s crime thriller movies, 2010s drama thriller movies, 2010s serial killer movies, American crime drama movies, American crime thriller movies, American drama thriller movies, American serial killer movies, Antisocial personality disorder in fiction, English-language movies, Movies set in New Jersey, Movies set in New York, Movies set in the 1960s, Movies set in the 1970s, American independent movies
Per-Ingvar Brånemark	1929 births, 2014 deaths, Swedish scientists
Herbert Harris	1926 births, 2014 deaths, United States representatives from Virginia, US Democratic Party politicians, Politicians from Kansas City, Missouri
Merrill Womach	1927 births, 2014 deaths, Singers from Washington, People from Spokane, Washington
Marian Jurczyk	1935 births, 2014 deaths, Mayors, Polish politicians, Trade unionists
Walter Roque	1937 births, 2014 deaths, Uruguayan footballers, Uruguayan football managers, Venezuelan people, Sportspeople from Montevideo
Arthur Valerian Wellesley, 8th Duke of Wellington	1915 births, 2014 deaths, Alumni of the University of Oxford, British Army people, British people of World War II, People educated at Eton College, People from Rome
Franc Veliu	1988 births, Living people, Albanian footballers
Edward Herrmann	1943 births, 2014 deaths, Actors from Michigan, Actors from Washington, D.C., American movie actors, American stage actors, American television actors, American television directors, American voice actors, Cancer deaths in New York City, Deaths from brain cancer, Emmy Award winning actors, People from Grosse Pointe, Michigan, Screenwriters from Michigan, Tony Award winning actors
Menachem Begin	1913 births, 1992 deaths, Belarusian Jews, Cardiovascular disease deaths in Israel, Deaths from myocardial infarction, Former Members of Knesset, Government ministers of Israel, Israeli former political leaders, Israeli nationalists, Israeli Nobel Prize winners, Israeli opposition leaders, Jewish Israeli politicians, Jewish military people, Jewish Nobel Prize winners, Likud politicians, Military personnel of World War II, Naturalized citizens of Israel, People from Brest, Belarus, Polish Jews, Polish military people, Prime Ministers of Israel, Zionists
Bill Woodson	1917 births, Living people, American movie actors, American television actors, American radio actors, American voice actors, Actors from Glendale, California
Bill Maynard	1928 births, 2018 deaths, Accidental deaths from falls, English movie actors, English television actors, English comedians, Actors from Surrey
Eddie Large	1941 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, English television personalities, Entertainers from Glasgow, Entertainers from Manchester, Organ transplant recipients
Cliff Michelmore	1919 births, 2016 deaths, BBC television presenters, English television presenters, English television producers, People from the Isle of Wight
Martin Crowe	1962 births, 2016 deaths, New Zealand cricketers, Deaths from lymphoma, Sports commentators, Sportspeople from Auckland
Ken Kercheval	1935 births, 2019 deaths, Deaths from pneumonia, Disease-related deaths in Indiana, American movie actors, American television actors, American voice actors, American stage actors, Actors from Indiana
Fritz Albert Lipmann	German Nobel Prize winners
André Frédéric Cournand	French Nobel Prize winners
Erwin Neher	1944 births, Living people, German Nobel Prize winners, German scientists, Physiologists
André Michel Lwoff	French Nobel Prize winners
Bert Sakmann	1942 births, Living people, German scientists, Physiologists, German Nobel Prize winners, People from Stuttgart
Edmond H. Fischer	1920 births, 2021 deaths, Naturalized citizens of the United States, Swiss scientists, American biochemists, People from Shanghai, American centenarians
Peter Mansfield	1933 births, 2017 deaths, British academics, English physicists, Scientists from London
Thomas C. Südhof	1955 births, Living people, Naturalized citizens of the United States, German biochemists, American biochemists
John O'Keefe	1939 births, Living people, Naturalised citizens of the United Kingdom, Fellows of the Royal Society, people from New York
Wilfrid Laurier	1821 births, 1893 deaths, Deaths from stroke, Politicians from Ontario, Privy Councillors (Canada), Leaders of the Opposition (Canada), Members of the House of Commons of Canada from Quebec, Canadian Queen's Counsel
Robert Borden	1854 births, 1937 deaths, Canadian lawyers, People from Nova Scotia, Privy Councillors (Canada), Leaders of the Opposition (Canada), Canadian Queen's Counsel, Members of the House of Commons of Canada from Ontario
Arthur Meighen	1874 births, 1960 deaths, Prime Ministers of Canada, Privy Councillors (Canada), Leaders of the Opposition (Canada), Canadian Queen's Counsel
William Lyon Mackenzie King	1874 births, 1950 deaths, Deaths from pneumonia, Members of the House of Commons of Canada from Ontario, Prime Ministers of Canada, Privy Councillors (Canada), Leaders of the Opposition (Canada)
R. B. Bennett	1870 births, 1947 deaths, Knights of Grace of the Order of St John, Prime Ministers of Canada, Privy Councillors (Canada), Leaders of the Opposition (Canada), Canadian Queen's Counsel
Louis St. Laurent	1882 births, 1973 deaths, Privy Councillors (Canada), Politicians from Quebec, Leaders of the Opposition (Canada), Members of the House of Commons of Canada from Quebec, Canadian Queen's Counsel
John Diefenbaker	Prime Ministers of Canada, 1895 births, 1979 deaths, Privy Councillors (Canada), Leaders of the Opposition (Canada), Canadian Queen's Counsel
Pope Adrian VI	Dutch Roman Catholics
Pope Boniface VI	Italian popes, 806 births, 896 deaths, Popes
Pope Clement VI	French popes, 1291 births, 1552 deaths, Popes
Pope Formosus	Italian popes, 816 births, 896 deaths, Popes
Pope Stephen VI	Italian popes, Deaths by strangulation, 897 deaths, Popes
Omar Karami	1934 births, 2015 deaths, Lebanese Muslims, Prime Ministers of Lebanon
Megan Connolly	1974 births, 2001 deaths, Actors from New South Wales, Australian movie actors, Australian stage actors, Australian television actors, Drug-related accidental deaths
Stitching awl	Tools
Zbečník	Villages in the Czech Republic
Élisabeth of France (1764–1794)	1764 births, 1794 deaths, House of Bourbon, People from Versailles
Phoenician language	Language
Super Sentai	1975 television series debuts
Jos Wienen	1960 births, Living people, Christian Democratic Appeal politicians, Aldermen of the Netherlands, Dutch Calvinists, Dutch councillors, Dutch mayors, Politicians from South Holland
Jeff Golub	1955 births, 2015 deaths, Deaths from progressive supranuclear palsy, American guitarists, American jazz musicians, Disease-related deaths in the United States, Musicians from Akron, Ohio
Boris Morukov	1950 births, 2015 deaths, Cosmonauts, Disease-related deaths in Russia, NASA, People from Moscow, Russian physicians
1270s	1270s
Eric Cunningham	1949 births, 2015 deaths, Canadian businesspeople, People from Hamilton, Politicians from Ontario
Mrunalini Devi Puar	1931 births, 2015 deaths, Academics, Disease-related deaths in India, Indian educators
Edenryd	Settlements in Skane County
Education in Turkey	Education by country, Turkey
Branford, Connecticut	Cities in Connecticut, 1640s establishments in Connecticut
Kartal, Istanbul	Districts in Istanbul
Bob Packwood	1932 births, Living people, American lobbyists, Politicians from Portland, Oregon, United States senators from Oregon, US Republican Party politicians
The Grey Fox	1982 drama movies, 1980s biographical movies, 1980s western movies, Canadian drama movies, English-language movies, Movies based on real life events
Lam Po-chuen	1951 births, 2015 deaths, Buddhists, Deaths from diabetes, Actors from Hong Kong, Movie actors, Television actors, Voice actors
Miller Williams	1930 births, 2015 deaths, American poets, Deaths from Alzheimer's disease, Disease-related deaths in Arkansas, Writers from Arkansas
Field of study	Knowledge, Training, Education
Donna Douglas	1932 births, 2015 deaths, Actors from Louisiana, American Christians, American country musicians, American movie actors, American television actors, Beauty pageant winners, Cancer deaths in the United States, Deaths from pancreatic cancer, Disease-related deaths in Louisiana, Singers from Louisiana
Bethany Mota	Living people, American fashion designers, 1990s births
Little Jimmy Dickens	1920 births, 2015 deaths, American country singers, American country guitarists, Cardiovascular disease deaths in Tennessee, Deaths from cardiac arrest, Musicians from West Virginia, Singers from West Virginia
Arthur A. Neu	1933 births, 2015 deaths, Lieutenant Governors of Iowa, US Republican Party politicians
Roger Jepsen	1928 births, 2020 deaths, People from Cedar Falls, Iowa, Lieutenant Governors of Iowa, United States senators from Iowa, US Republican Party politicians
Tom Wolf	1948 births, Living people, Governors of Pennsylvania, People with cancer, US Democratic Party politicians
Muriel Bowser	1972 births, Living people, African American politicians, Mayors of Washington, D.C., US Democratic Party politicians, Women politicians
Bill Walker (politician)	1951 births, Living people, American Christians, American mayors, Governors of Alaska, Businesspeople from Alaska, Independent politicians in the United States, US Republican Party politicians, People from Fairbanks, Alaska
David Ige	1957 births, Living people, Governors of Hawaii, US Democratic Party politicians
Greg Abbott	1957 births, Living people, Governors of Texas, US Republican Party politicians
Power Rangers Wild Force	Mighty Morphin Power Rangers, ABC network shows, Superheroes, English-language television programs
Division of Hindmarsh	Electoral divisions of Australia, South Australia, 1903 establishments in Australia
Division of Kingston	Electoral divisions of Australia, South Australia, 1949 establishments in Australia
Frans Molenaar	1940 births, 2015 deaths, Accidental deaths from falls, Fashion designers, Dutch LGBT people, People from Amsterdam
German Moreno	1933 births, 2016 deaths, Deaths from stroke, Filipino actors, Comedians, Television presenters, Television producers, People from Manila
Abu Anas al-Libi	1964 births, 2015 deaths, Al-Qaeda people, Disease-related deaths in New York, Deaths from surgical complications, Libyan people, People from Tripoli, People who died in prison custody
Aydıncık, Mersin	Districts of Turkey
Ulrich Beck	1944 births, 2015 deaths, Cardiovascular disease deaths in Germany, Deaths from myocardial infarction, German scientists, German sociologists
Hyacinth macaw	True parrots
The Three Little Pigs	Fairy tales
Ajdovščina	Towns in Slovenia, 1994 establishments in Europe, 1990s establishments in Slovenia
Statistical regions of Slovenia	Statistical regions of Slovenia
Heth	Hebrew alphabet
Teth	Hebrew alphabet
Goriška Statistical Region	Establishments in Slovenia, 2005 establishments in Europe, Statistical regions of Slovenia
Bobby Moynihan	1977 births, Living people, American television actors, American comedians
Ratchet & Clank (movie)	2016 movies, American movies, American animated movies, American fantasy movies, Animated movies, Canadian movies, Canadian animated movies, Canadian family movies, English-language movies, Movies based on video games, Ratchet & Clank
Municipalities of Slovenia	Municipalities of Slovenia
Lateralization of brain function	Anatomy of the brain, Physiology
Infrared telescope	Telescopes, Infrared
Løjenkær	Cities in Denmark
Longitudinal fissure	Anatomy of the brain
Jack Fellure	2020 United States presidential candidates, 2016 United States presidential candidates, 2012 United States presidential candidates, 1992 United States presidential candidates, 1931 births, Living people, American engineers, US Republican Party politicians, Politicians from West Virginia
Cambridge, Ohio	Cities in Ohio, County seats in Ohio
John Conyers	1929 births, 2019 deaths, American civil rights activists, Deans of the United States House of Representatives, United States representatives from Michigan, US Democratic Party politicians, 20th-century American politicians, 21st-century American politicians
Highland Park, Michigan	Cities in Michigan
Basil Hansen	1926 births, 2015 deaths, Australian ice hockey players, Ice hockey coaches, Sportspeople from Melbourne
Bovec	Towns in Slovenia, 1994 establishments in Europe, 1990s establishments in Slovenia
Cerkno	Towns in Slovenia, 1994 establishments in Europe, 1990s establishments in Slovenia
Idrija	Towns in Slovenia, 1994 establishments in Europe, 1990s establishments in Slovenia
Traumatic brain injury	Brain, Health problems
Joshua Nkomo	1917 births, 1999 deaths, African military people, Government ministers, Roman Catholics, Vice-Presidents of Zimbabwe
Naval fleet	Military terminology, Naval ships of the United States
Focus (2015 movie)	2015 romance movies, 2015 drama movies, 2010s crime drama movies, 2010s romantic drama movies, American crime drama movies, American romantic drama movies, Argentine movies, Buenos Aires, English-language movies, Movies set in Louisiana, New Orleans, Louisiana in fiction
GMC Acadia	2000s automobiles, 2010s automobiles, General Motors vehicles
Stuart Scott	1965 births, 2015 deaths, African American television personalities, Cancer deaths in Connecticut, Deaths from appendix cancer, Journalists from Chicago, National Basketball Association broadcasters, National Football League broadcasters
René Vautier	1928 births, 2015 deaths, French movie directors, People from Brittany
Edmund Wnuk-Lipiński	1944 births, 2015 deaths, Polish educators
Hank Peters	1924 births, 2015 deaths, Deaths from stroke, Businesspeople from St. Louis, Missouri
Division of Makin	Electoral divisions of Australia, South Australia, 1984 establishments in Australia
Derek Minter	1932 births, 2015 deaths, English sportspeople, Sportspeople from Kent
Olga Knyazeva	1954 births, 2015 deaths, Fencers, Medalists at the 1976 Summer Olympics, Russian sportspeople, Soviet Olympic gold medalists
Ford Edge	2000s automobiles, 2010s automobiles, Ford automobiles
Högalid Church	Churches in Stockholm, Church of Sweden churches
Gustaf Vasa Church	Churches in Stockholm, Church of Sweden churches
Engelbrekt Church	Churches in Stockholm, Church of Sweden churches
Saint Matthew's Church	Churches in Stockholm, Church of Sweden churches
Oscar Fredrik Church	Church of Sweden churches, Churches in Gothenburg
Örgryte New Church	Church of Sweden churches, Churches in Gothenburg
Örgryte Old Church	Church of Sweden churches, Churches in Gothenburg
Gränna Church	Church of Sweden churches
Olaus Petri Church	Church of Sweden churches, Örebro
Mitsuhide Hirasawa	1982 births, Japanese professional wrestlers, Living people, People from Sapporo
Oscar Church	Churches in Stockholm, Church of Sweden churches
Gongchen Tower	History of China, 1390 establishments, Establishments in China, 14th century establishments in Asia, Yunnan
Noel Cobb	1938 births, 2015 deaths
Power Rangers Ninja Storm	Mighty Morphin Power Rangers, English-language television programs
Hubertus Ernst	1917 births, 2017 deaths, Dutch activists, Dutch centenarians, Dutch Roman Catholics, People from Breda, Roman Catholic bishops
Bolesław Pylak	1921 births, 2019 deaths, Polish Roman Catholics
Yaeyama Islands	Ryukyu Islands, Okinawa Prefecture
Saint John's Church, Stockholm	Churches in Stockholm, Church of Sweden churches
Saint John's Church, Malmö	Church of Sweden churches, Malmo
Finnish Church	Church of Sweden churches, Churches in Stockholm
Frida Appelgren	1981 births, Living people, People from Malmo, Swedish singers
Cen (surname)	Surnames
Washington, Tyne and Wear	Sunderland, Tyne and Wear
Dalvik Church	Church of Sweden churches, Buildings and structures in Jönköping
Bymarken Church	Church of Sweden churches, Buildings and structures in Jönköping
Barnarp	Settlements in Jonkoping County
Barnarp Church	Church of Sweden churches
Miyako Islands	Islands of Japan, Okinawa Prefecture
Bottnaryd Church	Church of Sweden churches, Wooden churches
Ölmstad Church	Church of Sweden churches
Örserum Church	Church of Sweden churches
Walter Ulbricht	1893 births, 1973 deaths, Former dictators, German atheists, German historians, Members of the Reichstag (Weimar Republic), Members of the Volkskammer, People from Leipzig, Politicians from Saxony, Presidents of East Germany
Gräshagen Church	Church of Sweden churches, Buildings and structures in Jönköping
Forserum	Settlements in Jonkoping County
