Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
Walker, Iowa	Cities in Iowa
Gennadi Gagulia	1948 births, 2018 deaths, Road accident deaths, Prime Ministers of Abkhazia
Wallingford, Iowa	Cities in Iowa
Wall Lake, Iowa	Cities in Iowa
Walnut, Iowa	Cities in Iowa
President of Abkhazia	Presidents of Abkhazia
Vladislav Ardzinba	1945 births, 2010 deaths, Presidents of Abkhazia
Knoke, Iowa	Unincorporated communities in Iowa
Washta, Iowa	Cities in Iowa
Alexander Ankvab	1952 births, Living people, Presidents of Abkhazia, Prime Ministers of Abkhazia
Cherokee County, Iowa	1851 establishments in Iowa, Iowa counties
Taylor County, Iowa	1847 establishments in Iowa, Iowa counties
Waterville, Iowa	Cities in Iowa
Valeri Bganba	1953 births, Living people, Prime Ministers of Abkhazia, Presidents of Abkhazia
Raul Khajimba	1958 births, Living people, Current national leaders, Presidents of Abkhazia, Prime Ministers of Abkhazia
Gilbert Lazard	1920 births, 2018 deaths, French educators, Writers from Paris
Jonas Algirdas Antanaitis	1921 births, 2018 deaths, Lithuanian politicians
Frank Andersson	1956 births, 2018 deaths, Deaths from respiratory tract infection, Deaths from surgical complications, Professional wrestlers, Swedish television presenters, Swedish Olympians, Olympic bronze medalists
Beat Richner	1947 births, 2018 deaths, Physicians, Swiss musicians, Cellists, People from Zürich
Mr. Catra	1968 births, 2018 deaths, Deaths from stomach cancer, Cancer deaths in Brazil, Brazilian musicians, Rap musicians, Brazilian singers, People from Rio de Janeiro
Hurricane Florence	Hurricanes in South Carolina, 2018 in the United States, August 2018 events, September 2018 events, Hurricanes in North Carolina, 21st century in North Carolina, 21st century in South Carolina, 2010s in Virginia
Illinois State Capitol	Buildings and structures in Illinois
Daniel Küblböck	1985 births, 2018 deaths, Missing people, German pop singers, German movie actors, German television actors, German LGBT people, LGBT actors, LGBT singers, Gay men, People declared dead in absentia
Margaret Court	1942 births, Living people, French Open champions, Wimbledon champions, World No. 1 tennis players, Australian Christians, Australian tennis players
Iris Apfel	1921 births, Living people, Designers, Businesspeople from New York City
Illiopolis, Illinois	Villages in Illinois
Sangamon County, Illinois	Illinois counties
Cara Mund	1993 births, Living people, American models, Beauty pageant winners, People from Bismarck, North Dakota, Miss America winners
Nick Castle	Saturn Award winners, 1947 births, Living people, American movie actors, Movie directors from Los Angeles, California, Actors from Los Angeles, California, Screenwriters from Los Angeles, California
Jo-Carroll Dennison	1923 births, Living people, American models, American movie actors, Beauty pageant winners, Miss America winners, Actors from Arizona, Actors from San Francisco
Florence, Arizona	County seats in Arizona, Towns in Arizona
BeBe Shopp	1930 births, Living people, Beauty pageant winners, Miss America winners, Models from Minnesota, People from Minnesota
Marilyn Van Derbur	Living people, 1937 births, Beauty pageant winners, Miss America winners, American models, Writers from Denver, Colorado
Nia Franklin	1993 births, Living people, Models from North Carolina, Beauty pageant winners, Miss America winners, People from Winston-Salem, North Carolina
Humayun Ahmed	1948 births, 2012 deaths, Bangladeshi writers, Short story writers, Bangladeshi movie directors, Bangla Academy Literary Award winners, Recipients of the Ekushey Padak, Bangladeshi Muslims, Deaths from colorectal cancer
Asymptomatic carrier	Infectious diseases
Tumhari Paakhi	Indian television series
Greylag goose	Geese
Kalyana Vaibhogam (TV series)	2017 Indian television series debuts, 2010s drama television series
Water bird	Birds
Euronymous	1968 births, 1993 deaths
Khalid Bakdash	1912 births, 1995 deaths, Syrian politicians
Salah Jadid	1926 births, 1993 deaths, Syrian politicians
Raktha Sambandham (Telugu TV series)	2018 Indian television series debuts, Drama television series, Zee Telugu Television series
North Richland Hills, Texas	Cities in Texas, Settlements in Tarrant County, Texas
West Okoboji, Iowa	Cities in Iowa
Religion in Poland	Religion by country, Polish culture
Zee Telugu	Indian television, Television channels
Maharishi Vedic City, Iowa	Cities in Iowa
Walcott, Iowa	Cities in Iowa
Waucoma, Iowa	Cities in Iowa
Waukee, Iowa	Cities in Iowa
Wayland, Iowa	Cities in Iowa
Webb, Iowa	Cities in Iowa
Wellman, Iowa	Cities in Iowa
Webster, Iowa	Cities in Iowa
Weldon, Iowa	Cities in Iowa
Wellsburg, Iowa	Cities in Iowa
Welton, Iowa	Cities in Iowa
Wesley, Iowa	Cities in Iowa
West Bend, Iowa	Cities in Iowa
West Burlington, Iowa	Cities in Iowa
West Chester, Iowa	Cities in Iowa
Westfield, Iowa	Cities in Iowa
Westgate, Iowa	Cities in Iowa
Eugene Thomas Long	Pages created with the Article Wizard from 2018, 1935 births, Writers from Virginia, People from Richmond, Virginia, 2020 deaths
West Liberty, Iowa	Cities in Iowa
Westphalia, Iowa	Cities in Iowa
West Point, Iowa	Cities in Iowa
What Cheer, Iowa	Cities in Iowa
Whiting, Iowa	Cities in Iowa
Whittemore, Iowa	Cities in Iowa
Williams, Iowa	Cities in Iowa
Williamson, Iowa	Cities in Iowa
Wilton, Iowa	Cities in Iowa
Winthrop, Iowa	Cities in Iowa
Wiota, Iowa	Cities in Iowa
Hamilton County, Iowa	1850s establishments in Iowa, 1856 establishments in the United States, Iowa counties
Boone County, Iowa	1846 establishments in Iowa Territory, Iowa counties
Therapeutic abortion	Abortion
Woden, Iowa	Cities in Iowa
Woodbine, Iowa	Cities in Iowa
Woodburn, Iowa	Cities in Iowa
Woodward, Iowa	Cities in Iowa
Bremer County, Iowa	1851 establishments in Iowa, Iowa counties
Buchanan County, Iowa	1837 establishments in Wisconsin Territory, Iowa counties
Bound for Glory (2011)	October events, Total Nonstop Action Wrestling pay-per-view events, 2011 in professional wrestling, 2011 in the United States, 2010s in Philadelphia
Bound for Glory (2010)	October 2010 events, Total Nonstop Action Wrestling pay-per-view events, 2010 in professional wrestling, Daytona Beach, Florida, 2010s in Florida, 2010 in the United States
Bound for Glory IV	October 2008 events, Total Nonstop Action Wrestling pay-per-view events, 2008 in professional wrestling, 2008 in Illinois
Bound for Glory (2007)	October events, Total Nonstop Action Wrestling pay-per-view events, 2007 in professional wrestling, 2007 in Georgia (U.S. state)
Bound for Glory (2006)	October events, Total Nonstop Action Wrestling pay-per-view events, 2006 in professional wrestling, 2006 in the United States, 2000s in Michigan
Bound for Glory (2005)	October 2005 events, Total Nonstop Action Wrestling pay-per-view events, 2005 in professional wrestling, 2005 in Orlando, Florida
Lockdown (2008)	April events, Total Nonstop Action Wrestling pay-per-view events, 2008 in professional wrestling, 2008 in Massachusetts
Lockdown (2009)	Total Nonstop Action Wrestling pay-per-view events, April 2009 events, 2009 in professional wrestling, 2009 in Pennsylvania, 2000s in Philadelphia
Lockdown (2010)	Total Nonstop Action Wrestling pay-per-view events, April events, 2010 in professional wrestling, 2010 in Missouri
Lockdown (2011)	Total Nonstop Action Wrestling pay-per-view events, April events, 2011 in professional wrestling, 2010s in Ohio, Sports in Cincinnati, Ohio, 2011 in American television
Johannes Geldenhuys	1935 births, 2018 deaths, White South African people, South African military people
Lockdown (2012)	Total Nonstop Action Wrestling pay-per-view events, April events, 2012 in professional wrestling, 2010s in Nashville, Tennessee, 2012 in American television
Jocelyn Bell Burnell	1943 births, Living people, British physicists, British astronomers, British educators, People from Belfast, BBC 100 Women
Lockdown (2013)	Total Nonstop Action Wrestling pay-per-view events, March events, 2013 in professional wrestling, 21st century in San Antonio, Texas, 2013 in American television, 2010s in Texas
Antony Hewish	1924 births, 2021 deaths, English astronomers, English physicists, British educators, People from Cornwall
Javier Usabiaga Arroyo	1939 births, 2018 deaths, Deaths from throat cancer, Cancer deaths in Mexico, Mexican politicians, Mexican businesspeople
István Géczi	1944 births, 2018 deaths, Deaths from stroke, Hungarian footballers, Hungarian politicians, Olympic silver medalists
Co Westerik	1924 births, 2018 deaths, Deaths from Alzheimer's disease, Dutch artists, Photographers, People from The Hague
Princess Bubblegum	Adventure Time characters, Fictional characters introduced in 2007, Fictional bisexual females, Fictional princesses
Marceline the Vampire Queen	Adventure Time characters, Fictional bisexual females, Fictional characters introduced in the 2010s, Fictional characters with slowed ageing
Ice King	Adventure Time characters, Fictional characters introduced in 2007, Fictional characters with ice or cold abilities, Fictional criminals
Jake the Dog	Adventure Time characters, Fictional dogs, Fictional characters introduced in 2007
Sanitary napkin	Hygiene, Female reproductive system
List of North Carolina hurricanes (1900–49)	Hurricanes in North Carolina, 20th century in North Carolina, Weather lists
List of North Carolina hurricanes (1950–79)	Hurricanes in North Carolina, 20th century in North Carolina, Weather lists
List of North Carolina hurricanes (1980–99)	Hurricanes in North Carolina, 20th century in North Carolina, Weather lists
Homecoming (poem)	Poems
Dollar store	Shops
Kalle Könkkölä	1950 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Finland, Finnish politicians, Human rights activists, People from Helsinki, People with disabilities
Gizzard	Anatomy of the digestive system
Cotswold Line	Railway lines of England
Tropical Storm Doria	Hurricanes in North Carolina, Hurricanes in New England, 1971 in the United States, Hurricanes in Virginia, Hurricanes in New York
Woolstock, Iowa	Cities in Iowa
Worthington, Iowa	Cities in Iowa
Wyoming, Iowa	Cities in Iowa
Yale, Iowa	Cities in Iowa
Yetter, Iowa	Cities in Iowa
Yorktown, Iowa	Cities in Iowa
Zearing, Iowa	Cities in Iowa
Zwingle, Iowa	Cities in Iowa
Buena Vista County, Iowa	1851 establishments in Iowa, Iowa counties
Butler County, Iowa	1851 establishments in Iowa, Iowa counties
Carroll County, Iowa	1851 establishments in Iowa, Iowa counties
Cass County, Iowa	1851 establishments in Iowa, Iowa counties
Cedar County, Iowa	1837 establishments in Wisconsin Territory, Iowa counties
Chickasaw County, Iowa	1851 establishments in Iowa, Iowa counties
Clarke County, Iowa	1846 establishments in Iowa Territory, Iowa counties
Clay County, Iowa	1851 establishments in Iowa, Iowa counties
Clayton County, Iowa	1837 establishments in Wisconsin Territory, Iowa counties
Clinton County, Iowa	1837 establishments in Wisconsin Territory, Iowa counties
Crawford County, Iowa	1851 establishments in Iowa, Iowa counties
Davis County, Iowa	1843 establishments in Iowa Territory, Iowa counties, Davis County, Iowa
Delaware County, Iowa	1837 establishments in Wisconsin Territory, Iowa counties
Des Moines County, Iowa	1834 establishments in Michigan Territory, Iowa counties
Dickinson County, Iowa	1850s establishments in Iowa, 1857 establishments in the United States, Iowa counties
Dickinson County, Michigan	1890s establishments in Michigan, 1891 establishments in the United States, Michigan counties
Henry County, Iowa	1836 establishments in Wisconsin Territory, Iowa counties
Safe with Me	2013 songs, Sam Smith (singer) songs
Grundy County, Tennessee	Tennessee counties
Iowa County, Iowa	1843 establishments in Iowa Territory, Iowa counties
Wright County, Iowa	1851 establishments in Iowa, Iowa counties
Emmet County, Iowa	1851 establishments in Iowa, Iowa counties
Francisco Pascual Obama Asue	Prime Ministers of Equatorial Guinea, Current national leaders, Living people, Year of birth missing (living people)
University of Basel	Colleges and universities in Switzerland, Basel
João Castelo	1937 births, 2016 deaths, Brazilian politicians, Brazilian lawyers, Maranhão, Deaths from surgical complications
Fenella Fielding	1927 births, 2018 deaths, Deaths from stroke, Cardiovascular disease deaths in London, English movie actors, English television actors, English stage actors, Actors from London
Johnny Strike	1948 births, 2018 deaths, Deaths from liver cancer, Cancer deaths in San Francisco, American singer-songwriters, American guitarists, American novelists, Writers from San Francisco, Musicians from San Francisco, Singers from San Francisco
Peter MacNicol	1954 births, Living people, American movie actors, American television actors, American voice actors, American video game actors, American stage actors, Actors from Dallas, Texas
Harris Yulin	1937 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Los Angeles, California
Basil Feldman, Baron Feldman	1923 births, 2019 deaths, Members of the House of Lords, Politicians from London
Don Gardner	1931 births, 2018 deaths, Cancer deaths in Pennsylvania, American R&B singers, American R&B musicians, American drummers, American singer-songwriters, Singers from Philadelphia, Pennsylvania, Writers from Philadelphia, Pennsylvania, Musicians from Philadelphia, Pennsylvania
Elizabeth Hoffman	1927 births, Living people, American movie actors, American television actors, American stage actors, Actors from Oregon, Actors from Chicago
Julianne Phillips	1960 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Models from Chicago, Actors from Chicago
Watertown, Minnesota	Cities in Minnesota
Crow River (Minnesota)	Rivers of the United States
Rockford, Minnesota	Cities in Minnesota
Greenfield, Minnesota	Cities in Minnesota
Hennepin County, Minnesota	Minnesota counties
Hanover, Minnesota	Cities in Minnesota
Phyllotaxis	Plant anatomy
Purworejo Klampok	Districts of Indonesia
St. Michael, Minnesota	Cities in Minnesota
Wright County, Minnesota	Minnesota counties
Buffalo, Minnesota	Cities in Minnesota, County seats in Minnesota
Otsego, Minnesota	Cities in Minnesota
Dayton, Minnesota	Cities in Minnesota
Eddie McGuire	1964 births, Living people, Australian businesspeople, Australian journalists, Australian radio personalities, Australian television presenters, Game show hosts, Order of Australia, Australian sports commentators, Writers from Melbourne
Fernando Haddad	1963 births, Living people, Mayors, Brazilian politicians, People from São Paulo
Antônio Salim Curiati	Mayors, People from São Paulo, 1928 births, Living people
Luiza Erundina	1934 births, Brazilian politicians, Living people, Mayors, People from São Paulo
Paulo Maluf	1931 births, Living people, Brazilian politicians, Mayors, Brazilian businesspeople
Israel Klabin	1926 births, Living people, Brazilian politicians, Brazilian scientists, Engineers, Mathematicians, Environmentalists, Mayors, People from Rio de Janeiro
Adam Clymer	1937 births, 2018 deaths, Deaths from pancreatic cancer, Cancer deaths in Washington, D.C., American political writers, American editors, Writers from New York City, Journalists from New York City
Bert Parks	1914 births, 1992 deaths, Actors from Atlanta, Georgia, American movie actors, American radio personalities, American television actors, Cancer deaths in California, Deaths from lung cancer, Jewish American actors, Jewish American musicians, Singers from Atlanta, Georgia, Television personalities from Georgia (U.S. state)
Jon Heder	1977 births, Living people, Actors from Colorado, American Christians, American movie actors, American movie producers, American television actors, American voice actors
Copley Medal	Science awards, Royal Society
Dean Court	Football stadiums in England, Bournemouth
Richard Henderson	Nobel Prize in Chemistry winners, Scottish scientists, People from Edinburgh, 1945 births, Living people
Laboratory of Molecular Biology	University of Cambridge, Molecular biology, 1962 establishments in England
Allegany County, Maryland	Maryland counties
Riverside County, California	Riverside County, California, 1890s establishments in California, 1893 establishments in the United States
Calaveras County, California	1850 establishments in California, Calaveras County, California
Dubuque County, Iowa	1834 establishments in Michigan Territory, Iowa counties
Floyd County, Iowa	1851 establishments in Iowa, Iowa counties
Fremont County, Iowa	1847 establishments in Iowa, Iowa counties
Guthrie County, Iowa	1851 establishments in Iowa, Iowa counties
Hancock County, Iowa	1851 establishments in Iowa, Iowa counties
Hardin County, Iowa	1851 establishments in Iowa, Iowa counties
Harrison County, Iowa	1851 establishments in Iowa, Iowa counties
Howard County, Iowa	1851 establishments in Iowa, Iowa counties
Humboldt County, Iowa	1850s establishments in Iowa, 1857 establishments in the United States, Iowa counties
Ida County, Iowa	1851 establishments in Iowa, Iowa counties
Shen Chun-shan	1932 births, 2018 deaths, Deaths from gastrointestinal hemorrhage, Taiwanese people, Taiwanese educators
Jackson County, Iowa	1837 establishments in Wisconsin Territory, Iowa counties
Rachid Taha	1958 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in France, Algerian people, Singer-songwriters, Critics, Political writers, Political activists
Jefferson County, Iowa	1830s establishments in Iowa Territory, 1839 establishments in the United States, Iowa counties
Jones County, Iowa	1837 establishments in Wisconsin Territory, Iowa counties
Keokuk County, Iowa	1843 establishments in Iowa Territory, Iowa counties
Kossuth County, Iowa	1851 establishments in Iowa, Iowa counties
Riki Lindhome	1979 births, Living people, American movie actors, American television actors, American voice actors, American radio personalities, Actors from Pennsylvania, Musicians from Pennsylvania, Comedians from Pennsylvania
Coudersport, Pennsylvania	County seats in Pennsylvania, Boroughs in Pennsylvania
Lee County, Iowa	1836 establishments in Wisconsin Territory, Iowa counties
Allegheny River	Rivers of Pennsylvania
Monongahela River	Rivers of West Virginia, Rivers of Pennsylvania
Linn County, Iowa	1830s establishments in Iowa Territory, 1839 establishments in the United States, Iowa counties
Andre Martel	1946 births, 2016 deaths, United States representatives from New Hampshire, Businesspeople from New Hampshire, US Republican Party politicians, Cornell University alumni, Princeton University alumni, People from Manchester, New Hampshire
Kurt Helmudt	1943 births, 2018 deaths, Danish sportspeople, Olympic gold medalists
Don Newman (basketball)	1957 births, 2018 deaths, Cancer deaths in the United States, National Basketball Association coaches, American football players, Sportspeople from New Orleans, Louisiana
Frederick Chien	1935 births, Living people, Chinese politicians, People from Hangzhou
Lars Onsager Prize	Science awards
Greenland halibut	Fish
Chen Li-an	1937 births, Living people, Chinese politicians, Chinese mathematicians, Chinese engineers
Pete Davidson	1993 births, Living people, American movie actors, American television actors, American voice actors, Television personalities from New York City, Actors from New York City, Comedians from New York City, People from Staten Island
Marriott World Trade Center	September 11 attacks, Buildings and structures in Manhattan
Lars Onsager	1903 births, 1976 deaths, American Nobel Prize winners, American engineers, American physicists, Nobel Prize in Chemistry winners, Norwegian Nobel Prize winners, Writers from Oslo, Theoretical physicists, Yale University alumni
1967 Chicago blizzard	1960s in Chicago, 1967 in the United States, January events, 20th century in Indiana
1979 Chicago blizzard	20th century in Chicago, 1979 in the United States, 20th century in Indiana
Jay O. Sanders	1953 births, Living people, American movie actors, American television actors, American stage actors, American playwrights, Actors from Austin, Texas, Writers from Texas
IPhone XS	IPhone, Mobile phones released in 2018, Mobile phones with multiple rear cameras, Mobile phones with 4K video recording
Perry King	1948 births, Living people, American movie actors, American television actors, American stage actors, Actors from Ohio
Japan Victor Company	Companies of Japan, Electronics companies
Hal Williams	1938 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Columbus, Ohio
Joey Diaz	1963 births, Living people, Actors from New Jersey, American movie actors, American television actors, American voice actors, American stand-up comedians, Comedians from New Jersey, Naturalized citizens of the United States, People from Havana, Podcasters
Michael Fisher	1931 births, British physicists, Fellows of the Royal Society, Living people
Statistical physics	Physics
Rory Bushfield	1983 births, Canadian skiers, Sportspeople from Alberta, Living people, Participants in American reality television series
Carroll County, New Hampshire	19th-century establishments in New Hampshire, 1840 establishments in the United States, New Hampshire counties
Cheshire County, New Hampshire	New Hampshire counties
Coös County, New Hampshire	19th-century establishments in New Hampshire, 1803 establishments in the United States, New Hampshire counties
Hillsborough County, New Hampshire	New Hampshire counties
Merrimack County, New Hampshire	1820s establishments in New Hampshire, 1823 establishments in the United States, New Hampshire counties
Strafford County, New Hampshire	New Hampshire counties
Sullivan County, New Hampshire	1820s establishments in New Hampshire, 1827 establishments in the United States, New Hampshire counties
Lucas County, Iowa	1846 establishments in Iowa Territory, Iowa counties
Lyon County, Iowa	1851 establishments in Iowa, Iowa counties
Mahaska County, Iowa	1843 establishments in Iowa Territory, Iowa counties
Marion County, Iowa	1840s establishments in Iowa Territory, 1845 establishments in the United States, Iowa counties
Marshall County, Iowa	1846 establishments in Iowa Territory, Iowa counties
Mills County, Iowa	1851 establishments in Iowa, Iowa counties
Monona County, Iowa	1851 establishments in Iowa, Iowa counties
Monroe County, Iowa	1843 establishments in Iowa Territory, Iowa counties
Montgomery County, Iowa	1851 establishments in Iowa, Iowa counties
Muscatine County, Iowa	1836 establishments in Wisconsin Territory, Iowa counties
O'Brien County, Iowa	1851 establishments in Iowa, Iowa counties
Osceola County, Iowa	19th-century establishments in Iowa, 1871 establishments in the United States, Iowa counties
Y, Somme	Communes in Somme
Haider al-Abadi	1952 births, Prime Ministers of Iraq, Government ministers, People from Baghdad, Living people
Page County, Iowa	1847 establishments in Iowa, Iowa counties
Victor Stănculescu	1928 births, 2016 deaths, Generals, People convicted of manslaughter, Political activists, Romanian politicians
Billy O'Dell	1933 births, 2018 deaths, Deaths from Parkinson's disease, Baltimore Orioles players, San Francisco Giants players, Milwaukee Braves players, Atlanta Braves players, Pittsburgh Pirates players, Sportspeople from South Carolina
Whitmire, South Carolina	Towns in South Carolina
Newberry, South Carolina	Cities in South Carolina, County seats in South Carolina
Marin Mazzie	1960 births, 2018 deaths, Deaths from ovarian cancer, Cancer deaths in New York City, American movie actors, American television actors, American stage actors, American musical theatre actors, Actors from Illinois, People from Rockford, Illinois
John Wilcock	1927 births, 2018 deaths, Deaths from stroke, Cardiovascular disease deaths in California, British journalists, Editors, Writers from Yorkshire, People from Sheffield
Ojai, California	Cities in California, Settlements in Ventura County, California
Jonathan Frakes	1952 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American television directors, Movie directors from Pennsylvania, Actors from Pennsylvania
Bellefonte, Pennsylvania	County seats in Pennsylvania, Boroughs in Pennsylvania
Amorites	Ancient people
Jesse Tyler Ferguson	1975 births, Living people, Actors from Montana, American LGBT people, American LGBT rights activists, American movie actors, American stage actors, American television actors, American voice actors, Gay men, People from Missoula, Montana
Eric Stonestreet	1971 births, Living people, Actors from Kansas, American comedians, American LGBT rights activists, American movie actors, American television actors, American voice actors, Emmy Award winning actors
Nik Kershaw	1958 births, Living people, British record producers, English composers, English pop musicians, English singer-songwriters, Entertainers from Bristol, Multi-instrumentalists, Musicians from Suffolk, New wave musicians, People from Ipswich
Outfield assist	Baseball statistics
Biofilm	Microbiology
Palo Alto County, Iowa	1851 establishments in Iowa, Iowa counties
Plymouth County, Iowa	1851 establishments in Iowa, Iowa counties
Pottawattamie County, Iowa	1840s establishments in Iowa, 1848 establishments in the United States, Iowa counties
Poweshiek County, Iowa	1843 establishments in Iowa Territory, Iowa counties
Ringgold County, Iowa	1847 establishments in Iowa, Iowa counties
Sac County, Iowa	1851 establishments in Iowa, Iowa counties
Sioux County, Iowa	1851 establishments in Iowa, Iowa counties
Story County, Iowa	1846 establishments in Iowa Territory, Iowa counties
Union County, Iowa	1850s establishments in Iowa, 1853 establishments in the United States, Iowa counties
Van Buren County, Iowa	1836 establishments in Wisconsin Territory, Iowa counties
Wapello County, Iowa	1843 establishments in Iowa Territory, Iowa counties
Warren County, Iowa	1846 establishments in Iowa Territory, Iowa counties
Wayne County, Iowa	1846 establishments in Iowa Territory, Iowa counties
Webster County, Iowa	1851 establishments in Iowa, Iowa counties
Winneshiek County, Iowa	1847 establishments in Iowa, Iowa counties
Woodbury County, Iowa	1851 establishments in Iowa, Iowa counties
Worth County, Iowa	1851 establishments in Iowa, Iowa counties
Humboldt County, California	Humboldt County, California, 1853 establishments in California
El Dorado County, California	1850 establishments in California, El Dorado County, California
Welwyn Garden City	Towns in Hertfordshire
IPhone XR	IPhone, Mobile phones released in 2018, Mobile phones with 4K video recording
Kaliwungu, Mandiraja	Villages in Indonesia, Java
Monopoly (game show)	1990s American television series, 1990 American television series debuts, 1990 American television series endings, American television game shows, ABC network shows, English-language television programs
Liam Hemsworth	1990 births, Living people, Actors from Melbourne, Australian movie actors, Australian television actors
Hardstyle	Dutch music, Electronic dance music
Desublimation	States of matter
M5 motorway	Motorways in England
Royal Medal	Royal Society, Science awards
Darwin Medal	Royal Society, Science awards, 1890 establishments in Europe, 1890s establishments in the United Kingdom
Van Allen radiation belt	NASA, Space, Earth
Achernar	Binary stars, Southern pole stars
Hardoi	Cities and towns in Uttar Pradesh
Stephanie Rice	1988 births, Living people, Australian Olympic gold medalists, Australian swimmers, Medalists at the 2008 Summer Olympics, Order of Australia, People from Brisbane, Reality television participants, Sportspeople from Queensland
Contra Costa County, California	Contra Costa County, California, 1850 establishments in California
Del Norte County, California	1857 establishments in California, Del Norte County, California
Fresno County, California	1856 establishments in California, Fresno County, California
Imperial County, California	Imperial County, California, 1900s establishments in California, 1907 establishments in the United States
Madera County, California	1890s establishments in California, 1893 establishments in the United States, Madera County, California
Mariposa County, California	Mariposa County, California, 1850 establishments in California
Merced County, California	1850s establishments in California, 1855 establishments in the United States, Merced County, California
Guido Ceronetti	1927 births, 2018 deaths, Deaths from bronchopneumonia, Disease-related deaths in Italy, Italian poets, Italian philosophers, Novelists, Italian journalists, Italian playwrights, Translators, People from Turin
Modoc County, California	1874 establishments in California, Modoc County, California
Mono County, California	1861 establishments in California, Mono County, California
Grigory E. Volovik	1946 births, Theoretical physicists, Russian physicists, Living people
American Physical Society	1899 establishments in the United States, American physicists
2014 Ontario general election	2014 elections, 2014 in Canada, June 2014 events, Elections in Canada
Andrea Horwath	1962 births, Living people, Politicians from Ontario
Brihans Natural Products Ltd.	2000 establishments in Asia, 2000s establishments in India, Companies of India, Pune
Sheetal Agashe	1977 births, Indian businesspeople, Indian television actors, People from Pune, Living people
Mandar Agashe	1969 births, Living people, Indian singers, People from Pune
Dnyaneshwar Agashe	1942 births, 2009 deaths, Indian cricketers, Bankers, Indian philanthropists, Indian businesspeople, Indian Hindus, People from Pune
Brihan Maharashtra Sugar Syndicate Ltd.	1930s establishments in India, 1934 establishments, Companies of India, Pune
Chandrashekhar Agashe	1888 births, 1956 deaths, Indian businesspeople, Indian philanthropists, Indian lawyers, Indian Hindus, People from Pune
Panditrao Agashe	1936 births, 1983 deaths, Indian businesspeople
Ashutosh Agashe	1972 births, Indian cricketers, Indian businesspeople, Living people, People from Pune
Suvarna Sahakari Bank	1960s establishments in India, 1969 establishments in Asia, Companies of India, Banks
Ingemar Mundebo	2018 deaths, 1930 births, Swedish politicians
Szarlota Pawel	1947 births, 2018 deaths, Deaths from colorectal cancer, Cancer deaths in Poland, Polish artists, People from Warsaw
Peter Donat	1928 births, 2018 deaths, Deaths from diabetes, Disease-related deaths in California, Naturalized citizens of the United States, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, American movie actors, American television actors, American stage actors, American voice actors, People from Nova Scotia
Hossein Erfani	Iranian actors, 1942 births, 2018 deaths, Deaths from lung cancer, People from Tehran
Henry Kalis	1937 births, 2018 deaths, Deaths from emphysema, Cancer deaths in Minnesota, Politicians from Minnesota, US Democratic Party politicians
Easton, Minnesota	Cities in Minnesota
Point Reyes Station, California	Unincorporated communities in California, Census-designated places in California, Settlements in Marin County, California
Hans Kloss	1938 births, 2018 deaths, Deaths from stomach cancer, Cancer deaths in Germany, German artists, Designers
Directive on Copyright in the Digital Single Market	Copyright, European Union
Brian Banks (American football)	1985 births, Living people, African American players of American football, American football linebackers, Atlanta Falcons players, People from Long Beach, California, Sportspeople from Los Angeles County, California
Alec Jeffreys	1950 births, Living people, People from Oxford, English geneticists, Fellows of the Royal Society, Knights Bachelor
Typhoon Mangkhut	2018 disasters, 2018 in Asia, September 2018 events, Tropical cyclones in Asia
Celebrity Big Brother (UK)	2001 British television series debuts, 2000s British television series, 2000s reality television series, 2010s British television series, 2010s reality television series, Channel 4 reality television programmes, Channel 5 (UK) television programmes, English-language television programs
Xenopus	Frogs, Model organisms
Money in the Bank ladder match	2005 in professional wrestling, 2006 in professional wrestling, 2007 in professional wrestling, 2008 in professional wrestling, 2009 in professional wrestling, 2010 in professional wrestling, WrestleMania, WWE
African Science Academy	Buildings and structures in Africa, Schools, 2016 establishments in Africa
East Baton Rouge Parish, Louisiana	19th-century establishments in Louisiana, 1812 establishments in the United States, Louisiana parishes
Napa County, California	1850 establishments in California, Napa County, California
Solano County, California	1850 establishments in California, Solano County, California
Nevada County, California	1851 establishments in California, Nevada County, California
Plumas County, California	1854 establishments in California, Plumas County, California
San Benito County, California	1874 establishments in California, San Benito County, California
Lafayette Parish, Louisiana	19th-century establishments in Louisiana, 1823 establishments in the United States, Louisiana parishes
Mandeville, Louisiana	Cities in Louisiana
Wayne M. Meyers	1924 births, 2018 deaths, American physicians, American biologists, American chemists, American philanthropists, Humanitarians, Scientists from Pennsylvania
Huntingdon, Pennsylvania	Boroughs in Pennsylvania, County seats in Pennsylvania
Glen Burnie, Maryland	Census-designated places in Maryland
Walter Mischel	1930 births, 2018 deaths, Deaths from pancreatic cancer, Cancer deaths in New York City, Austrian scientists, Naturalized citizens of the United States, American psychologists, Writers from Vienna
Mark W. Olson	1943 births, 2018 deaths, American economists, Politicians from Minnesota, Writers from Minnesota, US Republican Party politicians
Max Bennett	1928 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in California, American jazz musicians, Musicians from Iowa
