Astelia banksii	Asparagales
Andrew Card	1974 births, Living people, American lobbyists, Politicians from Massachusetts, United States Secretaries of Transportation, US Republican Party politicians, White House Chiefs of Staff
Eton College	1440 establishments, 1440s establishments in England, Schools in England
PuTTY	Free software
Secure copy	Internet security, Computer protocols
Migros	Supermarkets of Switzerland, 1925 establishments in Europe, 20th century establishments in Switzerland, Zürich
SSH file transfer protocol	Internet, Computer protocols
Computer security	Computer security
Mark Odejobi	English rugby union players, Sportspeople from London, 1988 births, Living people
Damien Varley	1983 births, Living people, Irish rugby union players
Crayon Shin-chan	Anime
Hamtaro	Manga, Anime, 2002 television series debuts, 2004 television series endings
Finn Harps F.C.	Irish football clubs
Sadomasochism	Paraphilias
Lanzarote	Biosphere reserves, Islands of the Canary Islands
McMahon Line	Territorial disputes of China, 1910s treaties, 1910s in the United Kingdom, Tibet
Muradabad	Local government in India, Cities and towns in Uttar Pradesh
Theodor Heuss	1884 births, 1963 deaths, Former members of the German Bundestag, German academics, Members of the Reichstag (Weimar Republic), Order of Merit of the Federal Republic of Germany, Politicians from Baden-Württemberg, Politicians of the Free Democratic Party of Germany, Presidents of Germany
India-Pakistan maritime trespassing	Pakistan, India
Indo-Bangladeshi barrier	Foreign relations of Bangladesh, Foreign relations of India, Buildings and structures in India, Buildings and structures in Bangladesh, Territorial disputes of India
Frank-Walter Steinmeier	1956 births, Living people, Government ministers of Germany, Politicians from North Rhine-Westphalia, Politicians of the Social Democratic Party of Germany, Presidents of Germany, Vice Chancellors of Germany
Tipper Gore	Second Ladies of the United States, American photographers, 1948 births, Living people
Second Ladies and Gentlemen of the United States	Second Spouses of the United States
Lynne Cheney	Second Ladies of the United States, Writers from Wyoming, 1941 births, Living people, People from Casper, Wyoming
Graphium sarpedon	Graphium
Bama Boyz	Musical groups from Alabama, Hip hop bands, Montgomery, Alabama, Musical groups established in 2003, 2003 establishments in the United States, 2000s establishments in Alabama
Swallowtail butterfly	Papilionidae
Graphium	Graphium
Sauerbraten (video game)	2004 video games, MacOS games, Windows games
Town crier	Occupations
Plague of Justinian	Byzantine Empire, Ancient Rome, Plague pandemics, 541, 542, History of Europe
Zlib License	Software licences
Plant cutting	Agriculture
Ferdinand Lassalle	1825 births, 1864 deaths, German politicians, German prisoners, People from former German territories, People from Wrocław
Hans-Dietrich Genscher	1927 births, 2016 deaths, Cardiovascular disease deaths in Germany, Deaths from heart failure, Disease-related deaths in North Rhine-Westphalia, Former members of the German Bundestag, German lawyers, German military personnel of World War II, Government ministers of Germany, Nazis, Order of Merit of the Federal Republic of Germany, Politicians from Saxony-Anhalt, Politicians of the Free Democratic Party of Germany, Vice Chancellors of Germany
Jonny Kennedy (rugby union)	1990 births, Living people, English rugby union players, Sale Sharks rugby union players, Sportspeople from Cheshire
Franz Müntefering	1940 births, Living people, Former members of the German Bundestag, Government ministers of Germany, Politicians from North Rhine-Westphalia, Politicians of the Social Democratic Party of Germany, Vice Chancellors of Germany
Nick Royle	1983 births, Living people, English rugby union players, Sale Sharks rugby union players
Carl Fearns	1989 births, Living people, English rugby union players, Sale Sharks rugby union players, Sportspeople from Liverpool
James Gaskell	1990 births, Living people, English rugby union players, People from Crewe, Sale Sharks rugby union players, Sportspeople from Cheshire
Martin Halsall	1984 births, Living people, English rugby union players, Sale Sharks rugby union players, People from Lancashire
Alex Shaw	1987 births, Living people, English rugby union players, Sale Sharks rugby union players, Sportspeople from Kent
Chris Leck	1986 births, Living people, English rugby union players, Sale Sharks rugby union players, Sportspeople from Manchester
Secret Water	1939 books, Children's books, English novels
Gran Turismo (video game)	PlayStation games, 1997 video games, Gran Turismo series
Aramid	Armour, Polymers
Brute force attack	Cryptography
Information theory	Computer science
Block cipher	Cryptography
Authentication	Security, Computer security
DES-X	Cryptography
Hostname	Computer networking, Internet
National Institute of Standards and Technology	Standards, United States government agencies, 1901 establishments in the United States, United States Department of Commerce
Key size	Cryptography
Kandinsky	1866 births, 1944 deaths, People from Moscow, Printmakers, Russian painters
Public-key cryptography	Cryptography
John Ashcroft	1942 births, Living people, American lobbyists, American Pentecostals, Governors of Missouri, People from Springfield, Missouri, Politicians from Chicago, United States Attorneys General, United States senators from Missouri, US Republican Party politicians, Yale University alumni
Muslim conquests	History of Islam, History of Africa
Key space	Cryptography
Roger Williams (theologian)	1603 births, 1683 deaths, American Baptists, American Calvinists, American theologians, Christian ministers, Christian theologians, Christian writers, English Protestants, English theologians, History of Rhode Island, People from London, People from Providence, Rhode Island, Puritanism
Unitarianism	Unitarianism
United States National Security Council	United States National Security Council
Stephen Hadley	1947 births, Living people, United States National Security Advisors
Deputy National Security Advisor	United States National Security Council, United States-related lists
Director of the Central Intelligence Agency	Directors of the Central Intelligence Agency
Procopius	500 births, 565 deaths, Byzantine Empire, Ancient Roman historians, Ancient Roman writers
Porter Goss	1938 births, Living people, Directors of the Central Intelligence Agency, Politicians from Connecticut, United States representatives from Florida, US Republican Party politicians, People from Waterbury, Connecticut
George Tenet	Directors of the Central Intelligence Agency, People from New York, 1953 births, Living people
Peer Steinbrück	1947 births, Living people, Ministers-President of North Rhine-Westphalia, Politicians from Hamburg, Politicians of the Social Democratic Party of Germany
Wolfmother	Australian hard rock bands, Australian heavy metal bands, Grammy Award winners, Musical groups from Sydney
Defense Intelligence Agency	United States Department of Defense agencies, United States intelligence agencies
Makenna Cowgill	American television actors, American movie actors, Actors from Connecticut, Living people, 1998 births
African bush elephant	Elephants
Binda, New South Wales	Towns in New South Wales
Hollister Co.	American clothing companies, 2000 establishments in the United States, 2000s establishments in Ohio
Ron Simmons	1958 births, American professional wrestlers, Cleveland Browns players, College Football Hall of Fame, Living people, Sportspeople from Georgia (U.S. state), WWE Hall of Fame, WWE people
Fire services in the United Kingdom	Firefighting, Public services in the United Kingdom
Bleach (Nirvana album)	Nirvana albums, 1989 albums, Debut albums, Rock albums
Zub	1986 video games
Molly Hatchet	1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, American hard rock bands, Southern rock bands, Musical groups from Florida, Musicians from Jacksonville, Florida, Musical groups established in 1975, 1975 establishments in the United States, 1970s establishments in Florida
Northern Italy	Geography of Italy
Thermosphere	Layers of Earth's atmosphere
Anaconda (installer)	Red Hat
Canowindra, New South Wales	Towns in New South Wales
Robert Cutler	United States National Security Advisors, Politicians from Boston, Massachusetts, 1895 births, 1974 deaths
St. Anthony-Chapel	Aachen, Buildings and structures in North Rhine-Westphalia, Churches in Germany
United States Secretary of Transportation	United States Department of Transportation, United States Secretaries of Transportation, 1967 establishments in the United States
The Bushwackers (band)	Australian musical groups, Folk music groups, Country bands, Musical groups from Melbourne, Musical groups established in 1973, 1973 establishments in Australia, Musical groups disestablished in 1984, 1984 disestablishments in Australia, Musical groups established in 1993, 1990s establishments in Australia
United States Department of Transportation	United States Department of Transportation, 1967 establishments in the United States
United States Department of War	Former United States Executive Departments, 1949 disestablishments, 1789 establishments in the United States, 1940s disestablishments in the United States
United States Department of Commerce and Labor	Former United States Executive Departments, United States Department of Commerce, United States Department of Labor, 1903 establishments in the United States, 1910s disestablishments in the United States
United States Department of Health, Education, and Welfare	Former United States Executive Departments, United States Department of Education, United States Department of Health and Human Services, 1953 establishments in the United States, 1979 disestablishments in the United States
United States Post Office Department	Former United States Executive Departments, United States Postal Service, 1792 establishments in the United States, 1971 disestablishments in the United States
United States Department of Education	United States Department of Education, 1979 establishments in the United States
United States Department of Housing and Urban Development	United States Department of Housing and Urban Development, 1965 establishments in the United States
United States Department of Veterans Affairs	United States Department of Veterans Affairs
Particle accelerator	Nuclear physics
United States Secretary of Education	United States Department of Education, United States Secretaries of Education, 1979 establishments in the United States
United States Secretary of Health, Education, and Welfare	United States Secretaries of Health, Education, and Welfare
Oveta Culp Hobby	United States Secretaries of Health, Education, and Welfare, Politicians from Texas, 1905 births, 1995 deaths
Patricia Roberts Harris	United States Secretaries of Health and Human Services, United States Secretaries of Health, Education, and Welfare, United States Secretaries of Housing and Urban Development, Politicians from Illinois, 1924 births, 1985 deaths
Assistant Secretary of Housing and Urban Development for Housing	United States Assistant Secretaries of Housing and Urban Development
United States Secretary of Housing and Urban Development	United States Department of Housing and Urban Development, United States Secretaries of Housing and Urban Development, 1966 establishments in the United States
Henry Paulson	Living people, 1946 births, United States Secretaries of the Treasury, Politicians from Florida, Christian Scientists
Reconquista	History of Spain
John W. Snow	1939 births, Living people, United States Secretaries of the Treasury, Politicians from Ohio
Paul H. O'Neill	2020 deaths, Deaths from lung cancer, Businesspeople from St. Louis, Missouri, US Republican Party politicians, Businesspeople from Pittsburgh, Pennsylvania, Politicians from Pittsburgh, Pennsylvania, United States Secretaries of the Treasury, Politicians from St. Louis, Missouri, 1935 births
Oliver Wolcott Jr.	1760 births, 1833 deaths, Governors of Connecticut, United States Secretaries of the Treasury, Yale University alumni, 19th-century American politicians, 18th-century American politicians
Samuel Dexter	United States Secretaries of the Treasury, United States Secretaries of War, Politicians from Boston, Massachusetts, 1761 births, 1816 deaths
United States Secretary of the Army	United States Secretaries of the Army
Kenneth Claiborne Royall	1894 births, 1971 deaths, American generals, American military personnel of World War I, American military personnel of World War II, Politicians from North Carolina, United States Secretaries of the Army, United States Secretaries of War
Pete Geren	1952 births, Living people, United States Secretaries of the Air Force, Politicians from Texas, US Democratic Party politicians, United States Secretaries of the Army
Astor markhor	Caprids, Mammals of Pakistan, Plants and animals of Kashmir
Kabul markhor	Caprids, Mammals of Asia
Junagarh	Cities in India
Nirvana (album)	Nirvana albums, 2002 albums
India–Pakistan border	Foreign relations of India, Pakistan
Emblem of Afghanistan	Afghanistan, National coats of arms
USB hub	Computing
Digital signature	Cryptography
Key generation	Cryptography
Symmetric-key algorithm	Cryptography
John Marshall	Chief Justices of the United States, United States Secretaries of State, United States Supreme Court justices, Founding Fathers of the United States, People from Virginia
William H. Crawford	United States Secretaries of the Treasury, United States Secretaries of War, Presidents pro tempore of the United States Senate, Politicians from Virginia, Slavers
James McHenry	Signers of the United States Constitution, United States Secretaries of War, 1753 births, 1816 deaths, People from Maryland
Timothy Pickering	1745 births, 1829 deaths, United States Postmasters General, United States Secretaries of State, United States Secretaries of War, Politicians from Massachusetts, People from Salem, Massachusetts
John Jay	1745 births, 1829 deaths, Deaths from stroke, Chief Justices of the United States, Founding Fathers of the United States, United States Supreme Court justices, Politicians from New York City, Slavers
Evan Longoria	1985 births, American League All-Stars, Baseball players from California, Living people, People from Downey, California, San Francisco Giants players, Sportspeople from California, Tampa Bay Devil Rays players, Tampa Bay Rays players
Nucleolus	Cell biology
Candice Bergen	American movie actors, American television actors, Actors from Beverly Hills, California, 1946 births, Living people
Duke Nukem 3D	1996 video games, Windows games, PlayStation games, Xbox 360 Live Arcade games, Sega Saturn games, Video game sequels, Sega Genesis games
William Rehnquist	1924 births, 2005 deaths, American Lutherans, Burials at Arlington National Cemetery, Chief Justices of the United States, Deaths from thyroid cancer, Harvard University alumni, Politicians from Milwaukee, Wisconsin, Stanford University alumni, United States Supreme Court justices
Hyderabad State	British India, Indian princely states, Former countries in South Asia, Territorial disputes of Pakistan, 1724 establishments, 1948 disestablishments in India, 1720s establishments in Asia, 18th century establishments in India, Nizams of Hyderabad
Two-nation theory	History of Pakistan, History of Bangladesh, Partition of India
Samuel Osgood	1747 births, 1813 deaths, United States Postmasters General, Politicians from Massachusetts
William Bradford (Attorney General)	1755 births, 1795 deaths, United States Attorneys General, Politicians from Philadelphia, Pennsylvania
Charles Lee (Attorney General)	1758 births, 1815 deaths, United States Attorneys General, Politicians from Virginia
Benjamin Stoddert	1751 births, 1813 deaths, Politicians from Maryland, United States Secretaries of the Navy
Joseph Hewes	1730 births, 1779 deaths, People from Princeton, New Jersey, Politicians from New Jersey, Politicians from North Carolina, Princeton University alumni, Signers of the U.S. Declaration of Independence
Candela	SI units
Hongwu Emperor	1328 births, 1398 deaths, Emperors and Empresses of China
Soulja Boy	American rap musicians from Illinois, 1990 births, Living people, Singers from Georgia (U.S. state), Singers from Illinois, African American musicians, American Internet celebrities, Twitch (service) streamers
Hadron	Subatomic particles
Zlatko Zahovič	1971 births, Living people, Slovenian footballers
Francis Lee	1944 births, Living people, English footballers, People from Lancashire
Shaun Goater	1970 births, Living people, Bermudian people, British footballers, North American footballers, Sport in Bermuda
Argentine Primera División	Football leagues, Football in Argentina, 1931 establishments, 20th-century establishments in Argentina, Sports leagues
Vladimír Šmicer	1973 births, Living people, Czech footballers
Dietmar Hamann	1973 births, Living people, German footballers, Sportspeople from Bavaria
Arthur Rowley	1926 births, 2002 deaths, English footballers, People from Wolverhampton, Sportspeople from Staffordshire
Laurie Cunningham	1956 births, 1989 deaths, English footballers, Sportspeople from London
Glenn Hoddle	1957 births, Living people, Chelsea F.C. players, English footballers, English football managers, England national football team managers, Sportspeople from London, Tottenham Hotspur F.C. players, Premier League players
Al-Saadi Qadhafi	1973 births, Living people, African footballers, People from Tripoli
Robert Pirès	1973 births, Living people, French footballers, People from Reims
Zoran Mirković	1971 births, Living people, Serbian footballers, People from Belgrade
Jimmy Floyd Hasselbaink	1972 births, Living people, 1998 FIFA World Cup players, Association football forwards, Chelsea F.C. players, Dutch football managers, Dutch footballers, Naturalised citizens of the Netherlands, People from Paramaribo, Premier League players
Andrew Cole	1971 births, Arsenal F.C. players, Black British sportspeople, English footballers, Living people, Manchester City F.C. players, Manchester United F.C. players, Sportspeople from Nottingham
FC Porto	Portuguese football clubs, Porto, 1893 establishments in Europe, Establishments in Portugal
F.C. Zenit Saint Petersburg	Russian football clubs, 1925 establishments, 1920s establishments in the Soviet Union
Steve Bruce	1960 births, Living people, English football managers, English footballers, Sportspeople from Northumberland, Premier League players
Stockport County F.C.	English football clubs, Stockport, Greater Manchester, 1883 establishments in the United Kingdom
Grand Theft Autumn / Where Is Your Boy	2003 songs, Fall Out Boy songs
Cornthwaite Rason	1858 births, 1927 deaths, Independent politicians in Australia, Politicians from Somerset, Premiers of Western Australia
Henry Daglish	1866 births, 1920 deaths, Premiers of Western Australia, Politicians from Victoria (Australia), Australian Labor Party politicians, People from Ballarat
Walter James	1863 births, 1943 deaths, Premiers of Western Australia, People from Perth, Western Australia, Independent politicians in Australia
Alf Morgans	1850 births, 1933 deaths, Premiers of Western Australia, Monmouthshire, Independent politicians in Australia
George Leake	1856 births, 1902 deaths, Independent politicians in Australia, Premiers of Western Australia, People from Perth, Western Australia
George Throssell	1840 births, 1910 deaths, Premiers of Western Australia, People from County Cork
John Forrest	1847 births, 1918 deaths, Premiers of Western Australia, Commonwealth Liberal Party politicians, Protectionist Party politicians, Treasurers of Australia
Into the Fire	Bryan Adams albums, 1987 albums
UK Albums Chart	Record charts
Attack model	Cryptography
Cuts Like a Knife	Bryan Adams albums, 1983 albums, Rock albums
You Want It You Got It	Bryan Adams albums, 1981 albums, Rock albums
Bryan Adams (album)	Bryan Adams albums, 1980 albums, Debut albums, Rock albums
Known-plaintext attack	Cryptography
18 til I Die	Bryan Adams albums, 1996 albums
On a Day Like Today	Bryan Adams albums, 1998 albums
Room Service	Bryan Adams albums, 2004 albums
11 (album)	2008 albums, Bryan Adams albums, Rock albums
Chosen-plaintext attack	Cryptography
Ciphertext-only attack	Cryptography
Chosen-ciphertext attack	Cryptography
Kambly	Food companies of Switzerland, 20th century establishments in Switzerland, 1910 establishments in Europe
Differential cryptanalysis	Cryptography
Linear cryptanalysis	Cryptography
Julianne Moore	1960 births, Living people, Academy Award winning actors, Satellite Award winners, Actors from North Carolina, American children's writers, American LGBT rights activists, American movie actors, American movie producers, American television actors, BAFTA Award winning actors, Emmy Award winning actors, Golden Globe Award winning actors, Scottish movie actors, Screen Actors Guild Award winners
Tropical Storm Cristobal (2008)	Atlantic tropical storms
Rijndael key schedule	Cryptography
Gorillaz	1998 establishments in England, 1990s British music groups, 2000s British music groups, 2010s British music groups, Animated characters, English rock bands, Musical groups established in 1998, Musical groups from Essex, Warner Bros. Records artists
Pantanal	Geography of Bolivia, Geography of Brazil, Paraguay, Biosphere reserves, Wetlands
Balliol College, Oxford	Colleges of the University of Oxford, 1263 establishments, 1260s establishments in Europe, 13th century establishments in England
Erich Mende	1916 births, 1998 deaths, German military personnel of World War II, Majors, People from former German territories, Politicians of the Christian Democratic Union of Germany, Politicians of the Free Democratic Party of Germany, Vice Chancellors of Germany
Petra Kelly	1947 births, 1992 deaths, Civil servants, Feminists, Former members of the German Bundestag, German essayists, German murder victims, German politicians of Alliance '90/The Greens, Green thinkers, Murders by firearm in Germany, Nonviolence advocates, Politicians from Baden-Württemberg
Along the River During Qingming Festival	Chinese culture, Paintings
Kaiserswerth	Düsseldorf-Kaiserswerth, Boroughs of Germany, Düsseldorf
Vichy	Former national capitals, Subprefectures in France, Capital of France, Communes in Allier
Indochina	Southeast Asia, Peninsulas
Wadi Halfa	Cities in Sudan
Mechanical energy	Mechanics, Energy
Vitiligo	Diseases
Virtue	Ethics
Greyhound Lines	American transport companies, 1914 establishments in the United States, Bus transport
Twofish	Cryptography
Truncated differential cryptanalysis	Cryptography
Fatimid Caliphate	Arab people, Caliphates, Former countries in the Middle East, Former monarchies, Former monarchies of Africa, Former monarchies of Asia, Royal dynasties, 909 establishments, 12th century disestablishments in Africa, 12th century disestablishments in Asia, 10th-century establishments in Africa, 10th century establishments in Asia, 1171 disestablishments
Maghreb	Regions of Africa
Plaintext	Cryptography
Ciphertext	Cryptography
Azad Kashmir Day	Kashmir, Holidays
Stream cipher	Cryptography
Nyon	Municipalities of Vaud, Cities in Switzerland
Letterkenny	Towns in Ireland, County Donegal
Thalwil	Cities in Switzerland, Municipalities of Zürich
Hearth	Home
Jack-o'-lantern	Cucurbitaceae
Lakes of Titan	Saturn's moons
West Coast blues	Blues music
Frederick Pottinger	1831 births, 1865 deaths, Australian police officers
Bushfire	Fire, Ecology
Artificial selection	Classical genetics, Domesticated animals, Agriculture
Selectable marker	Genetic engineering
Evolutionary algorithm	Artificial intelligence
Artificial life	Scientific modeling
Nils Aall Barricelli	1912 births, 1993 deaths, Norwegian mathematicians, Italian mathematicians
Genetic algorithm	Artificial intelligence
Ingo Rechenberg	1934 births, Living people
Evolution strategy	Artificial intelligence
John Henry Holland	1929 births, 2015 deaths, American psychologists, Scientists from Indiana
Ontario Lacus	Saturn's moons, Lakes
Penetrometer	Geology, Measuring tools
Crème brûlée	Desserts
Kraken Mare	Saturn's moons
Ligeia Mare	Saturn's moons
Keystream	Cryptography
Noor Jehan	1926 births, 2000 deaths, Pakistani movie actors, Pakistani singers, Punjabi people
Nusrat Fateh Ali Khan	1948 births, 1997 deaths, Pakistani people, Punjabi people, Pakistani singers, Bollywood playback singers
Aziz Mian	1942 births, 2000 deaths, Pakistani singers, People from Delhi
Kashmir Solidarity Day	Kashmir, Holidays
National emblem of Bangladesh	Bangladesh, National coats of arms
Instrument of Surrender	1971 in Bangladesh, 1971 in Pakistan, Bangladesh Liberation War
Product cipher	Cryptography
Islamic Republic	Politics of Pakistan, Mauritania, Iran, Politics of Afghanistan, Forms of government
Key schedule	Cryptography
EFF DES cracker	Cryptography
Classified information	National security, Secrecy
Security clearance	National security
Sensitive information	National security
Trade secret	Secrecy, Trade, Intellectual property law
Rock Steady	2001 albums, No Doubt albums
Meet-in-the-middle attack	Cryptography
Key whitening	Cryptography
ESTREAM	Cryptography
MacGuffin (cipher)	Cryptography
Feistel cipher	Cryptography
George Wythe	1726 births, 1805 deaths, Signers of the U.S. Declaration of Independence, Politicians from Virginia
Josiah Bartlett	1729 births, 1795 deaths, Signers of the U.S. Declaration of Independence, Politicians from Massachusetts, Governors of New Hampshire, American physicians, Democratic Republican party (US) politicians, Scientists from Massachusetts, Chief justices
Carter Braxton	Signers of the U.S. Declaration of Independence, Politicians from Virginia, 1736 births, 1797 deaths
Islamic theology	Islam
Mac OS X Leopard	MacOS
Weather forecast	Meteorology
MacBook	Apple hardware, Laptops
SMS	Communication
International waters	Bodies of water, Law of the sea
Alternative hip hop	Fusion music genres, Hip hop genres, Alternative music
Jason Varitek	1972 births, American baseball players, Boston Red Sox players, Sportspeople from Michigan, Living people
Süddeutsche Zeitung	Newspapers published in Germany, 1945 establishments in Europe, 1940s establishments in Germany
Frankfurter Allgemeine Zeitung	Newspapers published in Germany, 1949 establishments in Germany
Frankfurter Rundschau	Newspapers published in Germany
Die Zeit	Newspapers published in Germany
Der Spiegel	Magazines of Europe, Germany
Oliver Wolcott	1726 births, 1797 deaths, American generals, Governors of Connecticut, Signers of the U.S. Declaration of Independence, Yale University alumni, Lieutenant Governors of Connecticut
Thomas Paine	1737 births, 1809 deaths, 18th century philosophers, 19th century philosophers, American deists, American philosophers, American revolutionaries, English inventors, English philosophers, Founding Fathers of the United States, Naturalized citizens of the United States, People from Norfolk
Richard R. Schrock	American chemists, American Nobel Prize winners, Scientists from Indiana, Scientists from San Diego, California, 1945 births, Living people
All your base are belong to us	Video game memes
Gall	Plant tissues, Parasitism
Zeroth law of thermodynamics	Thermodynamics, Laws of physics
Third law of thermodynamics	Thermodynamics, Laws of physics
Dion Dublin	1969 births, Living people, English footballers, Sportspeople from Leicester, Premier League players
Danny Murphy	1977 births, Living people, English footballers, People from Chester, Sportspeople from Cheshire
Stéphane Henchoz	1974 births, Living people, Swiss footballers
Milan Baroš	1981 births, Living people, Czech footballers
Gabriel Batistuta	1969 births, Living people, Argentine footballers
Bentley	British automobile companies
Chloe O'Brian	Television characters
Communes of the Bouches-du-Rhône department	Communes in Bouches-du-Rhône, Lists of communes of France
Allauch	Communes in Bouches-du-Rhône
Alleins	Communes in Bouches-du-Rhône
Aubagne	Communes in Bouches-du-Rhône
Aureille	Communes in Bouches-du-Rhône
Auriol, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Aurons	Communes in Bouches-du-Rhône
La Barben	Communes in Bouches-du-Rhône
Barbentane	Communes in Bouches-du-Rhône
Ehrenbreitstein	Buildings and structures in Rhineland-Palatinate, Castles in Germany, Koblenz
Les Baux-de-Provence	Communes in Bouches-du-Rhône
Beaurecueil	Communes in Bouches-du-Rhône
Belcodène	Communes in Bouches-du-Rhône
Berre-l'Étang	Communes in Bouches-du-Rhône
Bouc-Bel-Air	Communes in Bouches-du-Rhône
Jeep	American automobile companies, Sport utility vehicles
La Bouilladisse	Communes in Bouches-du-Rhône
Boulbon	Communes in Bouches-du-Rhône
Cabannes, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Cabriès	Communes in Bouches-du-Rhône
Cadolive	Communes in Bouches-du-Rhône
Carnoux-en-Provence	Communes in Bouches-du-Rhône
Carry-le-Rouet	Communes in Bouches-du-Rhône
Cassis	Communes in Bouches-du-Rhône
Ceyreste	Communes in Bouches-du-Rhône
Charleval, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Châteauneuf-le-Rouge	Communes in Bouches-du-Rhône
Châteauneuf-les-Martigues	Communes in Bouches-du-Rhône
Châteaurenard	Communes in Bouches-du-Rhône
La Ciotat	Communes in Bouches-du-Rhône
Cornillon-Confoux	Communes in Bouches-du-Rhône
Coudoux	Communes in Bouches-du-Rhône
Cuges-les-Pins	Communes in Bouches-du-Rhône
La Destrousse	Communes in Bouches-du-Rhône
Éguilles	Communes in Bouches-du-Rhône
Ensuès-la-Redonne	Communes in Bouches-du-Rhône
Eygalières	Communes in Bouches-du-Rhône
Eyguières	Communes in Bouches-du-Rhône
Eyragues	Communes in Bouches-du-Rhône
La Fare-les-Oliviers	Communes in Bouches-du-Rhône
Fontvieille, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Fos-sur-Mer	Communes in Bouches-du-Rhône
Fuveau	Communes in Bouches-du-Rhône
Gardanne	Communes in Bouches-du-Rhône
Gémenos	Communes in Bouches-du-Rhône
Gignac-la-Nerthe	Communes in Bouches-du-Rhône
Grans	Communes in Bouches-du-Rhône
Graveson	Communes in Bouches-du-Rhône
Gréasque	Communes in Bouches-du-Rhône
Istres	Communes in Bouches-du-Rhône, Subprefectures in France
Jouques	Communes in Bouches-du-Rhône
Lamanon	Communes in Bouches-du-Rhône
Lambesc	Communes in Bouches-du-Rhône
Lançon-Provence	Communes in Bouches-du-Rhône
Maillane	Communes in Bouches-du-Rhône
Mallemort	Communes in Bouches-du-Rhône
Marignane	Communes in Bouches-du-Rhône
Mandaeism	Esotericism
Substitution box	Cryptography
Martigues	Communes in Bouches-du-Rhône
Mas-Blanc-des-Alpilles	Communes in Bouches-du-Rhône
Maussane-les-Alpilles	Communes in Bouches-du-Rhône
Meyrargues	Communes in Bouches-du-Rhône
Meyreuil	Communes in Bouches-du-Rhône
Mimet	Communes in Bouches-du-Rhône
Miramas	Communes in Bouches-du-Rhône
Mollégès	Communes in Bouches-du-Rhône
Mouriès	Communes in Bouches-du-Rhône
Noves	Communes in Bouches-du-Rhône
Orgon	Communes in Bouches-du-Rhône
Paradou	Communes in Bouches-du-Rhône
Pélissanne	Communes in Bouches-du-Rhône
Les Pennes-Mirabeau	Communes in Bouches-du-Rhône
La Penne-sur-Huveaune	Communes in Bouches-du-Rhône
Peynier	Communes in Bouches-du-Rhône
Peypin	Communes in Bouches-du-Rhône
Peyrolles-en-Provence	Communes in Bouches-du-Rhône
Plan-de-Cuques	Communes in Bouches-du-Rhône
Plan-d'Orgon	Communes in Bouches-du-Rhône
Confusion and diffusion	Cryptography
Port-de-Bouc	Communes in Bouches-du-Rhône
Port-Saint-Louis-du-Rhône	Communes in Bouches-du-Rhône
Puyloubier	Communes in Bouches-du-Rhône
Le Puy-Sainte-Réparade	Communes in Bouches-du-Rhône
Rognac	Communes in Bouches-du-Rhône
Rognes, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Rognonas	Communes in Bouches-du-Rhône
La Roque-d'Anthéron	Communes in Bouches-du-Rhône
Communication Theory of Secrecy Systems	Cryptography
Come as You Are (Nirvana song)	Nirvana songs, 1992 songs
International Data Encryption Algorithm	Cryptography
Luduş	Towns in Romania
2008 Yemen floods	2008 in Asia, 2000s disasters in Asia, 21st century in Yemen, Floods in Asia, October 2008 events
Alexander Ramsey	1815 births, 1903 deaths, United States Secretaries of War, United States senators from Minnesota, Politicians from Pennsylvania
Lounge Act	Nirvana songs, 1991 songs
Hurricane Dean	2007 Atlantic hurricane season, Retired tropical cyclone names, Hurricanes in Mexico, 2007 in Mexico, 2000s in Puerto Rico, 2000s in the Dominican Republic, 2000s in Haiti, 2000s in Jamaica, History of the Cayman Islands, 2000s in Belize, 2000s in Honduras, 2000s in Nicaragua, August events, Hurricanes in Jamaica
Amazon Basin	Regions of South America, Drainage basins
Bixa orellana	Malvales
Xochiquetzal	Aztec gods and goddesses
Tlatoani	Kings and queens, Mexican people
José de Acosta	1539 births, 1600 deaths, Jesuits, Missionaries, Naturalists, Spanish Roman Catholics, Spanish writers
Catarrh	Diseases
Upper class	Social groups
Chocolate bar	Candy
Veracruz, Veracruz	Cities in Mexico, Veracruz
Hans Sloane	British physicians, People from County Down, 1660 births, 1773 deaths, Irish scientists
Royal College of Physicians	Medicine
Coenraad Johannes van Houten	1801 births, 1887 deaths, Dutch chemists, Dutch inventors, People from Amsterdam, Chocolate
Cocoa butter	Food ingredients
Pietro Longhi	1701 births, 1785 deaths, 18th century Italian painters
Alex Turner (musician)	English guitarists, English rock musicians, English singer-songwriters, People from Sheffield, 1986 births, Living people
Dodge	1900 establishments in the United States, American automobile companies, 1900s establishments in Michigan
Ordered pair	Mathematics
Arts and crafts	Hobbies, Art
Chrysler	American automobile companies, 1925 establishments in the United States
Nazia Hassan	1965 births, 2000 deaths, Pakistani singers, Cancer deaths in England, Deaths from lung cancer, Pakistani Muslims, People from Karachi, Sufis
Bilawal Bhutto Zardari	1988 births, Living people, Pakistani politicians
Muhammad Ijaz-ul-Haq	1953 births, Living people, Pakistani military people, Pakistani Muslims, Pakistani politicians
