Naohiro Takahara	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, Urawa Red Diamonds players, Shimizu S-Pulse players, Tokyo Verdy players, SC Sagamihara players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Dongdongju	Korea, Alcoholic drink
Obelisk	Monuments and memorials
Moonwalk	Dances, Michael Jackson
Agnostic theism	Theology
Savannah, Georgia	Cities in Georgia (U.S. state), County seats in Georgia
St. Catherines Island	Islands of the United States, Geography of Georgia (U.S. state)
Hot Wheels	Toys, 1968 establishments, Collecting, Hobbies
Takashi Shimoda	1975 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, J1 League players, J2 League players, Sanfrecce Hiroshima players, Footballers at the 1996 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
César Sampaio	1968 births, Living people, Brazilian footballers
Takeshi Ono (footballer, born 1962)	1962 births, Living people, Footballers from Chiba Prefecture, Japanese football managers
Rafael Benítez	1960 births, Living people, Spanish football managers, Spanish footballers, Sportspeople from Madrid
Patrick Kluivert	1976 births, Living people, Dutch footballers, Sportspeople from Amsterdam
Zvonimir Boban	1968 births, Living people, Croatian footballers
Yuichi Komano	1981 births, Living people, Footballers from Wakayama Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Sanfrecce Hiroshima players, Júbilo Iwata players, FC Tokyo players, FC Tokyo U-23 players, Avispa Fukuoka players, FC Imabari players, 2006 FIFA World Cup players, 2010 FIFA World Cup players, Footballers at the 2004 Summer Olympics
Santiago Cañizares	1969 births, Living people, Spanish footballers
Yahiro Kazama	1961 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Sanfrecce Hiroshima players
Yuki Abe	1981 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, J1 League players, JEF United Chiba players, Urawa Red Diamonds players, 2010 FIFA World Cup players, Footballers at the 2004 Summer Olympics
Serhiy Rebrov	1974 births, Living people, Ukrainian footballers
Daeboreum	Holidays, Korea
Mashed potato	Potatoes
Survival horror	Horror, Video game genres
Muster drill	Water transport, Safety
Acute angle	Angles
Sound film	Movie terminology, Sound, Audio technology
Sonny With a Chance	2000s American television series, English-language television programs
One Day in the Life of Ivan Denisovich	1962 books, Russian novels, Books by Aleksandr Solzhenitsyn
Hurricane Lane (2006)	2006 Pacific hurricane season, Hurricanes in Mexico, East Pacific hurricanes, 2006 in the United States, 2000s in Texas, 2000s in Mexico
Paraceratherium	Mammals, Fossils
Jaap Stam	1972 births, Living people, Dutch football managers, Dutch footballers, Eredivisie managers, Sportspeople from Overijssel
Kazuya Maekawa	1968 births, Living people, Footballers from Nagasaki Prefecture, Japan international footballers, J1 League players, J2 League players, Japan Soccer League players, Sanfrecce Hiroshima players, Oita Trinita players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Roy Makaay	1975 births, Living people, Dutch footballers, Sportspeople from Gelderland
Keiji Tamada	1980 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, J1 League players, J2 League players, Kashiwa Reysol players, Nagoya Grampus players, Cerezo Osaka players, V-Varen Nagasaki players, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2005 FIFA Confederations Cup players
Laurent Blanc	1965 births, Living people, French footballers, French football managers
Norio Omura	1969 births, Living people, Footballers from Shimane Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Yokohama F. Marinos players, Vegalta Sendai players, Sanfrecce Hiroshima players, Yokohama FC players, Gainare Tottori players, 1998 FIFA World Cup players, 1996 AFC Asian Cup players
Marco Caneira	1979 births, Living people, Portuguese footballers
Rubén Baraja	1975 births, Living people, Spanish footballers, People from Valladolid
Katsutomo Oshiba	1973 births, Living people, Footballers from Yamanashi Prefecture
Héctor Cúper	Argentine footballers, Argentine football managers, 1955 births, Living people
Fabio Capello	1946 births, Living people, 1974 FIFA World Cup players, England national football team managers, Italian football managers, Italian footballers, Italian Roman Catholics, Sportspeople from Friuli Venezia-Giulia
Shohei Ikeda	1981 births, Living people, Footballers from Shizuoka Prefecture
Stefano Fiore	1975 births, Living people, Italian footballers
Junk food	Foods
Tropical Storm Aletta (2006)	Hurricanes in Mexico, East Pacific tropical storms, Hurricanes, 2006 in North America, 2000s in Mexico, May events
Boldo	Herbs, Magnoliopsida, Trees
1978 January subtropical storm	Subtropical cyclones, 1978
Regional Railways	British Rail
Berlin Philharmonic	German orchestras
Poughkeepsie, New York	Poughkeepsie, New York, Former United States state capitals, County seats in New York
Beacon, New York	Cities in New York, Dutchess County, New York
Agate	Minerals
RNA virus	Viruses
DNA virus	Viruses, DNA
Zygnematales	Algae
Zygnematophyceae	Algae
Lancaster, Ohio	Cities in Ohio, County seats in Ohio
List of cities in Illinois	Cities in Illinois, Lists of cities by US state
Mydoom	Malware
Ulvophyceae	Algae
Davor Šuker	1968 births, Living people, Croatian footballers
Zlatan Ibrahimović	1981 births, Living people, Swedish footballers, People from Malmo, Association football forwards, A.C. Milan players, Manchester United F.C. players, Premier League players, 2002 FIFA World Cup players, UEFA Euro 2004 players, 2006 FIFA World Cup players, UEFA Euro 2008 players, UEFA Euro 2012 players, UEFA Euro 2016 players
Naotake Hanyu	1979 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, J1 League players, J2 League players, JEF United Chiba players, FC Tokyo players, Ventforet Kofu players
Shinji Murai	1979 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, J1 League players, J2 League players, JEF United Chiba players, Júbilo Iwata players, Oita Trinita players
Marco Di Vaio	1976 births, Living people, Italian footballers, Sportspeople from Rome
Emmanuel Petit	1970 births, Living people, French footballers
Giovanni van Bronckhorst	1975 births, Living people, 1998 FIFA World Cup players, 2006 FIFA World Cup players, 2010 FIFA World Cup players, Dutch footballers, Sportspeople from Rotterdam, Eredivisie managers
Kakha Kaladze	1978 births, Living people, Asian footballers, European footballers, Sportspeople from Georgia (country)
Marcello Lippi	1948 births, Living people, Italian footballers
Francesco Toldo	1971 births, Living people, Italian association football goalkeepers
List of Japanese football teams	Lists of football teams, Japanese football clubs, Japan-related lists
F.C. Sète 34	1900 establishments in France, French football clubs
F.C. Sochaux-Montbéliard	1920s establishments in France, 1928 establishments in Europe, French football clubs
Racing Club de France Football	French football clubs, 1882 establishments in France
C.O. Roubaix-Tourcoing	French football clubs
Stade de Reims	French football clubs, Reims, 1911 establishments in Europe, 1910s establishments in France
OGC Nice	French football clubs, Nice, 1904 establishments in France
AS Saint-Étienne	French football clubs, 1919 establishments in France, Auvergne-Rhône-Alpes
F.C. Nantes	1943 establishments in Europe, 1940s establishments in France, French football clubs, Nantes
RC Strasbourg Alsace	French football clubs, Strasbourg, 1906 establishments in France
Paris Saint-Germain F.C.	French football clubs, 1970 establishments in France, Paris
AJ Auxerre	French football clubs, 1905 establishments in France
R.C. Lens	French football clubs, 1906 establishments in France
Lincoln Near-Earth Asteroid Research	Asteroid discoverers
Spacewatch	Asteroid discoverers
Kitt Peak National Observatory	Observatories in the United States, Asteroid discoverers, Buildings and structures in Arizona
Hurricane Nate (2005)	Hurricanes in Bermuda, 2005 Atlantic hurricane season, 2005 in Bermuda, 2000s in New Jersey, 2005 in the United States
Chromalveolate	Algae, Protista, Eukaryotes
Hurricane Irene (2005)	2005 Atlantic hurricane season, Hurricanes in the United States
Ciliate	Ciliates
Apicomplexa	Apicomplexa
GarageBand	Apple software, Music software
Raja Dahir	Indian leaders, History of India, History of Pakistan, 679 births, 712 deaths
Aconoidasida	Apicomplexa
Schelte J. Bus	1956 births, Living people, Asteroid discoverers, American astronomers
Siding Spring Observatory	Observatories in Australia, Buildings and structures in New South Wales
David Rosenhan	American psychologists, 1929 births, 2012 deaths, Scientists from New Jersey
Leniniana	Philately of the Soviet Union, Soviet politicians, Postage stamps
Iranian rial	Iran, Currency of Asia, 1798 establishments, 18th century establishments in Iran
Pseudomonas	Gram-negative bacteria
Giant magnetoresistance	Physics, Electronics, Hard drives, Quantum mechanics
Keiju Karashima	1971 births, Living people, Footballers from Kyoto
Grigoris Georgatos	1972 births, Living people, Greek footballers
Angelos Charisteas	1980 births, Living people, Greek footballers
Bogdan Stelea	1967 births, Living people, Romanian footballers, Sportspeople from Bucharest
Emmanuel Olisadebe	1978 births, Living people, Polish footballers
Tamotsu Suzuki	1947 births, Living people, Footballers from Saitama Prefecture, Japanese football managers, Yokohama F. Marinos players, Japan women's national football team managers
Shinobu Ikeda	1962 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Yokohama F. Marinos players, Gamba Osaka players, Japan women's national football team managers
Satoshi Miyauchi	1959 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, JEF United Chiba players, Japan women's national football team managers
Akinori Nishizawa	1976 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Cerezo Osaka players, Shimizu S-Pulse players, 2002 FIFA World Cup players, 2001 FIFA Confederations Cup players, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Kazuo Ozaki	1960 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Urawa Red Diamonds players, Tokyo Verdy players
Takenori Hayashi	1980 births, Living people, Footballers from Nara Prefecture
Dario Šimić	1975 births, Living people, Croatian footballers, Sportspeople from Zagreb
Mitsuo Ogasawara	1979 births, Living people, Footballers from Iwate Prefecture, Japan international footballers, J1 League players, Kashima Antlers players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players
Bill Evans	American pianists, American jazz musicians, Musicians from New Jersey, 1929 births, 1980 deaths, People from Plainfield, New Jersey
Link reaction	Cellular respiration
Rift (geology)	Plate tectonics, Landforms
Yo-Yo Ma	1955 births, musicians from Massachusetts, Cellists, Living people, Grammy Award winners, Classical musicians, Columbia University alumni, Harvard University alumni, Kennedy Center honorees, Latin Grammy Award winners
Gabriela Montero	1970 births, Venezuelan entertainers, Pianists, Living people, People from Caracas
Anthony McGill	American clarinetists, Musicians from Chicago, Year of birth missing (living people), Living people
Kyjov	Cities in the Czech Republic
Thirteen-lined ground squirrel	Squirrels, Mammals of North America
National anthem of Russia	Russia, National anthems
Newton's law of universal gravitation	Mechanics
Campagna	Towns in Italy, Settlements in Campania
Denial-of-Service attack	Malware
Pat Paulsen	1927 births, 1997 deaths, Deaths from pneumonia, Deaths from brain cancer, Deaths from colorectal cancer, American movie actors, 1992 United States presidential candidates, Comedians from Washington, American television actors, Actors from Washington
Rowan & Martin's Laugh-In	1960s television series, Comedy, NBC network shows, English-language television programs
Very High Bitrate Digital Subscriber Line	Digital subscriber line
Red algae	Algae
Gilan Province	Provinces of Iran
2005 Azores subtropical storm	Subtropical cyclones, 2005 Atlantic hurricane season, October 2005 events
Abdurrahman Wahid	1940 births, 2009 deaths, Deaths from diabetes, Deaths from coronary artery disease, Deaths from kidney disease, Muslims, Presidents of Indonesia
Diego Tristán	1976 births, Living people, Spanish footballers
Robert Prosinečki	1969 births, Living people, Croatian footballers
An Yong-Hak	1978 births, Living people, North Korean footballers
Takuya Yamamoto	1986 births, Living people, Footballers from Ibaraki Prefecture
Sol Campbell	1974 births, Living people, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, Arsenal F.C. players, Black British sportspeople, English footballers, People from Newham (London borough), Sportspeople from London, Tottenham Hotspur F.C. players, UEFA Euro 2000 players, UEFA Euro 2004 players, Premier League players
Aimé Jacquet	1941 births, Living people, French football managers, French footballers, Sportspeople from Auvergne-Rhône-Alpes
Fernando Torres	1984 births, Living people, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, Chelsea F.C. players, Liverpool F.C. players, Spanish footballers, Sportspeople from Madrid
Chikashi Masuda	1985 births, Living people, Footballers from Miyazaki Prefecture, Japan international footballers, J1 League players, Kashima Antlers players, Montedio Yamagata players, Omiya Ardija players, Shimizu S-Pulse players
Masashi Oguro	1980 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, J1 League players, J2 League players, Gamba Osaka players, Hokkaido Consadole Sapporo players, Tokyo Verdy players, Yokohama FC players, FC Tokyo players, Yokohama F. Marinos players, Kyoto Sanga FC players, Montedio Yamagata players, Tochigi SC players, 2006 FIFA World Cup players, 2005 FIFA Confederations Cup players
Kohei Tanaka	1985 births, Living people, Footballers from Hokkaidō Prefecture
Tomoya Ichikawa	1976 births, Living people, Footballers from Ibaraki Prefecture
Jo Nakajima	1980 births, Living people, Footballers from Saitama Prefecture
Jade Ewen	1988 births, Living people, Actors from London, Black British actors, Black British musicians, English singer-songwriters, English television actors, Eurovision Song Contest entrants, People from Newham (London borough), Singers from London, Sugababes members
All For Latvia!	Riga, Political parties in Europe, Nationalist organizations in Europe, Conservative parties, 2006 establishments in Europe, Establishments in Latvia, 2011 disestablishments in Europe
Cookies and Cream	Ice cream
Sobig	Computer networking, Computer security, Computer science, Malware
Cloud Cult	American rock bands, Indie rock bands, Musical groups from Minnesota, Musicians from Minneapolis, Minnesota
The Aristocats	American animated movies, American family movies, 1970 comedy movies, American musical comedy movies, American romantic comedy movies, Disney animated movies, Movies about cats, Movies composed by George Bruns
One Hundred and One Dalmatians	101 Dalmatians, 1961 movies, Disney animated movies, American family movies, American musical movies, Movies about dogs, Movies based on books, Movies composed by George Bruns
E number	Foods, Chemical nomenclature
Porsche-Museum	Automobiles, Buildings and structures in Baden-Württemberg, Museums in Germany, Stuttgart
Homo rudolfensis	Hominins, Prehistoric Africa
George Wallace	1919 births, 1998 deaths, Deaths from sepsis, American judges, American lawyers, American Methodists, American military personnel of World War II, Governors of Alabama, Infectious disease deaths in the United States, 1964 United States presidential candidates, 1968 United States presidential candidates, 1972 United States presidential candidates, 1976 United States presidential candidates, US Democratic Party politicians
Homo ergaster	Hominins, Prehistoric Africa
Intan Erlita	1980 births, Living people, People from Jakarta, Television presenters, Models
Lolcat	Internet memes
Cupressus macrocarpa	Cupressaceae
Tropical Storm Cristobal (2002)	2002 Atlantic hurricane season, Atlantic tropical storms, Hurricanes in Bermuda, 2000s in New York (state), 2002 in the United States
Captain Moonlite	1845 births, 1880 deaths, Bushrangers
Barrel organ	Musical instruments
Shinichi Shuto	1983 births, Living people, Footballers from Oita Prefecture
Lilian Thuram	1972 births, Living people, French footballers
Tetsu Sugiyama	1981 births, Living people, Footballers from Kumamoto Prefecture
Jun Uchida	1977 births, Living people, Footballers from Hyōgo Prefecture, Albirex Niigata players
Tony Popovic	1973 births, Living people, Australian footballers, Sportspeople from Sydney, Crystal Palace F.C. players
Carsten Jancker	1974 births, 2002 FIFA World Cup players, German football managers, German footballers, Living people, Sportspeople from Mecklenburg-Vorpommern, UEFA Euro 2000 players
Bernardo Corradi	1976 births, Living people, Italian footballers, Sportspeople from Tuscany, People from Siena
Megumu Yoshida	1973 births, Living people, Footballers from Aichi Prefecture
Mohamed Kallon	1979 births, Living people, Sierra Leonean people, African footballers
Yuki Nakashima	1984 births, Living people, Footballers from Toyama Prefecture
Ramón Díaz	1959 births, Living people, Argentine footballers, Argentine football managers, La Rioja
Claude Makélélé	1973 births, Living people, French footballers, People from Kinshasa
Jack Donahue	1804 births, 1830 deaths, Bushrangers, People from Dublin
Frederick Ward (bushranger)	1836 births, 1870 deaths, Bushrangers, People from New South Wales
Polish literature	Literature by nationality
Motion of Confidence	Politics
Nevşehir	Cities in Turkey
Coca	Malpighiales, Drugs
Skillet	1996 establishments in the United States, Christian rock bands, American hard rock bands, Musical groups from Tennessee, Musicians from Memphis, Tennessee
Fernando Morientes	1976 births, Living people, Spanish footballers
Masashi Otani	1983 births, Living people, Footballers from Gunma Prefecture
Oliver Bierhoff	1968 births, Living people, German footballers, People from Karlsruhe, Sportspeople from Baden-Württemberg
Thomas Linke	1969 births, Living people, East German sportspeople, German footballers, FC Red Bull Salzburg players, Sportspeople from Thuringia
Juan Carlos Valerón	1975 births, Living people, Spanish footballers
Youri Djorkaeff	1968 births, 1998 FIFA World Cup players, 2002 FIFA World Cup players, French footballers, Living people, Sportspeople from Lyon, UEFA Euro 2000 players
Sébastien Frey	1980 births, Living people, French footballers, Association football goalkeepers
Sudetes	Mountains of Europe
Gaizka Mendieta	1974 births, Living people, Spanish footballers, People from Bilbao
Real Betis	Spanish football clubs, Seville
Karkonosze	Mountains of Europe
Sevilla F.C.	Spanish football clubs, 1890 establishments in Europe, 1890s establishments in Spain
Deportivo de La Coruña	Spanish football clubs
Draw poker	Poker
Jordan Galland	1980 births, Living people, Singer-songwriters from New York, American rock guitarists, American movie actors, Singers from New York City, Actors from New York City, Singers from Connecticut, Actors from Connecticut, American movie directors
Great Sphinx	Buildings and structures in Ancient Egypt, Archaeological sites in Egypt, Giza
Puttad	Villages in Kerala
Bingen, Washington	Cities in Washington (U.S. state)
Cherryade	Soft drinks
Kingdom of Ireland	History of Ireland
Xylophone	Percussion instruments
Titanis	Gruiformes, Fossils
Pendulum clock	Clocks
Nagoya Grampus	Japanese football clubs, Nagoya, 1939 establishments, 1930s establishments in Japan
Marine One	United States
Bibimbap	Korean food
Class struggle	Socialism
Grand Korean Waterway	Canals, Geography of South Korea
Parallelism (grammar)	Grammar
Tropical Storm Arthur (2008)	2008 Atlantic hurricane season, 2008 in North America, 2000s in Belize
Tropical Storm Fay (2008)	2008 Atlantic hurricane season, Atlantic tropical storms, August events, 2008 in the United States, 2000s in Puerto Rico, 2000s in the Dominican Republic, 2000s in Haiti, 2000s in Jamaica, 2000s in Cuba, 2000s in the Bahamas
Hurricane Gustav	2008 Atlantic hurricane season, Category 4 Atlantic hurricanes, Hurricanes in Jamaica
Hurricane Kyle (2008)	Hurricanes in New England, 2008 in weather, 2008 in the United States
Tropical Storm Marco (2008)	Atlantic tropical storms, 2008 Atlantic hurricane season, October events, Hurricanes in Mexico, 2008 in North America, 2000s in Mexico
Baobab	Malvaceae, Trees
Hurricane Kenneth (2005)	21st century in Hawaii, East Pacific hurricanes, Hurricanes, 2005 in the United States
Orange-red	Shades of orange, Shades of red
Choi Sung-Kuk	1983 births, Living people, South Korean footballers, People from Seoul
Karl-Heinz Rummenigge	1955 births, Living people, German footballers, Sportspeople from North Rhine-Westphalia
Louis Saha	1978 births, Living people, French footballers, Sportspeople from Paris
Paul Ince	1967 births, Living people, 1998 FIFA World Cup players, Black British sportspeople, English footballers, English football managers, People from Ilford, Sportspeople from London, Premier League players
Míchel Salgado	1975 births, Living people, Spanish footballers
Luis Enrique Martínez García	1970 births, Living people, Spanish footballers, Spanish football managers
Walter Samuel	1978 births, Living people, Argentine footballers
Roberto Ayala	1973 births, Living people, Argentine footballers
Theodoros Zagorakis	1971 births, Living people, Greek footballers
Christian Karembeu	1970 births, Living people, French footballers
Nicolas Anelka	1979 births, Living people, French footballers, People from Ile-de-France
Réaumur scale	Units of temperature
Brian Laudrup	1969 births, Living people, Danish footballers
Gödel's incompleteness theorems	Mathematics, Logic
Cilia	Ciliates, Organelles
30 Seconds to Mars	American hard rock bands, Post-grunge bands, Musical groups from Los Angeles, California, 30 Seconds to Mars
Mino Reitano	1944 births, 2009 deaths, Cancer deaths in Italy, Deaths from colorectal cancer, Italian singers, People from Calabria
Closed-circuit television	Television technology, Security, Law enforcement techniques
Gene Okerlund	1942 births, 2019 deaths, Accidental deaths from falls in the United States, Organ transplant recipients, WWE people, American sports commentators, Sportspeople from Minnesota, Sportspeople from Florida
SQL slammer worm	Malware, Computing
Computer worm	Malware
Lee Keun-Ho	South Korean footballers
Cowpea	Beans
Mungo Park (explorer)	1771 births, 1806 deaths, Scottish people, British explorers
Royal Rumble (2009)	2009 in American television, 2009 in professional wrestling, Royal Rumble, Sports in Detroit, Michigan, 2000s in Detroit, Michigan
EFL League One	English Football League, Football in England, 1892 establishments in England
EFL League Two	English Football League, Football in England, 2000 establishments in the United Kingdom
Phillip Cocu	1970 births, Living people, Dutch footballers, People from Eindhoven, Sportspeople from North Brabant, Eredivisie managers
Uwe Bein	1960 births, Living people, German footballers, Sportspeople from Hesse
Yuto Sato	1982 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, J2 League players, JEF United Chiba players, Kyoto Sanga FC players
Joaquín Sánchez	1981 births, Living people, Spanish footballers
Carlos Alberto Torres	1944 births, 2016 deaths, Association football defenders, Association football full-backs, Deaths from myocardial infarction, Footballers from Rio de Janeiro, Brazilian football managers
Alessandro Costacurta	1966 births, Living people, Italian footballers, Italian football managers
Kazumasa Uesato	1986 births, Living people, Footballers from Okinawa Prefecture
Tomohiko Ikeuchi	1977 births, Living people, Footballers from Hokkaidō Prefecture
Akira Kaji	1980 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, J1 League players, J2 League players, Cerezo Osaka players, Oita Trinita players, FC Tokyo players, Gamba Osaka players, Fagiano Okayama players, 2006 FIFA World Cup players, 2005 FIFA Confederations Cup players
Susumu Katsumata	1956 births, Living people, Footballers from Yamanashi Prefecture
Yoichi Doi	1973 births, Living people, Footballers from Kumamoto Prefecture, Japan international footballers, J1 League players, J2 League players, Kashiwa Reysol players, FC Tokyo players, Tokyo Verdy players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players
Rinus Michels	1928 births, 2005 deaths, Dutch football managers, Dutch footballers, Eredivisie managers, Sportspeople from Amsterdam
Pär Zetterberg	1970 births, Living people, Swedish footballers
Teddy Lucic	1973 births, Living people, Swedish footballers, People from Gothenburg
Boro-ichi	Tokyo, Festivals in Asia, Retail markets, 1578 establishments, 16th century establishments in Japan
Solid Snake	Video game characters
Food web	Ecology, Natural resources, Graphics
Molid, Suceava	Communes in Suceava County
Ludlow Castle	Castles in England
List of tallest buildings in New York City	Lists of tallest buildings, Buildings and structures in New York City
CitySpire Center	Skyscrapers in New York City, 1989 establishments in New York (state), Buildings and structures in Manhattan
One Chase Manhattan Plaza	Skyscrapers in New York City, 1961 establishments in New York (state), Buildings and structures in Manhattan, New York City Designated Landmarks
Condé Nast Building	Skyscrapers in New York City, 1999 establishments in the United States, 1990s establishments in New York (state), Buildings and structures in Manhattan
MetLife Building	Skyscrapers in New York City, 1963 establishments in New York (state), Buildings and structures in Manhattan
731 Lexington Avenue	Skyscrapers in New York City, 2005 establishments in New York (state), Buildings and structures in Manhattan, Michael Bloomberg
One Worldwide Plaza	Skyscrapers in New York City, 1989 establishments in New York (state), Buildings and structures in Manhattan
Stalinism	Politics, Joseph Stalin, Politics of the Soviet Union
Amaryllidaceae	Asparagales
Giuseppe Bergomi	1963 births, Living people, Italian footballers
Satoru Noda	1969 births, Living people, Footballers from Hokkaidō Prefecture, J1 League players, J2 League players, Japan Soccer League players, Yokohama F. Marinos players, Avispa Fukuoka players, 1988 AFC Asian Cup players
Keita Goto	1986 births, Living people, Footballers from Ibaraki Prefecture
Shunichiro Okano	1931 births, 2017 deaths, Footballers from Tokyo Prefecture, Japan international footballers, Japanese football managers, Japan national football team managers, Disease-related deaths in Japan, Deaths from lung cancer
Wesley Sonck	1978 births, Living people, Belgian footballers
Eiður Guðjohnsen	1978 births, Living people, Icelandic footballers, People from Reykjavík
Yasuyuki Konno	1983 births, Living people, Footballers from Miyagi Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Hokkaido Consadole Sapporo players, FC Tokyo players, Gamba Osaka players, Gamba Osaka U-23 players, Júbilo Iwata players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, 2013 FIFA Confederations Cup players, Footballers at the 2004 Summer Olympics
Toshiyasu Takahara	1980 births, Living people, Footballers from Gifu Prefecture
Carlos Tévez	1984 births, Living people, Argentine footballers, Manchester City F.C. players, Manchester United F.C. players, Sportspeople from Buenos Aires
Juan Román Riquelme	1978 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Gennaro Gattuso	1978 births, Living people, Italian footballers, Calabria
Hulk Hogan	1953 births, Actors from Georgia (US), American professional wrestlers, American Christians, Former WWE wrestlers, Living people, People from Augusta, Georgia, Sportspeople from Georgia (U.S. state), Total Nonstop Action Wrestling alumni, WWE Hall of Fame
IRCd	Internet Relay Chat daemons
Greg Brady (broadcaster)	1971 births, Living people, Canadian radio personalities
No Way Out (2009)	2009 in professional wrestling, WWE No Way Out, Sports in Seattle, Washington, 2009 in the United States, 2000s in Washington (U.S. state), 21st century in Seattle, Washington, February 2009 events
Ozone layer	Atmosphere
Dolly (sheep)	Individual animals, 1996 births, 2003 deaths
Fozzie Bear	Fictional bears, Muppets
Dan Morgan (bushranger)	1830 births, 1865 deaths, Bushrangers, People from New South Wales
Darren Fletcher	1984 births, Living people, Scottish footballers
Wagner Pereira Cardozo	1966 births, Living people, Brazilian footballers
Daisuke Oku	1976 births, 2014 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, J1 League players, Júbilo Iwata players, Yokohama F. Marinos players, Yokohama FC players, 2003 FIFA Confederations Cup players, 2000 AFC Asian Cup players, AFC Asian Cup-winning players, Road accident deaths
Toshiya Miura	1963 births, Living people, Footballers from Iwate Prefecture, Japanese football managers
Paulo Roberto Falcão	1953 births, Living people, Brazilian footballers, Brazilian football managers, Japan national football team managers
Arjen Robben	1984 births, Living people, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, Chelsea F.C. players, Dutch footballers, Sportspeople from Groningen (province)
Thomas Gravesen	1976 births, Living people, Danish footballers
Bernd Schuster	1959 births, Living people, German footballers, German football managers, People from Augsburg, Sportspeople from Bavaria
Jon Dahl Tomasson	1976 births, Living people, Danish footballers
Shigetatsu Matsunaga	1962 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players, Sagan Tosu players, Vegalta Sendai players, Kyoto Sanga FC players, 1995 King Fahd Cup players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Hideo Oshima	1980 births, Living people, Footballers from Gunma Prefecture, Albirex Niigata players
Besnik Hasi	1971 births, Living people, Albanian footballers
Lorik Cana	1983 births, Living people, Albanian footballers
Roy Carroll	1977 births, Living people, Irish footballers, Association football goalkeepers
Sir	Titles
Comparison of Internet Relay Chat daemons	Internet Relay Chat daemons
Domain Name System	Internet
Eyrieux River	Rivers of France, Auvergne-Rhône-Alpes
Rorqual	Baleen whales
Balaenoptera	Baleen whales
Gary Lewis (musician)	1945 births, Living people, American drummers, Singers from Newark, New Jersey, Musicians from Newark, New Jersey
Alois Alzheimer	German psychiatrists, Neuroscientists, Deaths from heart failure, 1864 births, 1915 deaths
Goby	Perciformes
Mudskipper	Perciformes
Return statement	Computer programming
Sara Bareilles	1979 births, Living people, American pop musicians, Singer-songwriters from California
Roberto Bettega	1950 births, Living people, Italian footballers
Emre Belözoğlu	1980 births, Living people, Turkish footballers
Emerson Ferreira da Rosa	1976 births, Living people, Brazilian footballers
Gianluca Zambrotta	1977 births, Living people, Association football defenders, Association football full-backs, Italian footballers, Sportspeople from Lombardy, People from Como
Djibril Cissé	1981 births, Living people, French footballers, Arles
Vahid Hashemian	1976 births, Living people, Iranian footballers, People from Tehran
Kosuke Kitani	1978 births, Living people, Footballers from Chiba Prefecture
Hikaru Mita	1981 births, Living people, Footballers from Tokyo Prefecture
Seitaro Tomisawa	1982 births, Living people, Footballers from Tokyo Prefecture
Kensuke Nebiki	1977 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Koji Kumagai	1975 births, Living people, Footballers from Aomori Prefecture
Method (computer science)	Computer programming
From the Earth to the Moon	1860s books, Science fiction books
Richard Seddon	1845 births, 1906 deaths, Prime Ministers of New Zealand
Lewy body	Nervous system, Dementia
