Blood sugar	Health, Blood
Stone Street	Hamlets in Suffolk, Settlements in Babergh
Cornard Tye	Hamlets in Suffolk, Settlements in Babergh
Chelsworth Common	Hamlets in Suffolk, Settlements in Babergh
Hagmore Green	Hamlets in Suffolk, Settlements in Babergh
Hartest	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Holbrook, Suffolk	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Lawshall	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Dorking Tye	Hamlets in Suffolk, Settlements in Babergh
Hoff	Villages in Cumbria, Civil parishes in Cumbria
Pope Gregory XVI	1765 births, 1846 deaths, Italian popes
Orton	Villages in Cumbria, Civil parishes in Cumbria
Eamont Bridge	Villages in Cumbria
Great Asby	Villages in Cumbria
Great Ormside	Villages in Cumbria, Civil parishes in Cumbria
Texas coral snake	Elapidae
Minka	Japanese culture
Iceboat	Boats
State Bank of India	Banks, Economy of India, 1955 establishments in Asia, 1950s establishments in India
Leavenheath	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Somerton, Suffolk	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Wherstead	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Hunsonby	Villages in Cumbria, Civil parishes in Cumbria
Crosby Garrett	Villages in Cumbria, Civil parishes in Cumbria
Hartley, Cumbria	Villages in Cumbria, Civil parishes in Cumbria
Kaber	Villages in Cumbria, Civil parishes in Cumbria
Askham	Villages in Cumbria, Civil parishes in Cumbria
Knock	Villages in Cumbria
Winton	Villages in Cumbria, Civil parishes in Cumbria
Drybeck	Villages in Cumbria
Hutton	Villages in Cumbria, Civil parishes in Cumbria
Skelton	Villages in Cumbria, Civil parishes in Cumbria
Helbeck	Villages in Cumbria, Civil parishes in Cumbria
Lazonby	Villages in Cumbria, Civil parishes in Cumbria
Bampton	Villages in Cumbria, Civil parishes in Cumbria
Skirwith	Villages in Cumbria, Civil parishes in Cumbria
Kirkoswald	Villages in Cumbria, Civil parishes in Cumbria
Mungrisdale	Villages in Cumbria, Civil parishes in Cumbria
Martindale	Villages in Cumbria, Civil parishes in Cumbria
Stainton	Villages in Cumbria
Threlkeld	Villages in Cumbria, Civil parishes in Cumbria
Northern white rhinoceros	Rhinoceroses
Iolaos	People in Greek mythology
Shangzhou District	Districts of China, Shaanxi
Pagoda	Buddhist buildings, Towers in Asia
Church of the Nativity	Buildings and structures in Palestine, Churches, World Heritage Sites in Asia, Bethlehem
Krater	Ancient Greece, Pottery
John Dryden	1631 births, 1700 deaths, People buried in Westminster Abbey, British poets laureate
Eleanor of Castile	People buried in Westminster Abbey, Kings and Queens consort of England, 1241 births, 1290 deaths
Philippa of Hainault	1313 births, 1369 deaths, People buried in Westminster Abbey, Kings and Queens consort of England
Anne of Bohemia	People buried in Westminster Abbey, Kings and Queens consort of England, 1366 births, 1394 deaths, Bohemia
Catherine of Valois	People buried in Westminster Abbey, Kings and Queens consort of England, 1401 births, 1437 deaths
Anne Neville	People buried in Westminster Abbey, Kings and Queens consort of England, 1456 births, 1485 deaths
Andrew Motion	British poets laureate, English poets, Writers from Essex, Writers from London, 1952 births, Living people
Natalia Goncharova	1881 births, 1962 deaths, Russian painters, Costume designers
Cacus	Roman mythology
Baise-moi	2000 crime movies, 2000 drama movies, 2000s crime drama movies, 2000s crime thriller movies, French crime movies, French drama movies, French-language movies, French thriller movies, Movies about revenge, Rape in movies, Obscenity controversies
Hilary Bradt	British writers, 1941 births, Living people
Sexy Beast	2000 crime movies, 2000s crime thriller movies, 2000s LGBT movies, 20th Century Fox movies, Antisocial personality disorder in fiction, British crime movies, British thriller movies, British LGBT movies, English-language movies, Gangster movies, Heist movies, LGBT crime movies, LGBT thriller movies, Movies set in London, Spanish movies
2060s	2060s
The Brabançonne	National anthems, Belgian culture
Luonan County	Counties of China, Shaanxi
Adrienne Jablanczy	French educators, French economists, 1949 births, Living people, Alumni of the Institut d'études politiques de Paris
Quartzite	Metamorphic rocks, Sandstones
Great Salkeld	Villages in Cumbria, Civil parishes in Cumbria
Ravenstonedale	Villages in Cumbria, Civil parishes in Cumbria
Kirkland	Villages in Cumbria, Civil parishes in Cumbria
Patterdale	Villages in Cumbria, Civil parishes in Cumbria
Edenhall	Villages in Cumbria
Little Asby	Villages in Cumbria
Stefan–Boltzmann law	Laws of physics
Puneri Pagadi	Headgear, Pune
Great Musgrave	Villages in Cumbria
Newbiggin-on-Lune	Villages in Cumbria
Melmerby	Villages in Cumbria
Watermillock	Villages in Cumbria
Witnesham	Civil parishes in Suffolk, Villages in Suffolk, Suffolk Coastal
Copdock	Villages in Suffolk, Settlements in Babergh
Blencarn	Villages in Cumbria
Helton	Villages in Cumbria
Penruddock	Villages in Cumbria
Washmere Green	Hamlets in Suffolk
Antoine de la Mothe Cadillac	1658 births, 1730 deaths, Explorers, French people
Episodes (TV series)	2011 American television series debuts, 2010s American television series, 2010s British television series, American sitcoms, British sitcoms, Television series set in Los Angeles, California, 2011 British television series debuts, English-language television programs
Irish State Coach	History of Ireland, British monarchy, 1851 establishments, 1850s establishments in the United Kingdom
Alan Bates	1934 births, 2003 deaths, Actors from Derbyshire, BAFTA Award winning actors, Bisexual people, Cancer deaths in England, Deaths from pancreatic cancer, English LGBT people, English movie actors, English stage actors, English television actors, LGBT actors, Tony Award winning actors
Clueless	1995 comedy movies, 1995 romance movies, 1990s buddy movies, 1990s coming-of-age movies, 1990s high school movies, 1995 LGBT movies, 1990s romantic comedy movies, 1990s teen comedy movies, 1990s teen romance movies, American buddy movies, American coming-of-age movies, American high school movies, American LGBT movies, American romantic comedy movies, American teen comedy movies, American teen romance movies, Beverly Hills, California in fiction, Coming-of-age comedy movies, Coming-of-age romance movies, English-language movies, Female buddy movies, LGBT comedy movies, Movies based on books, Movies set in California
Front 242	Belgian musical groups, Electronic body music, 1980s music groups
K's Choice	1990s music groups, Rock bands, Belgian musical groups, Antwerp, Musical groups established in 1994, 1994 establishments in Europe, 20th century establishments in Belgium, Musical groups disestablished in 2003, 2003 disestablishments in Europe, Musical groups established in 2009, 2009 establishments in Europe
Hooverphonic	Belgian musical groups, Pop music groups, 1990s music groups
Zap Mama	Belgian musical groups, World music, 1990s music groups
Soulwax	Belgian musical groups, Rock bands, Electronic music bands, 1990s music groups, Ghent
Deus (band)	1990s music groups, Rock bands, Belgian musical groups, Antwerp, Musical groups established in 1991, 1991 establishments in Europe, 20th century establishments in Belgium
Machiavel	Belgian musical groups, Progressive rock bands, Hard rock bands
Channel Zero (band)	Belgian musical groups, 1990s music groups, Heavy metal bands
Enthroned	1990s music groups, Black metal bands, Belgian musical groups, Charleroi
Emile Verhaeren	1855 births, 1916 deaths, Belgian poets
West Coast sea nettle	Jellyfish
Catterlen	Villages in Cumbria, Civil parishes in Cumbria
Plumpton	Villages in Cumbria
Naughton, Suffolk	Villages in Suffolk, Settlements in Babergh
Washbrook	Villages in Suffolk
Ainstable	Villages in Cumbria, Civil parishes in Cumbria
Weeley	Villages in Essex, Civil parishes in Essex
Steeple Bumpstead	Villages in Essex, Civil parishes in Essex
Newport, Essex	Uttlesford, Villages in Essex, Civil parishes in Essex
Tyson Chandler	1982 births, Dallas Mavericks players, Charlotte Bobcats players, Chicago Bulls players, Living people, New Orleans Hornets players, New York Knicks players, National Basketball Association high school draftees‎
Toppesfield	Villages in Essex, Civil parishes in Essex
Jeremy Lin	New York Knicks players, Golden State Warriors players, 1988 births, Living people
Finchingfield	Villages in Essex, Civil parishes in Essex
Hatfield Broad Oak	Uttlesford, Villages in Essex, Civil parishes in Essex
Great Bentley	Villages in Essex, Civil parishes in Essex
Alresford	Villages in Essex, Civil parishes in Essex
Thorpe-le-Soken	Villages in Essex, Civil parishes in Essex
Ardleigh	Villages in Essex, Civil parishes in Essex
Wix	Villages in Essex, Civil parishes in Essex
Brightlingsea	Towns in Essex, Civil parishes in Essex
Wrabness	Villages in Essex, Civil parishes in Essex
Earls Colne	Villages in Essex, Civil parishes in Essex
Theodor Körner	1873 births, 1957 deaths, Governors, Mayors, Presidents of Austria
McChicken	Sandwiches, McDonald's
Portland limestone	Carbonate rocks, Building materials
Present tense	Grammar
Future tense	Grammar
Ministry of Foreign Affairs of Azerbaijan	Foreign affairs ministries, Politics of Azerbaijan, 1918 establishments, 1910s establishments in Azerbaijan
Yitzhak Shamir	1915 births, 2012 deaths, Belarusian Jews, Burials at Mount Herzl, Deaths from Alzheimer's disease, Former Members of Knesset, Government ministers of Israel, Israeli former political leaders, Israeli nationalists, Israeli opposition leaders, Jewish Israeli politicians, Knesset speakers, Likud politicians, Naturalized citizens of Israel, Polish Jews, Prime Ministers of Israel, Zionists
Sea grass	Ecology, Alismatales
T. Rex (band)	1967 establishments in England, 1977 disestablishments in Europe, 1960s British music groups, 1970s British music groups, 1970s disestablishments in the United Kingdom, English rock bands, Glam metal bands, Musical groups established in 1967, Musical groups disestablished in the 1970s, Musical groups from London
List of Manchester United F.C. players	English football clubs, Lists of footballers, Lists about England
Coniston	Villages in Cumbria, Civil parishes in Cumbria
Egremont	Copeland, Towns in Cumbria, Civil parishes in Cumbria
Gosforth	Villages in Cumbria, Civil parishes in Cumbria
Distington	Villages in Cumbria, Civil parishes in Cumbria
Seascale	Villages in Cumbria, Civil parishes in Cumbria
Seaton	Villages in Cumbria, Civil parishes in Cumbria
Bootle, Cumbria	Copeland, Villages in Cumbria, Civil parishes in Cumbria
Wigton	Villages in Cumbria, Civil parishes in Cumbria
Caldbeck	Villages in Cumbria, Civil parishes in Cumbria
Wetheral	Villages in Cumbria, Civil parishes in Cumbria
Brampton, Carlisle	Villages in Cumbria, Civil parishes in Cumbria
Thursby	Villages in Cumbria, Civil parishes in Cumbria
Hayton	Villages in Cumbria, Civil parishes in Cumbria
Hethersgill	Villages in Cumbria, Civil parishes in Cumbria
Waverton	Villages in Cumbria, Civil parishes in Cumbria
Theydon Bois	Villages in Essex, Civil parishes in Essex
Sheering	Villages in Essex, Civil parishes in Essex
Stanford Rivers	Villages in Essex, Civil parishes in Essex
Debden	Villages in Essex, Civil parishes in Essex, Uttlesford
Ashdon	Uttlesford, Villages in Essex, Civil parishes in Essex
Little Dunmow	Uttlesford, Villages in Essex, Civil parishes in Essex
Felsted	Uttlesford, Villages in Essex, Civil parishes in Essex
British state carriages	British monarchy, Animal-powered vehicles
Matching	Villages in Essex, Civil parishes in Essex
Boreham	Villages in Essex, Civil parishes in Essex
Wimbish	Uttlesford, Villages in Essex, Civil parishes in Essex
Pleshey	Villages in Essex, Civil parishes in Essex
Japan state carriages	Transport in Japan, Animal-powered vehicles
Stapleford Abbotts	Villages in Essex, Civil parishes in Essex
Gosfield	Villages in Essex, Civil parishes in Essex
Leaden Roding	Uttlesford, Villages in Essex, Civil parishes in Essex
Elsenham	Uttlesford, Villages in Essex, Civil parishes in Essex
Hatfield Heath	Uttlesford, Villages in Essex, Civil parishes in Essex
Margaret Roding	Uttlesford, Villages in Essex, Civil parishes in Essex
Wendens Ambo	Uttlesford, Villages in Essex, Civil parishes in Essex
Arkesden	Uttlesford, Villages in Essex, Civil parishes in Essex
RMS Queen Mary	Cruise ships, National Register of Historic Places, Long Beach, California
Society Islands	Islands of French Polynesia
College Board	Organizations based in the United States, 1900 establishments in the United States
New Super Mario Bros. 2	2012 video games, Mario platform games, Nintendo 3DS games
Tomihiko Morimi	Japanese writers, 1979 births, Living people, People from Nara Prefecture
UEFA Euro 2012 Group A	UEFA
Kate Gynther	1982 births, Living people, 2008 Summer Olympics, Olympic bronze medalists, People from Brisbane, Sportspeople from Queensland, Australian water polo players
Pig, Kentucky	Unincorporated communities in Kentucky
Suinae	Pigs
Potamochoerus	Pigs
Murilo Benício	Brazilian actors, Living people, 1971 births
Intellectual property	Intellectual property law
Galway (sheep)	Caprids
Bistro	French culture, Restaurants
Panfield	Villages in Essex, Civil parishes in Essex
Great Maplestead	Villages in Essex, Civil parishes in Essex
Keoladeo National Park	Rajasthan, Biosphere reserves, National parks in India, World Heritage Sites in India, 1982 establishments in Asia, 1980s establishments in India
Stowupland	Civil parishes in Suffolk, Villages in Suffolk
Stradbroke	Civil parishes in Suffolk, Villages in Suffolk
Football at the 2012 Summer Olympics – Men's tournament	Olympic football tournaments, 2012 in association football, 2012 Summer Olympics
After the Burial	2000s American music groups, 2010s American music groups, American heavy metal bands, Death metal bands, Deathcore bands, Metalcore bands, Musical groups from Minnesota
Olympic mascot	Olympic Games, Sports mascots
Comité d'études sur les formations d'ingénieurs	Education in France, 1975 establishments in Europe, Non-profit organizations of France, 1970s establishments in France
CAE Oxford Aviation Academy Douala	2008 establishments in Africa, Aviation, Colleges and universities in Africa, Cameroon
Derecho	Derechos
Ghostwriter (TV series)	American children's television series, DHX Media, 1992 television series debuts, 1995 television series endings
Cheshire, Connecticut, home invasion murders	2007 in the United States, Arson, Murder in 2007, Murder in the 21st century in the United States, 2000s in Connecticut, July events
Juan Martín del Potro	1988 births, Living people, Argentine tennis players, Male tennis players, Medalists at the 2012 Summer Olympics, Medalists at the 2016 Summer Olympics, Olympic bronze medalists, Olympic silver medalists, US Open (tennis) champions
Hendrik Conscience	1812 births, 1883 deaths, Belgian novelists, Belgian poets, Writers from Antwerp
Georges Simenon	1903 births, 1989 deaths, Belgian novelists, Belgian writers, People from Liège
Suzanne Lilar	1901 births, 1992 deaths, Belgian essayists, Belgian novelists, Belgian playwrights, People from Ghent
Amélie Nothomb	1967 births, Living people, Autobiographers, Belgian novelists, People from Brussels-Capital Region
Maurice Maeterlinck	1862 births, 1949 deaths, Belgian Nobel Prize winners, Belgian poets, Belgian essayists, Belgian playwrights, Nobel Prize in Literature winners
Franco-Belgian comics	Comics, Belgian culture, French literature
Bunyip	Australian folklore, Australian mythology, Legendary creatures
Peyo	1992 deaths, 1928 births, Artists from Brussels, Belgian comics artists, Cardiovascular disease deaths in Belgium, Deaths from myocardial infarction, Smurfs
André Delvaux	1926 births, 2002 deaths, Belgian movie directors, Belgian movie producers, Belgian nobility, People from Flemish Brabant
Stijn Coninx	1957 births, Living people, Belgian movie producers, Belgian movie directors, Belgian nobility, People from Limburg (Belgium)
Jan Decleir	1946 births, Living people, Belgian movie actors, Belgian stage actors, Belgian television actors, Belgian voice actors, People from Antwerp (province)
Marie Gillain	1975 births, Living people, Belgian movie actors, Belgian stage actors, Belgian television actors, Belgian voice actors, People from Liège
Mutitjulu	Indigenous Australian communities, Towns in the Northern Territory, Pitjantjatjara, 1985 establishments in Australia
The Alzheimer Case	2003 drama movies, 2003 action movies, Belgian movies, Movies based on books
Albert Namatjira	1902 births, 1959 deaths, Australian painters, Indigenous Australian artists, Artists from the Northern Territory, Arrernte
Florida Bay	Geography of Florida, Ecosystems, Bodies of water of the United States
Oodgeroo Noonuccal	1920 births, 1993 deaths, Indigenous Australian activists, Australian poets, Indigenous Australian people, Indigenous Australian politics, Members of the Order of the British Empire, Writers from Queensland
Sweat gland	Skin
E-learning	websites, Education
Mexican west coast rattlesnake	Vipers
Pietro Metastasio	Italian poets, Opera, Writers from Rome, 1698 births, 1782 deaths
Cape Breton Regional Municipality	Regional municipalities in Nova Scotia
Region of Queens Municipality	Regional municipalities in Nova Scotia
Nokrek National Park	National parks in India, Biosphere reserves, Meghalaya
Eric Sykes	1923 births, 2012 deaths, Actors from Lancashire, British television directors, British television writers, Comedians from Lancashire, English movie actors, English television actors, Writers from Lancashire, People from Oldham, Greater Manchester, Deaf people
Andrew Garfield	Tony Award winning actors, BAFTA Award winning actors, Saturn Award winners, Drama Desk Award winners, Satellite Award winners, 1983 births, American movie actors, American television actors, American voice actors, English movie actors, English television actors, English voice actors, Living people, Actors from Los Angeles, California
Nestlé	Nestlé
Cardiff Central railway station	Railway stations in the United Kingdom, Rail transport in Wales, Buildings and structures in Wales, Railway stations in Wales
Coddenham	Civil parishes in Suffolk, Villages in Suffolk
Debenham	Civil parishes in Suffolk, Villages in Suffolk
Barking, Suffolk	Civil parishes in Suffolk, Villages in Suffolk
Laxfield	Civil parishes in Suffolk, Villages in Suffolk
Gosbeck	Civil parishes in Suffolk, Villages in Suffolk
Otley	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Orford	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Alderton	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Yoxford	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Trimley St. Martin	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Saxmundham	Suffolk Coastal, Civil parishes in Suffolk, Towns in Suffolk
Ufford	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Trimley St. Mary	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Rendlesham	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Dunwich	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Grundisburgh	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Tunstall	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Martlesham	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Butley	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Thorrington	Villages in Essex, Civil parishes in Essex
St. Osyth	Villages in Essex, Civil parishes in Essex
Great Oakley	Villages in Essex, Civil parishes in Essex
Tendring (civil parish)	Villages in Essex, Civil parishes in Essex
Great Bromley	Villages in Essex, Civil parishes in Essex
Little Bentley	Villages in Essex, Civil parishes in Essex
Università Cattolica del Sacro Cuore	Colleges and universities in Italy, Christian colleges and universities, 1921 establishments in Italy
Elmstead	Villages in Essex, Civil parishes in Essex
Little Bromley	Villages in Essex, Civil parishes in Essex
Dedham, Essex	Villages in Essex, Civil parishes in Essex
Layer-de-la-Haye	Villages in Essex, Civil parishes in Essex
Marks Tey	Villages in Essex, Civil parishes in Essex
Copford	Villages in Essex, Civil parishes in Essex
Silver End	Villages in Essex, Civil parishes in Essex
Shalford	Villages in Essex, Civil parishes in Essex
Great Bardfield	Villages in Essex, Civil parishes in Essex
Henham	Uttlesford, Villages in Essex, Civil parishes in Essex
Great Chesterford	Uttlesford, Villages in Essex, Civil parishes in Essex
Great Sampford	Uttlesford, Villages in Essex, Civil parishes in Essex
Rayne	Villages in Essex, Civil parishes in Essex
Syrian Desert	Geography of Syria, Geography of Jordan, Geography of Iraq, Deserts of Asia
Bristol Temple Meads railway station	Railway stations in England, Bristol
Nullarbor Plain	Regions of Australia, Geography of South Australia, Deserts of Australia, Geography of Western Australia
André Franquin	1924 births, 1997 deaths, Belgian comics artists, People from Brussels-Capital Region
Edgar P. Jacobs	1904 births, 1987 deaths, Artists from Brussels, Belgian comics artists, Writers from Brussels
Yves Lambert	1936 births, Living people, Alumni of the École nationale de l'aviation civile, Aviation in France, French engineers, People from Nancy, Alumni of the École Polytechnique
Nintendo 3DS system software	Nintendo 3DS, Operating systems
Willy Vandersteen	1913 births, 1990 deaths, Belgian comics artists, People from Antwerp
Dardenne brothers	1951 births, 1954 births, Living people, Belgian movie directors, Belgian movie producers, People from Liège (province), Belgian screenwriters
Sarah Hyland	American television actors, 1990 births, Living people
Ghent Altarpiece	Belgian culture, Paintings with Christian themes, Gothic architecture, 15th century paintings, Ghent, Depictions of Mary (mother of Jesus)
Horta Museum	Museums in Europe, World Heritage Sites in Europe, Belgian culture, Buildings and structures in Belgium, Brussels
Saint-Gilles, Belgium	Municipalities of Brussels-Capital Region, World Heritage Sites in Europe
Moules-frites	Belgian food, French food, Seafood dishes, Fried foods
Praline	Desserts
Côte d'Or (brand)	Food companies of Belgium, Desserts, Belgian culture, 1883 establishments in Europe, 19th century establishments in Belgium
Guylian	1960 establishments in Europe, Food companies of Belgium, East Flanders, 20th century establishments in Belgium
Neuhaus (chocolatier)	1857 establishments in Europe, Food companies of Belgium, Flemish Brabant, 19th century establishments in Belgium
Leonidas (chocolate maker)	1913 establishments in Europe, Food companies of Belgium, Brussels, 20th century establishments in Belgium
Beijing National Stadium	Olympic Games, Stadiums in Asia, Buildings and structures in Beijing, 2008 establishments in Asia, 2000s establishments in China
Jigging	Fishing
White Mountain School	Schools in New Hampshire, 1886 establishments in the United States, 1880s establishments in New Hampshire, 1971 establishments in the United States, 20th-century establishments in New Hampshire
Beijing National Day School	Schools in the People's Republic of China, Buildings and structures in Beijing, 1952 establishments in Asia
The Shard	Buildings and structures in London, Skyscrapers in the United Kingdom
07-Ghost	Manga
Wellesley College	Colleges and universities in Massachusetts, 1870 establishments in the United States, 1870s establishments in Massachusetts
Iraq national under-23 football team	International under-23 association football teams, Sport in Iraq
Saudi Arabia national under-23 football team	International under-23 association football teams, Sport in Saudi Arabia
2011 UEFA European Under-21 Football Championship	2011 in association football, 2011 in Europe, 2010s in Denmark, Football competitions, UEFA, Football in Denmark
President of the German Bundestag	German Bundestag, Presidents of the German Bundestag
Flowton	Civil parishes in Suffolk, Villages in Suffolk
Akenham	Civil parishes in Suffolk, Villages in Suffolk
Henley	Civil parishes in Suffolk, Villages in Suffolk
Bramford	Civil parishes in Suffolk, Villages in Suffolk
Ashbocking	Civil parishes in Suffolk, Villages in Suffolk
Great Blakenham	Civil parishes in Suffolk, Villages in Suffolk
Claydon	Civil parishes in Suffolk, Villages in Suffolk
Augeias of Elis	People in Greek mythology
Somersham	Civil parishes in Suffolk, Villages in Suffolk
Felsham	Civil parishes in Suffolk, Villages in Suffolk
Great Finborough	Civil parishes in Suffolk, Villages in Suffolk
Great Livermere	Civil parishes in Suffolk, Villages in Suffolk
Shotley Gate	Villages in Suffolk
Fornham All Saints	Civil parishes in Suffolk, Villages in Suffolk
Great Bricett	Civil parishes in Suffolk, Villages in Suffolk
Lidgate	Civil parishes in Suffolk, Villages in Suffolk
Stradishall	Civil parishes in Suffolk, Villages in Suffolk
Elveden	Civil parishes in Suffolk, Villages in Suffolk
Westley	Civil parishes in Suffolk, Villages in Suffolk
Kedington	Civil parishes in Suffolk, Villages in Suffolk
Cretingham	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Mickfield	Civil parishes in Suffolk, Villages in Suffolk
Natland	Villages in Cumbria, Civil parishes in Cumbria
Arnside	Villages in Cumbria, Civil parishes in Cumbria
Beetham	Villages in Cumbria, Civil parishes in Cumbria
Milnthorpe	Villages in Cumbria, Civil parishes in Cumbria
Burton-in-Kendal	Villages in Cumbria, Civil parishes in Cumbria
Ambleside	Towns in Cumbria
Sedbergh	Towns in Cumbria, Civil parishes in Cumbria
Killington	Villages in Cumbria, Civil parishes in Cumbria
Middleton, Cumbria	Villages in Cumbria, Civil parishes in Cumbria
Hutton Roof	Villages in Cumbria, Civil parishes in Cumbria
Multi Crew Coordination	Aviation licenses and certifications
Burgh by Sands	Villages in Cumbria, Civil parishes in Cumbria
Crotalus	Vipers
Rockcliffe	Villages in Cumbria, Civil parishes in Cumbria
Beaumont, Cumbria	Villages in Cumbria, Civil parishes in Cumbria
Cummersdale	Villages in Cumbria, Civil parishes in Cumbria
Walton	Villages in Cumbria, Civil parishes in Cumbria
Newbourne	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
List of Kyoto Sanga FC players	Lists of Japanese football players
Bucklesham	Civil parishes in Suffolk, Villages in Suffolk, Suffolk Coastal
Playford	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Poslingford	Civil parishes in Suffolk, Villages in Suffolk
Stapleford Tawney	Villages in Essex, Civil parishes in Essex
High Ongar	Villages in Essex, Civil parishes in Essex
North Weald Bassett	Villages in Essex, Civil parishes in Essex
Bobbingworth	Villages in Essex, Civil parishes in Essex
Epping Upland	Villages in Essex, Civil parishes in Essex
Fyfield	Villages in Essex, Civil parishes in Essex
Hurricane Tomas	Hurricanes, 2010 in weather, 2010 in North America, 2010s in Cuba
List of The Ren and Stimpy Show episodes	Animated television series, Lists of Nickelodeon television series episodes, The Ren & Stimpy Show
Chippenham railway station	Chippenham, Railway stations in England
List of Indian football teams	Lists of football teams, Indian football clubs
Raja Pervaiz Ashraf	1950 births, Living people, Pakistani people, Punjabi people, Pakistani politicians, Prime Ministers of Pakistan
Pune F.C.	Indian football clubs, 2007 establishments in Asia, Pune, 2000s establishments in India
List of Pune F.C. players	Lists of footballers, Pune, India-related lists
Derek Jacobi	1938 births, Living people, Actors from London, Alumni of the University of Cambridge, BAFTA Award winning actors, Emmy Award winning actors, English LGBT people, English movie actors, English stage actors, English television actors, English voice actors, Gay men, LGBT actors, Tony Award winning actors
Paresh Shivalkar	1981 births, Living people, Indian footballers
Typhoon Ike	Tropical cyclones in Asia, 1984 in Asia, 1980s in the Philippines, History of the People's Republic of China
Jo-Wilfried Tsonga	1985 births, Living people, French tennis players, Male tennis players, People from Le Mans
List of Oita Trinita players	Lists of Japanese football players
Othallo Tabia	1983 births, Living people, Indian footballers
Difference quotient	Calculus
Arata Izumi	Footballers from Yamaguchi Prefecture, Living people, 1982 births
23 (Bushido & Sido album)	2011 albums
Peter Higgs	1929 births, Living people, British academics, British Nobel Prize winners, English physicists, Fellows of the Royal Society, People from Newcastle upon Tyne, Theoretical physicists, Wolf Prize winners
Roadrunner	Birds
Pebmarsh	Villages in Essex, Civil parishes in Essex
Liston	Villages in Essex, Civil parishes in Essex
Borley	Villages in Essex, Civil parishes in Essex
Great Yeldham	Villages in Essex, Civil parishes in Essex
White Notley	Villages in Essex, Civil parishes in Essex
Colne Engaine	Villages in Essex, Civil parishes in Essex
Stisted	Villages in Essex, Civil parishes in Essex
Helions Bumpstead	Villages in Essex, Civil parishes in Essex
Ridgewell	Villages in Essex, Civil parishes in Essex
Belchamp Walter	Villages in Essex, Civil parishes in Essex
Alphamstone	Villages in Essex, Civil parishes in Essex
White Colne	Villages in Essex, Civil parishes in Essex
Ashen	Villages in Essex, Civil parishes in Essex
Castle Hedingham	Villages in Essex, Civil parishes in Essex
Sible Hedingham	Villages in Essex, Civil parishes in Essex
Great Henny	Villages in Essex, Civil parishes in Essex
Bardfield Saling	Villages in Essex, Civil parishes in Essex
Black Notley	Villages in Essex, Civil parishes in Essex
Gestingthorpe	Villages in Essex, Civil parishes in Essex
Little Yeldham	Villages in Essex, Civil parishes in Essex
Faulkbourne	Villages in Essex, Civil parishes in Essex
Belchamp St. Paul	Villages in Essex, Civil parishes in Essex
Birdbrook	Villages in Essex, Civil parishes in Essex
Bradwell	Villages in Essex, Civil parishes in Essex
Cressing	Villages in Essex, Civil parishes in Essex
Fairstead	Villages in Essex, Civil parishes in Essex
Great Saling	Villages in Essex, Civil parishes in Essex
Little Maplestead	Villages in Essex, Civil parishes in Essex
Middleton, Essex	Villages in Essex, Civil parishes in Essex
Ovington	Villages in Essex, Civil parishes in Essex
Pentlow	Villages in Essex, Civil parishes in Essex
Rivenhall	Villages in Essex, Civil parishes in Essex
Stambourne	Villages in Essex, Civil parishes in Essex
Sturmer	Villages in Essex, Civil parishes in Essex
Terling	Villages in Essex, Civil parishes in Essex
Southminster	Towns in Essex, Civil parishes in Essex
Tollesbury	Villages in Essex, Civil parishes in Essex
Tolleshunt Major	Villages in Essex, Civil parishes in Essex
German order of precedence	Government of Germany
Bow echo	Severe weather
BioWare	1995 establishments in Canada, Technology companies of Canada, Video game companies
Gandhinagar	Capital cities in India, Settlements in Gujarat
Ilyophis	Teleosts
Histiobranchus	Teleosts
Gaza superba	Gastropods
Plekocheilus distortus	Gastropods
Nagpur	Cities in India, Settlements in Maharashtra
Exeter St Davids railway station	Railway stations in England, Devon, 1844 establishments, 1840s establishments in England
Swindon railway station	Railway stations in England, Swindon
Établissement public à caractère administratif	France
Aida Turturro	American television actors, 1962 births, Living people
Acanthopleura	Molluscs
Acanthopleura granulata	Molluscs
