ImJayStation	1990 births, Living people
2017 Battlefords—Lloydminster federal by-election	Elections in Canada, 2010s in Canada, 2017 in North America, Saskatchewan, 2017 elections
The Second Game	2014 movies, Romanian movies, Documentary movies, Movies directed by Corneliu Porumboiu
Star 80	1983 drama movies, 1980s biographical movies, American biographical movies, American drama movies, Movies directed by Bob Fosse
Turanid race	Anthropology, Racism, Colonialism, Siberia
Christopher Barrios	2001 births, 2015 deaths, 2015 crimes, Missing people, Missing American people
Expo 2020	2020 in Asia
Salta tree frog	Frogs, Animals of South America
Afghan Civil War (1989–1992)	War in Afghanistan (since 1978)
Iajuddin Ahmed	1931 births, 2012 deaths, Presidents of Bangladesh, Recipients of the Ekushey Padak, Bangladeshi Muslims
Coloring book	Children's books, Painting
2007-08 UEFA Champions League	2007 in association football
Uthiyur	Tiruppur District, Temples in India, Hindu temples
Haosi Namoinu	Meitei folklore, Meitei literature, Meitei mythology
Great Molasses Flood	Disasters in the 20th century, History of Boston, Massachusetts
Dharapuram	Tiruppur District, Tamil Nadu
Heavy-footed moa	Flightless birds, Birds of New Zealand
North Island giant moa	Flightless birds, Birds of New Zealand
Havana syndrome	Medical emergencies, Conspiracy theories
South Island giant moa	Flightless birds, Birds of New Zealand
Gentrification	Urban design, Controversies in the United States
Gentrification of Chicago	History of Chicago
Cabrini–Green Homes	Chicago, Illinois
Lajim Ukin	1955 births, 2021 deaths, Deaths from the COVID-19 pandemic in Malaysia, Malaysian politicians
Yuri Pudyshev	1954 births, 2021 deaths, Soviet sportspeople, Belarusian footballers, Football managers
Mikhail Nenashev	1960 births, 2021 deaths, Russian politicians, Deaths from cardiac arrest
Kolë Berisha	1947 births, 2021 deaths, Kosovan people, European politicians
Stephen Vizinczey	1933 births, 2021 deaths, Hungarian writers, Canadian writers
Francesc Burrull	1934 births, 2021 deaths, Spanish pianists, Spanish composers, Jazz musicians, Deaths from kidney disease
Jiang Chunyun	1930 births, 2021 deaths, Chinese politicians
Sompote Sands	1941 births, 2021 deaths, Thai people, Movie directors, Movie producers
Lucille Whipper	1928 births, 2021 deaths, State legislators of the United States, Politicians from South Carolina, People from Charleston, South Carolina, US Democratic Party politicians
Vanita Gupta	1974 births, Living people, American lawyers, Politicians from Philadelphia, Pennsylvania, US Democratic Party politicians
The Upsetter (movie)	Reggae music, American documentary movies
Afghan Civil War (1928–1929)	Afghanistan, Civil wars
OceanHero	Search engines
Natasha Heschélle	Canadian actors, Living people, Year of birth missing (living people)
Lawrence Rosario Abavana	1920 births, 2004 deaths, Ghanaian politicians
The Magic Bow	1946 movies, 1940s musical movies, British musical movies, Movies directed by Bernard Knowles
Spaceflight IC-1	1965 movies, 1960s science fiction movies, British science fiction movies, 20th Century Fox movies, Movies directed by Bernard Knowles
Sahabi Alhaji Yaú	1956 births, Living people, Nigerian politicians
Wikimedia UK	Wikimedia Foundation, Charities
Nura M Inuwa	1989 births, Living people, Nigerian singers
Richard Clarida	1957 births, American economists, Columbia University faculty, Harvard University alumni, Living people
Afghan Civil War (1992–1996)	War in Afghanistan (since 1978)
Hugh Fearnley-Whittingstall	1965 births, Living people, British chefs
London Protocol (1830)	19th century in Greece
Mominul Haque	Bangladeshi cricketers, Bangladeshi Muslims, Living people, 1991 births
Shoriful Islam	Bangladeshi cricketers, Bangladeshi Muslims, Living people, 2001 births
Boana aguilari	Frogs, Animals of South America
South Island oystercatcher	Birds of New Zealand
Baitul Aman Mosque	Mosques in Bangladesh
Taslima Memorial Academy	Schools in Bangladesh
Trousers as women's clothing	Trousers and shorts, Women's rights, Feminism, Everyday life, Clothing controversies
Reproductive rights	Women's rights, Controversies, Biological reproduction, Abortion
Ferreries	Municipalities in the Balearic Islands
Beja, Portugal	Cities in Portugal, Municipalities of Portugal
Béja	Cities in Tunisia
Ron Bushy	1941 births, 2021 deaths, American rock drummers, American artists, Musicians from Washington, D.C., Deaths from esophageal cancer
Wang Kuang-hui	1964 births, 2021 deaths, Deaths from liver cancer, Asian sportspeople, Baseball coaches, Baseball players, Taiwanese people
Latif Nassif Jassim	1941 births, 2021 deaths, People from Baghdad, Murderers, Iraqi politicians
Claude Guichard	1928 births, 2021 deaths, French politicians, French academics
Muhammad Hamza	1929 births, 2021 deaths, Pakistani politicians, Deaths from the COVID-19 pandemic in Pakistan
Daniel Clarence Quinn	American novelists
Tudor Gunasekara	1935 births, 2021 deaths, Deaths from the COVID-19 pandemic, Sri Lankan politicians
Whigga	English profanity, Slurs
Alex Gallacher	1954 births, 2021 deaths, Deaths from lung cancer, Australian Labor Party politicians, Members of the Australian Senate, Scottish politicians, Naturalised citizens of Australia
Whigger	English profanity, Slurs
Alioune Badara Cissé	1958 births, 2021 deaths, Deaths from the COVID-19 pandemic, Senegalese politicians
Siegfried Matthus	1934 births, 2021 deaths, German composers, German conductors
Vivian Caver	1928 births, 2021 deaths, State legislators of the United States, Politicians from Tennessee, Politicians from Seattle, Washington, American human rights activists, People from Jackson, Tennessee, US Democratic Party politicians
José Carreira Marques	1943 births, 2021 deaths, Portuguese politicians, Mayors
Retard (word)	English profanity, Slurs, Pejoratives
Júlio Chaves	1944 births, 2021 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian actors, Voice actors
Joe Chasteen	1925 births, 2021 deaths, State legislators of the United States, Politicians from Wyoming, US Republican Party politicians, Businesspeople from Wyoming
Max Willis	1935 births, 2021 deaths, Politicians from New South Wales
Robert D. Springer	1933 births, 2021 deaths, American generals, People from Pennsylvania
Millheim, Pennsylvania	Boroughs in Pennsylvania
Self-Portrait with a Friend	16th century paintings
Grapeseed oil	Cooking oils
Library and Archives Canada	National libraries, National archives, Government agencies of Canada, 2004 establishments in Canada, Buildings and structures in Ottawa
List of Bangladeshi musicians	Lists of musicians by nationality, Bangladeshi musicians
List of Bangladeshi business people	Bangladeshi businesspeople, Economy of Bangladesh-related lists, Lists of businesspeople, Lists of Bangladeshi people by occupation
List of state leaders in 2020	2020
List of state leaders in 2021	2021
List of Bangladeshi films of 1994	1994 in Bangladesh, Lists of 1994 films by country or language, Lists of Bangladeshi films by year
List of state leaders in 2010	2010
List of state leaders in 2011	2011
List of state leaders in 2013	2013
List of state leaders in 2012	2012
List of state leaders in 2014	2014
List of state leaders in 2015	2015
List of state leaders in 2016	2016
List of state leaders in 2017	2017
List of state leaders in 2018	2018
List of state leaders in 2019	2019
List of state leaders in 2000	2000
List of state leaders in 2001	2001
List of state leaders in 2004	2004
List of state leaders in 2002	2002
List of state leaders in 2003	2003
Apple Music	Apple Inc., Music stubs
List of state leaders in 2005	2005
List of state leaders in 2008	2008
List of state leaders in 2006	2006
List of state leaders in 2009	2009
List of state leaders in 2007	2007
Bachelor of Engineering	Bachelor's degrees, Engineering education
Fansipan	Mountains of Asia, Geography of Vietnam
Phoenix Netts	1991 births, 2020 deaths
The Ask	2010 books
Boana almendarizae	Frogs, Animals of South America
Super Mario Party	Nintendo Switch-only games, 2018 video games
Misty Das	Living people
Tetraethyllead	Chemical compounds
Forte dei Marmi	Towns in Tuscany
San Giuliano Terme	Towns in Tuscany
Auterive, Haute-Garonne	Communes in Haute-Garonne
Richard Benjamin	1938 births, Living people, American movie actors, American television actors, American stage actors, Movie directors from New York City, Movie producers from New York City, Actors from New York City
Judy Davis	1955 births, Living people, Australian movie actors, Australian television actors, Australian stage actors, Australian voice actors, Actors from Perth, Western Australia, Emmy Award winning actors, BAFTA Award winning actors, Golden Globe Award winning actors
Pithecopus azureus	Frogs, Animals of South America
Marcel Henry	1926 births, 2021 deaths, French politicians
List of state leaders in 1950	1950
Pithecopus	Frogs, Animals of South America
Ferhan Şensoy	1951 births, 2021 deaths, Turkish movie actors, Turkish stage actors, Turkish television actors, Turkish writers, Theatre directors, Playwrights
Kazimieras Motieka	1929 births, 2021 deaths, Lithuanian politicians, Lawyers, People from Vilnius
Geronimo (alpaca)	2013 births, 2021 deaths, Deaths by euthanasia, Individual animals
Dimitri Kitsikis	1935 births, 2021 deaths, Greek writers, Academics, Historians
Jean-Pierre Bastiani	1950 births, 2021 deaths, People from Toulouse, French mayors
Vasile Belous	1988 births, 2021 deaths, Moldovan people, European sportspeople, Road accident deaths, Olympians
Graham Greene (actor)	1952 births, Living people, Canadian movie actors, Canadian voice actors, Canadian television actors, Canadian stage actors, Actors from Hamilton, Grammy Award winners
Chamo	Hotels, hotels in Guria, Georgia (country)
List of state leaders in 1951	1951
List of state leaders in 1952	1952
List of state leaders in 1953	1953
List of state leaders in 1954	1954
List of state leaders in 1955	1955
List of state leaders in 1956	1956
List of state leaders in 1957	1957
List of state leaders in 1958	1958
List of state leaders in 1959	1959
Chatham oystercatcher	Birds of New Zealand
Junior Coffey	1942 births, 2021 deaths, Green Bay Packers players, Atlanta Falcons players, New York Giants players, Deaths from heart failure, American football running backs, Sportspeople from Texas
José María Libório Camino Saracho	1931 births, 2021 deaths, Roman Catholic bishops, Spanish Roman Catholics, People from São Paulo, Deaths from stroke
Santurtzi	Cities in the Basque Country, Municipalities in the Basque Country
Jacques Drouin	1943 births, 2021 deaths, Canadian animators, Canadian movie directors, People from Quebec
Léopold K. Fakambi	1942 births, 2021 deaths, Beninese people, African scientists, Engineers, Academics
Only Murders in the Building	2021 television series debuts, American comedy television series, American crime television series, American mystery television series, Television series set in New York City
Street Corner (1948 film)	1948 movies, 1940s drama movies, American drama movies, Movies directed by Albert H. Kelley
New Augusta, Mississippi	Towns in Mississippi, County seats in Mississippi
Magnolia, Mississippi	Cities in Mississippi, County seats in Mississippi
Flowood, Mississippi	Cities in Mississippi
Richland, Mississippi	Cities in Mississippi
Forest, Mississippi	Cities in Mississippi, County seats in Mississippi
Morton, Mississippi	Cities in Mississippi
Rolling Fork, Mississippi	Cities in Mississippi, County seats in Mississippi
Mendenhall, Mississippi	Cities in Mississippi, County seats in Mississippi
Magee, Mississippi	Cities in Mississippi
Telefe Santa Fe	Television stations in Argentina, Television channels and stations established in 1966, Telefe
List of Bangladeshi people	Lists of Bangladeshi people
Bloody Roar (series)	Video game series
List of Bangladeshi actors	Bangladeshi actors, Lists of actors by nationality, Lists of Bangladeshi people by occupation
Clock Tower 3	2002 video games, PlayStation 2-only games, Video game sequels, Video games developed in Japan
All-Star Baseball	Video game series
All Star Baseball	Board games, Baseball
The Man from Colorado	1948 movies, 1940s western movies, American western movies, Movies directed by Henry Levin
Kaun Banega Crorepati	Hindi-language television series, Indian television series
Excellent Cadaver	Movie studios
A Bill of Divorcement (1932 movie)	1932 movies, 1930s drama movies, American drama movies, Movies based on plays, Movies directed by George Cukor
Chessington World of Adventures	Theme parks, 1987 establishments in England, Buildings and structures in London, Tourism, Royal Borough of Kingston upon Thames
Phyllomedusa burmeisteri	Frogs, Animals of South America
Kachin State	States of Myanmar
Tapta	Meitei folklore, Meitei literature
Annamalai Kuppusamy	Bharatiya Janata Party politicians, Indian politicians, Tamil Nadu politicians, Police officers, Civil servants, Indian Hindus, 1984 births, Indian activists, Living people
Imre Festetics	1764 births, 1847 deaths, Hungarian scientists, Genetics
Shibari	BDSM, Sexuality, Japanese culture
2021 evacuation from Afghanistan	August 2021 events
Thompson Usiyan	1956 births, 2021 deaths, Nigerian footballers
Roman Malinowski	1935 births, 2021 deaths, Polish economists, Marshals of the Sejm
Léon Aimé	1924 births, 2021 deaths, French politicians
The Amboy Dukes	Musical groups from Chicago
Michael Gage (politician)	1945 births, 2021 deaths, Cancer deaths in the United States, State legislators of the United States, Politicians from California, People from Glendale, California, US Democratic Party politicians
Stephen Wiesner	American physicists, Israeli scientists, 1942 births, 2021 deaths, American academics, Israeli academics, Naturalized citizens of Israel
Leopoldo Serantes	1962 births, 2021 deaths, Filipino sportspeople, Olympic bronze medalists, Boxers, Deaths from COPD
José Gonçalves Heleno	1927 births, 2021 deaths, Deaths from stroke, Brazilian people, Roman Catholic bishops
Caratinga	Cities in Minas Gerais
Syed Ali Shah Geelani	1929 births, 2021 deaths, Indian politicians, Indian activists, Deaths from kidney cancer, Deaths from pneumonia
Caldor Fire	August 2021 events, September 2021 events
Nia DaCosta	1989 births, Living people, American television directors, Movie directors from New York City, Screenwriters from New York City, African American movie directors, African-American screenwriters
1002 (number)	Numbers
TIE fighter	Star Wars vehicles
Primary production	Ecology, Plants, Photosynthesis
Adam and Eve (1923 movie)	1923 movies, 1920s drama movies, German silent movies, German drama movies, Movies directed by Reinhold Schünzel
Jay McGraw	1979 births, Living people, American television talk show hosts, American chief executives, American aviators
Fabio Raffaeli	Italian businesspeople, Living people, 1986 births
Central Airport (movie)	1933 movies, 1930s adventure movies, 1930s drama movies, American adventure movies, American drama movies, Warner Bros. movies, Movies directed by Alfred E. Green, Movies directed by William A. Wellman
Tropical Storm Washi	2011 disasters
Phyllomedusa sauvagii	Frogs, Animals of South America
Mandobass	Plucked string instruments
Peridontitis	Dentistry
Kali Linux	Linux distributions
Anna Cataldi	1939 births, 2021 deaths, Italian journalists, Italian movie producers, Humanitarians, People from Turin, Deaths from the COVID-19 pandemic in Italy
Carol Fran	1933 births, 2021 deaths, Deaths from the COVID-19 pandemic in the United States, American blues singers, American blues musicians, American pop singers, American pop musicians, American soul singers, American soul musicians, American pianists, American singer-songwriters, Musicians from Louisiana, Singers from Louisiana, Writers from Louisiana, People from Lafayette, Louisiana
Doug Green (Ohio politician)	1950s births, 2021 deaths, State legislators of the United States, Politicians from Ohio, US Republican Party politicians, Deaths from the COVID-19 pandemic in the United States
Mount Orab, Ohio	Villages in Ohio
Norbert Klein (politician)	1956 births, 2021 deaths, Members of the House of Representatives of the Netherlands
Hoevelaken	Settlements in Gelderland, Former municipalities of Gelderland
Norberto Mario Oyarbide	Argentine judges, 1951 births, 2021 deaths, Argentine lawyers, Argentine politicians, Judges, Deaths from the COVID-19 pandemic in Argentina
Concepción del Uruguay	Cities in Argentina
Juan Rodríguez Vega	1944 births, 2021 deaths, Chilean footballers, People from Santiago
Daffney	1975 births, 2021 deaths, People who committed suicide, American professional wrestlers, American movie actors, Sportspeople from Georgia (U.S. state), Actors from Georgia (U.S. state), Sportspeople from Alaska, Actors from Alaska, Suicides by firearm in the United States
Keith McCants	1968 births, 2021 deaths, American football linebackers, Tampa Bay Buccaneers players, Tennessee Titans players, Arizona Cardinals players, Sportspeople from Alabama, People from Mobile, Alabama, American radio personalities, American sports commentators, Drug-related deaths in the United States
Josephine Medina	1970 births, 2021 deaths, Filipino sportspeople, Paralympic bronze medalists, Tennis players
2016 Summer Paralympics	September 2016 events
Ataullah Mengal	1929 births, 2021 deaths, Deaths from cardiac arrest, Pakistani politicians
Chandan Mitra	1955 births, 2021 deaths, Indian journalists, Indian politicians
Sidharth Shukla	1980 births, 2021 deaths, Deaths from myocardial infarction, Indian movie actors, Indian television actors, Indian voice actors, Indian models, Actors from Mumbai
Hashibur Rahman Swapon	1954 births, 2021 deaths, Deaths from the COVID-19 pandemic in Turkey, Pakistani politicians, Bangladeshi politicians
Ken Rosewall	1934 births, Living people, Australian tennis players, Sportspeople from Sydney
Satch Sanders	1938 births, Living people, Boston Celtics players, National Basketball Association coaches, Sportspeople from New York City
Richard Serra	1938 births, Living people, American artists, People from San Francisco
Kenny Moore	1943 births, Living people, American track and field athletes, Sportspeople from Portland, Oregon, American Olympians
Cliff Hagan	1931 births, Living people, San Antonio Spurs players, Atlanta Hawks players, People from Owensboro, Kentucky, Sportspeople from Kentucky
Arthur Scargill	1938 births, Living people, British activists, Trade unionists, People from Yorkshire
Cesare Maniago	1939 births, Living people, Canadian ice hockey goaltenders, Toronto Maple Leafs players, Montreal Canadiens players, New York Rangers players, Minnesota North Stars players, Vancouver Canucks players, Ice hockey people from British Columbia
Bobby Goldsboro	1941 births, Living people, American pop singers, American country guitarists, American pop musicians, American painters, American television producers, Singers from Florida, Writers from Florida, Musicians from Florida
Nick Holonyak	1928 births, Living people, American engineers, American educators, American inventors, Scientists from Illinois, Writers from Illinois
Max Morath	1926 births, Living people, American pianists, American composers, American movie actors, Writers from Colorado, Actors from Colorado, Musicians from Colorado, People from Colorado Springs, Colorado
Carl Erskine	1926 births, Living people, Brooklyn Dodgers players, Los Angeles Dodgers players, Sportspeople from Indiana
George Wein	1925 births, 2021 deaths, American jazz musicians, American jazz singers, Musicians from Boston, Massachusetts, Singers from Boston, Massachusetts
William P. Murphy Jr.	1923 births, Living people, American physicians, American inventors, Scientists from Boston, Massachusetts, Businesspeople from Boston, Massachusetts
Louis Danziger	1923 births, Living people, American teachers, Artists from New York City
Rudolph Pariser	1923 births, Living people, Chinese scientists, American physicists, American chemists, Naturalized citizens of the United States
Dave Bolen	1923 births, Living people, Ambassadors of the United States, American track and field athletes, American Olympians, Politicians from Louisiana, Businesspeople from Louisiana, Sportspeople from Louisiana
Earl P. Yates	1923 births, Living people, People from Winston-Salem, North Carolina, American military personnel of World War II
The Doctor's Dilemma (movie)	1958 drama movies, British drama movies, Movies based on plays, MGM movies, Movies directed by Anthony Asquith
Justin Chatwin	1982 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian stage actors, Actors from British Columbia
Ryan Newman (actress)	1998 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from California, Models from California
Nick Searcy	1959 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from North Carolina
Cullowhee, North Carolina	Census-designated places in North Carolina
Bryson City, North Carolina	Towns in North Carolina, County seats in North Carolina
Sylva, North Carolina	Towns in North Carolina, County seats in North Carolina
Webster, North Carolina	Towns in North Carolina
Argentinian Mastiff	Dog breeds
Fila Brasileiro	Dog breeds
Pyrenean Mastiff	Dog breeds
Spanish Mastiff	Dog breeds
American Bulldog	Dog breeds
Milpitas Unified School District	Santa Clara County, California
Destroyer (1943 movie)	1943 movies, 1940s war movies, 1940s adventure movies, American war movies, American adventure movies, World War II movies, Movies directed by William A. Seiter
Dennis Frederiksen	1951 births, 2014 deaths, Deaths from liver cancer, American rock singers, American pop singers, American singer-songwriters, Singers from Grand Rapids, Michigan, Musicians from Grand Rapids, Michigan, Writers from Grand Rapids, Michigan
Julie Ditty	1979 births, 2021 deaths, Cancer deaths in the United States, American tennis players, Sportspeople from Atlanta, Georgia
Aferim!	2015 drama movies, 2010s western movies, Romanian movies, Czech movies, Bulgarian movies, French drama movies, Movies directed by Radu Jude
Cahill U.S. Marshal	1970s western movies, 1976 movies, American western movies, Movies directed by Andrew V. McLaglen
Louise Sauvage	Australian Paralympic gold medalists
2021 Liberal Democratic Party (Japan) leadership election	September 2021 events
Sanae Takaichi	1961 births, Living people, Japanese politicians
2021 Auckland Countdown stabbing	21st century in Oceania, Attacks on shops, Auckland, History of New Zealand, Islamic State, Islamic terrorist incidents in the 2020s, Mass stabbings, September 2021 events, Terrorist incidents in 2021
Radio Caroline	1964 establishments in the United Kingdom
2021 Norwegian parliamentary election	21st century in Norway, 2021 in Europe, 2021 elections, September 2021 events
Alexandria Again and Forever	1989 comedy movies, Egyptian movies, French comedy movies, Movies directed by Youssef Chahine
2021 Icelandic parliamentary election	21st century in Iceland, 2021 in Europe, 2021 elections, September 2021 events
Basij	Iran
Hassan Firouzabadi	1951 births, 2021 deaths, Iranian military people, Generals
Executive Office of the President of the United States	United States Executive Cabinet
John C. Inglis	1954 births, Living people, American generals, Politicians from Baltimore, Maryland, US Democratic Party politicians
Toshimitsu Motegi	1955 births, Living people, Japanese politicians
François-Philippe Champagne	1970 births, Living people, Politicians from Quebec
Marc Garneau	1949 births, Living people, Canadian astronauts, Politicians from Quebec
Mohamed al-Menfi	1976 births, Living people, Heads of state of Libya, Ambassadors, Current national leaders
Abdul Hamid Dbeibeh	1958 births, Living people, Prime Ministers of Libya
Abdul Ati al-Obeidi	1939 births, Living people, Prime Ministers of Libya, Heads of state of Libya, Ambassadors
Muhammad az-Zaruq Rajab	Prime Ministers of Libya, 1940 births, Living people, Heads of state of Libya
Mohammed Ali Salim	1935 births, Heads of state of Libya, Living people
Mohammed Magariaf	1940 births, Living people, Heads of state of Libya, Ambassadors, Economists
James Badge Dale	1978 births, Living people, American child actors, American movie actors, American television actors, American stage actors, American voice actors, Actors from Manhattan
Grover Dale	1935 births, Living people, American dancers, American choreographers, American theatre directors, American movie actors, American stage actors, American television actors, LGBT directors, LGBT dancers, LGBT actors, Bisexual people, LGBT people from Pennsylvania, Actors from Pennsylvania, People from Harrisburg, Pennsylvania
Aydin Ibrahimov	1938 births, 2021 deaths, Soviet Olympic medalists, Azerbaijani sportspeople, Wrestlers, Deaths from the COVID-19 pandemic
Paul Chillan	2021 deaths, 1935 births, French footballers
La Trinité, Martinique	Communes in Martinique
AC Arlésien	1910s establishments in France, 1913 establishments in Europe, French football clubs, Arles
Alemayehu Eshete	1941 births, 2021 deaths, Jazz singers, Ethiopian people, African entertainers, Deaths from myocardial infarction
The Forgiveness of Blood	2011 drama movies, Albanian movies, American drama movies, Italian drama movies, Danish movies, British drama movies, Movies directed by Joshua Marston
Enrique Molina (actor)	1944 births, 2021 deaths, Deaths from the COVID-19 pandemic, Cuban actors
Britt McHenry	1986 births, Living people, Cancer survivors, American sports commentators, Journalists from New Jersey, American television presenters, Writers from Washington, D.C.
Rosario Murillo	1951 births, Living people, Vice Presidents of Nicaragua, First Ladies
Jaime Morales Carazo	Living people, 1936 births, Vice Presidents of Nicaragua
National Assembly (Nicaragua)	Nicaragua
Vice President of Nicaragua	Vice Presidents of Nicaragua
Moises Omar Halleslevens Acevedo	1949 births, Living people, Vice Presidents of Nicaragua
Jeanne Wakatsuki Houston	1934 births, Living people, American autobiographers, Writers from Los Angeles County, California, People from Inglewood, California
Benjamin Wallfisch	1979 births, Living people, British composers, British conductors, British pianists, British guitarists, British drummers, Musicians from London, Writers from London
Takako Shimazu	1939 births, Living people, Princes and princesses, People from Tokyo
Empress Kōjun	1903 births, 2000 deaths, People from Tokyo, Deaths from respiratory failure, Princes and princesses
U-Force	Video game controllers
Abdus Sattar	Bangladeshi politicians, 1st Jatiya Sangsad members, Possibly living people
Jatiya Samajtantrik Dal	Political parties in Bangladesh
Dawn of Chromatica	2021 albums, Lady Gaga albums, Remix albums
Taslima Abed	Bangladeshi politicians, Possibly living people
Turbotronic	Joysticks, Video game controllers
2021 International Mathematical Olympiad	Russia, COVID-19 pandemic
Foot per second squared	Units of measurement
Moonlet	Moons
List of adjectivals and demonyms of astronomical bodies	Astronomy-related lists
Agrana	1988 establishments, Companies of Austria
1897 International Congress of Mathematicians	1897, Switzerland, Zürich
The Astrophysical Journal	Journals
1900 International Congress of Mathematicians	1900, Paris
Synodic day	Units of time
Semantic Scholar	Search engines
Bibcode	Reference works
Phyllomedusa tarsius	Frogs, Animals of South America
Mithridates VI Eupator	History of Greece
Michel Corboz	1934 births, 2021 deaths, Swiss people, Conductors
David Patten	1974 births, 2021 deaths, Road accident deaths in the United States, American football wide receivers, Washington Redskins players, New Orleans Saints players, Cleveland Browns players, New England Patriots players, Sportspeople from South Carolina
West Coast Railways	Post-privatisation British railway companies, 1998 establishments in England
Muhammad Saeed al-Hakim	1936 births, 2021 deaths, Deaths from myocardial infarction, Iraqi people, Crime victims, Religious leaders
Sérgio Mamberti	1939 births, 2021 deaths, Deaths from multiple organ failure, Brazilian movie actors, Brazilian television actors, Brazilian stage actors, Brazilian movie directors, Brazilian movie producers, Brazilian writers, Brazilian politicians, Playwrights, People from São Paulo
Tim McCarver	1941 births, Living people, St. Louis Cardinals players, Philadelphia Phillies players, Montreal Expos players, Boston Red Sox players, Sportspeople from Memphis, Tennessee, American sports commentators
Donna McKechnie	Tony Award winning actors, Drama Desk Award winners, 1942 births, Living people, American movie actors, American television actors, American stage actors, American dancers, American choreographers, Singers from Detroit, Michigan, Actors from Detroit, Michigan, Writers from Detroit, Michigan, People from Pontiac, Michigan
Paul Cameron	1939 births, Living people, American psychologists, American political activists, American conservatives, Scientists from Pittsburgh, Pennsylvania, Scientists from Nebraska
Robert Foxworth	1941 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Houston, Texas
Shinjirō Koizumi	1981 births, Living people, Japanese politicians
Hoensbroek	Settlements in Limburg (Netherlands), Former municipalities of Limburg (Netherlands)
Albert B. Lewis	1925 births, 2021 deaths, Deaths from Alzheimer's disease, State legislators of the United States, Politicians from New York City, Businesspeople from New York City, American lawyers, US Democratic Party politicians
Fair Oaks, California	Census-designated places in California, Settlements in Sacramento County, California
Phyllomedusa venusta	Frogs, Animals of South America
Variable oystercatcher	Birds of New Zealand
The Harder They Fall	1956 drama movies, 1950s crime movies, American crime drama movies, Movies directed by Mark Robson, Movies based on books
Undertow (1949 movie)	1949 movies, 1940s crime movies, 1940s thriller movies, American crime thriller movies, Movies directed by William Castle
Investireadubai.com	Websites, Dubai
Just Before Dawn (1946 movie)	1946 movies, 1940s crime movies, 1940s mystery movies, American crime movies, American mystery movies, Movies directed by William Castle
Perodua Kancil	Automobiles
Phyllomedusa camba	Frogs, Animals of South America
Henriette Valium	1959 births, 2021 deaths, Cartoonists, Comics artists, Comics writers, Writers from Montreal
Naja	Elapidae
Brolga	Birds of Australia
6 (New York City Subway service)	New York City Subway
Superstore (TV series)	English-language television programs, 2015 American television series debuts, 2020s disestablishments, LGBT comedy television series
TALENs	Genetic engineering
Rape culture	Rape, Cultural studies
Najibullah	Arabic-language surnames, Arabic masculine given names
Spring Ridge, Louisiana	Unincorporated communities in Louisiana, Settlements in Caddo Parish, Louisiana
Sexual fantasy	Fantasy
Women in prison movie	Movie genres
The Night Manager (miniseries)	Amazon (company)
J.I the Prince of N.Y	Living people, American rap musicians
Naked Childhood	1968 drama movies, French drama movies, Movies directed by Maurice Pialat
The Mouth Agape	1974 drama movies, French drama movies, Movies directed by Maurice Pialat
Eastern Region, Venezuela	Venezuela
1995 Algarve Cup	1995 in association football
Sam Hill (euphemism)	Language
1996 Algarve Cup	1996 in association football
Betty Archdale	1907 births, 2000 deaths, Australian educators, English cricketers
Yenakha Paodabi	Meitei folklore, Meitei literature, Meitei mythology, Meitei religion
Lani Misalucha	Soul musicians, Rock singers, R&B musicians, People from Manila, Pop singers, Filipino singers, Asian opera singers, 1969 births, Living people
Jos Verstappen	24 Hours of Le Mans drivers, 1972 births, Living people, Formula One drivers
White-lined leaf frog	Frogs, Animals of South America
Bihari Hindus	Hindus, Hinduism in South Asia
Live Nation Entertainment	2010 establishments in the United States
Delaplane, Virginia	Unincorporated communities in Virginia
Manuel Soares Costa	1933 births, 2021 deaths, Portuguese politicians, Academics
Rune Gerhardsen	1946 births, 2021 deaths, Politicians from Oslo, Mayors
Tunch Ilkin	1957 births, 2021 deaths, Pittsburgh Pirates players, Green Bay Packers players, American sports commentators, American football offensive tackles, Turkish sportspeople, People from Istanbul, Naturalized citizens of the United States, Deaths from motor neurone disease
Ion Caramitru	1942 births, 2021 deaths, Romanian movie actors, Romanian politicians, Theatre directors, Romanian stage actors, People from Bucharest
Ivan Patzaichin	1949 births, 2021 deaths, Deaths from lung cancer, Sportspeople from Bucharest, Olympic gold medalists, Olympic silver medalists
Phạm Minh Chính	Living people, 1959 births, Prime Ministers of Vietnam
Phạm Hùng	1912 births, 1988 deaths, Prime Ministers of Vietnam
Võ Chí Công	1912 births, 2011 deaths, Presidents of Vietnam
Trường Chinh	1907 births, 1988 deaths, Presidents of Vietnam, General Secretaries of the Central Committee of the Communist Party of Vietnam
Nguyễn Hữu Thọ	1910 births, 1996 deaths, Presidents of Vietnam, Vice Presidents of Vietnam
Vice President of Vietnam	Vice Presidents of Vietnam
Võ Thị Ánh Xuân	Vice Presidents of Vietnam, 1970 births, Living people
Tôn Đức Thắng	1888 births, 1980 deaths, Presidents of Vietnam, Vice Presidents of Vietnam
Mamady Doumbouya	1980 births, Living people, Presidents of Guinea, Military people, Current national leaders
Sékouba Konaté	1964 births, Living people, Presidents of Guinea
