Executive order (United States)	United States law
The Way I Are	2007 songs
Kaulaulaokalani	Royalty of Oahu
Alpin II of Dalriada	Kings and queens, Scottish people, 778 births, 834 deaths
Sialkot	Cities in Pakistan
Brigach	Geography of Baden-Württemberg, Rivers of Germany
José Greci	1941 births, 2017 deaths, Italian movie actors, Italian television actors, Italian stage actors
Gordon Christian	1927 births, 2017 deaths, American ice hockey players, American Olympic silver medalists, Sportspeople from Minnesota, People from Grand Forks, North Dakota, Sportspeople from North Dakota
June 2017 London Bridge attack	2017 in London, 2010s crimes in London, 2017 murders in the United Kingdom, Islamic terrorist incidents in 2017, Islamic terrorist incidents in the United Kingdom, June 2017 events, Mass murder in 2017, Mass murder in London, Mass stabbings in Europe, Terrorist incidents in Europe in 2017, Terrorist incidents in London, Terrorist incidents in the United Kingdom in the 2010s, Terrorist incidents involving vehicular attacks
David Choby	1947 births, 2017 deaths, Accidental deaths from falls in the United States, American Roman Catholics, People from Nashville, Tennessee, Roman Catholic bishops
Niels Helveg Petersen	1939 births, 2017 deaths, Deaths from esophageal cancer, Danish politicians, Civil servants
John K. Watts	1937 births, 2017 deaths, Deaths from bone cancer, Cancer deaths in Australia, Australian footballers, Australian businesspeople, Australian radio personalities
Juan Goytisolo	1931 births, 2017 deaths, Spanish poets, Spanish essayists, Spanish novelists, Bisexual people, LGBT poets, LGBT novelists, Writers from Barcelona
Maschwanden	Municipalities of Zürich
Maur, Switzerland	Municipalities of Zürich
Altstetten (Zürich)	Former municipalities of Zürich
Albisrieden	Former municipalities of Zürich
Jimmy Piersall	1929 births, 2017 deaths, Deaths from stroke, Cardiovascular disease deaths in Illinois, Boston Red Sox players, Texas Rangers players, Cleveland Indians players, New York Mets players, California Angels players, People with bipolar disorder, American radio personalities, Sportspeople from Connecticut, Sportspeople from Chicago, People from Waterbury, Connecticut
One Love Manchester	2017 in entertainment, 2017 in England, June 2017 events, 2010s in Manchester
Bart Carlier	1929 births, 2017 deaths, Dutch footballers, People from Venlo, Sportspeople from Limburg (Netherlands)
Thomas James Kinsman	1945 births, 2017 deaths, Medal of Honor recipients, Purple Heart recipients, American military people, People from Washington
Leonhard Nagenrauft	1938 births, 2017 deaths, German Olympians, German sportspeople, Sportspeople from Bavaria
Gordon Brunton	1921 births, 2017 deaths, Businesspeople from London
Bern Nix	1947 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in New York City, American jazz musicians, American guitarists, Musicians from Ohio, People from Toledo, Ohio
Chance the Rapper	1993 births, Living people, American rap musicians from Illinois, American singer-songwriters, American Christians, American activists, Grammy Award winners, Musicians from Chicago, Writers from Illinois
Emeritus professor	Titles
Taliban insurgency	21st century in Afghanistan, Insurgencies, Taliban
Fruitarianism	Animal rights, Vegetarianism
Pteropoda	Gastropods
Micro black hole	Cosmology, Quantum mechanics, Black holes
Plasma lamp	Physics
Hacker koan	Computer science, Humor
Arin Hanson	1987 births, Living people, Internet celebrities, American cartoonists, American voice actors, Actors from Florida, Writers from Florida, American songwriters
Ñuble Province (1974-2018)	Provinces of Chile
La Défense	Paris, Hauts-de-Seine
Saint Matthias	1st century births, 80s deaths, Twelve Apostles, Early Christian saints
Oedipina maritima	Salamanders
Boys' Life	Scouting, American magazines
Babatunde Osotimehin	1949 births, 2017 deaths, Civil servants, Nigerian politicians, United Nations officials
Roger Smith (actor)	1932 births, 2017 deaths, Deaths from Parkinson's disease, Disease-related deaths in Los Angeles, American movie actors, American television actors, American screenwriters, Actors from Los Angeles County, California, Singers from Los Angeles County, California, Writers from Los Angeles County, California
Zhang Tianfu	1910 births, 2017 deaths, Chinese scientists, Chinese educators, Centenarians, People from Shanghai
Fixed-point theorem	Mathematics
Inversion (linguistics)	Linguistics
Helen Dunmore	1952 births, 2017 deaths, Cancer deaths in England, British poets, British novelists, British children's writers, Writers from Yorkshire
Northern England	Regions of England
Jakucho Setouchi	1922 births, Living people, Japanese writers, Buddhists, Activists
Cheick Tioté	1986 births, 2017 deaths, Ivorian footballers, Deaths from cardiac arrest
Anna Jókai	1932 births, 2017 deaths, Hungarian novelists, Hungarian poets, Hungarian educators, People from Budapest
Nnedi Okorafor	1974 births, Living people, American science fiction writers, African American writers, People from Olympia Fields, Illinois, Writers from Illinois
Charles-Augustin de Coulomb	French physicists, 1736 births, 1806 deaths
Writing letters	Communication
Dome-mae Chiyozaki Station	Railway stations in Osaka Prefecture
Dome-mae Station	Railway stations in Osaka Prefecture
Meilen	Municipalities of Zürich, Cities in Switzerland
Mettmenstetten	Municipalities of Zürich
Reuss (river)	Rivers of Switzerland
Lake Thun	Lakes of Bern, Thun
Gerzensee (lake)	Lakes of Bern
Schleuse (river)	Geography of Thuringia, Rivers of Germany
Mönchaltorf	Municipalities of Zürich
Bigge (river)	Geography of North Rhine-Westphalia, Rivers of Germany
Ballersdorf	Communes in Haut-Rhin
Auxiliary verb	Grammar
Alkmaar	Alkmaar, Cities in the Netherlands, Settlements in North Holland
Neerach	Municipalities of Zürich
Gelderner Fleuth	Geography of North Rhine-Westphalia, Rivers of Germany
Giuliano Sarti	1933 births, 2017 deaths, Italian footballers
Adnan Khashoggi	1935 births, 2017 deaths, Saudi Arabian businesspeople
Sandra Reemer	1950 births, 2017 deaths, Deaths from breast cancer, Dutch singers, Dutch television presenters, Eurovision Song Contest entrants, Indonesian singers
Vin Garbutt	1947 births, 2017 deaths, Deaths from surgical complications, Disease-related deaths in England, English singer-songwriters, English guitarists, Folk musicians
Márta Antal-Rudas	1937 births, 2017 deaths, Hungarian sportspeople, Olympic silver medalists
Anupam Sen	1940 births, Bangladeshi people, Recipients of the Ekushey Padak, Living people
Domodossola	Cities in Piedmont
Neftenbach	Municipalities of Zürich
Guimarães	Cities in Portugal, Municipalities of Portugal
Kannonkoski	Municipalities of Central Finland
Niederglatt	Municipalities of Zürich
Niederhasli	Municipalities of Zürich
Niederweningen	Municipalities of Zürich
Dornbirn	Cities and towns in Vorarlberg
Nürensdorf	Municipalities of Zürich
Balschwiller	Communes in Haut-Rhin
Baltzenheim	Communes in Haut-Rhin
2017 Tehran attacks	2017 mass shootings, 2010s explosions in Asia, 2010s in Iran, 2010s mass shootings in Asia, Attacks on buildings and structures in 2017, Attacks on buildings and structures in Asia, Explosions in 2017, Islamic State, Islamic terrorist incidents in 2017, Islamic terrorist incidents in Asia, June 2017 events, Mass murder in 2017, Mass murder in Asia, Mass shootings in Asia, Murder-suicides in Asia, Suicide bombings in Asia, Suicide bombings in the 2010s, Tehran, Terrorist incidents in Asia in the 2010s
Christopher A. Wray	1966 births, Living people, American lawyers, Directors of the Federal Bureau of Investigation, Politicians from New York City, Politicians from Georgia (U.S. state), Politicians from Massachusetts, US Republican Party politicians
Vincent Tshabalala	1942 births, 2017 deaths, South African sportspeople, Golfers, People from Johannesburg
Andy Cunningham (actor)	1950 births, 2017 deaths, Deaths from colorectal cancer, Cancer deaths in England, English movie actors, English television actors, British magicians, English television writers, Writers from London, Actors from London
Marilyn Hall	1927 births, 2017 deaths, Naturalized citizens of the United States, Canadian television producers, Canadian television writers, American television producers, American television writers, American philanthropists, People from Winnipeg
Mary Edwards Walker	1832 births, 1919 deaths, American Civil War, Medal of Honor recipients
Horace Burrell	1950 births, 2017 deaths, Deaths from lung cancer, Jamaican sportspeople, Jamaican businesspeople
Latifur Rahman	1936 births, 2017 deaths, Bangladeshi lawyers, Prime Ministers of Bangladesh, Bangladeshi Muslims
Rokas Žilinskas	1972 births, 2017 deaths, Deaths from respiratory arrest, Deaths from pneumonia, Lithuanian politicians, Journalists, LGBT politicians, Gay men, LGBT writers
Arthur Bunting	1936 births, 2017 deaths, English rugby union players, Sportspeople from Yorkshire
Trento Longaretti	1917 births, 2017 deaths, Italian centenarians, Italian painters, People from Lombardy
Montbard	Subprefectures in France, Communes in Côte-d'Or
Shahmukhī alphabet	Punjabi language, Alphabets
The Land of Stories	Children's books
Final Fight Championship	Kickboxing, Mixed martial arts organizations, 2003 establishments in Europe
Eastern quoll	Marsupials, Carnivores, Tasmania
Crested Quetzal	Birds of South America
Ammon	Ancient history, History of Jordan, Old Testament
Neil Olshey	Basketball
Allen Crabbe	1992 births, Living people, Portland Trail Blazers players
Generative adversarial networks	Artificial intelligence
Bromley	London
Oberembrach	Municipalities of Zürich
Oberengstringen	Municipalities of Zürich
Paignton Zoo	Zoos, Devon, 1923 establishments in England
Culen of Scotland	Kings and queens, 10th century births, 971 deaths, 10th century in Scotland
Jan Høiland	1939 births, 2017 deaths, Norwegian singers
Dorian Invasion	Ancient Greeks
Ragnhild Queseth Haarstad	1939 births, 2017 deaths, Norwegian politicians
Brenne (river)	Rivers of France, Bourgogne-Franche-Comté
Jill Singer	1957 births, 2017 deaths, Deaths from amyloidosis, Disease-related deaths in Australia, Australian television presenters, Australian journalists, Writers from Victoria (Australia)
Marcelo Guinle	1947 births, 2017 deaths, Cancer deaths in Argentina, Argentine politicians
Emergency Alert System	Emergency services
Peter Thomson (diplomat)	1948 births, Living people, Presidents of the United Nations General Assembly, Fijian people
President of the United Nations General Assembly	Presidents of the United Nations General Assembly, 1946 establishments
Imre Hollai	Presidents of the United Nations General Assembly, 1925 births, 2017 deaths, Hungarian politicians
Guido de Marco	1931 births, 2010 deaths, Deaths from myocardial infarction, Presidents of the United Nations General Assembly, Presidents of Malta, Maltese lawyers
Miguel d'Escoto Brockmann	1933 births, 2017 deaths, Presidents of the United Nations General Assembly, Nicaraguan politicians, Roman Catholic priests, Politicians from Los Angeles, California
Kansai Airport Station	Railway stations in Osaka Prefecture
Amazon World Zoo	Buildings and structures in England, Isle of Wight, Zoos
Máel Muire ni Cináeda	Scottish nobility, 842 births, 910s deaths
Juiz de Fora	Cities in Minas Gerais
Samara, Russia	Capital cities in Russia
Oberglatt	Municipalities of Zürich
Glenne Headly	Drama Desk Award winners, 1955 births, 2017 deaths, Deaths from pulmonary embolism, Disease-related deaths in California, American movie actors, American television actors, American stage actors, American voice actors, Actors from Connecticut
Oberrieden, Switzerland	Municipalities of Zürich
Oberstammheim	Former municipalities of Zürich
Oberweningen	Municipalities of Zürich
Obfelden	Municipalities of Zürich
Kathryn Stripling Byer	1944 births, 2017 deaths, Deaths from lymphoma, Cancer deaths in North Carolina, American poets, American educators, Writers from North Carolina, Writers from Georgia (U.S. state)
France Rode	1934 births, 2017 deaths, Slovenian scientists, Engineers, Inventors
Natig Aliyev	1947 births, 2017 deaths, Deaths from heart failure, Azerbaijani politicians
Jan Notermans	1932 births, 2017 deaths, Dutch football managers, Dutch footballers, People from Sittard-Geleen, Sportspeople from Limburg (Netherlands)
Oetwil an der Limmat	Municipalities of Zürich
Oetwil am See	Municipalities of Zürich
Opfikon	Municipalities of Zürich, Cities in Switzerland
Knesset elections results	Knesset
Ossingen	Municipalities of Zürich
Rijeka	Cities in Croatia
Zamboanga City	Cities in the Philippines
Bantzenheim	Communes in Haut-Rhin
Grass Roots	1992 albums, Debut albums, The Black Eyed Peas albums, Hip hop albums, Jazz albums
Otelfingen	Municipalities of Zürich
Ottenbach, Switzerland	Municipalities of Zürich
Pfäffikon, Zürich	Municipalities of Zürich, Cities in Switzerland
Auslikon	Villages in Zürich
Irgenhausen	Villages in Zürich
Wiedikon	Former municipalities of Zürich
Pfungen	Municipalities of Zürich
Rafz	Municipalities of Zürich
Girona	Capital cities in Spain, Cities in Catalonia, Municipalities in Catalonia
Bartenheim	Communes in Haut-Rhin
Arros (river)	Rivers of France, Occitanie
Decimation	Capital punishment
Val Terbi	Municipalities of Jura, 2013 establishments in Switzerland
Basse-Allaine	Municipalities of Jura, 2009 establishments in Switzerland
Sharjah (city)	Cities in the United Arab Emirates
Regensberg	Municipalities of Zürich, Cities in Switzerland
Regensdorf	Municipalities of Zürich, Cities in Switzerland
Rheinau, Switzerland	Municipalities of Zürich, Cities in Switzerland
Chesterfield, Missouri	Cities in Missouri
Évora	Cities in Portugal, Municipalities of Portugal
Richterswil	Municipalities of Zürich, Cities in Switzerland
Rickenbach, Zürich	Municipalities of Zürich
Samstagern	Villages in Zürich
Battenheim	Communes in Haut-Rhin
Beblenheim	Communes in Haut-Rhin
Bellemagny	Communes in Haut-Rhin
Bendorf, Haut-Rhin	Communes in Haut-Rhin
Berentzwiller	Communes in Haut-Rhin
Bennwihr	Communes in Haut-Rhin
Bergheim, Haut-Rhin	Communes in Haut-Rhin
Constantine, Algeria	Cities in Algeria
Andria	Cities in Apulia, Capital cities in Italy
Rifferswil	Municipalities of Zürich, Villages in Zürich
Andrzej Baturo	1940 births, 2017 deaths, Polish people, Photographers
Angerville, Essonne	Communes in Essonne
Chi Po-lin	1964 births, 2017 deaths, Aviation deaths, Movie directors, Photographers, Environmentalists, Taiwanese people
Brad Ausmus	1969 births, Living people, Sportspeople from New Haven, Connecticut, Detroit Tigers managers, Detroit Tigers players, Houston Astros players, Los Angeles Dodgers players, San Diego Padres players
Dusty Baker	1949 births, Living people, African-American baseball players, Sportspeople from California, Atlanta Braves players, Chicago Cubs managers, Cincinnati Reds managers, Los Angeles Dodgers players, Oakland Athletics players, San Francisco Giants players, Washington Nationals
Brian Snitker	1955 births, Living people, Sportspeople from Illinois, Atlanta Braves, Major League Baseball managers
Fredi González	1964 births, Living people, Cuban sportspeople, Atlanta Braves, Major League Baseball managers
Coach (baseball)	Baseball, Baseball coaches
Red scare	Communism
James McCann	Living people, 1990 births, American baseball players, Sportspeople from California, People from Santa Barbara, California, Detroit Tigers players
Bibi Ferreira	2019 deaths, 1922 births, Deaths from heart failure, Brazilian movie actors, Brazilian singers, Brazilian stage actors, People from Rio de Janeiro
Travis Fryman	American baseball players, 1969 births, Living people, Sportspeople from Kentucky, People from Lexington, Kentucky, Cleveland Indians players, Detroit Tigers players
Rawlings Gold Glove Award	Major League Baseball awards
Austin Deasy	1936 births, 2017 deaths, Members of Fine Gael, Irish politicians
Great Flood of 1993	1993 in the United States, Severe weather, Natural disasters in the United States, Floods, 1990s in Illinois, 20th century in Iowa, 20th century in Kansas, 1990s in Minnesota, 1990s in Missouri, 20th century in Nebraska, 20th century in North Dakota, History of South Dakota, 20th century in Wisconsin
Ameurfina Melencio-Herrera	1922 births, 2020 deaths, Filipino politicians, Filipino lawyers, Women judges, Women lawyers
Mickey Tettleton	American baseball players, 1960 births, Living people, Sportspeople from Oklahoma City, Baltimore Orioles players, Detroit Tigers players, Oakland Athletics players, Texas Rangers players
Frederick Stanley, 16th Earl of Derby	Hockey, British politicians, Canadian politicians, 1841 births, 1908 deaths
Yuli Edelstein	1958 births, Living people, Deputy government ministers of Israel, Government ministers of Israel, Likud politicians, Jewish Israeli politicians, Knesset speakers, Members of Knesset, Naturalized citizens of Israel, Soviet Jews, Ukrainian Jews
Green Party (Israel)	2008 establishments in Israel, Green political parties, Political parties in Israel, Zionist parties
The Green Movement	2008 establishments in Israel, Green political parties, Political parties in Israel, Zionist parties
Gambling addiction	Gambling, Addiction
Yael Cohen-Paran	1973 births, Living people, Environmentalists, Former Members of Knesset, Greens politicians, Hebrew University of Jerusalem alumni, Israeli activists, Israeli political leaders, Jewish activists, Jewish Israeli politicians, Jewish women politicians, Tel Aviv University alumni
Rorbas	Municipalities of Zürich
Modeling agency	Models
C. Narayana Reddy	1931 births, 2017 deaths, Cardiovascular disease deaths in India, Indian writers, Telangana
Masahide Ōta	1925 births, 2017 deaths, Deaths from pneumonia, Deaths from respiratory failure, Disease-related deaths in Japan, Japanese academics, Japanese politicians
Samuel V. Wilson	1923 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in Virginia, Military people from Virginia
Walter Noll	1925 births, 2017 deaths, Naturalized citizens of the United States, American mathematicians, Writers from Berlin
I Love It	2012 songs, Songs with feminist themes
Celtiberian Range	Geography of Spain, Demography
Receptacle (botany)	Plant anatomy
Mladá Boleslav	Cities in the Czech Republic
IPhone 7	iPhone, Mobile phones released in 2016, Mobile phones with 4K video recording
Cosne-Cours-sur-Loire	Subprefectures in France, Communes in Nièvre
Degree of freedom	Engineering
Anthony Knockaert	1991 births, Living people, French footballers
Charles P. Thacker	1943 births, 2017 deaths, Deaths from esophageal cancer, Cancer deaths in California, American computer scientists, American inventors, American educators, Scientists from California, Businesspeople from California, People from Pasadena, California
Ulf Stark	1944 births, 2017 deaths, Deaths from pancreatic cancer, Cancer deaths in Sweden, Swedish novelists, Swedish screenwriters, Writers from Stockholm
Josefina Villalobos	1924 births, Living people, Colombian people, First Ladies, People from New York City, People from Quito
Frank Windsor	2020 deaths, 1928 births, English movie actors, English television actors, English stage actors, English voice actors, People from Staffordshire
Győr	Cities in Hungary
Rümlang	Municipalities of Zürich
British and Irish Lions	Rugby union
Alun Wyn Jones	1985 births, Living people, Welsh rugby union players
Leigh Halfpenny	1988 births, Living people, Welsh rugby union players
Dan Biggar	1989 births, Living people, Welsh rugby union players
Sam Warburton	1988 births, Living people, Welsh rugby union players
George North	1992 births, Living people, Welsh rugby union players
Rhys Webb	1988 births, Living people, Welsh rugby union players
Liberec	Cities in the Czech Republic
Sunyani	Settlements in Ghana
Serravalle (San Marino)	Municipalities of San Marino
Rüschlikon	Municipalities of Zürich
Dalaas	Cities and towns in Vorarlberg
Russikon	Municipalities of Zürich
Rüti, Zürich	Municipalities of Zürich, Cities in Switzerland
Schlatt, Zürich	Municipalities of Zürich
Schleinikon	Municipalities of Zürich
Bergholtz, Haut-Rhin	Communes in Haut-Rhin
Bergholtzzell	Communes in Haut-Rhin
Bernwiller	Communes in Haut-Rhin
Berrwiller	Communes in Haut-Rhin
Wimblington	Villages in Cambridgeshire
Hōfu	Cities in Japan
Birganj	Cities in Nepal
Houston County, Texas	Texas counties
Nacogdoches County, Texas	Texas counties
Probate	Law
Hazel Levesque	Characters in written fiction
Grenfell Tower fire	2017 disasters, 2017 in London, 2010s disasters in Europe, 2010s fires, Building and structure fires in the United Kingdom, Fires in London, June 2017 events
Washington County, Texas	Texas counties
Coryell County, Texas	Texas counties
DeWitt County, Texas	Texas counties
Goliad County, Texas	Texas counties
Jean Nicot	1530 births, 1600 deaths, French nobility, Ambassadors of France
Subsidized housing	Everyday life
Raynaud's syndrome	Diseases and disorders of the cardiovascular system, Autoimmune diseases
2017 Congressional baseball shooting	2017 crimes, June 2017 events, 2017 in Virginia
Gheorghe Gușet	1968 births, 2017 deaths, Deaths from aortic dissection, Romanian sportspeople, Olympians
Aortic dissection	Cardiology, Diseases
Patricia Knatchbull, 2nd Countess Mountbatten of Burma	1924 births, 2017 deaths, British military personnel of World War II, British royalty, Commanders of the Order of the British Empire, People from Westminster
Ernestina Herrera de Noble	1925 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in Argentina, Argentine writers, Argentine businesspeople, Argentine journalists, People from Buenos Aires
Sam Beazley	1916 births, 2017 deaths, British movie actors, British television actors, British stage actors, British voice actors, British centenarians
A. R. Gurney	1930 births, 2017 deaths, American playwrights, American novelists, American educators, Writers from Buffalo, New York
Marc-André ter Stegen	1992 births, Living people, German association football goalkeepers, People from Mönchengladbach, Sportspeople from North Rhine-Westphalia
Keylor Navas	1986 births, Costa Rican people, Costa Rican footballers, Association football goalkeepers, Living people
Gareth Southgate	1970 births, Living people, English footballers, English football managers, England national football team managers, Association football defenders, Sportspeople from Hertfordshire, People from Watford, Aston Villa F.C. players, Crystal Palace F.C. players
Spencer Grammer	Actors from Los Angeles, California, American movie actors, American voice actors, American television actors, 1983 births, Living people
Flag of Spain	National flags, Spain
Fireproofing	Safety, Firefighting
Fire escape	Firefighting, Safety
Attacus atlas	Moths, Saturniidae
François Houtart	1925 births, 2017 deaths, Belgian academics, Belgian priests, Belgian Roman Catholics, Christian theologians, Marxism, People from Brussels, Sociologists
Jim Graham	1945 births, 2017 deaths, Deaths from COPD, Disease-related deaths in Washington, D.C., Infectious disease deaths in the United States, Naturalized citizens of the United States, Scottish politicians, Politicians from Washington, D.C.
P. N. Bhagwati	1921 births, 2017 deaths, Deaths from renal failure, Disease-related deaths in India, Chief Justices of India
Geoffrey Rowell	1943 births, 2017 deaths, Academics of the University of Oxford, Alumni of the University of Cambridge, Anglican bishops, Anglican priests, English Anglicans, English priests, People from Hampshire
Ibrahim Abouleish	1937 births, 2017 deaths, Egyptian businesspeople, Chemists, Egyptian scientists, Pharmacologists
Ajmer Singh Aulakh	1942 births, 2017 deaths, Deaths from stomach cancer, Cancer deaths in India, Indian playwrights, Activists
Curt Hanson	1943 births, 2017 deaths, Deaths from prostate cancer, Cancer deaths in the United States, American educators, Politicians from Iowa, US Democratic Party politicians, State legislators of the United States
Wilma de Faria	1945 births, 2017 deaths, Cancer deaths in Brazil, Brazilian politicians
Sandwich panel	Materials
Laguna Copperplate Inscription	History of the Philippines, Documents, 900
Baldwin Lonsdale	1950 births, 2017 deaths, Anglican priests, Deaths from myocardial infarction, Presidents of Vanuatu
Lucas Mangope	1923 births, 2018 deaths, Presidents (government), South African politicians
Sam Panopoulos	1934 births, 2017 deaths, Deaths from cardiac arrest, Cardiovascular disease deaths in Canada, Chefs, Greek people, Inventors, People from London, Ontario
Earl Bakken	1924 births, 2018 deaths, American engineers, American philanthropists, Businesspeople from Minnesota, Scientists from Minnesota
Schlieren, Switzerland	Municipalities of Zürich, Cities in Switzerland
Reichsführer-SS	SS
Polyisocyanurate	Polymers
Schöfflisdorf	Municipalities of Zürich
Schönenberg, Zürich	Former municipalities of Zürich
Schwerzenbach	Municipalities of Zürich
Seegräben	Municipalities of Zürich
Brahmo Samaj	Hinduism, 1828 establishments, Indian culture, 19th century establishments in India
Chirnihiv	Cities in Ukraine, 10th century establishments in Europe, Establishments in Ukraine
Seuzach	Municipalities of Zürich
Offenburg	Cities in Baden-Württemberg
Landeck	Cities and towns in Tyrol (state)
Stadel bei Niederglatt	Municipalities of Zürich
Stäfa	Municipalities of Zürich, Cities in Switzerland
Stallikon	Municipalities of Zürich
Zenica	Cities in Bosnia and Herzegovina
Ústí nad Labem	Cities in the Czech Republic
Thur (Switzerland)	Rivers of Switzerland
Bettendorf, Haut-Rhin	Communes in Haut-Rhin
Lecce	Lecce, Capital cities in Italy
Bettlach, Haut-Rhin	Communes in Haut-Rhin
Steinmaur	Municipalities of Zürich
Villach	Cities and towns in Carinthia (state), Districts of Carinthia (state)
Fisherman's Wharf, San Francisco	Landmarks in San Francisco
Carl Gustav Hempel	1905 births, 1997 deaths, German philosophers, German mathematicians
Sternenberg, Switzerland	Former municipalities of Zürich
Leeward slope	Mountains
Niuean language	Languages
Iván Fandiño	1980 births, 2017 deaths, Deaths in sport, Spanish sportspeople
Józef Grudzień	1939 births, 2017 deaths, Boxers, Polish Olympians, Olympic gold medalists, Olympic silver medalists
Venus Ramey	1924 births, 2017 deaths, American activists, Models from Kentucky, People from Kentucky
Leopoldo S. Tumulak	1944 births, 2017 deaths, Deaths from pancreatic cancer, Filipino Roman Catholics, Roman Catholic bishops
Biederthal	Communes in Haut-Rhin
Pärnu	Cities in Estonia
The Stanley Dynamic	Animated television series, Canadian television series, Children's television series, Comedy television series, Sitcoms
2017 Finsbury Park attack	2017 crimes in the United Kingdom, 2017 in London, 2010s crimes in London, 2017 murders in the United Kingdom, June 2017 events, London Borough of Islington, Murder in London, Terrorist incidents in Europe in 2017, Terrorist incidents in the United Kingdom in the 2010s, Terrorist incidents involving vehicular attacks
Tim Hague	1983 births, 2017 deaths, Deaths from cerebral hemorrhage, Deaths in sport, Sportspeople from Alberta
Tony Liscio	1940 births, 2017 deaths, Deaths from motor neurone disease, Green Bay Packers players, Dallas Cowboys players, Sportspeople from Pittsburgh, Pennsylvania
Pierluigi Chicca	1937 births, 2017 deaths, Fencers, Italian Olympians, Olympic bronze medalists, Olympic silver medalists, Sportspeople from Tuscany, People from Livorno
Shih Chun-jen	1923 births, 2017 deaths, Deaths from myocardial infarction, Taiwanese politicians
2017 Portugal wildfires	2017 in Europe, 2010s disasters in Europe, 2010s fires, 2010s in Portugal, Fires in Europe, June 2017 events
June 2017 Champs-Élysées attack	2017 crimes in Europe, 2017 in France, 2010s crimes in France, 2010s in Paris, Islamic State, Islamic terrorist incidents in France, Islamic terrorist incidents in the 2010s, June 2017 events, Terrorist incidents in 2017, Terrorist incidents in Paris, Terrorist incidents in Europe in the 2010s
Helen Freedhoff	1940 births, 2017 deaths, Deaths from cardiac arrest, Cardiovascular disease deaths in Canada, Canadian scientists, Canadian physicists, Canadian educators, Writers from Toronto
Luis Lusquiños	1951 births, 2017 deaths, Argentine politicians
Ivan Dias	1936 births, 2017 deaths, Cardinals of the Roman Catholic Church, People from Mumbai, Roman Catholic archbishops
Otto Warmbier	1994 births, 2017 deaths, American prisoners, Deaths from cardiopulmonary arrest, Deaths from sepsis, Disease-related deaths in Ohio, 2010s in North Korea, People from Cincinnati, Ohio
Brian Cant	1933 births, 2017 deaths, Deaths from Parkinson's disease, Disease-related deaths in London, English movie actors, English television actors, English stage actors, English voice actors, English television presenters, Actors from Suffolk, Writers from Suffolk
Josh Peck	1986 births, Jewish American comedians, American television directors, Living people, People from Manhattan, Comedians from New York City
Savvy Shields	People from Fayetteville, Arkansas, Miss America winners, 1995 births, Living people
Alfonso Espinosa de los Monteros	1941 births, Living people, Television news anchors, Journalists, People from Quito
Antonio Medellín	1942 births, 2017 deaths, Mexican movie actors, Mexican television actors, Actors from Mexico City
Pearl Carr & Teddy Johnson	Eurovision Song Contest entrants, English pop music groups, Musicians from Devon, Musicians from Surrey, 1919 births, 1921 births, 2018 deaths, 2020 deaths
Alysia Reiner	1970 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Jewish American actors, Actors from Florida
Meitei language	Languages of India, Meitei culture
Zaporizhia	Cities in Ukraine
Tarnobrzeg	Cities in Poland
Erzurum	Cities in Turkey
Thalheim an der Thur	Municipalities of Zürich
Trüllikon	Municipalities of Zürich
Truttikon	Municipalities of Zürich
Haute-Sorne	Municipalities of Jura, 2013 establishments in Switzerland
Clos du Doubs	2009 establishments in Switzerland, Municipalities of Jura
Alliance, Ohio	Cities in Ohio
Castroville, Texas	Cities in Texas
Adrian, Texas	Cities in Texas
Pickerington, Ohio	Cities in Ohio
Dry Drayton	Villages in Cambridgeshire, Civil parishes in Cambridgeshire
Glendora, California	Cities in California, Settlements in Los Angeles County, California
Biesheim	Communes in Haut-Rhin
Biltzheim	Communes in Haut-Rhin
Turbenthal	Municipalities of Zürich
Köllerbach (Saar)	Geography of Saarland, Rivers of Germany
Elias Burstein	1917 births, 2017 deaths, American physicists, Scientists from New York City
Hans Breder	1935 births, 2017 deaths, Naturalized citizens of the United States, German artists, American artists, People from Iowa City, Iowa
Tony DiCicco	1948 births, 2017 deaths, Cancer deaths in Connecticut, Sportspeople from Connecticut
Prodigy (rapper)	1974 births, 2017 deaths, Deaths from anemia, Deaths from choking, African American musicians, American rap musicians from New York, American movie actors, American hip hop musicians, Musicians from New York City, Actors from New York City, Businesspeople from New York City
Melanie Safka	Singers from New York City, 1947 births, Living people, Emmy Award winners
Central Atlantic magmatic province	Volcanic landforms, Triassic, Extinction events
St. George's, Grenada	National capitals in North America, Grenada
Theodor Bergmann	1916 births, 2017 deaths, German centenarians, German communists, Jewish German academics, Jewish German scientists, Jewish German writers, Refugees from Nazism, Scientists from Berlin, Writers from Berlin
Leila Abashidze	1929 births, 2018 deaths, Deaths from stroke, Actors from Georgia (country), Screenwriters from Georgia (country), Movie directors from Georgia (country), People from Tbilisi
Emil Wojtaszek	1927 births, 2017 deaths, Polish politicians, People from Kraków
Pompeyo Márquez	1922 births, 2017 deaths, Venezuelan journalists, Communists, Venezuelan politicians
Bernard Lown	1921 births, 2021 deaths, Deaths from pneumonia, Deaths from congestive heart failure, American activists, American inventors, American physicians, Jewish activists, Jewish American scientists, Johns Hopkins University alumni, Lithuanian Jews, Scientists from Maine, Naturalized citizens of the United States, People from Lewiston, Maine
