Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Calum Worthy	1991 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian television writers, Canadian television producers, Actors from Vancouver, Writers from British Columbia
Haugesund	Municipalities of Norway
Battle of Monmouth	Battles of the American Revolutionary War, 1770s in the United States, 18th century in New Jersey, September events
Anubias	Araceae
Luis Enrique Mercado	1955 births, 2020 deaths, Politicians from Mexico City, Mexican journalists, Deaths from the COVID-19 pandemic in Mexico
Browser engine	Web browsers
Electronic tagging	Electronics
Parviz Parastui	Iranian actors
Midway, LaSalle Parish, Louisiana	Census-designated places in Louisiana, Unincorporated communities in Louisiana
Trout, Louisiana	Census-designated places in Louisiana, Unincorporated communities in Louisiana
Baskin, Louisiana	Villages in Louisiana
Gilbert, Louisiana	Villages in Louisiana
Sumatra frog	Animals of Asia, Frogs
Agni Sakshi (2017 TV Series)	2017 Indian television series debuts
Kasthuri	Soap operas, Indian television series
Saracen	Arab people, Christian terminology
Mole (espionage)	Espionage
Arnulf of Carinthia	850 births, 899 deaths, Kings and Queens in Germany, Kings and Queens of Italy, Holy Roman Emperors
Lambert of Italy	9th century births, 898 deaths, Kings and Queens of Italy
Lean on Me (movie)	1980s biographical movies, 1989 drama movies, American biographical movies, American drama movies, Movies directed by John G. Avildsen
Marcus D'Amico	1965 births, 2020 deaths, German movie actors, German television actors, German stage actors, British movie actors, British television actors, British stage actors, People from Frankfurt
Frederik Batti Sorring	1955 births, 2020 deaths, Indonesian politicians, Deaths from the COVID-19 pandemic in Indonesia
William Link	1933 births, 2020 deaths, American television producers, American television writers, Screenwriters from Pennsylvania, Writers from Philadelphia, Pennsylvania, Emmy Award winners, Deaths from heart failure
Csaba Ali	1946 births, 2020 deaths, Hungarian sportspeople, Hungarian swimmers
Paul Sueo Hamaguchi	1948 births, 2020 deaths, Japanese people, Roman Catholic bishops, Roman Catholic priests
Hatem Ali	1962 births, 2020 deaths, Syrian people, Egyptian movie actors, Egyptian television actors, Movie directors, Television directors, Deaths from myocardial infarction
Josefina Echánove	1920s births, 2020 deaths, Mexican movie actors, Mexican television actors, Mexican models, Mexican journalists
Miguel Ángel Gutiérrez Machado	1960 births, 2020 deaths, Mexican politicians, Deaths from the COVID-19 pandemic in Mexico
Luke Letlow	1979 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Politicians from Louisiana, US Republican Party politicians
Elaine McCoy	1946 births, 2020 deaths, Politicians from Alberta, People from Manitoba, People from Ottawa
Nikhil Nandy	1932 births, 2020 deaths, Indian footballers, Deaths from the COVID-19 pandemic in India, Olympians
Corrado Olmi	1926 births, 2020 deaths, Deaths from the COVID-19 pandemic in Italy, Italian movie actors, Italian stage actors, Italian television actors, Comedians
Daniel S. Paletko	1950 births, 2020 deaths, State legislators of the United States, Politicians from Michigan, US Democratic Party politicians, Deaths from the COVID-19 pandemic in the United States
Serafim Papakostas	1959 births, 2020 deaths, Deaths from the COVID-19 pandemic in Greece, Greek people
Howard J. Rubenstein	1932 births, 2020 deaths, American lawyers, Businesspeople from New York City
Luigi Snozzi	1932 births, 2020 deaths, Swiss businesspeople, Academics, Deaths from the COVID-19 pandemic in Switzerland, Architects
Arne A. Jensen	1954 births, 2020 deaths, Norwegian businesspeople
Richard Choruma	1978 births, 2020 deaths, Zimbabwean people, Deaths from renal failure, African footballers
Pat Gillick	1937 births, Living people, Businesspeople from California, Sportspeople from California
Bridget Regan	1982 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from San Diego, California
Glynn Turman	1947 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from New York City
Ted White (manager)	1931 births, Living people, American songwriters, Record producers, Businesspeople from Detroit, Michigan, Writers from Detroit, Michigan
John Fiedler	1925 births, 2005 deaths, Actors from Wisconsin, American movie actors, American television actors, American stage actors, American voice actors, Cancer deaths in New Jersey
Leslie Jordan	Emmy Award winning actors, 1955 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Tennessee, People from Chattanooga, Tennessee, Writers from Tennessee
Lazar Matveev	1927 births, Living people, Russian military people, Soviet military people
Grosse Pointe Woods, Michigan	Cities in Michigan
Ma Rainey's Black Bottom (movie)	2020 drama movies, Netflix movies, Movies set in Chicago, Illinois, Movies set in the 1920s, American drama movies, Movies based on plays
George C. Wolfe	Tony Award winners, Drama Desk Award winners, 1954 births, Living people, American movie directors, American playwrights, American theatre directors, Writers from Kentucky
James Hormel	1933 births, 2021 deaths, Ambassadors of the United States, American philanthropists, American LGBT rights activists, Businesspeople from Minnesota, Politicians from Minnesota, US Democratic Party politicians, LGBT businesspeople, LGBT politicians, Gay men, Politicians from San Francisco, Businesspeople from San Francisco
George Smiley	Fictional British people, Characters in written fiction, Fictional characters introduced in 1961
Intelligence officer	Spies, Researchers
Angelica Schuyler Church	1756 births, 1814 deaths, History, Socialites, People from Albany, New York
Flag of Montserrat	National flags, Montserrat
All This and Rabbit Stew	1941 movies, English-language movies, American movies
Nectanebo II	Pharaohs
Murder of Jo Cox	June 2016 events, Terrorist incidents in 2016, Murder in 2016, 2010s murders in the United Kingdom, Murders by firearm in England
Calcutta (1947 movie)	1947 movies, 1940s crime movies, 1940s thriller movies, American crime thriller movies, Movies directed by John Farrow
Jolly Fellows	1934 movies, 1930s musical movies, 1930s comedy movies, Russian movies, Movies directed by Grigori Aleksandrov
Encounter at the Elbe	1949 movies, 1940s war movies, Russian movies, World War II movies, Movies directed by Grigori Aleksandrov
Two Cars, One Night	2004 drama movies, Short movies, New Zealand movies, Movies directed by Taika Waititi
New Mexico Legislature	New Mexico, State legislatures of the United States
The Passion of Joan of Arc	1928 movies, 1920s drama movies, French drama movies, Silent movies, Movies directed by Carl Theodor Dreyer
Easter Parade	1948 movies, 1940s musical movies, American musical movies, MGM movies, Movies directed by Charles Walters
Texas Legislature	Texas, State legislatures of the United States, 1836 establishments in the United States, 1830s establishments in Texas
Texas House of Representatives	Texas, State lower houses in the United States
Texas Senate	Texas, State upper houses in the United States
G. Kishan Reddy	1960 births, Indian politicians, Bharatiya Janata Party politicians, Living people
Names of Vietnam	History of Vietnam
Nityanand Rai	1966 births, Bharatiya Janata Party politicians, Indian politicians, Living people
Kiren Rijiju	1971 births, Indian politicians, Indian lawyers, Bharatiya Janata Party politicians, Living people
Lidar	Measuring tools, Meteorology, Sensory system
Eemsdelta	Eemsdelta, 2020s establishments in the Netherlands, 21st-century establishments in Europe
Manchester Grammar School	1510s establishments in England, 1515 establishments, Grammar schools in England, Manchester
Congo (chimpanzee)	1954 births, 1964 deaths, Individual animals, Artists
BabyFirst	American television networks, 2006 establishments in the United States
Publix	20th-century establishments in Florida, 1930 establishments in the United States, Supermarkets of the United States
Hass avocado	Avocados
The Lion Guard	The Lion King
Tinga Tinga Tales	2010 British television series debuts, 2011 British television series endings, Kenya, BBC Television programmes, Animated television series, CBeebies
Tumanay Khan	Mongolian people, 11th century births
Tang Wei	1979 births, Chinese movie actors, Chinese television actors, Living people
Frontonia	Ciliates
Friedrich Wilhelm von Steuben	1730 births, 1794 deaths, German military people, American military people, American Revolutionary War, LGBT military people
Muladi	1943 births, 2020 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians, Judges, Academics
Narendra Kumar (mountaineer)	1933 births, 2020 deaths, Indian military people, Mountain climbers
Zett Jukassa	Star Wars characters
Classical architecture	Architecture
Da Boom	Family Guy episodes, 1999 television episodes
Universal Basic Income	Politics
Admiral Ackbar	Fictional characters introduced in the 1980s, Star Wars characters, Star Wars Skywalker Saga characters
Mon Cala	Star Wars planets
Mon Calamari	Star Wars species
Margaret, Maid of Norway	Norwegian people, Kings and Queens of Scotland, 1283 births, 1290 deaths
Domrémy-la-Pucelle	Communes in Vosges
Verona, Pennsylvania	Boroughs in Pennsylvania
Essey-lès-Nancy	Communes in Meurthe-et-Moselle
Cyberpunk 2077	2020 video games
Groupe BPCE	2009 establishments
Carlos do Carmo	1939 births, 2021 deaths, Portuguese singers, Deaths from aneurysm, People from Lisbon, Eurovision Song Contest entrants
Leith Mullings	1945 births, 2020 deaths, American anthropologists, Jamaican people, Naturalized citizens of the United States, American academics, Writers from New York City, Scientists from New York City, Cancer deaths in New York City
Franck Balandier	1952 births, 2020 deaths, French novelists, French poets
Lorraine Monk	1922 births, 2020 deaths
Yvonne Sandberg-Fries	1950 births, 2020 deaths, Former MEPs, Swedish politicians
Arnold Wolfendale	1927 births, 2020 deaths, British astronomers, People from Warwickshire
Ernst Schütz	1935 births, 2020 deaths, Austrian singers, Austrian movie actors, Austrian stage actors
George Spriggs (baseball)	1937 births, 2020 deaths, Pittsburgh Pirates players, Kansas City Royals players, Sportspeople from Maryland
Irani Barbosa	1950 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian politicians
Issaka Assane Karanta	1945 births, 2020 deaths, Nigerien people, Mayors, African politicians, Academics, Deaths from the COVID-19 pandemic
Djalma Bastos de Morais	1937 births, 2020 deaths, Brazilian politicians, Deaths from the COVID-19 pandemic in Brazil, Brazilian businesspeople
Deputy Prime Minister of India	Indian Deputy Prime Ministers
George Robert Carruthers	1939 births, 2020 deaths, American inventors, American physicists, Engineers from Ohio, Scientists from Cincinnati, Ohio
Rocco Petrone	1926 births, 2006 deaths, Deaths from diabetes, Engineers from New York, Scientists from New York
Palos Verdes Estates, California	Cities in California, Settlements in Los Angeles County, California
James Bordas	1929 births, 2020 deaths, French mayors
Chambray-lès-Tours	Communes in Indre-et-Loire
Paul Heller	Movie producers from New York City, 1927 births, 2020 deaths
John Fulton Reid	1956 births, 2020 deaths, Deaths from cancer, New Zealand cricketers
Claude Bolling	1930 births, 2020 deaths, French pianists, French composers, French movie actors, People from Cannes
Agitu Ideo Gudeta	1978 births, 2020 deaths, Ethiopian people, African businesspeople, Environmentalists, Deaths by beating, Crime victims
Gregory Ochiagha	1931 births, 2020 deaths, Roman Catholic bishops, Nigerian people
John Paul Jr. (racing driver)	1960 births, 2020 deaths, American criminals, American racecar drivers, Sportspeople from Indiana, Deaths from neurodegenerative disease, People from Muncie, Indiana
Geoffrey Robinson (bishop)	1937 births, 2020 deaths, Cancer deaths in Sydney, Australian Roman Catholics, Roman Catholic bishops, People from Sydney
MPLA	20th-century establishments in Angola, 1956 establishments in Africa, Communist parties, National liberation movements, Social democratic parties, Socialist International
Aldo Andretti	1940 births, 2020 deaths, Naturalized citizens of the United States, Italian racecar drivers, American racecar drivers, Sportspeople from Indianapolis, Indiana, Businesspeople from Indianapolis, Indiana
Guillem Areny	1930s births, 2020 deaths, Andorran people, European politicians
General Council (Andorra)	Andorra
Jos Compaan	1958 births, 2020 deaths, Dutch Olympians, Rowers
Josep Corominas i Busqueta	1939 births, 2020 deaths, Spanish politicians, Spanish physicians
Andrew Han Jingtao	1921 births, 2020 deaths, Roman Catholic bishops, Chinese people
Samuel Little	1940 births, 2020 deaths, People who died in prison custody in the United States, American serial killers, American rapists, People from Georgia (U.S. state)
Reynolds, Georgia	Towns in Georgia (U.S. state)
Yehoshua Matza	1931 births, 2020 deaths, Israeli politicians, Israeli businesspeople, Economists, People from Jerusalem
Martha Navarro	1937 births, 2020 deaths, Mexican movie actors, Mexican television actors, Mexican stage actors, Actors from Mexico City
Panusunan Pasaribu	1946 births, 2020 deaths, Indonesian politicians
Alto Reed	1948 births, 2020 deaths, Deaths from colorectal cancer, American jazz musicians, American rock musicians, American pop musicians, American funk musicians, American saxophonists, Musicians from Detroit, Michigan
Shabba Doo	1955 births, 2020 deaths, American choreographers, American dancers, American movie actors, Actors from Chicago
LaWanna Shurtliff	1935 births, 2020 deaths, Deaths from pneumonia, State legislators of the United States, Politicians from Wyoming, Politicians from Utah, People from Ogden, Utah, US Democratic Party politicians
Alexander Spirin	1931 births, 2020 deaths, Russian chemists
Eugene Wright	1923 births, 2020 deaths, American bass guitarists, American jazz musicians, Musicians from Chicago
Grace L. Drake	1926 births, 2020 deaths, State legislators of the United States, Politicians from Ohio, Politicians from Connecticut, US Republican Party politicians
Jolanta Fedak	1960 births, 2020 deaths, Polish politicians
Michael Kindo	1947 births, 2020 deaths, Indian Olympic bronze medalists, Field hockey players
Olivier Royant	French journalists, 1962 births, 2020 deaths
Narsing Yadav	1968 births, 2020 deaths, Deaths from kidney disease, Indian movie actors, Indian television actors, Indian comedians
Roy B. B. Janis	1957 births, 2020 deaths, Indonesian politicians
Muhammad Arif (Indonesian politician)	1976 births, 2021 deaths, Indonesian politicians, Deaths from myocardial infarction
Traude Dierdorf	1947 births, 2021 deaths, Mayors, Austrian politicians
Mark Eden	1928 births, 2021 deaths, Deaths from Alzheimer's disease, English television actors, English movie actors, English stage actors, Actors from London
Dan Fogler	1976 births, Living people, Tony Award winning actors, American movie actors, American stage actors, American television actors, American voice actors, Actors from New York City, Writers from New York City, Comedians from New York City
Charles Osgood	1933 births, Living people, American voice actors, American television news anchors, American radio personalities, Television personalities from New York City, Actors from New York City
Niecy Nash	1970 births, Living people, American movie actors, American television actors, American voice actors, American television producers, American television presenters, Models from California, Actors from California, Businesspeople from California, Television personalities from California, Comedians from California
2020 Aden attacks	2020 crimes in Asia, 2020s explosions in Asia, 21st century in Yemen, Attacks on buildings and structures in Asia, Attacks on buildings and structures in the 2020s, December 2020 events, Explosions in 2020, Mass shootings in Asia, Mass shootings in the 2020s, Terrorist incidents in 2020, Terrorist incidents in Asia in the 2020s
Aden International Airport	Yemen, Airports in Asia
Dangerous Lies (2020 movie)	2020 movies, 2020s thriller movies, Netflix movies, American thriller movies, Movies set in Chicago, Illinois
Bryan Greenberg	1978 births, Living people, Jewish American actors, American movie actors, American television actors, American voice actors, American stage actors, Actors from Omaha, Nebraska, Singers from Omaha, Nebraska, Actors from St. Louis, Missouri, Singers from St. Louis, Missouri
34+35	Ariana Grande songs, 2020 songs, Songs about sexuality, 2021 songs
Victoria Monét	1993 births, Living people, American singer-songwriters, American pop singers, American R&B singers, Singers from Georgia (U.S. state), Writers from Georgia (U.S. state), Singers from Sacramento, California, Writers from Sacramento, California
Jabba the Hutt	Fictional characters introduced in 1977, Fictional characters introduced in 1983, Star Wars characters, Star Wars Skywalker Saga characters, Supervillains
Regulations for the Order and Discipline of the Troops of the United States	American Revolutionary War, Books
Blue Book	Disambiguation pages
European Investment Bank	1958 establishments in Europe, Companies of Europe, Banks, European Union
Kelli Berglund	1996 births, American television actors, American movie actors, American child actors, Actors from California, Living people
Colour by Numbers	1983 albums
Dies irae	13th century, Catholicism, Christian hymns, Poems, Latin language
Michael Nunn	1963 births, Sportspeople from Iowa, People from Davenport, Iowa, African-American boxers, Living people
Louis Blanc	1811 births, 1882 deaths, French politicians, French historians, French socialists, French essayists, French Roman Catholics, People from Madrid
Hutt	Star Wars species
2058	2058, Years in the future
2059	2059, Years in the future
2060	2060, Years in the future
2062	2062, Years in the future
2061	2061, Years in the future
2063	2063, Years in the future
2064	2064, Years in the future
2065	2065, Years in the future
2066	2066, Years in the future
2067	2067, Years in the future
2068	2068, Years in the future
Lumpenproletariat	Marxism, Social groups
Evermore (Taylor Swift album)	2020 albums, Taylor Swift
Trafficking of children	Child abuse, Slavery
Forced marriage	Marriage
Kepler-69c	Exoplanets
Base and superstructure	Marxism, Society
27th century	3rd millennium, Centuries
Jakku	Star Wars planets
NARAL Pro-Choice America	Non-profit organizations of the United States, 1969 establishments in the United States
IG-88	Fictional characters introduced in the 1980s, Star Wars characters
Papurana	Frogs, Animals of Australia, Animals of Oceania
Bossk	Star Wars characters
Trandoshan	Star Wars species
Tralee	County towns in Ireland, County Kerry
Munster Technological University	21st century establishments in the Republic of Ireland, 2020s establishments in Europe, 2021 establishments, Colleges and universities in Europe, Buildings and structures in Ireland
Aaron Neville	1941 births, African-American singers, American R&B musicians, American soul musicians, Singers from New Orleans, Louisiana, Living people
Gala	Apples
Connie Smith	1941 births, Singers from Indiana, Singers from Cincinnati, Ohio, Singers from West Virginia, American country singers, Living people, People from Elkhart, Indiana
Calvin Hill	1947 births, Sportspeople from Baltimore, Maryland, American football running backs, Living people
Joan Micklin Silver	1935 births, 2020 deaths, Deaths from vascular dementia, American movie directors, American screenwriters, Writers from Omaha, Nebraska
Dušan Jovanović (theatre director)	1939 births, 2020 deaths, Slovenian people, Theatre directors, Playwrights, Essayists
Joe Neal	1935 births, 2020 deaths, State legislators of the United States, Politicians from Louisiana, Politicians from Nevada, US Democratic Party politicians
Mound, Louisiana	Villages in Louisiana
Stephanie Beacham	1947 births, English television actors, English stage actors, English radio actors, English movie actors, Actors from London, Living people
Ben Chafin	1960 births, 2021 deaths, State legislators of the United States, Politicians from Virginia, US Republican Party politicians, Deaths from the COVID-19 pandemic in the United States
Isolation for the purpose of abuse	Psychology
Divide and conquer	Politics
Taye Diggs	1971 births, African American actors, American musical theatre actors, American movie actors, American television actors, Actors from Newark, New Jersey, Living people
Smear campaign	Politics, Sociology
Class consciousness	Marxism, Society
Carlos Escudé	1948 births, 2021 deaths, Deaths from the COVID-19 pandemic in Argentina, Academics, Writers from Buenos Aires
Bernard Guignedoux	1947 births, 2021 deaths, French footballers, French football managers
Saint-Germain-en-Laye	Communes in Yvelines, Subprefectures in France
Mohammad-Taqi Mesbah-Yazdi	1935 births, 2021 deaths, Iranian politicians, Philosophers
Vladimir Korenev	1940 births, 2021 deaths, Deaths from the COVID-19 pandemic in Russia, Russian movie actors, Russian stage actors, Soviet movie actors, Russian educators
June 1962 Alcatraz escape attempt	1960s crimes, Crime in California, June events, 1962 in the United States, 1960s in California, San Francisco Bay Area
Allison Miller	1985 births, Living people, American movie actors, American television actors, American voice actors, Actors from Rome
Josie Loren	1987 births, Living people, American movie actors, American television actors, American voice actors, Actors from Miami, Florida
Thomas Lennon	1970 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American novelists, American television producers, American television directors, Comedians from Illinois, Screenwriters from Illinois, Actors from Illinois, People from Oak Park, Illinois
MF Doom	1971 births, 2020 deaths, British rap musicians, American rap musicians, British songwriters, American songwriters, Record producers, Businesspeople from London, Writers from London, Musicians from London, Naturalized citizens of the United States
Jacques Golliet	1931 births, 2020 deaths, French mayors
Thônes	Communes in Haute-Savoie
Laurence Pope	1945 births, 2020 deaths, Ambassadors of the United States, Politicians from New Haven, Connecticut, US Democratic Party politicians, Deaths from cardiac arrest, Deaths from pancreatic cancer, Cancer deaths in the United States
Barry Austin	1968 births, 2021 deaths, People from West Midlands (county)
Marco Formentini (politician)	1930 births, 2021 deaths, MEPs for Italy, Former MEPs, Mayors, People from Milan
Pommard	Communes in Côte-d'Or
Meursault	Communes in Côte-d'Or
Wahid Hamed	1944 births, 2021 deaths, Deaths from myocardial infarction, Egyptian writers, Screenwriters
Yuri Saukh	1951 births, 2021 deaths, Soviet sportspeople, Russian footballers, Russian football managers
FC Rotor Volgograd	20th century establishments in Russia, 1929 establishments in Europe, Russian football clubs, Volgograd
José Cleonâncio da Fonseca	1936 births, 2021 deaths, Brazilian politicians, Brazilian businesspeople
Michael McKevitt	1949 births, 2021 deaths, Deaths from cancer, Irish Republican Army, People from County Louth, Political activists, Provisional Irish Republican Army, Terrorists
Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media	Government ministers, Government of the Republic of Ireland
Department of Children, Equality, Disability, Integration and Youth	Ireland
Labour Party (Ireland)	20th century establishments in the Republic of Ireland, 1912 establishments in Europe, Political parties in Europe, Politics of Ireland
Galway West (Dáil constituency)	20th century establishments in the Republic of Ireland, 1937 establishments in Europe, Politics of Ireland
Modibo Keita (born 1942)	1942 births, 2021 deaths, Prime Ministers of Mali
Liam Reilly	1955 births, 2021 deaths, Irish singer-songwriters, Irish musicians, Keyboardists, Irish rock musicians, Irish pop singers, Eurovision Song Contest entrants
Dustin Higgs	1972 births, 2021 deaths, African-American people, American people executed for murder, Criminals from New York, People executed by lethal injection, People from Poughkeepsie, New York
Granite, Maryland	Unincorporated communities in Maryland
La Rochepot	Communes in Côte-d'Or
Boquim	Cities in Sergipe
2020 United States Senate election in Alabama	21st century in Alabama, 2020 United States Senate elections
2069	2069, Years in the future
National University of Colombia	1867 establishments, Colleges and universities
Busby Babes	Names, Association football
Emma's Theatre	2000s Canadian television series, 2000s British television series, 2007 British television series debuts, 2009 British television series endings
Cree Cicchino	2002 births, American actors, Living people
Madisyn Shipman	2002 births, American actors
Kel Mitchell	1978 births, American actors
Jace Norman	2000 births, Living people, American actors
Ella Anderson	2005 births, American actors
Cass Timberlane	1947 movies, 1940s romance movies, 1940s drama movies, American romantic drama movies, Movies based on books, MGM movies, Movies directed by George Sidney
Raccoon Strait	Straits, Bodies of water of California, San Francisco Bay Area, Marin County, California
GNU Compiler Collection	Free software, Linux software
Mundamia	Settlements in New South Wales
African Continental Free Trade Area	Politics of Africa, January 2021 events
Cuban convertible peso	Currency of North America, Cuba
Cuban peso	Currency of North America, Cuba
Pennsylvania General Assembly	State legislatures of the United States, Pennsylvania
São José do Rio Preto	Cities in São Paulo (state)
Papurana milleti	Animals of Oceania, Frogs
2018 Alabama gubernatorial election	Elections in the United States, November 2018 events, Alabama
Nadia Sayers	Beauty pageant winners, 1994 births, Living people, People from the Republic of Ireland, Irish people
Clint Boulton	1948 births, 2021 deaths, English footballers, People from Stoke-on-Trent, Sportspeople from Staffordshire
Flag alphabet	Flags
Floyd Little	1942 births, 2021 deaths, Cancer deaths in the United States, Denver Broncos players, Sportspeople from New Haven, Connecticut
Arsenio Lope Huerta	1943 births, 2021 deaths, Spanish politicians, Spanish writers, Spanish economists, Spanish lawyers
Mike Reese (Pennsylvania politician)	1978 births, 2021 deaths, State legislators of the United States, Politicians from Pennsylvania, US Republican Party politicians
Mount Pleasant Township, Westmoreland County, Pennsylvania	Townships in Pennsylvania
Mount Pleasant, Pennsylvania	Boroughs in Pennsylvania
Trent University	1964 establishments in Canada, Colleges and universities in Canada, Ontario
Rudolf Vatinyan	Armenian people, Cinematographers, 1941 births, 2021 deaths
Fatty liver disease	Diseases
Anna Richardson	1970 births, Living people, Bisexual people, Channel 4 presenters, English journalists, English LGBT people, English television presenters, English television producers, People from Shropshire
Andrew Ridgeley	1963 births, Living people, English rock singers, English rock guitarists, English singer-songwriters, English pop singers, English pop musicians, Musicians from Surrey, Singers from Surrey, Writers from Surrey
Paul Westphal	1950 births, 2021 deaths, Deaths from glioblastoma, Boston Celtics players, Phoenix Suns players, Seattle SuperSonics players, New York Knicks players, Sportspeople from California, Sportspeople from Arizona, People from Scottsdale, Arizona, American sports commentators, National Basketball Association coaches, Cancer deaths in Arizona
Emily Tyra	1987 births, Living people, People with cancer, American movie actors, American television actors, American stage actors, American dancers, Singers from Minneapolis, Minnesota, Actors from Minneapolis, Minnesota
Tiger Shroff	Living people, 1990 births, Indian movie actors, Taekwondo practitioners, Actors from Mumbai
Autun	Communes in Saône-et-Loire, Subprefectures in France
Raúl Baglini	1949 births, 2021 deaths, Deaths from respiratory failure, Argentine politicians, Argentine lawyers
Don Salls	1919 births, 2021 deaths, American football players, American football coaches, Sportspeople from Alabama, Sportspeople from New Jersey, People from Trenton, New Jersey, American centenarians, Purple Heart recipients
David Toland	Living people, 1970s births, Lieutenant Governors of Kansas, US Democratic Party politicians
Young Kim	1962 births, Living people, United States representatives from California, South Korean politicians, US Republican Party politicians, Naturalized citizens of the United States
Ham, Somme	Communes in Somme
Michelle Steel	1955 births, Living people, Naturalized citizens of the United States, South Korean politicians, United States representatives from California, US Republican Party politicians, People from Seoul
Sara Jacobs	1989 births, Living people, United States representatives from California, US Democratic Party politicians
Lauren Boebert	1986 births, Living people, United States representatives from Colorado, American political activists, Businesspeople from Colorado, Businesspeople from Florida, Politicians from Florida, US Republican Party politicians
Kat Cammack	1988 births, Living people, United States representatives from Florida, Politicians from Denver, Colorado, US Republican Party politicians
Nikema Williams	1978 births, Living people, United States representatives from Georgia, People from Columbus, Georgia, US Democratic Party politicians
Carolyn Bourdeaux	1970 births, Living people, United States representatives from Georgia, US Democratic Party politicians, Politicians from Virginia, American academics
Sun Qiaolu	Chinese television actors, 1995 births, 2021 deaths, Chinese businesspeople, Deaths from myocardial infarction
Byron Donalds	1978 births, Living people, United States representatives from Florida, Politicians from New York City, US Republican Party politicians, Businesspeople from Florida, Businesspeople from New York City
Marjorie Taylor Greene	1974 births, Living people, United States representatives from Georgia, US Republican Party politicians, Businesspeople from Georgia (U.S. state)
Kai Kahele	1974 births, Living people, United States representatives from Hawaii, US Democratic Party politicians, American educators
Mary Miller (politician)	1959 births, Living people, United States representatives from Illinois, US Republican Party politicians, People from Naperville, Illinois
Mariannette Miller-Meeks	1955 births, Living people, American physicians, United States representatives from Iowa, Politicians from California, US Republican Party politicians
Chloe Dykstra	1988 births, Models from Los Angeles, California, American television actors, Actors from Los Angeles, California, Living people
Herlong, California	Census-designated places in California, Settlements in Lassen County, California
Dave Loebsack	1952 births, Living people, United States representatives from Iowa, American political scientists, American educators, People from Sioux City, Iowa, US Democratic Party politicians
Victoria Spartz	1978 births, Living people, Naturalized citizens of the United States, United States representatives from Indiana, Ukrainian politicians, US Republican Party politicians
Lisa McClain	1966 births, Living people, United States representatives from Michigan, US Republican Party politicians
Stockbridge, Michigan	Villages in Michigan
Stockbridge Township, Michigan	Townships in Michigan
Collin Peterson	1944 births, Living people, United States representatives from Minnesota, People from Fargo, North Dakota, Politicians from North Dakota, US Democratic Party politicians
Yvette Herrell	1964 births, Living people, United States representatives from New Mexico, US Republican Party politicians
Rebecca Rittenhouse	1988 births, American television actors, American movie actors, Actors from Los Angeles, California, Living people
Ruidoso, New Mexico	Villages in New Mexico
Xochitl Torres Small	1984 births, Living people, American lawyers, United States representatives from New Mexico, Politicians from Portland, Oregon, US Democratic Party politicians
Teresa Leger Fernandez	1959 births, Living people, United States representatives from New Mexico, US Democratic Party politicians, Politicians from Las Vegas, Nevada
Nicole Malliotakis	1980 births, Living people, United States representatives from New York, Politicians from New York City, US Democratic Party politicians
Ancelle	Communes in Hautes-Alpes
Max Rose	1986 births, Living people, United States representatives from New York, Jewish American politicians, Politicians from New York City, US Democratic Party politicians
Deborah K. Ross	1963 births, Living people, United States representatives from North Carolina, Politicians from Philadelphia, Pennsylvania, US Democratic Party politicians
Kathy Manning	1956 births, Living people, American lawyers, United States representatives from North Carolina, Politicians from Detroit, Michigan, US Democratic Party politicians
Nancy Mace	1977 births, Living people, United States representatives from South Carolina, Politicians from North Carolina, Businesspeople from South Carolina, Businesspeople from North Carolina, Writers from North Carolina, Writers from South Carolina, US Republican Party politicians, South Carolina Republicans
Diana Harshbarger	1960 births, Living people, United States representatives from Tennessee, US Republican Party politicians
Beth Van Duyne	1970s births, Living people, United States representatives from Texas, American mayors, People from Irving, Texas, People from Ithaca, New York, Businesspeople from New York, Politicians from New York, Businesspeople from Texas, US Republican Party politicians
Burgess Owens	1951 births, Living people, New York Jets players, Oakland Raiders players, United States representatives from Utah, Politicians from Ohio, Businesspeople from Ohio, Sportspeople from Ohio, Businesspeople from Utah, Sportspeople from Utah, American football safeties, US Republican Party politicians, People from Columbus, Ohio
Kelly Marie Tran	1989 births, American television actors, American movie actors, Actors from San Diego, California, Living people
Marilyn Strickland	1962 births, Living people, Naturalized citizens of the United States, United States representatives from Washington, American mayors, South Korean politicians, People from Tacoma, Washington, US Democratic Party politicians, People from Seoul, Businesspeople from Washington, South Korean businesspeople
Rosa DeLauro	1943 births, Living people, United States representatives from Connecticut, Politicians from New Haven, Connecticut, US Democratic Party politicians
Gregory Meeks	1953 births, Living people, United States representatives from New York, Politicians from New York City, US Democratic Party politicians
Katherine Clark	1963 births, Living people, United States representatives from Massachusetts, Politicians from New Haven, Connecticut, US Democratic Party politicians
Pepperdine University	1930s establishments in California, 1937 establishments in the United States, Colleges and universities in California, Malibu, California
