Mametz, Somme	Former communes in Somme
Jackie (2016 movie)	John F. Kennedy, 2010s biographical movies, 2016 drama movies, American biographical movies, American drama movies, English-language movies, Movies set in the 1960s, Movies set in Washington, D.C., Movies set in Massachusetts
Jamaican dollar	Currency of South America, Jamaica
Franco Battiato	1945 births, 2021 deaths, Italian singers, Italian composers, Italian writers, Songwriters, Italian movie directors, People from Sicily, Italian painters, Italian musicians, Eurovision Song Contest entrants
Kingdom of Sicily	Sicily
Manuel Blanco Encalada	1790s births, 1876 deaths, Chilean military people, Chilean politicians, Presidents of Chile
Colette (2013 movie)	2013 drama movies, 2010s war movies, 2010s biographical movies, Slovakian movies, Czech movies, Dutch drama movies, World War II movies, Movies directed by Milan Cieslar
Kepler-16b	Exoplanets
Dendropsophus delarivai	Frogs, Animals of South America
Happy New Year (2014 movie)	2014 action movies, 2014 comedy movies, Indian movies
Filet Mignon	Cuts of beef
Strip steak	Cuts of beef
Flank steak	Cuts of beef
Avocado oil	Cooking oils, Avocados
D♭(musical note)	Musical notes
Boatsetter	2012 establishments in the United States, 2010s establishments in Florida, Companies of the United States
U.S. Route 425	Roads in the United States
Suleiman Abba	1959 births, Living people, Police officers, Nigerian people
Ahmed Makarfi	1956 births, Living people, Nigerian politicians
Umar Farouk Ahmed	Nigerian military people
The Man from G.R.A.M.P.A.	The Simpsons (season 32) episodes, 2021 in entertainment
9Go!	2009 establishments in Australia, Television channels
Negro leagues	African-American history, Baseball leagues, History of baseball
Curlew	Charadriiformes
National Republican Convention	Nigeria, Political parties in Africa
List of cities in Kenya	Lists of cities in Africa, Lists of cities by country, Cities in Kenya
Leader of the New Zealand Labour Party	New Zealand politicians
Kelvin Davis (politician)	Living people, 1967 births, New Zealand politicians
Andrew Little (New Zealand politician)	1965 births, Living people, Leaders of the Opposition (New Zealand)
Deputy Leader of the New Zealand Labour Party	New Zealand politicians
Annette King	1947 births, Living people, New Zealand politicians
Mount Albert (New Zealand electorate)	New Zealand electorates
David Shearer	1957 births, Living people, Leaders of the Opposition (New Zealand)
List MP	Politics
Raymond Huo	1964 births, Living people, New Zealand politicians
Clarke Gayford	1976 births, Living people, Jacinda Ardern, Television presenters, New Zealand radio personalities
Ross Ardern	1954 births, Living people, Jacinda Ardern, Police officers, New Zealand politicians
Premier House	Prime Ministers of New Zealand
University of Waikato	1960s establishments in New Zealand, 1964 establishments, Colleges and universities
Morrinsville	Towns in New Zealand
Murupara	Towns in New Zealand
Cabinet Office	United Kingdom
International Union of Socialist Youth	1907 establishments, International organizations
2008 New Zealand general election	2008 elections, 21st century in Oceania, Elections in New Zealand, November 2008 events
New Zealand electorates	New Zealand electorates
2017 Mount Albert by-election	2017 elections, 2010s in New Zealand, Elections in New Zealand, February 2017 events, Jacinda Ardern
Julie Anne Genter	1979 births, Living people, New Zealand politicians, Politicians from Minnesota, People from Rochester, Minnesota
New Zealand First	1990s establishments in New Zealand, 1993 establishments, Political parties in New Zealand
Green Party of Aotearoa New Zealand	1990s establishments in New Zealand, 1990 establishments, Political parties in New Zealand
New Zealand property bubble	New Zealand
Child poverty	Poverty
Social inequality	Politics
Public relations	Business
Harry Duynhoven	1955 births, Living people, New Zealand politicians
1999 New Zealand general election	1999 elections, 20th century in Oceania, Elections in New Zealand, November events
New Zealand Young Labour	New Zealand
Waikato (New Zealand electorate)	New Zealand electorates
TVNZ	20th-century establishments in New Zealand, Television networks, 1980 establishments in Oceania
Breakfast (New Zealand TV programme)	New Zealand
Auckland Central (New Zealand electorate)	New Zealand electorates
2011 New Zealand general election	2011 elections, 2010s in New Zealand, Elections in New Zealand, November events
2014 New Zealand general election	2014 elections, 2010s in New Zealand, Elections in New Zealand, September 2014 events
Nikki Kaye	1980 births, Living people, New Zealand politicians, People from Auckland, Breast cancer survivors
Denise Roche	1963 births, Living people, New Zealand politicians
Sandinista National Liberation Front	Political parties in South America, Nicaragua
Leima Linthoingambi	History of Manipur, Manipur
Maharani Kumudini	History of Manipur, Manipur
2017 New Zealand Labour Party leadership election	2017 elections, 2010s in New Zealand, Elections in New Zealand, August 2017 events, Jacinda Ardern
Steven Joyce	1963 births, Living people, New Zealand politicians
University of Auckland	19th-century establishments in New Zealand, 1883 establishments, Colleges and universities, Auckland
Minister of Foreign Affairs (New Zealand)	New Zealand
Nanaia Mahuta	1970 births, Living people, New Zealand politicians, People from Auckland
Council of Women World Leaders	International organizations
Edward Stafford (politician)	1819 births, 1901 deaths, People from Edinburgh, Prime Ministers of New Zealand
Capital gains tax	Taxation
Women in the history of Manipur kingdom	History of Manipur
Waitangi, Northland	Settlements in New Zealand
Waitangi Day	New Zealand
Marae	Maori
The Spinoff	Newspapers, New Zealand
Comprehensive and Progressive Agreement for Trans-Pacific Partnership	Trade
Xinjiang internment camps	Prisons, China, Xinjiang
Rohingya genocide	Genocide
Gun buyback program	Legislation
Community centre	Public services
Assault weapon	Weapons
Christchurch Call to Action Summit	Jacinda Ardern
COVID-19 lockdowns	COVID-19 pandemic
Carbon neutrality	Climate change
Hybrid vehicle	Vehicles
Māori Party	2000s establishments in New Zealand, 2004 establishments, Political parties in New Zealand
ACT New Zealand	1990s establishments in New Zealand, 1994 establishments in Oceania, Political parties in New Zealand
Novavax	20th-century establishments in Maryland, 1987 establishments in the United States, Companies of the United States, Montgomery County, Maryland
Zhao Lijian	1972 births, Living people, Chinese politicians
Suhayra Aden	1995 births, Living people, New Zealand people
British Vogue	1910s establishments in the United Kingdom, 1916 establishments in Europe, Magazines of the United Kingdom, Fashion magazines
Time 100	People
Italian lira	Former currencies of Europe, Italy
Grape juice	Fruit juices
Prospect (magazine)	1995 establishments in the United Kingdom, Magazines of the United Kingdom
Wētā	Insects, Animals of New Zealand
Hemiandrus jacinda	Jacinda Ardern, Insects, Animals of Oceania
Mecodema jacinda	Beetles, Animals of Oceania
Whanganui	Cities in New Zealand
Hamish McDouall	Living people, Mayors, New Zealand politicians, Jacinda Ardern
Shane Ardern	1960 births, Living people, New Zealand politicians
Māori electorates	Maori, New Zealand electorates
Marriage (Definition of Marriage) Amendment Act 2013	New Zealand
Crimes Act 1961	New Zealand
Abortion Legislation Act 2020	New Zealand, Abortion
Two-state solution	New Zealand
2018–2019 Gaza border protests	Israel, Palestine
Ritz Crackers	Snack foods, Breads
Epidemiology of HIV/AIDS	Epidemiology, HIV/AIDS
Sybil (cat)	Individual cats, Chief Mouser
Baba Fingo	Folklore, Roma
The Gap Band	Singers from Tulsa, Oklahoma, American R&B singers, 1974 establishments in the United States, 2010 disestablishments
Dendropsophus ozzyi	Frogs, Animals of South America
Old Bawn	Towns in Ireland
Pollinator	Symbiosis, Insects, Beekeeping, Ecology, Plant physiology
Irish migration to Great Britain	Ethnic groups in the United Kingdom
Gengan Tonaki	1884 births, 1997 deaths, Japanese supercentenarians, People from Okinawa Prefecture
French migration to the United Kingdom	Ethnic groups in the United Kingdom
Meitei families and their serving respective pantheons	Meitei culture, History of Manipur
George Little (New Brunswick politician)	1937 births, 2021 deaths
Cyclone Tauktae	2021 in Asia, 2020s disasters in Asia, 2020s in India, 21st century in Pakistan, Disasters in India, May 2021 events, Natural disasters in Asia
Darwin's Arch	Galápagos Islands
Lee Evans (sprinter)	1947 births, 2021 deaths, American track and field athletes, American Olympic gold medalists, American civil rights activists, Sportspeople from California, People with cancer, Deaths from stroke
Jason Derek Brown	People from Los Angeles, California, American robbers, American murderers, 1969 births, Living people
Styrian International	2020 establishments in Austria, Badminton, Sports competitions, Sport in Austria
Styrian motorcycle Grand Prix	2020 establishments in Austria, 2020 in sports, Motorcycling, Sport in Austria, Styria
Abujam	Meitei surnames
Ahanthem	Meitei surnames
Fox Kids Distribution	Fox, Disney
Aheibam	Meitei surnames
Akham	Meitei surnames
Akoijam	Meitei surnames
Amakcham	Meitei surnames
Amom	Meitei surnames
Angom	Meitei surnames
Angomjambam	Meitei surnames
Arambam	Meitei surnames
Aribam	Meitei surnames
Arubam	Meitei surnames
Asem	Meitei surnames
Athokpam	Meitei surnames
Atom (surname)	Meitei surnames
Ayekpam	Meitei surnames
Chabungbam	Meitei surnames
Chakpram	Meitei surnames
Chanambam	Meitei surnames
Chandam	Meitei surnames
Chingakham	Meitei surnames
Kentaro Miura	1966 births, 2021 deaths, Japanese manga artists, Deaths from aortic dissection
Chingangbam	Meitei surnames
Chingshubam	Meitei surnames
Aleksandr Privalov	1933 births, 2021 deaths, Soviet sportspeople, Soviet Olympic silver medalists
Chingsubam	Meitei surnames
Guillermo Sepúlveda	1934 births, 2021 deaths, Mexican footballers
Chingtham	Meitei surnames
Jeffrey R. Holland	1940 births, Living people, American educators, People from Utah
Chirom	Meitei surnames
Klymaxx	Musical groups from Los Angeles, California, American girl groups, African-American musical groups, 1979 establishments in the United States, Musical groups disestablished in 2013
Dieter F. Uchtdorf	1940 births, Living people, German businesspeople
Chongtham	Meitei surnames
Chungkham	Meitei surnames
Quentin L. Cook	1940 births, Living people, American lawyers, Businesspeople from Utah, People from Logan, Utah
Elam (surname)	Meitei surnames
Elangbam	Meitei surnames
Hanglem	Meitei surnames
Hanjabam	Meitei surnames
Haobam	Meitei surnames
Prime Minister of Samoa	Prime Ministers of Samoa
Tui Atua Tupua Tamasese Efi	1938 births, Living people, O le Ao o le Malo of Samoa, Prime Ministers of Samoa
Tuilaepa Aiono Sailele Malielegaoi	1945 births, Living people, Prime Ministers of Samoa, Current national leaders
Fiame Naomi Mataʻafa	Living people, 1957 births, Prime Ministers of Samoa, Current national leaders
O le Ao o le Malo	O le Ao o le Malo of Samoa
Tuimalealiifano Va'aletoa Sualauvi II	1947 births, Living people, O le Ao o le Malo of Samoa
Malietoa Tanumafili II	O le Ao o le Malo of Samoa, 1912 births, 2007 deaths, Deaths from myocardial infarction, Deaths from pneumonia
Tupua Tamasese Meaʻole	1905 births, O le Ao o le Malo of Samoa, 1963 deaths
Amy Fisher	Writers from New York, Criminals from New York, American pornographic actors, American people convicted of assault, Actors from New York, 1974 births, Living people
Haobijam	Meitei surnames
Hawaibam	Meitei surnames
Heigrujam	Meitei surnames
Heikrujam	Meitei surnames
Heisnam	Meitei surnames
Hemmam	Meitei surnames
Hidam	Meitei surnames
Hijam	Meitei surnames
Huidrom	Meitei surnames
Huiningshumbam	Meitei surnames
Huirem	Meitei surnames
Huirongbam	Meitei surnames
Ingudam	Meitei surnames
Janine Wissler	1981 births, Living people, German politicians, People from Hesse
Irengbam	Meitei surnames
Susanne Hennig-Wellsow	1977 births, Living people, German politicians
Irom	Meitei surnames
Dietmar Bartsch	1958 births, Living people, German politicians
Irungbam	Meitei surnames
Kakyenlakpam	Meitei surnames
2012 Arkansas Democratic presidential primary	2012 elections, 2012 in the United States, History of Arkansas, November events
Kangabam	Meitei surnames
Kangjam	Meitei surnames
Gerald R. Molen	1935 births, Living people, American movie producers, Businesspeople from Las Vegas, Nevada, Businesspeople from Montana, People from Great Falls, Montana, Academy Award winners
Conspiracy (criminal)	Law, Crime
Bobby Rydell	1942 births, Living people, American rock singers, American pop singers, American rock drummers, American pop musicians, American movie actors, Actors from Philadelphia, Pennsylvania, Singers from Philadelphia, Pennsylvania, Musicians from Philadelphia, Pennsylvania
Nausibius major	Polyphaga, Animals of North America
Match fixing	Sports, Organized crime
Sports betting	Sports, Organized crime
Prosciutto	Italian food, Ham
Alia Shawkat	1989 births, Living people, American actors
Kangujam	Meitei surnames
Karam	Meitei surnames
Kayenpaibam	Meitei surnames
Keisham	Meitei surnames
Keithellakpam	Meitei surnames
Khaidem	Meitei surnames
Khangembam	Meitei surnames
Germs Nerawareta Machi	PlayStation-only games, PlayStation games, 1999 video games, Horror video games, Adventure games, First-person video games, Survival video games, Japan exclusive video games
Khangjarakpam	Meitei surnames
Kharibam	Meitei surnames
Khoinaijam	Meitei surnames
Haimhausen	Dachau (district)
Hebertshausen	Dachau (district)
Hilgertshausen-Tandern	Dachau (district)
Icosane	Alkanes
Karlsfeld	Dachau (district)
Markt Indersdorf	Dachau (district)
Dwarf tree frog	Frogs, Animals of South America
Chuck steak	Cuts of beef
Gangster Disciples	People from Chicago, Gangs, 1968 establishments in the United States
Sirloin steak	Cuts of beef
World Taekwondo Grand Prix	Taekwondo competitions
Aditya Roy Kapur	1985 births, Indian movie actors, Living people, People from Mumbai, Punjabi people
European Taekwondo Championships	Taekwondo competitions
Rib eye steak	Cuts of beef
Odelzhausen	Dachau (district)
Tápiószentmárton	Villages in Hungary
Shama (TV series)	Television programs
Ayuba Wabba	1968 births, Living people, Activists, People from Lagos
Banks (singer)	1988 births, Singer-songwriters from California, American poets, People from Orange County, California, Living people
Baked potato	Baked foods, Potatoes
Portrait of Adele Bloch-Bauer I	20th century paintings, 1907, Supreme Court of the United States
Maritime science fiction	Science fiction
List of maritime science fiction works	Science fiction
Petershausen	Dachau (district)
Pfaffenhofen an der Glonn	Dachau (district)
Röhrmoos	Dachau (district)
Schwabhausen	Dachau (district)
Sulzemoos	Dachau (district)
Vierkirchen	Dachau (district)
Weichs	Dachau (district)
Imo State University	Colleges and universities in Africa, 1981 establishments, 1980s establishments in Africa
Gandia	Cities in Valencia (autonomous community), Municipalities in Valencia (autonomous community)
Auerbach in der Oberpfalz	Amberg-Sulzbach
Toshio Fukui	1947 births, Living people, People from Shiga Prefecture, Japanese musicians
Yuji Iwata	1946 births, Living people, People from Shiga Prefecture, Japanese musicians, Drummers
Shiro Okada	1949 births, Living people, People from Osaka Prefecture, Japanese guitarists
Hideto Maki	1950 births, Living people, Japanese singers
Ai Akamatsu	Japanese musicians, 1951 births, Living people, People from Hyōgo Prefecture
Yûsuke Natsu	1950 births, Japanese musicians, 2010 deaths
Hiroshi Koshikawa	1946 births, Living people, Japanese musicians
Keikichi Usui	1946 births, Living people
Tadao Oka	1948 births, Living people, Japanese musicians
Jiro Kitamura	1946 births, Living people, Japanese guitarists
Paul Okada	1947 births, People from Shiga Prefecture, Living people, Japanese singers
Aryan Nations	Terrorism, 1970s establishments in the United States
Khoinam	Meitei surnames
Khoirom	Meitei surnames
Khoisnam	Meitei surnames
Khomdram	Meitei surnames
American Nazi Party	Neo-Nazism, 1959 establishments in the United States, Political parties in the United States
Female gangs in the United States	Women, Gangs, Crime in the United States
Hombre (movie)	1967 movies, 1960s western movies, American western movies, 20th Century Fox movies, Movies based on books, Movies directed by Martin Ritt
Princess Elisabeth of Hesse and by Rhine (1864–1918)	German people
Amy Siskind	LGBT Jews, Lesbian feminists, Jewish feminists, Writers from New York, Writers from Massachusetts, Cornell University alumni, American political writers, Living people, 1965 births
Leeton, New South Wales	Towns in New South Wales
Tahir Salahov	1928 births, 2021 deaths, Soviet people, Azerbaijani people, Russian painters
Julie Su	1969 births, Living people, American lawyers, Politicians from Wisconsin, Businesspeople from Wisconsin, US Democratic Party politicians, Politicians from California, Businesspeople from California
Titanic Waltz	1964 comedy movies, Romanian movies, Movies based on plays, Movies directed by Paul Călinescu
Regina and Margaret DeFrancisco	Criminals from Chicago, American people convicted of murder, 2000 in the United States
When We're Born	2019 drama movies, Egyptian movies, Movies directed by Tamer Ezzat
Dendropsophus rhea	Frogs, Animals of South America
Hirschau	Amberg-Sulzbach
2020 Vermont Republican presidential primary	United States presidential primary elections, March 2020 events, 2020 in the United States, 2020 United States presidential election, History of Vermont
Schnaittenbach	Amberg-Sulzbach
Sulzbach-Rosenberg	Amberg-Sulzbach
Pain au chocolat	French food, Desserts, Breads
Biscotti	Cookies, Italian food
The Jaguars	Japanese musical groups, Musical groups established in 1964, 1964 establishments in Asia, 1960s establishments in Japan, 1971 disestablishments, Musical groups disestablished in the 1970s, 1970s disestablishments in Asia, 20th century disestablishments in Japan, Musical groups established in 1981, 1981 establishments in Japan, Musical groups disestablished in 2009, 2000s disestablishments in Asia, 21st century disestablishments in Japan
Khongbantabam	Meitei surnames
Jack Stauber	1996 births, Living people, Shorty Award winners, American YouTubers, American animators, American folk musicians, American pop musicians, Internet memes, American singer-songwriters
Khudrakpam	Meitei surnames
Khullem	Meitei surnames
Khumallambam	Meitei surnames
Khumanthem	Meitei surnames
Khumbongmayum	Meitei surnames
Khumujam	Meitei surnames
Khumukcham	Meitei surnames
Khundongbam	Meitei surnames
Khundrakpam	Meitei surnames
Khuraijam	Meitei surnames
Khuyenthem	Meitei surnames
Khwairampam	Meitei surnames
Koijam	Meitei surnames
Garlic butter	Butter, Garlic dishes, Spreads
Skirt steak	Cuts of beef
Mohadese Honarmand	1995 births, Living people, Karate, Iranian sportspeople
Visaginas	Cities in Lithuania
James Maslow	American actors, Living people, 1990 births
Hinduism in Indonesia	Hinduism by country
Industry, Texas	Cities in Texas
Mouse melon	Cucurbitaceae, Vegetables
Sealy, Texas	Cities in Texas
Framerville-Rainecourt	Communes in Somme
Framicourt	Communes in Somme
Francières, Somme	Communes in Somme
Ralph Puckett	1926 births, Living people, Medal of Honor recipients, American military personnel of the Korean War, People from Georgia (U.S. state)
Friedberg, Bavaria	Aichach-Friedberg
Chaim Herzog	1918 births, 1997 deaths, Presidents of Israel, Israeli generals, Israeli lawyers, Israeli writers, People from Belfast, Deaths from heart failure, Deaths from pneumonia
Adelzhausen	Aichach-Friedberg
Yitzhak Ben-Zvi	1884 births, 1963 deaths, Presidents of Israel, Israeli historians
Fransart	Communes in Somme
Zalman Shazar	1889 births, 1974 deaths, Presidents of Israel, Israeli writers, Poets
Fransu	Communes in Somme
Ephraim Katzir	1916 births, 2009 deaths, Presidents of Israel, Israeli scientists, Biophysicists, People from Kiev
Fransures	Communes in Somme
HaTzionim HaKlaliym	1920s establishments in Asia, 1960s disestablishments in Asia, Former political parties in Israel, Zionist parties
General Zionists	1920s establishments in Asia, 1960s disestablishments in Asia, Former political parties in Israel, Zionist parties
Lindy Thackston	1980 births, Living people, American television news anchors, People with cancer, People from Indiana
Jack Hanna	1947 births, Living people, American zoologists, Scientists from Tennessee, Scientists from Columbus, Ohio, People from Knoxville, Tennessee, People with Alzheimer's disease
Franvillers	Communes in Somme
Fresnes-Mazancourt	Communes in Somme
Fresnes-Tilloloy	Communes in Somme
Fresneville	Communes in Somme
Fresnoy-Andainville	Communes in Somme
The Company of Wolves	1984 horror movies, 1980s fantasy movies, British fantasy movies, British horror movies, Irish movies, Movies based on short stories, Movies directed by Neil Jordan
Jimmy Carter 1976 presidential campaign	United States presidential campaigns, Jimmy Carter
Ronald Reagan 1984 presidential campaign	Ronald Reagan, United States presidential campaigns
In the Name of the Father (1993 movie)	1993 drama movies, 1990s biographical movies, Irish movies, British biographical movies, British drama movies, Movies based on books, Movies directed by Jim Sheridan
Under the Dome (TV series)	2010s American drama television series, 2013 American television series debuts, 2015 American television series endings, English-language television programs
2008–09 Premier League	English football clubs, 2008 in sports, 2009 in sports
Ronald Reagan 1976 presidential campaign	1976 in the United States, Ronald Reagan, United States presidential campaigns
Taipei Zoo station	Railway stations in Taipei
Daran Norris	1964 births, Living people, American actors, American voice actors
The Weeknd discography	The Weeknd, Discographies
Affing	Aichach-Friedberg
Aindling	Aichach-Friedberg
Dr Sachin Bhardwaj	1987 births, Living people, Indian businesspeople, People from Haryana
Prisoners (2013 movie)	2013 drama movies, 2013 thriller movies, 2010s drama thriller movies, American drama thriller movies, Movies directed by Denis Villeneuve
Fresnoy-en-Chaussée	Communes in Somme
Fresnoy-lès-Roye	Communes in Somme
Fressenneville	Communes in Somme
Frohen-le-Grand	Former communes in Somme
Frohen-le-Petit	Former communes in Somme
Frohen-sur-Authie	Communes in Somme
Frise, Somme	Communes in Somme
To Grab the Ring	1968 movies, 1960s crime movies, Dutch movies, Movies directed by Nikolai van der Heyde
Daan metro station	Railway stations in Taipei
The Reenactment	1968 drama movies, Romanian movies, Movies based on books, Movies directed by Lucian Pintilie
Wild Arms	Video game series, Wild Arms
Zhongxiao Fuxing metro station	Railway stations in Taipei
Nanjing Fuxing metro station	Railway stations in Taipei
Francesc Arnau	1975 births, 2021 deaths, Spanish footballers, Spanish businesspeople
Yuan Longping	1930 births, 2021 deaths, Wolf Prize winners, Chinese academics, Chinese politicians, Chinese scientists, Researchers, People from Beijing, Accidental deaths from falls, Deaths from multiple organ failure
Thiago Silva	1984 births, Living people, Brazilian footballers, Chelsea F.C. players
Donal Logue	1966 births, Living people, Naturalized citizens of the United States, Canadian movie actors, American stage actors, American television actors, American voice actors, Canadian television actors, Canadian voice actors, Canadian stage actors, Irish movie actors, Irish television actors, Irish stage actors, Irish voice actors, Movie directors from California, Movie producers from California, Screenwriters from California, Writers from Oregon, Canadian movie directors, Canadian screenwriters, Canadian movie producers, Irish movie directors, Irish movie producers, Irish screenwriters, Writers from Ontario, Actors from Ottawa, Businesspeople from Oregon, Harvard University alumni
The Oak	1992 drama movies, Romanian movies, Movies directed by Lucian Pintilie
Laininghan Naoriya Phulo	Meitei people
Disappearance of Kyron Horman	2002 births, Missing people
San Agustin tree frog	Frogs, Animals of South America
The Night of Counting the Years	1969 drama movies, Egyptian movies
Siberia (1998 movie)	1998 comedy movies, Dutch comedy movies, Movies directed by Robert Jan Westdijk
Adele Bloch-Bauer	Austrian Jews, 1881 births, 1925 deaths, Socialites
Zhongshan Junior High School metro station	Railway stations in Taipei
Songshan Airport metro station	Railway stations in Taipei
Dazhi metro station	Railway stations in Taipei
Jiannan Road metro station	Railway stations in Taipei
Xihu metro station	Railway stations in Taipei
Gangqian metro station	Railway stations in Taipei
An Unforgettable Summer	1994 drama movies, Romanian movies, French drama movies, Movies directed by Lucian Pintilie
Wende metro station	Railway stations in Taipei
Neihu metro station	Railway stations in Taipei
Dahu Park metro station	Railway stations in Taipei
Huzhou metro station	Railway stations in Taipei
Donghu metro station	Railway stations in Taipei
Nangang Software Park metro station	Railway stations in Taipei
Taipei Nangang Exhibition Center metro station	Railway stations in Taipei
Microsoft Flight Simulator (2020 video game)	Simulator video games
Babak Khorramdin	Iranian writers, 1974 births, 2021 deaths
Mark Labbett	1965 births, Living people, English television personalities, People from Devon
Antiphon (music)	Music, Christianity
Antiphon the Sophist	Ancient Greek philosophers
Gauville, Somme	Communes in Somme
Gézaincourt	Communes in Somme
Glisy	Communes in Somme
Gorges, Somme	Communes in Somme
Goyencourt	Communes in Somme
Grandcourt, Somme	Communes in Somme
Grand-Laviers	Communes in Somme
Grébault-Mesnil	Communes in Somme
20 em 1	1995 video games, Master System games
Antiphon the Orator	Ancient Greek politicians, 480 BC, 411 BC
Hailles	Communes in Somme
Hallencourt	Communes in Somme
Hallivillers	Communes in Somme
Halloy-lès-Pernois	Communes in Somme
Hallu	Communes in Somme
Le Hamel, Somme	Communes in Somme
Zuzu Angel	1976 deaths, 1921 births, Fashion designers, Pages with unreviewed translations
Levitating	2020 songs, Dua Lipa songs, Funk music, Disco songs
Dasing	Aichach-Friedberg
Eurasburg, Swabia	Aichach-Friedberg
Inchenhofen	Aichach-Friedberg
Kühbach	Aichach-Friedberg
Merching	Aichach-Friedberg
Accident (1976 movie)	1976 movies, 1970s thriller movies, Romanian movies, Movies directed by Sergiu Nicolaescu
Mering	Aichach-Friedberg
Obergriesbach	Aichach-Friedberg
Petersdorf, Bavaria	Aichach-Friedberg
Pöttmes	Aichach-Friedberg
Rehling	Aichach-Friedberg
Marciana Marina	Settlements in Tuscany
Ried, Bavaria	Aichach-Friedberg
Schiltberg	Aichach-Friedberg
Schmiechen	Aichach-Friedberg
Hansi Flick	Association football midfielders, 1965 births, German footballers, German football managers, Sportspeople from Baden-Württemberg, People from Heidelberg, Living people
Sielenbach	Aichach-Friedberg
The Fixer (2016 movie)	2016 drama movies, Romanian movies, French drama movies, Movies directed by Adrian Sitaru
Steindorf	Aichach-Friedberg
Todtenweis	Aichach-Friedberg
Tamsui-Xinyi Line	Taipei, Railway stations
Taipei 101/World Trade Center metro station	Railway stations in Taipei
Xinyi Anhe metro station	Railway stations in Taipei
Daan Park metro station	Railway stations in Taipei
Dongmen metro station	Railway stations in Taipei
Chiang Kai-shek Memorial Hall metro station	Railway stations in Taipei
NTU Hospital metro station	Railway stations in Taipei
1999 Stanley Cup Finals	Stanley Cup Finals, Ice hockey in the United States, Dallas Stars
Taipei Main Station	Railway stations in Taipei
Zhongshan metro station	Railway stations in Taipei
Shuanglian metro station	Railway stations in Taipei
Minquan West Road metro station	Railway stations in Taipei
Yuanshan metro station	Railway stations in Taipei
Jiantan metro station	Railway stations in Taipei
Shilin metro station	Railway stations in Taipei
Zhishan metro station	Railway stations in Taipei
Mingde metro station	Railway stations in Taipei
Shipai metro station	Railway stations in Taipei
Qilian metro station	Railway stations in Taipei
Qiyan metro station	Railway stations in Taipei
Beitou metro station	Railway stations in Taipei
Fuxinggang metro station	Railway stations in Taipei
Zhongyi metro station	Railway stations in Taipei
Guandu metro station	Railway stations in Taipei
Zhuwei metro station	Railway stations in Taipei
Hongshulin station	Railway stations in Taipei
Tamsui metro station	Railway stations in Taipei
Xinbeitou metro station	Railway stations in Taipei
Guangci/Fengtian Temple metro station	Railway stations in Taipei
Vilseck	Amberg-Sulzbach
Birgland	Amberg-Sulzbach
Songshan-Xindian Line	Taipei, Railway stations
Illschwang	Amberg-Sulzbach
Xindian metro station	Railway stations in Taipei
Xindian District Office metro station	Railway stations in Taipei
Qizhang metro station	Railway stations in Taipei
Dapinglin metro station	Railway stations in Taipei
Jingmei metro station	Railway stations in Taipei
Wanlong metro station	Railway stations in Taipei
Gongguan metro station	Railway stations in Taipei
Taipower Building metro station	Railway stations in Taipei
Dance Dance Revolution Disney Channel Edition	PlayStation 2 games, PlayStation 2-only games, 2008 video games, Rhythm video games
Yukio Miya	1937 births, Japanese songwriters, 2013 deaths
Guting metro station	Railway stations in Taipei
Xiaonanmen metro station	Railway stations in Taipei
Kongbam	Meitei surnames
Kongkham	Meitei surnames
Konjengbam	Meitei surnames
Laikangbam	Meitei surnames
Laikhuram	Meitei surnames
Disney Move (video game)	PlayStation 2 games, PlayStation 2-only games, 2004 video games, Action video games
Ximen metro station	Railway stations in Taipei
Beimen metro station	Railway stations in Taipei
Songjiang Nanjing metro station	Railway stations in Taipei
Taipei Arena metro station	Railway stations in Taipei
Nanjing Sanmin metro station	Railway stations in Taipei
Songshan station	Railway stations in Taipei
Xiaobitan metro station	Railway stations in Taipei
Porto Azzurro	Settlements in Tuscany
Sassetta	Settlements in Tuscany
Hollenbach	Aichach-Friedberg
Rio Marina	Former municipalities of Tuscany
Rio nell'Elba	Former municipalities of Tuscany
Rio, Italy	2010s establishments in Italy, 2018 establishments in Europe, Settlements in Tuscany
Marciana	Settlements in Tuscany
Portoferraio	Towns in Tuscany
San Vincenzo, Tuscany	Settlements in Tuscany
Suvereto	Settlements in Tuscany
Evolution of plants	Evolution, Trees
PageCloud	Software, Web design
Rahama Sadau	1993 births, Living people, Nigerian people, African actors
Greg Evans (television host)	1953 births, Living people, Australian television presenters
Ali Nuhu	1974 births, Living people, Nigerian people
Lehman Brothers	Defunct companies of the United States, Banks of the United States, 1844 establishments in the United States, 2008 disestablishments in the United States
Bala Mohammed	1958 births, Living people, Nigerian politicians
Cracker Barrel	American restaurants, 1969 establishments in the United States
Perkins Restaurant & Bakery	American restaurants, 1957 establishments in the United States
The Nightingale's Prayer	1959 drama movies, 1950s romantic drama movies, Egyptian movies, Movies based on books, Movies directed by Henry Barakat
Immortal Song (movie)	1952 drama movies, 1950s romantic drama movies, Egyptian movies, Movies directed by Henry Barakat
Dendropsophus branneri	Frogs, Animals of South America
In the Alleys of Love	1991 movies, 1990s war movies, Iranian movies, Movies directed by Khosrow Sinai
The Sin (1965 movie)	1965 drama movies, Egyptian movies, Movies based on books, Movies directed by Henry Barakat
Hamelet	Communes in Somme
Hangard	Communes in Somme
Hangest-en-Santerre	Communes in Somme
Harbonnières	Communes in Somme
Hardecourt-aux-Bois	Communes in Somme
Harponville	Communes in Somme
Hattencourt	Communes in Somme
