Wall plug	Hardware (mechanical)
St. Peter's Square	Vatican City, National squares
Sandbar	Landforms
Old MacDonald Had a Farm	Children's songs
The Inheritors (novel)	1955 books, Fantasy books, William Golding
Wishing well	Superstitions
Who's Afraid of the Big Bad Wolf?	1933, 1930s songs
Franchot Tone	1905 births, 1968 deaths, American movie actors, American radio actors, American stage actors, American television actors, Deaths from lung cancer
Bird cage	Animal enclosures, Birds
Saint Sophia Cathedral in Harbin	Museums in China, Buildings and structures in China, Cathedrals, 1907 establishments in Asia, 20th century establishments in China
Henri Murger	Writers from Paris, 1822 births, 1861 deaths
Scènes de la vie de bohème	French novels, 1840s books
Luigi Illica	1857 births, 1919 deaths, Italian writers, Librettists
Giuseppe Giacosa	People from Turin, Librettists, Italian writers, 1857 births, 1906 deaths
Entrapment	Ethics, Law, Types of crime
Sos Sargsyan	1929 births, 2013 deaths, Deaths from myocardial infarction, Armenian actors, Armenian movie directors, Armenian writers, People from Yerevan
Tuskegee University	Colleges and universities in Alabama
Alawites	Islamic denominations, Syria
Sung Wong Toi	Hong Kong, Monuments and memorials
Umberto Giordano	1867 births, 1948 deaths, Italian composers, Italian people
Mutiny on the Bounty (1935 movie)	1935 movies, 1930s adventure movies, 1930s drama movies, American adventure movies, Movies based on books, Best Picture Oscar, English-language movies, Movies directed by Frank Lloyd
Omoseye Bolaji	1968 births, Living people, Nigerian writers, South African people
Lantau Island	Geography of Hong Kong, Islands of China
Christian terrorism	Christian terrorism
Orange Is the New Black	2013 American television series debuts, 2010s American comedy television series, 2010s American drama television series, 2010s LGBT television series, American comedy-drama television series, American crime drama television series, American LGBT television programs, LGBT comedy television series, LGBT drama television series, Television series set in New York, Transgender, Peabody Award winners, Netflix original shows
Charles Laughton	1899 births, 1962 deaths, Academy Award winners, Actors from Yorkshire, American LGBT people, American movie actors, American movie directors, American movie producers, American screenwriters, American television actors, Bisexual people, Cancer deaths in the United States, Deaths from kidney cancer, English LGBT people, English movie directors, English movie producers, English screenwriters, English television actors, LGBT actors, LGBT directors, Naturalized citizens of the United States, Best Actor Academy Award winners
The Hunchback of Notre Dame (1939 movie)	1939 movies, 1930s horror movies, 1930s drama movies, American horror movies, American drama movies, Movies based on books, English-language movies, Movies directed by William Dieterle
Balk	Baseball, Sports words
Ealdorman	Anglo-Saxons
Centwine of Wessex	Year of birth unknown, 680s deaths, Kings of Wessex
Les Misérables	1860s books, 19th century books, French novels, Works by Victor Hugo
Toilers of the Sea	French novels, Works by Victor Hugo, 1860s books
Taronga Zoo	Zoos in Australia, 1916 establishments, Buildings and structures in Sydney, 1910s establishments in Australia
Mario vs. Donkey Kong	2004 video games, Game Boy Advance games, Puzzle video games, Platform games, Mario video games, Donkey Kong, Virtual Console games, Virtual Console games for Wii U
Madame Bovary	1850s books, 1856, Adultery in fiction, Books first published in serial form, French novels, Suicide in fiction
Wii Party U	2013 video games, Wii U games, Party video games
Water Margin	Chinese novels, 14th century books
The Turn of the Screw	1890s books, American novels, Horror novels, Works by Henry James, English-language novels
The Portrait of a Lady	1880s books, 19th century American novels, English-language novels, Works by Henry James
Daisy Miller	1879 books, American novels, English-language novels, Works by Henry James
Colcannon	Irish culture, Foods
To Kill a Mockingbird (movie)	1962 drama movies, Academy Award winning movies, American drama movies, Movies based on books, Movies set in Alabama, Movies set in the 1930s, Rape in movies, Universal Pictures movies, Movies directed by Robert Mulligan, To Kill a Mockingbird
Lord Jim	Works by Joseph Conrad, 1900 books, Novels
Just So Stories	Works by Rudyard Kipling, British short stories, 1900s books, 1902 works, Children's books
Blind experiment	Experiments
Crossgates Commons	Buildings and structures in New York
St Paul's Suite	Compositions by Gustav Holst, Suites
First Suite in E-flat for Military Band	Compositions by Gustav Holst, Suites
Songs of a Wayfarer	Compositions by Gustav Mahler, Songs
The Marble Faun	American novels, Works by Nathaniel Hawthorne, 1860s books
Saint Francis of Assisi (opera)	20th century operas, 1983 works
Kaira	Gods and goddesses
Ledbury	Towns in Herefordshire
Ulgan	Gods and goddesses
Dalmatian City-states	History of Italy, Dalmatia
Battle of Palmito Ranch	1865 in the United States, 19th century in Texas, American Civil War battles, May events
Battle of Nashville	American Civil War battles, 1864 in the United States, History of Nashville, Tennessee, 19th century in Tennessee, December events
Interstate 787	Interstate Highways, Roads in New York
Interstate 890	Interstate Highways, Roads in New York
Parade Square	Warsaw, Buildings and structures in Poland, Town squares, National squares, 1955 establishments in Europe, 20th century establishments in Poland, 1950s establishments in the Soviet Union
Esau	Old Testament people
Arrondissements of the Haute-Garonne department	Arrondissements of France, Lists of arrondissements of France
Anthony of Padua	Christian saints, 1195 births, 1231 deaths, People from Lisbon, Franciscans
Goodnight Moon	1947 books, English-language picture books
Counselor	Psychology, Occupations
Harold and the Purple Crayon	1955 books, English-language picture books
Flag of Vietnam	National flags, Symbols of Vietnam
Joe Maddon	1954 births, Living people, Chicago Cubs managers, Tampa Bay Rays, Major League Baseball managers, Los Angeles Angels
Hurricane Ingrid	Hurricanes in Mexico, 2013 in weather, 2010s in Mexico
Antonio Ghislanzoni	1824 births, 1893 deaths, Italian writers
Baidu Baike	Websites, Encyclopedias, 2006 establishments in Asia
Culture of Nepal	Nepali culture
Surface water	Water
Nature photography	Photography, Life
Tetanurae	Carnosaurs
Fight Club (book)	1996 books, 20th century American novels, Dissociative identity disorder in fiction, English-language novels
St Augustine's Abbey	6th century establishments in England, Benedictine abbeys, Archaeological sites in England, Churches in England, World Heritage Sites in the United Kingdom, Museums in England, 1530s disestablishments, Ruins
G-Unit Records	American record labels, Hip hop
Yung Berg	Living people, 1986 births, African American musicians, Musicians from Chicago, American rap musicians from Illinois
Heart of a Dog	Russian novels, 1925 books, Books by Mikhail Bulgakov, Novels
Through the Looking-Glass	English novels, Books by Lewis Carroll, Fantasy books, Children's books, English-language novels, 1871 books
John Tenniel	1820 births, 1914 deaths, British illustrators
Project for Public Spaces	Urban planning organizations, Non-profit organizations of New York, 1975 establishments in New York (state), Organizations in New York City
Sylvie and Bruno	English novels, Fantasy books, Children's books, Books by Lewis Carroll, 1893 books, 1889 books
Association of Spanish Language Academies	Language regulators, Spanish language, Madrid, 1951 establishments
Académie française	Language regulators, French language, Buildings and structures in Paris, 1635 establishments, National academies, 1630s establishments in Europe, 17th century establishments in France
The Tale of Squirrel Nutkin	Beatrix Potter, Fantasy books, 1900s books, 1903, English-language picture books
The Story of Babar	Children's picture books, 1930s books, Books with jungle settings, Fantasy books, 1931 works
Central Hindi Directorate	Language regulators, Hindi, Buildings and structures in India
Russian Language Institute	Buildings and structures in Moscow, Language regulators, 1944 establishments in the Soviet Union
Australian Academy of Science	Buildings and structures in Canberra, National academies of sciences, 1954 establishments, Organisations based in Australia, Australian National Heritage List, 1950s establishments in Australia
Chinese Academy of Sciences	Beijing, National academies of sciences, 1949 establishments in Asia, 20th century establishments in China
Jerome	340s births, 420 deaths, Ancient Roman historians, Ancient Roman writers, Bible translators, Christian clergy, Christian saints, Christian theologians, Priests
Bell hooks	1952 births, Living people, African American writers, American feminist writers, American radical feminists, Writers from Kentucky
Great Smoky Mountains National Park	World Heritage Sites in the United States, National parks in the United States, Tennessee, Geography of North Carolina
Magna Graecia	History of Italy, Ancient Greece
Goody Two-Shoes	English-language novels, Children's books, 18th century books, 1765 works
Gloria E. Anzaldúa	1942 births, 2004 deaths, American feminist writers, American radical feminists, Deaths from diabetes, Disease-related deaths in Texas, Lesbian feminists, LGBT people from Texas, LGBT writers, Writers from Texas
Kalākaua	songwriters, 1836 births, 1891 deaths, Kings and queens, Knights Grand Cross of the Order of St Michael and St George, People from Hawaii, Native Hawaiians
Psychological abuse	Psychology
Anniversary	Days, Chronology, Holidays
Arrondissement of Muret	Arrondissements of France
Arrondissement of Saint-Gaudens	Arrondissements of France
Arrondissement of Toulouse	Arrondissements of France
San Luis Potosí, San Luis Potosí	Capital cities in Mexico, San Luis Potosí, 1592 establishments, 16th-century establishments in Mexico
Morelia	Michoacán, Capital cities in Mexico, 1541 establishments, 1540s establishments in Mexico
Wine (bishop)	year of birth unknown, 670s deaths, Christian religious leaders
As-Suwayda	Cities in Syria, Druze
Ar-Raqqah	Cities in Syria, 3rd-century BC establishments, Establishments in Syria
Al Mahwit Governorate	Governorates of Yemen
'Amran Governorate	Governorates of Yemen
Raymah Governorate	Governorates of Yemen
Táchira	States of Venezuela
Zulia	States of Venezuela
Cenwalh of Wessex	Year of birth unknown, 670s deaths, Kings of Wessex
Maracaibo	Cities in Venezuela, 1529 establishments, 16th-century establishments in Venezuela
Ricardo Montaner	1957 births, Living people, Venezuelan entertainers
Yaracuy	States of Venezuela
Apure	States of Venezuela
Rebecca Nurse	1621 births, 1692 deaths, Executed American people, People executed for witchcraft, People from Massachusetts, Salem Witch Trials
Food court	Restaurants
Walt Disney Studios Home Entertainment	1980 establishments in the United States, Companies based in California, Disney companies
List of North American Numbering Plan area codes	Telephone numbers in Canada, Telephone numbers in the United States, Canada-related lists, United States-related lists, Area codes
So Random!	2010s American television series, 2011 American television series debuts, American children's television series, Television spin-offs, Television series by Disney, Pages created with the Article Wizard, 2012 American television series endings, English-language television programs
Cwichelm of Wessex	Year of birth unknown, 630s deaths, Kings of Wessex
File hosting service	Internet, File sharing
Kamen Rider	Japanese television series, Children's television series, 1971 establishments in Asia, 1970s establishments in Japan
Holywell Green	Villages in West Yorkshire, Hamlets in England
Pihtipudas	Municipalities of Central Finland
Red River Parish, Louisiana	Red River Parish, Louisiana, 1871 establishments in the United States, 1870s establishments in Louisiana, Ark-La-Tex
Coronary artery bypass surgery	Surgery
Puck (Shakespeare)	Folklore, Characters in Shakespeare's plays
Shylock	Characters in Shakespeare's plays
Chico Albuquerque	1917 births, 2000 deaths, Brazilian photographers, Deaths from stroke, People from Fortaleza
Nicolas Poussin	1594 births, 1665 deaths, French painters
Yeongwol County	Counties, Subdivisions of South Korea
List of Lords Provost of Dundee	Dundee, Lists of politicians, Scottish politicians
Government shutdown in the United States	Government of the United States
Cynegils of Wessex	Year of birth unknown, 640s deaths, Kings of Wessex, 642 deaths, 7th century births, 7th century deaths, Anglo-Saxons, House of Wessex, Kings and Queens of England
Stingy Jack	Folklore, Irish culture, Fictional characters
Jimmy Hoffa	1913 births, 1975 deaths, Unsolved murders in the United States, Brazil, Indiana, American murder victims, People declared dead in absentia, Missing American people, American labor leaders, American political activists, People from Indiana
Foreign relations of Bangladesh	Foreign relations of Bangladesh
Edin Osmanović	1964 births, Living people, Slovenian footballers, Slovenian football managers
Folding-Fin Aerial Rocket	Weapons
Purple bacteria	Gram-negative bacteria
Jet fuel	Aviation, Fossil fuels
Stedman Graham	African-American people, American educators, Businesspeople from New Jersey, Living people, 1951 births
Juliet (Shakespeare)	Characters in Shakespeare's plays
Mercutio	Characters in Shakespeare's plays
Southwell, Nottinghamshire	Towns in Nottinghamshire
Nepal Bhasa Wikipedia	Wikipedias
Egyptian Arabic Wikipedia	Wikipedias, 2008 establishments
Oriya Wikipedia	Wikipedias, Websites established in 2002
Gewisse	Anglo-Saxons, Kings of Wessex
How Wikipedia Works	2008 books, Works about Wikipedia
Tituba	People from Massachusetts, 17th century births, Year of death unknown, Slaves, Salem Witch Trials
Caddo Parish, Louisiana	Caddo Parish, Louisiana, 1838 establishments in the United States, 1830s establishments in Louisiana
Edward Moss	1977 births, American comedians, American movie actors, American television actors, Living people, Actors from Los Angeles, California, Comedians from Los Angeles, California
Pulitzer Prize for Drama	Pulitzer Prizes
Friar Laurence	Characters in Shakespeare's plays
Titania (Shakespeare)	Characters in Shakespeare's plays, Folklore
James H. Billington	1929 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Washington, D.C., American educators, People from Bryn Mawr, Pennsylvania, Politicians from Philadelphia, Pennsylvania, Writers from Philadelphia, Pennsylvania
George Soros	1930 births, Living people, American billionaires, American Jews, American philanthropists, American progressives, Businesspeople from London, Businesspeople from New York City, Democrats (United States), Holocaust survivors, Hungarian businesspeople, Hungarian Jews, Jewish billionaires, Jewish businesspeople, Jewish philanthropists, Naturalized citizens of the United States, People from Budapest
Chaim Topol	1935 births, Living people, Actors who played in James Bond movies, Golden Globe Award winning actors, Israeli Jews, Israeli movie actors, Israeli stage actors, Israeli television actors, Israeli voice actors, Jewish actors, People from Tel Aviv
Headquarters of the United Nations	United Nations, Buildings and structures in Manhattan
Sings the Ballads of the True West	Johnny Cash, 1965 albums
Coming Soon (1999 movie)	1999 romance movies, 1999 comedy movies, 1990s romantic comedy movies, American romantic comedy movies
Carlos Mencia	1967 births, Living people, American comedians, American movie actors, American television actors
The Man Comes Around (song)	2002 songs, Johnny Cash songs, Songs written by Johnny Cash
Ceolwulf of Wessex	Year of birth unknown, 610s deaths, Kings of Wessex
Bridget Sloan	1992 births, Living people, American gymnasts
Titration	Analytical chemistry
The Wikipedia Revolution	2008 books, Works about Wikipedia
Diderot effect	Sociology, Economics
Game Freak	1989 establishments in Asia, Video game companies, Companies of Japan, 1980s establishments in Japan
Christina Rossetti	English poets, 1830 births, 1894 deaths
Thanet	Thanet, 1974 establishments in England
Ocean gyre	Oceanography
Striptease (movie)	1996 comedy-drama movies, 1990s sex comedy movies, American comedy-drama movies, American sex comedy movies
Goderich, Ontario	Towns in Ontario, 1827 establishments, 1820s establishments in Canada
Davy lamp	Lamps
Substance abuse	Health problems, Drugs, Psychiatry
Lorde	1996 births, Entertainers from North Island, Feminists, Grammy Award winners, Living people, New Zealand singers, People from Auckland, Singer-songwriters
Britons (Celtic people)	Ethnic groups in Europe, History of the United Kingdom, Celtic peoples
Big Time Rush	American boy bands, American television series, Nickelodeon television series, English-language television programs
Clonazepam	Drugs, Drugs used in psychiatry
Tenant farming	Agriculture, Labor
Hope Springs (2012 movie)	2012 romance movies, 2012 comedy-drama movies, 2010s romantic comedy movies, 2010s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, Movies set in Maine, Movies set in Nebraska, People's Choice Award winners
Mockbuster	Movies, Mockbuster movies
Ceol of Wessex	Year of birth unknown, 570s deaths, Kings of Wessex
Slavonic Orthodox	Eastern Orthodox Church
Characters in Romeo and Juliet	Characters in Shakespeare's plays, Lists of fictional characters
Gravity (2013 movie)	2013 drama movies, 2013 3D movies, 2013 science fiction movies, 2010s thriller movies, American drama movies, British drama movies, American science fiction movies, British science fiction movies, American thriller movies, British thriller movies, English-language movies, Warner Bros. movies, Movies directed by Alfonso Cuarón
The Million Second Quiz	2013 American television series debuts, 2010s American television series, NBC network shows, Television quiz shows, English-language television programs
The Ice Storm	1997 drama movies, Adultery in movies, American drama movies, English-language movies, Movies directed by Ang Lee, Movies set in Connecticut, Movies set in the 1970s, Screenplays by James Schamus
Edith Nesbit	English writers, 1858 births, 1924 deaths
Artemisia (movie)	1990s biographical movies, 1997 drama movies, 1997 movies, French drama movies, German drama movies, Italian drama movies, Movies directed by Agnès Merlet
C major	Musical keys, Major scales
Geoffroi de Charny	1300 births, 1356 deaths, French writers, Knights, Crusaders
Mixtape	Audio technology, Compilation albums
Caius (jurist)	Ancient Roman writers, Lawyers, 2nd century deaths, 2nd century births
Pascal's simplex	Mathematics
Corey Locke	Montreal Canadiens players, Canadian ice hockey centres, New York Rangers players, Ottawa Senators players, 1984 births, Sportspeople from Toronto, American Hockey League players, Living people, Ontario Hockey League players
Harrow (tool)	Agricultural machinery
Bell Labs	Research organizations in the United States, 1925 establishments in the United States
Ceawlin of Wessex	Year of birth unknown, 590s deaths, Kings of Wessex
Meet the Press	NBC network shows, American television talk shows, 1950s American television series, 1960s American television series, 1970s American television series, American television news programs, Black and white television series, NBC, Peabody Award winners, Radio programs, English-language television programs
MultiMediaCard	Storage devices
Gaius	Given names
Willa Ford	Musicians from Florida, Actors from Florida, Participants in American reality television series, 1981 births, Living people
Erin Wasson	People from Irving, Texas, Actors from Texas, Models from Texas, 1982 births, Living people
Mademoiselle	1935 establishments in the United States, 2001 disestablishments in the United States, American women's magazines, Fashion magazines
Don't Worry, Be Happy	Pop songs, 1988 songs
Crécy-en-Ponthieu	Communes in Somme
Sahti	Finnish culture, Beer
What's New Pussycat?	1960s romantic comedy movies, 1965 comedy movies, American romantic comedy movies, French romance movies, French comedy movies, Movies directed by Clive Donner
I'll Do Anything	1994 comedy-drama movies, American comedy-drama movies
Joely Fisher	American television actors, American movie actors, Actors from Burbank, California, 1967 births, Living people
Lighting	Light
Mamie Gummer	American television actors, American movie actors, Actors from New York, 1983 births, Living people
Cynric of Wessex	Year of birth unknown, 560s deaths, Kings of Wessex
Kendrick Lamar	1987 births, Living people, African American musicians, American rap musicians from California, Musicians from California, American Christians, American hip hop musicians, American songwriters, Brit Award winners, Grammy Award winners, People from Compton, California, Pulitzer Prize winners
The Chew	2011 American television series debuts, American television talk shows, ABC network shows, English-language television programs
Cooking show	Television programs, Cooking
Cerdic of Wessex	Year of birth unknown, 530s deaths, Kings of Wessex
Euler characteristic	Mathematics
Smith College	Colleges and universities in Massachusetts, 1871 establishments in the United States, Five Colleges, Incorporated, Oberlin Group of Libraries, 1870s establishments in Massachusetts
Oberon	Folklore, Characters in Shakespeare's plays
Howard the Duck	Comic books, Marvel Comics characters, Marvel Comics adapted into movies
Horchata	Drinks
Aescwine of Wessex	Year of birth unknown, 670s deaths, Kings of Wessex
Notre Dame Stadium	1930 establishments in the United States, Stadiums in the United States, Buildings and structures in Indiana, 20th-century establishments in Indiana
Makenzie Vega	Actors from Los Angeles, California, American television actors, American movie actors, 1994 births, Living people
The Road to Wellville	1994 comedy-drama movies, American comedy-drama movies, Movies directed by Alan Parker
Father of the Pride	American animated television series, English-language television programs, NBC network shows
Wine cellar	Wine, Rooms
Bukit Timah Nature Reserve	Geography of Singapore, Parks
Theresa Caputo	Living people, American television personalities, American comedians, American television actors, People from New York
Mrs. Parker and the Vicious Circle	1994 drama movies, 1990s biographical movies, American biographical movies, American drama movies, Movies directed by Alan Rudolph
Afternoon Delight	2013 comedy-drama movies, American comedy-drama movies, American independent movies
Cage (rapper)	1973 births, Living people, American rap musicians from New York, Musicians from New York, People from Würzburg
2013–14 Hull City A.F.C. season	2013 in association football, 2013 in England, 2014 in association football, 2014 in England, Football seasons, Kingston upon Hull
Rod Grams	1948 births, 2013 deaths, American radio personalities, Cancer deaths in Minnesota, Deaths from colorectal cancer, United States representatives from Minnesota, United States senators from Minnesota, US Republican Party politicians
Arrondissements of the Côte-d'Or department	Arrondissements of France
Agilbert	year of birth unknown, year of death unknown, Christian religious leaders
Nicholas Oresko	1917 births, 2013 deaths, Deaths from surgical complications, American military people, People from Bayonne, New Jersey
Siegfried & Roy	American movie actors, American magicians, Duos, Naturalized citizens of the United States, German actors, German entertainers, American television actors
Janet Yellen	1946 births, Living people, American chief executives, American economists, Bankers, Businesspeople from New York City, Chairs of the Federal Reserve, Democrats (United States), Jewish American academics, Jewish American politicians, Jewish businesspeople, Politicians from Brooklyn, United States Council of Economic Advisers, Yale University alumni, United States Secretaries of the Treasury
Thanks for Sharing	2013 comedy-drama movies, American comedy-drama movies, American independent movies, Lionsgate movies
List of road routes in New South Wales	Roads in Australia, New South Wales, Lists of roads
Fragile X syndrome	Syndromes, Autism, Genetic disorders
Maggie Siff	Actors from New York City, American television actors, American movie actors, 1974 births, Living people
Consumer protection	Commerce, Law
Lubricant	Oils, Materials
Depart From Me	2009 albums, Rap music
Picts	Celtic peoples, Ethnic groups in the United Kingdom, Scottish people
Young Buck	1981 births, Living people, African-American rappers, American rap musicians, Musicians from Nashville, Tennessee
Pennacook	Native American, Ethnic groups in the United States
Gordian I	159 births, 238 deaths, Roman Emperors, People who committed suicide
Mutya Keisha Siobhan	2011 establishments in England, 2010s British music groups, British girl groups, Musical groups established in 2011, Musical groups from London
Arrondissement of Beaune	Arrondissements of France
Canadian literature	Canadian culture, Literature by nationality
Ray Bolger	American dancers, American movie actors, Deaths from bladder cancer, Actors from Boston, Massachusetts, 1904 births, 1987 deaths
Jack Haley	Actors from Boston, Massachusetts, American dancers, Deaths from myocardial infarction, American movie actors, American singers, 1898 births, 1979 deaths
Bert Lahr	1895 births, 1967 deaths, Actors from New York City, Deaths from cancer, Vaudeville performers, American musical theatre actors, American movie actors
Billie Burke	1885 births, 1970 deaths, Actors from Washington, D.C., Deaths from natural causes, American stage actors, American movie actors, American television actors
Arrondissement of Dijon	Arrondissements of France
Arrondissement of Montbard	Arrondissements of France
Owain Glyndŵr	1350s births, 1410s deaths, Princes and Princesses of Wales, Welsh people
Marie Claire	1937 establishments in Europe, 1930s establishments in France, Fashion magazines, Monthly magazines
Tromsø	Tromsø
Principality of Capua	Former monarchies in Italy, Former principalities, States of the Holy Roman Empire, 9th century establishments in Europe, Establishments in Italy, 11th-century disestablishments, Disestablishments in Italy
Badulla District	Districts of Sri Lanka
Organisation for the Prohibition of Chemical Weapons	International organizations, 1997 establishments, The Hague, Nobel Peace Prize winners, Chemical warfare
Actuator	Machines
First Battle of the Marne	1914 in Europe, 1910s in France, Battles involving France, Battles involving Germany, Battles involving the United Kingdom, Battles of World War I, September events
Ca$hville Records	American record labels, 2006 establishments in the United States
G-Unit	2000s American music groups, 2010s American music groups, Hip hop bands, Musical groups from New York
Božidar Boki Milošević	Yugoslavian people, Clarinetists, Songwriters, Serbian musicians, People from Belgrade, 1931 births, 2018 deaths
Susanne Sundfør	1986 births, Living people, Norwegian musical entertainers, Singer-songwriters, People from Oslo
Branch Davidians	New religious movements, Christian denominations, 1955 establishments in the United States, Christianity in the United States, Texas, Cults, 1950s establishments in Texas, 1993 in the United States, 1990s in Texas
Ilene Graff	American movie actors, Living people, American television actors
Isotopes of hydrogen	Hydrogen, Isotopes
Crimea	Republic of Crimea, Autonomous areas, Geography of Ukraine, Geography of Russia, Peninsulas
Redback spider	Spiders, Venomous animals, Animals of Australia
Pow-wow (folk magic)	Magic (paranormal)
Vastu shastra	Architecture, Hindu temples
Alice Liddell	1852 births, 1934 deaths, People from Westminster
Nazi mysticism	Nazism, Occult, Religion in Germany
Anthroposophy	Esotericism, Spirituality, Philosophy
Venom	Poisons
Soliloquy	Drama, Literature
Somniloquy	Sleep disorders
Aurornis	Dinosaurs of Asia, Jurassic dinosaurs, Saurischia
Casting (metalworking)	Sculpture, Manufacturing
Canadair CL-13 Sabre	Military aircraft, Military of Canada
Development Regions of Nepal	Subdivisions of Nepal
Zones of Nepal	Zones of Nepal
Willie Degel	Businesspeople from New York, American television personalities, 1967 births, Living people, Restaurateurs
Restaurant Stakeout	2012 American television series debuts, American reality television series, Food Network
DVD-Audio	Audio disc, DVD
Boris Christoff	European opera singers, 1914 births, 1993 deaths, Bulgarian singers
Italian Peninsula	Peninsulas, Regions of Europe
Battle of Reading (871)	Battles involving England, Anglo-Saxons, Battles of the Middle Ages, 871, 9th century in England
Auditory hallucination	Psychosis, Medical signs
Flat panel display	Display technology
HMS Royal Oak	British warships
Districts of Nepal	Districts of Nepal
Capital gain	Economics
São Paulo Cathedral	Roman Catholic Cathedrals, São Paulo, Buildings and structures in Brazil, 1967 establishments, 1960s establishments in Brazil
Sweet Genius	American reality television series, Food Network, 2011 American television series debuts, English-language television programs
Saints Row (series)	Video game series, 2006 video games, 2008 video games, 2011 video games, 2013 video games, 2015 video games, THQ games, Windows games
Pelagia noctiluca	Jellyfish, Cnidarians
Octene	Alkenes
Cyclooctane	Cycloalkanes
Ryan Nugent-Hopkins	1993 births, Canadian ice hockey centres, Edmonton Oilers players, Ice hockey people from British Columbia, Living people, People from Burnaby, American Hockey League players
Alex Smith	1984 births, Living people, American football quarterbacks, Kansas City Chiefs players, San Francisco 49ers players
Pembrokeshire	Counties of Wales
Slug (rapper)	African American musicians, American rap musicians, Living people, 1972 births, Musicians from Minnesota
Scott Sanders	1969 births, Living people, Chicago Cubs players, Detroit Tigers players, San Diego Padres players, Seattle Mariners players
Provenance	Words, Archaeology, Art, Paleontology
Eastern Development Region, Nepal	Subdivisions of Nepal
Branle	Ballroom dances, French culture
Gavin Henson	1982 births, Living people, RC Toulonnais players, Welsh rugby union players
Marlon Jackson	1957 births, Living people, African American musicians, Jackson family, American pop musicians, American singers, Musicians from Indiana
Tishrei	Judaism, Months
Parícutin	Volcanoes of Mexico
Ice sheet	Landforms
John Davis (sealer)	American explorers, 1784 births, People from Surrey, English explorers, People from Connecticut, Antarctica, Year of death unknown
Superman suit	Superman, Clothing
Winti	Afro-American religion, Suriname
Sonkajärvi	Municipalities of Northern Savonia, 1922 establishments in Europe, 1920s establishments in Finland
Bob McDonnell	1954 births, Living people, American military people, Boston University alumni, Colonels, Criminals from Pennsylvania, Governors of Virginia, Politicians from Philadelphia, Pennsylvania, US Republican Party politicians
Governor of Virginia	Governors of Virginia
Jackie Jackson	1951 births, Living people, Jackson family, African American musicians, American singers, Singers from Indiana
Tito Jackson	Singers from Indiana, Living people, Jackson family, African American musicians, American pop musicians, 1953 births
Evapotranspiration	Ecology, Water
Defend Your Castle	2008 video games, Wii games
Central Development Region, Nepal	Subdivisions of Nepal
The Narrative (band)	2006 establishments in New York (state), 2000s American music groups, 2010s American music groups, American rock bands, Indie rock bands, Musical groups established in 2006, Musical groups from New York
Robert Stewart, Viscount Castlereagh	British politicians, 1769 births, 1822 deaths, British Viscounts, People who committed suicide
Bambi Meets Godzilla	1969 movies, Animated movies, Short movies, Godzilla
Social drinking	Alcohol drinking habits, Leisure
Western Development Region, Nepal	Subdivisions of Nepal
Star Fox 2	Star Fox, Super Nintendo Entertainment System games
Jimmy Waite	1969 births, American Hockey League players, Canadian ice hockey goaltenders, Chicago Blackhawks players, Chicoutimi Saguenéens (QMJHL) players, Ice hockey people from Quebec, International Hockey League (1945–2001) players, Living people, New Jersey Devils players, New York Islanders players, Phoenix Coyotes players, San Jose Sharks players
Mike Veisor	1952 births, Living people, American Hockey League players, Canadian ice hockey goaltenders, Canadian Jews, Chicago Blackhawks players, Hartford Whalers players, Ice hockey people from Ontario, Jewish sportspeople, People from Toronto, Winnipeg Jets (1979–96) players, Ontario Hockey League players, Central Professional Hockey League players
Star Fox Command	2006 video games, Nintendo DS games, Star Fox
Matt Underhill	1979 births, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from British Columbia, Living people, American Hockey League players, ECHL players
Jocelyn Thibault	1975 births, American Hockey League players, Buffalo Sabres players, Canadian ice hockey goaltenders, Chicago Blackhawks players, Colorado Avalanche players, Ice hockey people from Quebec, Living people, Montreal Canadiens players, People from Montreal, Pittsburgh Penguins players, Quebec Nordiques players, Sherbrooke Faucons players, Trois-Rivières Draveurs players
Rob Tallas	1973 births, American Hockey League players, Boston Bruins players, Canadian ice hockey goaltenders, Chicago Blackhawks players, Florida Panthers players, Ice hockey people from Alberta, Living people, Seattle Thunderbirds players, Sportspeople from Edmonton, ECHL players, International Hockey League (1945–2001) players
Doug Stevenson	1927 births, 1975 deaths, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from Saskatchewan, New York Rangers players, People from Regina, Saskatchewan, American Hockey League players, Eastern Hockey League players
Christian Soucy	1970 births, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from Quebec, Living people, American Hockey League players, ECHL players, International Hockey League (1945–2001) players
Prayer in Christianity	Christian worship and liturgy, Christian terminology
Mid-Western Development Region, Nepal	Subdivisions of Nepal
Bill Young	1930 births, 2013 deaths, American Methodists, American military people, Deaths from multiple myeloma, Politicians from Pittsburgh, Pennsylvania, United States representatives from Florida, US Republican Party politicians
Tom Foley	1929 births, 2013 deaths, Ambassadors of the United States to Japan, American Roman Catholics, Cardiovascular disease deaths in Washington, D.C., Deaths from stroke, People from Spokane, Washington, Speakers of the United States House of Representatives, United States representatives from Washington, US Democratic Party politicians, 20th-century American politicians, 21st-century American politicians, Majority leaders of the United States House of Representatives
